,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.4954,1.63096,1.4954,1.63096,2,6,1,1,1.2092,d,2015-08-24 00:30:00,0,1,0,1,-0.1355599999999999,74,32,157,29,0,0,1,1,-0.1355599999999999,1.4954,1.63096,1.4954,1.63096,1,1,1.2092,0,0,1,1,-0.1355599999999999,1.4954,1.63096,1.4954,1.63096,1,1,1.2092,Villarreal,0.3031,0.2999,0.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.941159,3.14512,0.197881,3.14512,3,11,0,5,0.1843,l,2015-08-30 00:30:00,0,0,1,0,-2.947239,335,13,126,22,0,1,1,1,-3.082799,2.436559,4.77608,1.693281,4.77608,1,6,1.3935,0,1,1,1,-3.082799,2.436559,4.77608,1.693281,4.77608,1,6,1.3935,Real Madrid,0.0307,0.0922,0.8771,a,1.54271,0.333248,1.54271,0.333248,11,1,0,0,2.3181,d,2015-08-23 22:30:00,0,1,0,1,1.209462,157,25,328,30,0,0,1,1,1.209462,1.54271,0.333248,1.54271,0.333248,0,0,2.3181,0,0,1,1,1.209462,1.54271,0.333248,1.54271,0.333248,0,0,2.3181,Sporting Gijon,0.695,0.2331,0.0719
2,h,0.75201,0.663712,0.75201,0.663712,1,11,1,0,1.4175,w,2015-09-13 00:00:00,1,0,0,3,0.0882979999999999,205,26,133,24,1,1,1,4,-2.994501,3.188569,5.439792000000001,2.445291,5.439792000000001,2,6,2.811,1,1,1,4,-2.994501,3.188569,5.439792000000001,2.445291,5.439792000000001,2,6,2.811,Real Sociedad,0.348,0.3735,0.2785,h,0.887693,0.25686,0.887693,0.25686,3,3,0,0,1.9717,d,2015-08-29 20:30:00,0,1,0,1,0.630833,170,25,255,11,0,0,2,2,1.000963,1.832571,0.831608,1.832571,0.831608,0,0,3.632,0,0,2,2,1.000963,1.832571,0.831608,1.832571,0.831608,0,0,3.632,Sporting Gijon,0.5314,0.3775,0.0911
3,a,0.190749,1.81097,0.190749,1.81097,0,10,0,0,0.2344,d,2015-09-19 20:15:00,0,1,0,1,-1.620221,245,19,99,26,1,1,2,5,-4.614722,3.379318,7.250762000000001,2.63604,7.250762000000001,2,6,3.0454,1,1,2,5,-4.614722,3.379318,7.250762000000001,2.63604,7.250762000000001,2,6,3.0454,Valencia,0.0259,0.1567,0.8174,a,1.48606,1.10502,1.48606,1.10502,9,4,1,0,1.6692,w,2015-09-12 20:15:00,1,0,0,3,0.38104,198,29,303,30,1,0,2,5,2.928952,5.54577,2.6168180000000003,5.54577,2.6168180000000003,2,1,6.4774,1,0,2,5,2.928952,5.54577,2.6168180000000003,5.54577,2.6168180000000003,2,1,6.4774,Sporting Gijon,0.464,0.2772,0.2588
4,h,1.11886,0.264158,1.11886,0.264158,5,4,1,2,2.1795,l,2015-09-25 00:05:00,0,0,1,0,0.854702,142,25,310,32,1,2,2,5,-3.76002,4.498177999999999,7.514920000000001,3.7549,7.514920000000001,3,8,5.2249,1,2,2,5,-3.76002,4.498177999999999,7.514920000000001,3.7549,7.514920000000001,3,8,5.2249,Deportivo La Coruna,0.6282,0.2949,0.0769,h,0.831861,1.62405,0.831861,1.62405,10,2,2,3,0.6519,l,2015-09-20 18:00:00,0,0,1,0,-0.792189,162,30,232,25,1,1,2,5,-0.699938,4.34102,5.040958,4.34102,5.040958,6,5,4.675,1,1,2,5,-0.699938,4.34102,5.040958,4.34102,5.040958,6,5,4.675,Sporting Gijon,0.1355,0.2454,0.6191
5,a,1.65258,1.75847,1.65258,1.75847,8,1,2,1,1.3113,w,2015-09-27 14:00:00,1,0,0,3,-0.10589,293,21,187,30,2,2,2,8,-3.86591,6.150758,9.27339,5.40748,9.27339,5,9,6.5362,2,2,1,7,-3.73035,4.655358,7.64243,3.91208,7.64243,4,8,5.327,Sporting Gijon,0.3491,0.264,0.3869,a,0.532738,2.90667,0.532738,2.1634,2,8,1,2,0.0909,l,2015-09-23 22:00:00,0,0,1,0,-1.630662,249,26,133,29,1,2,2,5,-3.059808,3.851916,7.654994,3.851916,6.911724,4,5,4.346800000000001,1,2,2,5,-3.059808,3.851916,7.654994,3.851916,6.911724,4,5,4.346800000000001,Rayo Vallecano,0.0099,0.0612,0.9289
6,a,1.68781,1.2884,1.68781,1.2884,6,8,2,0,1.7061000000000002,w,2015-10-04 14:00:00,1,0,0,3,0.39941,254,24,99,34,3,2,2,11,-3.4664999999999995,7.838567999999999,10.56179,7.095289999999999,10.56179,7,9,8.2423,3,1,1,10,-0.3837009999999999,5.402009,5.785710000000001,5.402009,5.785710000000001,6,3,6.8488,Rayo Vallecano,0.4762,0.2775,0.2463,a,0.920477,2.76392,0.920477,2.76392,2,12,2,3,0.3033,l,2015-09-26 22:30:00,0,0,1,0,-1.843443,197,35,222,26,2,3,1,7,-2.7219222000000003,6.9985478,9.720482,6.2552778,8.9772,6,10,6.4367,2,3,0,6,-1.2114492000000003,6.3050308,7.516491999999999,5.5617608,6.773210000000001,6,10,6.1882,Sevilla,0.058,0.1293,0.8127
7,h,1.86579,1.85292,1.86579,1.85292,9,4,1,3,1.3569,l,2015-10-18 00:05:00,0,0,1,0,0.0128700000000001,160,40,224,34,3,3,2,11,-3.4536299999999995,9.704358,12.41471,8.961079999999999,12.41471,8,12,9.5992,2,2,1,7,-0.4591289999999998,6.515789,6.974918,6.515789,6.974918,6,6,6.7882,Espanyol,0.3654,0.2607,0.3739,h,2.00148,1.6289,1.2582,1.6289,14,1,1,2,1.6879,l,2015-10-03 22:30:00,0,0,1,0,-0.3707,263,36,256,33,3,4,0,9,-4.944602000000001,8.707595000000001,12.908907,7.221035,12.165636999999998,7,16,7.1381,2,3,0,6,-3.2731030000000008,7.508874,10.038687,6.022314,9.295417,5,13,6.042199999999999,Sporting Gijon,0.4687,0.2818,0.2495
8,a,1.11054,1.06647,0.36726,1.06647,4,2,1,1,1.4324,d,2015-10-24 20:15:00,0,1,0,1,-0.6992100000000001,137,25,237,33,3,3,3,12,-4.152839999999999,10.814898,13.48118,9.32834,13.48118,9,13,11.0316,2,2,1,7,0.4618820000000001,7.43558,6.230418,6.6923,6.230418,7,7,7.9862,Granada,0.365,0.3374,0.2976,a,2.51462,1.39196,2.51462,1.39196,2,7,3,3,2.2158,d,2015-10-19 22:30:00,0,1,0,1,1.1226599999999998,289,30,113,22,1,5,2,5,-5.471939000000001,9.47778,14.20657,8.734631,14.20657,8,16,7.946299999999999,0,3,2,2,-3.615151000000001,6.490449999999999,10.105601,6.490449999999999,10.105601,4,9,4.784599999999999,Sporting Gijon,0.6733,0.1959,0.1308
9,h,1.23993,4.022,0.496657,4.022,5,8,1,3,0.1263,l,2015-11-01 23:30:00,0,0,1,0,-3.5253430000000003,186,28,193,25,3,4,3,12,-7.678183,12.054828,17.50318,9.824997,17.50318,10,16,11.1579,2,2,1,7,-3.918163,7.55665,9.98826,6.070097,9.98826,7,8,5.932999999999999,Athletic Club,0.0222,0.0597,0.9181,h,2.81541,0.15924,1.93168,0.15924,7,2,3,0,2.9406000000000003,w,2015-10-26 23:30:00,1,0,0,3,1.77244,254,26,253,27,3,4,2,11,1.5022609999999996,11.86161,11.705461,10.97788,9.475619000000002,13,12,11.5865,2,1,2,8,1.039324,7.973444,6.050389999999999,7.089714,6.050389999999999,9,5,7.6881,Sporting Gijon,0.9714,0.0264,0.0022
