,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.944878,0.574748,0.944878,0.574748,4,5,0,0,1.6603,d,2015-08-22 20:30:00,0,1,0,1,0.3701299999999999,271,20,134,17,0,0,1,1,0.3701299999999999,0.944878,0.574748,0.944878,0.574748,0,0,1.6603,0,0,1,1,0.3701299999999999,0.944878,0.574748,0.944878,0.574748,0,0,1.6603,Deportivo La Coruna,0.4379,0.3466,0.2155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.887693,0.25686,0.887693,0.25686,3,3,0,0,1.9717,d,2015-08-29 20:30:00,0,1,0,1,0.630833,170,25,255,11,0,0,2,2,1.000963,1.832571,0.831608,1.832571,0.831608,0,0,3.632,0,0,2,2,1.000963,1.832571,0.831608,1.832571,0.831608,0,0,3.632,Sporting Gijon,0.5314,0.3775,0.0911,h,0.333248,1.54271,0.333248,1.54271,1,11,0,0,0.4488,d,2015-08-23 22:30:00,0,1,0,1,-1.209462,328,30,157,25,0,0,1,1,-1.209462,0.333248,1.54271,0.333248,1.54271,0,0,0.4488,0,0,1,1,-1.209462,0.333248,1.54271,0.333248,1.54271,0,0,0.4488,Real Madrid,0.0719,0.2331,0.695
2,a,0.663712,0.75201,0.663712,0.75201,11,1,0,1,1.209,l,2015-09-13 00:00:00,0,0,1,0,-0.0882979999999999,133,24,205,26,0,1,2,2,0.912665,2.496283,1.583618,2.496283,1.583618,0,1,4.840999999999999,0,1,2,2,0.912665,2.496283,1.583618,2.496283,1.583618,0,1,4.840999999999999,Real Betis,0.2785,0.3735,0.348,a,0.941159,3.14512,0.197881,3.14512,3,11,0,5,0.1843,l,2015-08-30 00:30:00,0,0,1,0,-2.947239,335,13,126,22,0,1,1,1,-3.082799,2.436559,4.77608,1.693281,4.77608,1,6,1.3935,0,1,1,1,-3.082799,2.436559,4.77608,1.693281,4.77608,1,6,1.3935,Real Madrid,0.0307,0.0922,0.8771
3,h,1.35321,1.89499,1.35321,1.15171,3,2,2,3,0.9347,l,2015-09-20 00:00:00,0,0,1,0,0.2015,229,24,215,25,0,2,2,2,1.114165,3.849493,3.478608,3.849493,2.735328,2,4,5.7757,0,2,2,2,1.114165,3.849493,3.478608,3.849493,2.735328,2,4,5.7757,Espanyol,0.2219,0.269,0.5091,h,1.47918,4.38766,1.47918,3.64439,7,10,0,6,0.1211,l,2015-09-12 18:00:00,0,0,1,0,-2.16521,290,33,263,19,1,2,0,3,-3.836709,2.677901,7.25788,2.677901,6.514609999999999,2,9,1.217,1,2,0,3,-3.836709,2.677901,7.25788,2.677901,6.514609999999999,2,9,1.217,Real Madrid,0.0213,0.0572,0.9215
4,a,2.65392,0.393118,2.65392,0.393118,3,3,3,0,2.8606000000000003,w,2015-09-23 00:00:00,1,0,0,3,2.260802,175,24,178,32,1,2,2,5,3.374967,6.503413,3.871726,6.503413,3.128446,5,4,8.6363,1,2,2,5,3.374967,6.503413,3.871726,6.503413,3.128446,5,4,8.6363,Granada,0.9357,0.0535,0.0108,a,1.7661,3.03758,1.7661,3.03758,3,10,0,1,0.6392,l,2015-09-19 18:00:00,0,0,1,0,-1.2714800000000002,387,33,152,29,1,3,0,3,-3.1282680000000003,4.75343,7.138549,4.010281,7.138549,4,8,3.8009,1,3,0,3,-3.1282680000000003,4.75343,7.138549,4.010281,7.138549,4,8,3.8009,Real Madrid,0.1521,0.1829,0.665
5,h,1.08705,0.611548,1.08705,0.611548,4,5,0,0,1.856,d,2015-09-27 22:30:00,0,1,0,1,0.4755020000000001,196,30,163,34,1,2,3,6,3.850469,7.590463,4.483274,7.590463,3.739994,5,4,10.4923,1,2,2,5,3.4803390000000003,6.645584999999999,3.908526,6.645584999999999,3.165246,5,4,8.832,Athletic Club,0.5087,0.3299,0.1614,h,1.17616,2.93805,1.17616,2.93805,12,11,1,2,0.3765,l,2015-09-23 23:00:00,0,0,1,0,-1.76189,345,37,224,18,1,4,0,3,-1.298953,5.064326,8.593121,5.064326,6.363279,5,9,4.274900000000001,1,4,0,3,-1.298953,5.064326,8.593121,5.064326,6.363279,5,9,4.274900000000001,Real Madrid,0.0773,0.1446,0.7781
6,a,1.04161,1.89707,1.04161,1.89707,3,2,1,3,0.7388999999999999,l,2015-10-04 00:05:00,0,0,1,0,-0.8554600000000001,150,24,289,30,1,3,3,6,2.995009,8.632073,6.380344,8.632073,5.637064,6,7,11.2312,1,3,1,4,1.994046,6.799502,5.548736,6.799502,4.805456,6,7,7.599200000000001,Malaga,0.1702,0.2283,0.6015,a,0.638418,3.18828,0.638418,3.18828,4,18,0,0,0.1574,d,2015-09-26 20:15:00,0,1,0,1,-2.549862,268,11,148,21,0,3,3,3,-4.524119999999999,4.4489220000000005,8.973042,4.4489220000000005,8.973042,0,3,5.4061,0,3,2,2,-4.650238999999999,3.466202,8.116440999999998,3.466202,8.116440999999998,0,3,3.9792,Real Madrid,0.0293,0.0695,0.9012
7,h,0.485713,1.57864,0.485713,1.57864,2,3,0,2,0.413,l,2015-10-18 18:00:00,0,0,1,0,-1.092927,192,28,253,24,1,4,3,6,1.902082,9.117786,7.958984,9.117786,7.215704,6,9,11.6442,1,3,1,4,0.989417,6.621503,6.375366,6.621503,5.632086,6,8,6.8032,Atletico Madrid,0.0677,0.2099,0.7224,h,2.38708,0.792017,1.6438,0.792017,4,6,1,1,2.6044,d,2015-10-04 22:30:00,0,1,0,1,0.851783,326,35,252,30,4,2,1,13,1.2902939999999994,9.053881,7.020307000000001,8.310601,7.020307000000001,10,4,11.406200000000002,2,2,1,7,1.3864889999999996,6.889321,4.759551999999999,6.146040999999999,4.759551999999999,6,4,8.6847,Real Madrid,0.8227,0.1363,0.041
8,a,3.28662,1.07863,3.28662,1.07863,4,6,4,0,2.672,w,2015-10-25 15:00:00,1,0,0,3,2.20799,172,32,111,29,2,4,3,9,4.110072,12.404406000000002,9.037614,12.404406000000002,8.294334,10,9,14.316199999999998,2,2,1,7,2.995907,8.554912999999999,5.559006,8.554912999999999,5.559006,8,5,8.540500000000002,Levante,0.858,0.098,0.044,a,1.5507,1.60293,1.5507,1.60293,5,10,0,3,1.3531999999999995,l,2015-10-17 18:00:00,0,0,1,0,-0.05223,312,10,229,32,1,4,3,6,-4.0089437,6.2514593,11.746703000000002,6.2514593,10.260403000000002,6,15,7.515599999999999,1,3,1,4,-2.137047,4.605382,8.228729,4.605382,6.742429,4,12,5.1639,Real Madrid,0.3606,0.2714,0.368
9,h,1.13516,1.43886,1.13516,1.43886,6,5,2,3,1.0954,l,2015-11-01 01:05:00,0,0,1,0,-0.3037000000000001,254,24,124,27,2,5,3,9,3.806372,13.539566,10.476474,13.539566,9.733194,12,12,15.411599999999998,1,3,1,4,0.431405,7.036153,6.604748000000001,7.036153,6.604748000000001,7,8,6.7753,Celta Vigo,0.2753,0.2695,0.4552,h,1.57638,1.9616,1.57638,1.9616,10,11,1,3,1.1002,l,2015-10-24 18:00:00,0,0,1,0,-0.3852200000000001,258,38,290,24,5,1,3,18,2.9972921999999995,15.87895,11.3951058,14.392398,11.3951058,18,11,15.5856,2,1,2,8,-0.0051310000000003,7.997590000000001,8.002721,7.997590000000001,8.002721,8,6,6.887300000000001,Real Madrid,0.2883,0.2353,0.4764
