,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,2.20399,0.693517,2.20399,0.693517,4,1,0,0,2.5924,d,2015-08-23 00:30:00,0,1,0,1,1.5104730000000002,264,27,174,34,0,0,1,1,1.5104730000000002,2.20399,0.693517,2.20399,0.693517,0,0,2.5924,0,0,1,1,1.5104730000000002,2.20399,0.693517,2.20399,0.693517,0,0,2.5924,Rayo Vallecano,0.8111,0.1591,0.0298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.85572,0.818281,1.85572,0.818281,5,5,1,1,2.2158,d,2015-08-30 22:30:00,0,1,0,1,1.037439,182,23,228,28,0,0,2,2,2.547912,4.05971,1.5117980000000002,4.05971,1.5117980000000002,1,1,4.8082,0,0,2,2,2.547912,4.05971,1.5117980000000002,4.05971,1.5117980000000002,1,1,4.8082,Deportivo La Coruna,0.6649,0.2211,0.114,h,0.574748,0.944878,0.574748,0.944878,5,4,0,0,0.9931,d,2015-08-22 20:30:00,0,1,0,1,-0.3701299999999999,134,17,271,20,0,0,1,1,-0.3701299999999999,0.574748,0.944878,0.574748,0.944878,0,0,0.9931,0,0,1,1,-0.3701299999999999,0.574748,0.944878,0.574748,0.944878,0,0,0.9931,Real Sociedad,0.2155,0.3466,0.4379
2,a,1.48606,1.10502,1.48606,1.10502,9,4,1,0,1.6692,w,2015-09-12 20:15:00,1,0,0,3,0.38104,198,29,303,30,1,0,2,5,2.928952,5.54577,2.6168180000000003,5.54577,2.6168180000000003,2,1,6.4774,1,0,2,5,2.928952,5.54577,2.6168180000000003,5.54577,2.6168180000000003,2,1,6.4774,Sporting Gijon,0.464,0.2772,0.2588,a,0.25686,0.887693,0.25686,0.887693,3,3,0,0,0.6508,d,2015-08-29 20:30:00,0,1,0,1,-0.630833,255,11,170,25,0,0,2,2,-1.840295,0.590108,2.430403,0.590108,2.430403,0,0,1.0996,0,0,2,2,-1.840295,0.590108,2.430403,0.590108,2.430403,0,0,1.0996,Real Sociedad,0.0911,0.3775,0.5314
3,h,1.81097,0.190749,1.81097,0.190749,10,0,0,0,2.6089,d,2015-09-19 20:15:00,0,1,0,1,1.620221,99,26,245,19,1,0,3,6,4.549173,7.35674,2.807567,7.35674,2.807567,2,1,9.0863,1,0,3,6,4.549173,7.35674,2.807567,7.35674,2.807567,2,1,9.0863,Real Betis,0.8174,0.1567,0.0259,h,0.75201,0.663712,0.75201,0.663712,1,11,1,0,1.4175,w,2015-09-13 00:00:00,1,0,0,3,0.0882979999999999,205,26,133,24,1,1,1,4,-2.994501,3.188569,5.439792000000001,2.445291,5.439792000000001,2,6,2.811,1,1,1,4,-2.994501,3.188569,5.439792000000001,2.445291,5.439792000000001,2,6,2.811,Real Sociedad,0.348,0.3735,0.2785
4,a,0.777547,1.87389,0.777547,1.87389,1,11,0,1,0.5602,l,2015-09-22 22:00:00,0,0,1,0,-1.096343,163,29,235,32,1,1,3,6,3.45283,8.134287,4.681457,8.134287,4.681457,2,2,9.6465,1,1,3,6,3.45283,8.134287,4.681457,8.134287,4.681457,2,2,9.6465,Espanyol,0.116,0.2122,0.6718,a,1.89499,1.35321,1.15171,1.35321,2,3,3,2,1.7963,w,2015-09-20 00:00:00,1,0,0,3,-0.2015,215,25,229,24,2,2,0,6,-4.038209,4.572891,8.61109,3.829611,7.867819999999999,5,11,3.0133,2,2,0,6,-4.038209,4.572891,8.61109,3.829611,7.867819999999999,5,11,3.0133,Real Sociedad,0.5091,0.269,0.2219
5,h,2.0801,0.990969,2.0801,0.990969,6,3,1,0,2.1854,w,2015-09-25 22:30:00,1,0,0,3,1.0891309999999998,201,24,140,46,2,1,3,9,4.541961,10.214387,5.672426,10.214387,5.672426,3,2,11.8319,2,1,2,8,3.0314879999999995,8.010397000000001,4.978909,8.010397000000001,4.978909,3,2,9.2395,Granada,0.66,0.2054,0.1346,h,0.393118,2.65392,0.393118,2.65392,3,3,0,3,0.0859,l,2015-09-23 00:00:00,0,0,1,0,-2.260802,178,32,175,24,1,4,0,3,-5.38907,5.146548,9.792469,4.403399,9.792469,4,11,3.8868,1,4,0,3,-5.38907,5.146548,9.792469,4.403399,9.792469,4,11,3.8868,Real Sociedad,0.0108,0.0535,0.9357
6,a,0.61804,2.69373,0.61804,2.69373,5,9,1,3,0.1768,l,2015-10-04 18:00:00,0,0,1,0,-2.07569,226,19,266,34,2,2,3,9,2.466271,10.832427,8.366156,10.832427,8.366156,4,5,12.0087,2,2,1,7,-0.081641,6.772716999999999,6.854358,6.772716999999999,6.854358,3,4,7.2005,Athletic Club,0.0282,0.0922,0.8796,a,0.611548,1.08705,0.611548,1.08705,5,4,0,0,0.8141,d,2015-09-27 22:30:00,0,1,0,1,-0.4755020000000001,163,34,196,30,1,4,1,4,-1.774455,5.675874,9.680171,5.675874,7.450329,5,9,5.089,1,3,1,4,-1.151324,5.280875,7.918761,5.280875,6.432198999999999,5,8,4.793500000000001,Real Sociedad,0.1614,0.3299,0.5087
7,h,1.59507,1.53697,0.851924,0.793694,1,4,3,0,1.4243,w,2015-10-18 00:00:00,1,0,0,3,0.05823,192,22,224,42,3,2,3,12,2.524501,12.427497,9.903126,11.684351,9.15985,7,5,13.433,2,2,1,7,-0.4044510000000001,6.881726999999999,7.286308,6.138580999999999,6.543032,5,4,6.9556,Malaga,0.366,0.3263,0.3077,h,1.89707,1.04161,1.89707,1.04161,2,3,3,1,2.0328,w,2015-10-04 00:05:00,1,0,0,3,0.8554600000000001,289,30,150,24,1,3,3,6,-3.668659999999999,6.345992000000001,10.014652,6.345992000000001,10.014652,3,4,7.438899999999999,1,2,2,5,-2.09608,5.140261,7.236340999999999,5.140261,7.236340999999999,3,3,5.7856,Real Sociedad,0.6015,0.2283,0.1702
8,a,0.885758,2.07582,0.14248,2.07582,3,4,1,2,0.5187,l,2015-10-25 23:30:00,0,0,1,0,-1.9333400000000005,186,21,289,53,3,3,3,12,0.5911609999999996,13.313255000000002,11.978946,11.826831000000002,11.23567,8,7,13.9517,2,3,0,6,-3.958012,5.956515,9.171379,4.470091,8.428103,6,6,4.8654,Atletico Madrid,0.0964,0.2295,0.6741,a,1.57864,0.485713,1.57864,0.485713,3,2,2,0,2.3771000000000004,w,2015-10-18 18:00:00,1,0,0,3,1.092927,253,24,192,28,5,2,1,16,2.383221,10.632521,7.50602,9.889241,7.50602,12,4,13.783300000000002,3,1,1,10,3.976039,7.634224,2.914905,6.890944,2.914905,7,2,10.6442,Real Sociedad,0.7224,0.2099,0.0677
9,h,2.26116,1.14512,1.51788,1.14512,5,4,3,0,2.333,w,2015-10-31 21:15:00,1,0,0,3,0.37276,133,24,250,28,4,3,3,15,0.9639209999999996,15.574415000000002,13.124066,13.344711000000002,12.38079,11,7,16.2847,3,2,0,9,-2.488909,7.440128,8.442609000000001,5.210424,7.699333000000001,9,5,6.6382,Levante,0.7108,0.2006,0.0886,h,1.07863,3.28662,1.07863,3.28662,6,4,0,4,0.23,l,2015-10-25 15:00:00,0,0,1,0,-2.20799,111,29,172,32,1,5,3,6,-6.2169337,7.330089299999999,15.033323000000005,7.330089299999999,13.547023000000005,6,19,7.7456,1,3,1,4,-2.685576,4.817572999999999,7.503149,4.817572999999999,7.503149,3,12,5.319500000000001,Real Sociedad,0.044,0.098,0.858
10,a,1.48214,1.6317,1.48214,1.6317,5,14,5,1,1.2474,w,2015-11-07 19:00:00,1,0,0,3,-0.1495599999999999,232,30,129,24,5,3,3,18,0.8143609999999997,17.056555000000003,14.755766,14.826851,14.01249,16,8,17.5321,3,2,0,9,-3.7276,6.842168,9.08334,4.612464,8.340064,13,6,5.7002,Celta Vigo,0.3254,0.2712,0.4034,a,1.43886,1.13516,1.43886,1.13516,5,6,3,2,1.6351,w,2015-11-01 01:05:00,1,0,0,3,0.3037000000000001,124,27,254,24,6,1,3,21,3.3009922,17.31781,12.530265800000002,15.831258,12.530265800000002,21,13,17.2207,2,1,2,8,0.588259,7.21068,6.622421,7.21068,6.622421,7,7,7.3248,Real Sociedad,0.4552,0.2695,0.2753
11,h,1.38069,2.43396,1.38069,2.43396,3,8,1,1,0.617,d,2015-11-22 01:00:00,0,1,0,1,-1.05327,362,35,208,26,5,3,4,19,-0.2389090000000002,18.437245000000004,17.189726,16.207541000000003,16.446450000000002,17,9,18.1491,3,1,1,10,-2.7051800000000004,7.604818,8.82357,5.375114,8.080293999999999,13,4,6.1404,Las Palmas,0.132,0.221,0.647,h,0.802566,0.500075,0.802566,0.500075,2,8,2,0,1.6439,w,2015-11-06 23:30:00,1,0,0,3,0.3024909999999999,210,22,227,37,2,6,3,9,-10.1977473,7.621057,19.3053443,7.621057,17.8188043,9,16,8.5587,1,3,1,4,-5.031035000000001,2.963203,7.994238,2.963203,7.994238,3,9,3.8589,Real Sociedad,0.4223,0.377,0.2007
12,a,0.0,1.63337,0.0,1.63337,0,13,0,1,0.1388,l,2015-11-29 23:30:00,0,0,1,0,-1.63337,234,21,184,41,5,4,4,19,-1.872279,18.437245000000004,18.823096,16.207541000000003,18.07982,17,10,18.2879,2,2,1,7,-4.396780000000001,6.009748,8.91997,4.52319,8.91997,10,5,4.8549,Sevilla,0.0,0.1388,0.8612,a,1.1262,1.39018,1.1262,1.39018,4,2,0,2,1.1172,l,2015-11-21 19:00:00,0,0,1,0,-0.2639799999999999,231,31,151,18,4,5,3,15,5.9704440000000005,22.126675,14.669681,19.896845,13.926400999999998,17,18,20.1727,2,2,1,7,4.322367,11.242771,4.690574,9.012941,4.690574,10,7,9.5819,Real Sociedad,0.2732,0.2976,0.4292
13,h,0.847612,2.08221,0.847612,2.08221,4,12,1,1,0.5171,d,2015-12-05 23:30:00,0,1,0,1,-1.234598,402,21,153,33,5,4,5,20,-3.106877,19.28485700000001,20.905306,17.055153000000004,20.16203,18,11,18.805,2,1,2,8,-3.698038,5.971601999999999,8.926359999999999,5.228322,8.926359999999999,10,4,4.8533,Barcelona,0.1067,0.197,0.6963,h,2.95341,0.617573,2.95341,0.617573,12,6,4,0,2.7658,w,2015-11-28 19:00:00,1,0,0,3,2.335837,239,15,335,28,11,2,0,33,18.404419,37.53894999999999,13.188691,31.593110000000003,13.188691,33,12,32.4956,5,0,0,15,8.643709,13.03249,3.645501,12.28921,3.645501,16,1,12.6025,Real Sociedad,0.8943,0.0829,0.0228
14,a,0.286203,2.92204,0.286203,2.05232,2,5,1,1,0.0268,d,2015-12-13 19:00:00,0,1,0,1,-1.766117,175,33,194,38,5,4,6,21,-4.872994,19.571060000000006,23.827346,17.341356000000005,22.214350000000003,19,12,18.8318,1,1,3,6,-5.836914999999999,3.996645,10.70328,3.996645,9.83356,8,5,2.5471000000000004,Eibar,0.0023,0.0199,0.9778,a,0.286413,2.37051,0.286413,2.37051,2,6,1,2,0.0667,l,2015-12-06 15:00:00,0,0,1,0,-2.084097,310,30,123,19,5,4,5,20,-1.1794389999999997,17.746015,17.438903,15.516183999999996,16.695622999999998,18,16,20.3458,2,2,1,7,-1.1969400000000006,7.099162999999999,7.552833,5.612613,6.809552999999999,6,6,6.8805000000000005,Real Sociedad,0.0057,0.0496,0.9447
15,h,1.18705,0.508532,1.18705,0.508532,5,2,2,2,2.0594,d,2015-12-19 19:00:00,0,1,0,1,0.678518,166,27,304,31,5,4,7,22,-4.194476,20.75811000000001,24.335878,18.528406000000004,22.722882,21,14,20.8912,0,1,4,4,-5.008837,3.701555,9.580112000000002,3.701555,8.710392,5,6,3.3591,Getafe,0.5891,0.2921,0.1188,h,0.762214,1.82817,0.762214,1.82817,1,7,1,1,0.4934,d,2015-12-11 23:30:00,0,1,0,1,-1.065956,288,28,152,25,4,8,3,15,-4.867458,14.385967,23.853279,14.385967,19.253425,16,24,15.8181,1,2,2,5,-2.6252180000000003,4.009377000000001,8.26147,4.009377000000001,6.634595,6,9,3.8811,Real Sociedad,0.0956,0.2066,0.6978
16,a,0.339183,0.420594,0.339183,0.420594,6,2,0,1,1.1515,l,2015-12-31 19:00:00,0,0,1,0,-0.081411,227,25,205,32,5,5,7,22,-4.275887,21.097293000000004,24.756472,18.867589,23.143476000000003,21,15,22.0427,0,2,3,3,-4.036978,2.660048,7.566746,2.660048,6.697026,4,6,3.8936,Villarreal,0.2076,0.5287,0.2637,a,0.797645,1.02445,0.797645,1.02445,3,5,2,0,1.1334,w,2015-12-20 21:15:00,1,0,0,3,-0.226805,334,31,172,12,9,4,3,30,-2.1537919999999997,16.669802999999998,19.566874,15.926522,18.080314,21,15,20.2902,3,1,1,10,-0.4372139999999999,5.9109240000000005,7.091417999999999,5.9109240000000005,6.348138,6,4,5.9846,Real Sociedad,0.2631,0.3441,0.3928
17,h,2.45563,1.20246,1.71235,1.20246,7,11,2,2,2.2718000000000003,d,2016-01-03 23:30:00,0,1,0,1,0.50989,295,34,277,40,5,5,8,23,-3.765997,23.552923000000003,25.958932,20.579939000000003,24.345936,23,17,24.3145,0,1,4,4,-1.893718,5.115678,7.135836,4.372398,6.266116,6,7,6.0266,Real Madrid,0.6982,0.1772,0.1246,h,3.42264,0.580977,1.93608,0.580977,5,6,3,1,2.8729,w,2015-12-30 19:00:00,1,0,0,3,1.3551030000000002,259,17,290,20,11,3,3,36,19.376043,42.670717,21.064842,38.954327,19.578284,45,16,35.283500000000004,4,1,0,12,8.800904,14.755909999999998,2.981886,11.78279,2.981886,19,5,12.9865,Real Sociedad,0.9432,0.0433,0.0135
