,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.6197,0.359012,0.876427,0.359012,0,3,2,1,2.506,w,2016-08-20 00:00:00,1,0,0,3,0.517415,193,12,214,32,1,0,0,3,0.517415,1.6197,0.359012,0.876427,0.359012,2,1,2.506,1,0,0,3,0.517415,1.6197,0.359012,0.876427,0.359012,2,1,2.506,Eibar,0.7761,0.1777,0.0462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.590187,0.593093,0.590187,0.593093,3,2,0,0,1.2841,d,2016-08-26 22:45:00,0,1,0,1,-0.0029059999999999,223,22,168,36,1,0,1,4,0.514509,2.209887,0.952105,1.466614,0.952105,2,1,3.7901,1,0,1,4,0.514509,2.209887,0.952105,1.466614,0.952105,2,1,3.7901,Real Betis,0.2857,0.427,0.2873,a,0.250977,3.84325,0.250977,3.84325,1,33,2,6,0.0266,l,2016-08-20 20:15:00,0,0,1,0,-3.592273,281,8,117,22,0,1,0,0,-3.592273,0.250977,3.84325,0.250977,3.84325,2,6,0.0266,0,1,0,0,-3.592273,0.250977,3.84325,0.250977,3.84325,2,6,0.0266,Barcelona,0.0029,0.0179,0.9792
2,h,0.708733,0.239631,0.708733,0.239631,4,3,0,1,1.7531,l,2016-09-11 22:30:00,0,0,1,0,0.4691019999999999,165,26,332,24,1,1,1,4,0.983611,2.91862,1.191736,2.175347,1.191736,2,2,5.543200000000001,1,1,1,4,0.983611,2.91862,1.191736,2.175347,1.191736,2,2,5.543200000000001,Athletic Club,0.4335,0.4526,0.1139,h,0.625251,2.33658,0.625251,2.33658,3,12,0,1,0.2787,l,2016-08-28 22:15:00,0,0,1,0,-1.711329,400,47,159,12,0,2,0,0,-1.6522370000000002,1.229922,3.773,1.229922,2.882159,1,3,0.8099000000000001,0,2,0,0,-1.6522370000000002,1.229922,3.773,1.229922,2.882159,1,3,0.8099000000000001,Barcelona,0.0468,0.1383,0.8149
3,a,0.671784,0.45933,0.671784,0.45933,2,5,0,0,1.481,d,2016-09-19 22:45:00,0,1,0,1,0.212454,333,24,265,23,1,1,2,5,1.196065,3.5904040000000004,1.651066,2.847131,1.651066,2,2,7.0242,1,1,2,5,1.196065,3.5904040000000004,1.651066,2.847131,1.651066,2,2,7.0242,Alaves,0.3485,0.4355,0.216,a,0.290172,1.352,0.290172,1.352,0,16,2,1,0.4749,w,2016-09-10 22:30:00,1,0,0,3,-1.0618280000000002,258,5,109,24,1,0,2,5,-3.6206565,1.4435635000000002,5.807500000000001,1.4435635000000002,5.06422,3,2,2.6802,1,0,2,5,-3.6206565,1.4435635000000002,5.807500000000001,1.4435635000000002,5.06422,3,2,2.6802,Barcelona,0.0715,0.2604,0.6681
4,h,1.64049,1.06372,1.64049,1.06372,5,3,1,2,1.8753,l,2016-09-22 22:00:00,0,0,1,0,0.57677,196,44,234,28,1,2,2,5,1.772835,5.230894,2.714786,4.487621,2.714786,3,4,8.8995,1,2,2,5,1.772835,5.230894,2.714786,4.487621,2.714786,3,4,8.8995,Leganes,0.5294,0.2871,0.1835,h,1.18104,2.94825,1.18104,2.20497,5,13,1,5,0.3176,l,2016-09-17 15:00:00,0,0,1,0,-1.0239299999999998,350,64,157,15,1,2,1,4,-1.7061439999999997,2.76431,5.957008,2.76431,4.470454,3,7,2.9599,1,2,1,4,-1.7061439999999997,2.76431,5.957008,2.76431,4.470454,3,7,2.9599,Barcelona,0.0622,0.131,0.8068
5,a,0.2328,2.13155,0.2328,2.13155,1,21,0,1,0.1576,l,2016-09-25 18:15:00,0,0,1,0,-1.89875,258,33,137,21,1,3,2,5,-0.1259149999999997,5.463694,4.846336,4.720421,4.846336,3,5,9.0571,0,3,2,2,-0.6433299999999997,3.843994,4.487324,3.843994,4.487324,1,4,6.551100000000001,Atletico Madrid,0.0184,0.1024,0.8792,a,0.295787,1.32384,0.295787,1.32384,1,9,1,1,0.4690999999999999,d,2016-09-22 00:00:00,0,1,0,1,-1.028053,399,26,160,40,2,0,3,9,5.8875505,10.126385,2.7522845,8.639835,2.7522845,11,2,10.5862,2,0,3,9,5.8875505,10.126385,2.7522845,8.639835,2.7522845,11,2,10.5862,Barcelona,0.0681,0.2648,0.6671
6,h,1.26977,0.234392,1.26977,0.234392,1,0,2,1,2.276,w,2016-10-01 22:45:00,1,0,0,3,1.035378,127,28,190,35,2,3,2,8,0.9094630000000004,6.733464000000001,5.080728,5.990191,5.080728,5,6,11.3331,1,3,1,4,0.3949540000000002,4.523577,4.128623,4.523577,4.128623,3,5,7.543,Sporting Gijon,0.6682,0.2714,0.0604,h,0.631314,3.6662,0.631314,3.6662,6,5,0,5,0.0504,l,2016-09-24 18:15:00,0,0,1,0,-3.034886,349,34,162,24,2,3,1,7,-5.327397,5.354976999999999,9.791533,2.977584,8.304981000000002,5,14,6.160299999999999,1,3,1,4,-5.268305,3.918557,9.186862,2.432005,7.70031,3,13,3.9611,Barcelona,0.0066,0.0306,0.9628
7,a,0.278286,4.85964,0.278286,4.85964,0,17,0,4,0.0054,l,2016-10-15 18:15:00,0,0,1,0,-4.581354,261,23,148,27,2,4,2,8,-3.671891,7.01175,9.940368,6.268477,9.940368,5,10,11.3385,1,3,1,4,-4.655502,4.09313,8.748632,4.09313,8.748632,3,8,5.795299999999999,Barcelona,0.0006,0.0036,0.9958,a,2.27848,1.53201,1.53533,1.53201,10,5,3,4,1.9469000000000003,l,2016-10-02 22:45:00,0,0,1,0,0.0033199999999999,115,29,271,25,4,2,1,13,11.455619,17.748600000000003,4.806551,16.26217,4.806551,22,10,17.486600000000003,2,2,1,7,6.152017000000001,11.56877,3.930323,10.08234,3.930323,15,8,11.9481,Celta Vigo,0.5711,0.2336,0.1953
8,a,0.72415,1.82791,0.72415,1.08463,2,5,1,4,0.4953,l,2016-10-23 14:00:00,0,0,1,0,-0.36048,177,31,147,22,2,5,2,8,-4.032371,7.7359,11.768278,6.992627,11.024998,6,14,11.8338,1,4,0,3,-5.228435999999999,4.1454960000000005,10.117212,4.1454960000000005,9.373932,4,12,4.8096,Celta Vigo,0.0949,0.2106,0.6945,a,0.258037,1.79979,0.258037,1.79979,3,6,0,5,0.1946999999999999,l,2016-10-16 22:45:00,0,0,1,0,-1.541753,298,23,338,24,3,4,1,10,-4.1797130000000005,6.157155,11.080014,5.413873000000001,9.593586,9,16,7.5802,3,1,1,10,-0.4189370000000001,4.565937,5.72802,3.822655,4.241592,8,9,6.0168,Villarreal,0.0223,0.1278,0.8499
9,h,1.3997,1.03333,1.3997,1.03333,3,2,1,1,1.6484,d,2016-10-31 23:45:00,0,1,0,1,0.3663699999999998,285,35,159,29,2,5,3,9,-3.666001,9.1356,12.801607999999998,8.392327,12.058328,7,15,13.4822,1,3,1,4,-5.438835999999999,3.904706,10.086821999999998,3.904706,9.343542,4,11,4.582699999999999,Valencia,0.4371,0.3371,0.2258,h,0.839578,2.05021,0.839578,1.30694,7,8,2,3,0.4997,l,2016-10-22 18:15:00,0,0,1,0,-0.4673619999999999,388,25,141,23,3,6,0,9,2.8042160000000007,12.277852,13.331324,11.534574999999998,8.730358999999998,13,18,12.4352,3,2,0,9,0.4555140000000003,5.607032000000001,7.381214,4.863755,4.408241,8,8,6.4112,Barcelona,0.1018,0.1943,0.7039
