,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.2781,1.27123,0.534823,1.27123,4,8,4,2,1.39,w,2016-08-23 00:00:00,1,0,0,3,-0.736407,244,19,223,49,1,0,0,3,-0.736407,1.2781,1.27123,0.534823,1.27123,4,2,1.39,1,0,0,3,-0.736407,1.2781,1.27123,0.534823,1.27123,4,2,1.39,Valencia,0.3595,0.3115,0.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.78367,0.431857,2.78367,0.431857,9,2,5,1,2.8006,w,2016-08-28 20:15:00,1,0,0,3,2.351813,223,22,245,28,2,0,0,6,1.615406,4.06177,1.703087,3.318493,1.703087,9,3,4.1906,2,0,0,6,1.615406,4.06177,1.703087,3.318493,1.703087,9,3,4.1906,Granada,0.9101,0.0703,0.0196,h,0.977176,1.75881,0.977176,1.75881,1,4,1,1,0.7308,d,2016-08-20 22:15:00,0,1,0,1,-0.7816339999999999,100,31,327,30,0,0,1,1,-0.7816339999999999,0.977176,1.75881,0.977176,1.75881,1,1,0.7308,0,0,1,1,-0.7816339999999999,0.977176,1.75881,0.977176,1.75881,1,1,0.7308,Villarreal,0.1556,0.264,0.5804
2,a,0.642731,3.53881,0.642731,2.79566,5,5,1,2,0.0427,l,2016-09-10 20:15:00,0,0,1,0,-2.152929,271,16,155,32,2,1,0,6,-0.537523,4.7045010000000005,5.241897,3.961224,4.498747,10,5,4.2333,2,1,0,6,-0.537523,4.7045010000000005,5.241897,3.961224,4.498747,10,5,4.2333,Sevilla,0.0055,0.0262,0.9683,a,0.161483,0.580165,0.161483,0.580165,2,7,0,0,0.78,d,2016-08-29 00:15:00,0,1,0,1,-0.418682,164,20,299,36,1,0,1,4,0.766178,2.764373,1.998195,2.764373,1.998195,6,4,2.9414,1,0,1,4,0.766178,2.764373,1.998195,2.764373,1.998195,6,4,2.9414,Villarreal,0.0901,0.5097,0.4002
3,h,0.869251,0.645227,0.125973,0.645227,8,5,1,0,1.6025,w,2016-09-17 22:45:00,1,0,0,3,-0.519254,129,20,383,38,3,1,0,9,-1.056777,5.573752000000001,5.887124,4.087197,5.143974,11,5,5.8358,3,1,0,9,-1.056777,5.573752000000001,5.887124,4.087197,5.143974,11,5,5.8358,Malaga,0.3973,0.4106,0.1921,h,1.05974,2.47884,1.05974,1.73556,4,5,0,2,0.4346,l,2016-09-10 20:15:00,0,0,1,0,-0.6758200000000001,229,28,189,27,0,1,2,2,-0.6855840000000002,2.3296339999999995,3.758498,2.3296339999999995,3.015218,3,5,2.9165,0,1,2,2,-0.6855840000000002,2.3296339999999995,3.758498,2.3296339999999995,3.015218,3,5,2.9165,Villarreal,0.0903,0.1637,0.746
4,a,1.02708,2.81655,1.02708,1.32999,2,15,1,4,0.2887,l,2016-09-22 00:00:00,0,0,1,0,-0.30291,276,9,267,33,3,2,0,9,-1.359687,6.6008320000000005,8.703674,5.114277,6.4739640000000005,12,9,6.1245,3,2,0,9,-1.359687,6.6008320000000005,8.703674,5.114277,6.4739640000000005,12,9,6.1245,Real Sociedad,0.0536,0.1279,0.8185,a,1.03528,1.42126,1.03528,0.677981,8,3,1,2,0.9811,l,2016-09-18 20:30:00,0,0,1,0,0.357299,198,29,261,18,1,2,1,4,-1.4613414000000002,2.367085,4.5717054,2.367085,3.8284264,4,6,4.3677,1,2,1,4,-1.4613414000000002,2.367085,4.5717054,2.367085,3.8284264,4,6,4.3677,Villarreal,0.2296,0.2923,0.4781
5,h,1.31532,2.7519,1.31532,2.7519,4,5,2,2,0.4234,d,2016-09-24 22:45:00,0,1,0,1,-1.43658,267,20,366,32,3,2,1,10,-2.796267,7.916152,11.455574,6.429596999999999,9.225864,14,11,6.5479,2,2,1,7,-2.05986,6.638051999999999,10.184344,5.894774,7.954633999999999,10,9,5.157900000000001,Real Madrid,0.0815,0.1789,0.7396,h,1.34367,1.0322,1.34367,0.288918,15,6,1,1,1.5457,d,2016-09-21 22:00:00,0,1,0,1,1.054752,284,30,266,12,4,0,1,13,9.216477,11.13942,3.409116,11.13942,1.922943,13,4,11.608100000000002,4,0,1,13,9.216477,11.13942,3.409116,11.13942,1.922943,13,4,11.608100000000002,Villarreal,0.4103,0.3148,0.2749
6,a,1.37115,0.988479,1.37115,0.245201,10,1,2,2,1.6445,d,2016-10-01 20:30:00,0,1,0,1,1.125949,83,34,310,26,3,2,2,11,-1.6703179999999995,9.287302,12.444052999999998,7.800746999999999,9.471065,16,13,8.192400000000001,1,2,2,5,-3.285724,5.225532,10.740965999999998,4.482254,7.767978,7,10,4.0018,Osasuna,0.4347,0.3404,0.2249,a,1.7961,2.9887,1.05282,2.24543,2,9,1,3,0.6032000000000001,l,2016-09-25 20:30:00,0,0,1,0,-1.1926099999999995,351,24,202,16,0,4,2,2,-5.868853999999999,5.332822,10.458775,3.846651,9.715505,5,13,4.770300000000001,0,4,1,1,-5.864580999999999,4.502871,9.624551,3.0167,8.881281,4,12,3.3849,Villarreal,0.1375,0.1907,0.6718
7,h,1.07463,0.318729,1.07463,0.318729,11,0,0,0,2.071,d,2016-10-14 22:45:00,0,1,0,1,0.7559009999999999,181,27,367,34,3,2,3,12,-0.9144169999999998,10.361932,12.762781999999998,8.875377,9.789794,16,13,10.2634,1,1,3,6,-0.376894,5.657431,7.520885,4.914153,5.291047,6,8,6.030100000000001,Espanyol,0.5837,0.3199,0.0964,h,0.351825,0.696855,0.351825,0.696855,2,12,0,0,0.8837999999999999,d,2016-10-02 20:30:00,0,1,0,1,-0.34503,355,25,231,23,1,3,3,6,-1.9934686,5.0599374,7.053406000000001,5.0599374,7.053406000000001,9,14,7.42,1,2,2,5,-0.8226456,3.1922004,4.014846,3.1922004,4.014846,3,6,5.5019,Villarreal,0.1536,0.423,0.4234
8,a,0.5357,1.67294,0.5357,0.929667,8,9,1,2,0.4216999999999999,l,2016-10-23 20:30:00,0,0,1,0,-0.393967,199,14,331,42,3,3,3,12,-1.3083839999999998,10.897632,14.435721999999998,9.411077,10.719461,17,15,10.6851,0,2,3,3,-0.251607,5.323880000000001,8.548598,5.323880000000001,5.575487,6,10,4.8493,Villarreal,0.0749,0.197,0.7281,h,1.79979,0.258037,1.79979,0.258037,6,3,5,0,2.6775,w,2016-10-16 22:45:00,1,0,0,3,1.541753,338,24,298,23,4,0,4,16,3.543478,12.756619999999998,6.983311,9.783509,6.240031,14,4,15.5601,3,0,2,11,1.6673419999999997,7.938804999999999,4.784911999999999,5.708974,4.041632,11,3,9.442900000000002,Celta Vigo,0.8499,0.1278,0.0223
9,h,2.07556,1.23697,1.33228,1.23697,6,5,3,3,2.0126000000000004,d,2016-10-30 23:45:00,0,1,0,1,0.09531,70,26,367,22,3,3,4,13,-1.2130739999999998,12.973192,15.672691999999998,10.743357,11.956431,20,18,12.6977,0,1,4,4,0.146613,6.3723600000000005,6.969018,5.62908,5.482467,8,9,6.5732,Celta Vigo,0.5934,0.2324,0.1742,h,1.82791,0.72415,1.08463,0.72415,5,2,4,1,2.2941,w,2016-10-23 14:00:00,1,0,0,3,0.36048,147,22,177,31,4,4,1,13,-3.819233000000001,7.985065,11.804164,6.498503,10.317736,13,17,9.8743,4,1,0,12,-0.4823569999999999,5.710209,6.192432,4.223647,4.706004,12,10,6.6052,Deportivo La Coruna,0.6945,0.2106,0.0949
10,h,1.59273,0.983024,0.84945,0.983024,9,3,1,0,1.8677,w,2016-11-05 23:45:00,1,0,0,3,-0.1335739999999999,133,18,371,42,4,3,4,16,-1.3466479999999996,14.565922,16.655715999999998,11.592807,12.939455,21,18,14.5654,1,1,3,6,1.4496190000000002,6.64977,5.200142,5.16321,3.713591,7,7,8.017500000000002,Eibar,0.5278,0.2843,0.1879,h,1.4571,1.49906,1.4571,0.755779,5,1,2,1,1.2447,w,2016-10-30 15:00:00,1,0,0,3,0.7013210000000001,235,33,188,23,4,3,3,15,-1.2060842999999997,11.784226000000002,12.8488743,10.156236,11.3623203,16,14,12.7596,2,1,2,8,0.8828797000000002,6.397092000000001,5.5142183000000005,5.653817,4.7709373,10,8,7.5665,Villarreal,0.3109,0.312,0.3771
11,a,0.358719,0.590307,0.358719,0.590307,4,2,0,2,1.0087,l,2016-11-18 23:45:00,0,0,1,0,-0.231588,132,24,392,47,4,4,4,16,-1.5782359999999995,14.924641,17.246022999999997,11.951526,13.529762,21,20,15.5741,1,2,2,5,0.0920819999999998,5.637339,4.801970000000001,4.150779,4.058697,5,7,7.3817,Real Betis,0.1822,0.4621,0.3557,a,0.28961,1.38858,0.28961,1.38858,2,8,0,2,0.4297999999999999,l,2016-11-06 21:30:00,0,0,1,0,-1.09897,237,22,278,36,3,6,2,11,-6.778722,9.818452999999998,17.440002,9.818452999999998,16.597175,11,22,11.1194,1,4,0,3,-4.3904890000000005,3.850151,8.240639999999999,3.850151,8.240639999999999,3,11,4.2501,Villarreal,0.063,0.2408,0.6962
