,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.43642,0.604671,0.545579,0.604671,2,2,2,1,2.1992,w,2016-08-21 20:15:00,1,0,0,3,-0.0590919999999999,243,14,118,22,1,0,0,3,-0.0590919999999999,1.43642,0.604671,0.545579,0.604671,2,1,2.1992,1,0,0,3,-0.0590919999999999,1.43642,0.604671,0.545579,0.604671,2,1,2.1992,Athletic Club,0.6432,0.2696,0.0872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.27695,1.12017,0.27695,1.12017,4,2,0,0,0.5017,d,2016-08-28 20:15:00,0,1,0,1,-0.8432200000000001,288,28,265,13,1,0,1,4,-0.902312,1.71337,1.724841,0.8225290000000001,1.724841,2,1,2.7009,1,0,1,4,-0.902312,1.71337,1.724841,0.8225290000000001,1.724841,2,1,2.7009,Alaves,0.0685,0.2962,0.6353,a,0.0332215,4.17855,0.0332215,3.43527,0,9,1,1,0.0031999999999999,d,2016-08-22 00:15:00,0,1,0,1,-3.4020485000000003,215,14,168,31,0,0,1,1,-3.4020485000000003,0.0332215,4.17855,0.0332215,3.43527,1,1,0.0031999999999999,0,0,1,1,-3.4020485000000003,0.0332215,4.17855,0.0332215,3.43527,1,1,0.0031999999999999,Atletico Madrid,0.0001,0.0029,0.997
2,h,1.65936,0.484862,0.916086,0.484862,7,4,2,1,2.4516,w,2016-09-11 14:00:00,1,0,0,3,0.4312239999999999,212,23,283,31,2,0,1,7,-0.471088,3.37273,2.209703,1.738615,2.209703,4,2,5.1525,2,0,1,7,-0.471088,3.37273,2.209703,1.738615,2.209703,4,2,5.1525,Leganes,0.7553,0.1857,0.059,h,0.189954,0.700848,0.189954,0.700848,0,7,0,0,0.7167,d,2016-08-28 00:15:00,0,1,0,1,-0.510894,294,33,152,24,1,0,1,4,-0.2509899999999999,1.098408,1.349398,1.098408,1.349398,1,0,2.2796,1,0,1,4,-0.2509899999999999,1.098408,1.349398,1.098408,1.349398,1,0,2.2796,Atletico Madrid,0.0891,0.4494,0.4615
3,a,0.503786,2.52857,0.503786,1.7853,11,7,0,5,0.1760999999999999,l,2016-09-17 18:15:00,0,0,1,0,-1.281514,341,27,278,28,2,1,1,7,-1.752602,3.876516,4.738273,2.242401,3.995003000000001,4,7,5.3286,2,1,1,7,-1.752602,3.876516,4.738273,2.242401,3.995003000000001,4,7,5.3286,Atletico Madrid,0.0279,0.0924,0.8797,a,2.42263,0.701483,2.42263,0.701483,11,8,4,0,2.5578,w,2016-09-10 15:00:00,1,0,0,3,1.7211469999999998,251,22,137,28,1,0,2,5,5.6340895,7.302028,0.9246585,6.558748,0.9246585,5,1,7.3856,1,0,2,5,5.6340895,7.302028,0.9246585,6.558748,0.9246585,5,1,7.3856,Celta Vigo,0.8049,0.1431,0.052
4,a,0.847147,1.38706,0.103869,0.643778,0,5,1,2,0.7813000000000001,l,2016-09-21 22:00:00,0,0,1,0,-0.539909,303,29,98,24,2,2,1,7,-2.292511,4.723662999999999,6.125333,2.34627,4.638781000000001,5,9,6.1099,2,2,1,7,-2.292511,4.723662999999999,6.125333,2.34627,4.638781000000001,5,9,6.1099,Celta Vigo,0.134,0.3793,0.4867,a,0.683638,0.259738,0.683638,0.259738,10,5,0,0,1.7057,d,2016-09-18 14:00:00,0,1,0,1,0.4238999999999999,124,32,257,39,0,3,1,1,-3.336876,2.274856,5.611732,2.274856,5.611732,1,7,3.2691,0,3,1,1,-3.336876,2.274856,5.611732,2.274856,5.611732,1,7,3.2691,Osasuna,0.4148,0.4613,0.1239
5,h,0.631314,3.6662,0.631314,3.6662,6,5,0,5,0.0504,l,2016-09-24 18:15:00,0,0,1,0,-3.034886,349,34,162,24,2,3,1,7,-5.327397,5.354976999999999,9.791533,2.977584,8.304981000000002,5,14,6.160299999999999,1,3,1,4,-5.268305,3.918557,9.186862,2.432005,7.70031,3,13,3.9611,Barcelona,0.0066,0.0306,0.9628,h,1.32384,0.295787,1.32384,0.295787,9,1,1,1,2.2661,d,2016-09-22 00:00:00,0,1,0,1,1.028053,160,40,399,26,3,1,1,10,8.417413,11.803920000000002,2.6432269999999995,11.06064,2.6432269999999995,14,6,12.6207,3,1,1,10,8.417413,11.803920000000002,2.6432269999999995,11.06064,2.6432269999999995,14,6,12.6207,Atletico Madrid,0.6671,0.2648,0.0681
6,a,0.234392,1.26977,0.234392,1.26977,0,1,1,2,0.4526,l,2016-10-01 22:45:00,0,0,1,0,-1.035378,190,35,127,28,2,4,1,7,-6.362774999999999,5.589368999999999,11.061303,3.2119760000000004,9.574751,6,16,6.6129,1,4,0,3,-5.460462999999999,3.875999,9.336462,2.389447,7.84991,4,15,3.912,Deportivo La Coruna,0.0604,0.2714,0.6682,a,0.2328,2.13155,0.2328,2.13155,1,21,0,1,0.1576,l,2016-09-25 18:15:00,0,0,1,0,-1.89875,258,33,137,21,1,3,2,5,-0.1259149999999997,5.463694,4.846336,4.720421,4.846336,3,5,9.0571,0,3,2,2,-0.6433299999999997,3.843994,4.487324,3.843994,4.487324,1,4,6.551100000000001,Atletico Madrid,0.0184,0.1024,0.8792
7,h,0.487759,0.962304,0.487759,0.962304,7,4,1,2,0.8139000000000001,l,2016-10-16 20:30:00,0,0,1,0,-0.474545,232,36,196,22,2,5,1,7,-6.837319999999999,6.077127999999998,12.023607,3.699735,10.537055,7,18,7.4268,0,5,0,0,-6.366231999999999,2.7043980000000003,9.813904,1.96112,8.327352000000001,3,16,2.2743,Valencia,0.1542,0.3513,0.4945,h,1.00546,3.29348,1.00546,1.80693,5,10,0,2,0.2046,l,2016-10-02 14:00:00,0,0,1,0,-0.8014699999999999,305,29,202,23,2,5,0,6,2.7970330000000008,10.47597,10.793355,9.732693,6.935659999999999,9,14,10.1007,2,3,0,6,0.4809210000000001,7.148820000000001,8.154325,6.405543000000001,5.924621999999999,7,9,6.860799999999999,Atletico Madrid,0.038,0.0906,0.8714
8,a,0.242784,0.546868,0.242784,0.546868,4,1,0,0,0.9048,d,2016-10-22 22:45:00,0,1,0,1,-0.304084,224,21,237,19,2,5,2,8,-7.141404,6.319911999999999,12.570475,3.942519,11.083923,7,18,8.3316,0,4,1,1,-5.388802,2.443396,7.832202,1.7001180000000002,7.08892,3,11,3.003,Granada,0.1315,0.5103,0.3582,a,0.306751,3.0536,0.306751,3.0536,0,11,1,7,0.0521,l,2016-10-15 20:30:00,0,0,1,0,-2.746849,356,23,197,19,0,6,2,2,-7.595807000000001,7.470095000000001,14.223075,6.627268,14.223075,8,23,7.227500000000001,0,4,1,1,-5.30337,4.099482,8.560025,3.2566550000000003,8.560025,5,15,4.254,Atletico Madrid,0.0049,0.0374,0.9577
9,h,0.47946,1.288,0.47946,1.288,0,10,1,1,0.6838,d,2016-10-29 15:00:00,0,1,0,1,-0.80854,275,26,125,17,2,5,3,9,-7.949943999999999,6.799371999999998,13.858475,4.421979,12.371923,8,19,9.0154,0,3,2,2,-5.657433,2.075709,7.733142000000001,2.075709,7.733142000000001,3,10,2.9055,Sevilla,0.1319,0.2881,0.58,h,1.13802,0.770754,1.13802,0.770754,2,5,1,0,1.6779000000000002,w,2016-10-23 18:15:00,1,0,0,3,0.367266,178,26,303,28,6,1,2,20,5.288059,14.035251000000002,8.747322,13.292101,8.004042,17,12,15.5284,4,1,0,12,1.913864,6.509538,5.338954,6.509538,4.595674000000001,8,6,7.8966,Atletico Madrid,0.4559,0.3102,0.2339
