,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.57496,0.847485,2.57496,0.847485,7,5,2,2,2.5569,d,2017-08-19 19:15:00,0,1,0,1,1.727475,234,25,262,16,0,0,1,1,1.727475,2.57496,0.847485,2.57496,0.847485,2,2,2.5569,0,0,1,1,1.727475,2.57496,0.847485,2.57496,0.847485,2,2,2.5569,Atletico Madrid,0.8081,0.1326,0.0593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.66954,0.325871,1.66954,0.325871,3,3,1,0,2.5639,w,2017-08-26 19:15:00,1,0,0,3,1.343669,284,40,179,23,1,0,1,4,3.071144,4.2445,1.173356,4.2445,1.173356,3,2,5.1208,1,0,1,4,3.071144,4.2445,1.173356,4.2445,1.173356,3,2,5.1208,Malaga,0.8007,0.1618,0.0375,h,0.913442,1.4766,0.913442,1.4766,4,8,0,1,0.8563000000000001,l,2017-08-21 21:00:00,0,0,1,0,-0.5631579999999999,159,17,261,26,0,1,0,0,-0.5631579999999999,0.913442,1.4766,0.913442,1.4766,0,1,0.8563000000000001,0,1,0,0,-0.5631579999999999,0.913442,1.4766,0.913442,1.4766,0,1,0.8563000000000001,Eibar,0.194,0.2743,0.5317
2,a,0.314128,1.72422,0.314128,1.72422,1,3,0,2,0.2538,l,2017-09-10 15:15:00,0,0,1,0,-1.410092,213,32,205,25,1,1,1,4,1.6610519999999998,4.558628000000001,2.897576,4.558628000000001,2.897576,3,4,5.3746,1,1,1,4,1.6610519999999998,4.558628000000001,2.897576,4.558628000000001,2.897576,3,4,5.3746,Athletic Club,0.0333,0.1539,0.8128,a,1.35304,1.1133,1.35304,1.1133,5,2,1,0,1.5772000000000002,w,2017-08-27 17:15:00,1,0,0,3,0.23974,229,23,152,28,1,0,1,4,1.0137850000000002,2.46242,1.448635,2.46242,1.448635,1,0,3.603800000000001,1,0,1,4,1.0137850000000002,2.46242,1.448635,2.46242,1.448635,1,0,3.603800000000001,Eibar,0.4258,0.2998,0.2744
3,h,1.90439,1.35514,1.16111,1.35514,6,5,0,1,1.8172,l,2017-09-17 15:15:00,0,0,1,0,-0.1940299999999999,326,27,215,32,1,2,1,4,1.4670219999999998,6.463018000000001,4.252716,5.719738,4.252716,3,5,7.1918,1,2,1,4,1.4670219999999998,6.463018000000001,4.252716,5.719738,4.252716,3,5,7.1918,Sevilla,0.5196,0.2584,0.222,h,2.84122,0.690659,2.84122,0.690659,6,1,3,0,2.7539,w,2017-09-09 17:30:00,1,0,0,3,2.150561,170,19,307,38,2,0,1,7,3.322181,6.57782,3.2556390000000004,6.57782,3.2556390000000004,5,1,6.3736,2,0,1,7,3.322181,6.57782,3.2556390000000004,6.57782,3.2556390000000004,5,1,6.3736,Eibar,0.8859,0.0962,0.0179
4,a,1.24121,0.470624,1.24121,0.470624,3,3,0,0,2.0978000000000003,d,2017-09-20 19:00:00,0,1,0,1,0.770586,215,22,131,28,1,2,2,5,2.237608,7.704228,4.723339999999999,6.960948,4.723339999999999,3,5,9.2896,1,2,2,5,2.237608,7.704228,4.723339999999999,6.960948,4.723339999999999,3,5,9.2896,Leganes,0.6065,0.2783,0.1152,a,0.236029,0.383513,0.236029,0.383513,2,0,0,1,1.0447,l,2017-09-16 06:00:00,0,0,1,0,-0.147484,138,26,108,32,2,2,0,6,1.273037,4.340469000000001,3.0674270000000003,3.597186,2.324149,3,3,6.4317,2,2,0,6,1.273037,4.340469000000001,3.0674270000000003,3.597186,2.324149,3,3,6.4317,Eibar,0.1546,0.5809,0.2645
5,h,0.90657,1.28645,0.90657,1.28645,3,6,0,3,1.0123,l,2017-09-23 19:45:00,0,0,1,0,-0.3798800000000001,352,31,190,19,1,3,2,5,1.857728,8.610798,6.00979,7.867518,6.00979,3,8,10.3019,1,3,1,4,0.1302529999999998,6.035838,5.162305,5.2925580000000005,5.162305,1,6,7.745,Barcelona,0.2374,0.3001,0.4625,h,2.58774,0.962105,1.84447,0.962105,13,2,6,1,2.4832,w,2017-09-19 21:00:00,1,0,0,3,0.8823650000000001,203,7,395,33,5,0,0,15,7.720834999999999,12.6651,3.4577150000000003,11.17855,3.4577150000000003,17,2,11.4232,5,0,0,15,7.720834999999999,12.6651,3.4577150000000003,11.17855,3.4577150000000003,17,2,11.4232,Eibar,0.7801,0.1429,0.077
6,a,1.32391,2.56272,1.32391,2.56272,3,5,3,3,0.5388,d,2017-09-29 20:00:00,0,1,0,1,-1.2388100000000002,379,28,169,19,1,3,3,6,0.6189179999999996,9.934708,8.57251,9.191428,8.57251,6,11,10.8407,0,3,2,2,-2.4522260000000005,5.690208,7.399154000000001,4.946928,7.399154000000001,3,9,5.7199,Celta Vigo,0.1171,0.1875,0.6954,a,1.13361,1.06999,1.13361,1.06999,6,5,4,0,1.3811000000000002,w,2017-09-24 17:30:00,1,0,0,3,0.06362,217,14,261,30,2,3,1,7,1.6610650000000005,7.443874,6.526089,7.443874,5.782808999999999,10,8,8.502799999999999,2,2,1,7,1.0648650000000004,5.620244,4.555378999999999,5.620244,4.555378999999999,8,5,7.2653,Eibar,0.3537,0.32,0.3263
7,h,1.77848,1.23084,1.77848,1.23084,11,2,1,2,1.7514999999999998,l,2017-10-15 15:15:00,0,0,1,0,0.5476400000000001,252,23,217,26,1,4,3,6,1.1665579999999998,11.713188,9.80335,10.969908,9.80335,7,13,12.5922,0,3,2,2,-0.4944940000000002,7.15456,6.905774,6.41128,6.905774,4,9,7.2176,Villarreal,0.5009,0.2488,0.2503,h,2.76075,0.539665,2.0176,0.539665,11,2,3,0,2.7742,w,2017-10-01 17:30:00,1,0,0,3,1.477935,153,27,287,19,3,3,1,10,0.788997,10.028251,9.239254,9.285101,8.496104,9,9,10.5076,3,1,1,10,3.550976,9.45246,5.158334000000001,8.70931,5.158334000000001,9,5,9.9085,Eibar,0.8971,0.0829,0.02
8,a,1.63012,1.93154,0.886846,1.18826,5,8,2,1,1.0914,w,2017-10-23 20:00:00,1,0,0,3,-0.301414,260,20,158,23,2,4,3,9,0.8651439999999997,13.343308,11.73489,11.856754,10.99161,9,14,13.6836,1,2,2,5,-0.6018780000000002,6.88029,7.482174,6.137016,6.738894,6,9,6.4918000000000005,Deportivo La Coruna,0.2689,0.2847,0.4464,a,0.470714,0.565592,0.470714,0.565592,5,6,0,0,1.1979,d,2017-10-15 11:00:00,0,1,0,1,-0.0948779999999999,201,18,179,24,2,4,2,8,-4.141416999999999,10.012869,14.897562,9.269595,13.411012,9,16,8.1256,2,2,1,7,-0.7352209999999997,6.608141,8.086632,6.608141,7.343362,5,7,6.3743,Eibar,0.248,0.4539,0.2981
9,h,2.26046,1.58248,2.26046,1.58248,4,16,2,1,1.9179,w,2017-10-29 15:15:00,1,0,0,3,0.67798,314,42,184,25,3,4,3,12,1.5431239999999995,15.603768,13.31737,14.117214,12.57409,11,15,15.6015,2,2,1,7,-0.6944840000000003,7.89954,8.59403,7.1562660000000005,7.85075,8,10,6.3119000000000005,Real Madrid,0.5614,0.2337,0.2049,h,1.54139,0.359568,1.54139,0.359568,9,1,3,0,2.3501,w,2017-10-22 19:45:00,1,0,0,3,1.181822,214,11,346,28,6,1,2,20,18.552809,24.73988,6.930345,24.73988,6.187071,18,7,23.3665,4,1,0,12,9.489935,12.89893,3.408995,12.89893,3.408995,9,3,12.8245,Eibar,0.7088,0.2237,0.0675
