,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.52013,1.09286,2.52013,1.09286,10,1,1,1,2.4545,d,2017-08-19 21:15:00,0,1,0,1,1.42727,180,27,372,24,0,0,1,1,1.42727,2.52013,1.09286,2.52013,1.09286,1,1,2.4545,0,0,1,1,1.42727,2.52013,1.09286,2.52013,1.09286,1,1,2.4545,Espanyol,0.762,0.1685,0.0695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.21647,1.47212,1.21647,1.47212,1,11,1,0,1.1652,w,2017-08-27 19:15:00,1,0,0,3,-0.2556500000000001,137,17,260,39,1,0,1,4,1.17162,3.7366,2.5649800000000003,3.7366,2.5649800000000003,2,1,3.6197,1,0,1,4,1.17162,3.7366,2.5649800000000003,3.7366,2.5649800000000003,2,1,3.6197,Getafe,0.2871,0.3039,0.409,a,0.335335,1.10938,0.335335,1.10938,1,3,0,0,0.6493,d,2017-08-20 17:15:00,0,1,0,1,-0.7740450000000001,310,34,136,30,0,0,1,1,-0.7740450000000001,0.335335,1.10938,0.335335,1.10938,0,0,0.6493,0,0,1,1,-0.7740450000000001,0.335335,1.10938,0.335335,1.10938,0,0,0.6493,Athletic Club,0.1084,0.3241,0.5675
2,h,2.84122,0.690659,2.84122,0.690659,6,1,3,0,2.7539,w,2017-09-09 17:30:00,1,0,0,3,2.150561,170,19,307,38,2,0,1,7,3.322181,6.57782,3.2556390000000004,6.57782,3.2556390000000004,5,1,6.3736,2,0,1,7,3.322181,6.57782,3.2556390000000004,6.57782,3.2556390000000004,5,1,6.3736,Eibar,0.8859,0.0962,0.0179,h,1.1133,1.35304,1.1133,1.35304,2,5,0,1,1.123,l,2017-08-27 17:15:00,0,0,1,0,-0.23974,152,28,229,23,1,1,0,3,0.3234179999999999,2.5899,2.266482,2.5899,2.266482,1,1,2.9924,1,1,0,3,0.3234179999999999,2.5899,2.266482,2.5899,2.266482,1,1,2.9924,Athletic Club,0.2744,0.2998,0.4258
3,a,1.35514,1.90439,1.35514,1.16111,5,6,1,0,0.9244,w,2017-09-17 15:15:00,1,0,0,3,0.1940299999999999,215,32,326,27,3,0,1,10,3.5162109999999998,7.93296,5.160029000000001,7.93296,4.416749,6,1,7.298,3,0,1,10,3.5162109999999998,7.93296,5.160029000000001,7.93296,4.416749,6,1,7.298,Girona,0.222,0.2584,0.5196,a,0.314128,1.72422,0.314128,1.72422,1,3,0,2,0.2538,l,2017-09-10 15:15:00,0,0,1,0,-1.410092,213,32,205,25,1,1,1,4,1.6610519999999998,4.558628000000001,2.897576,4.558628000000001,2.897576,3,4,5.3746,1,1,1,4,1.6610519999999998,4.558628000000001,2.897576,4.558628000000001,2.897576,3,4,5.3746,Athletic Club,0.0333,0.1539,0.8128
4,h,1.38776,0.370691,1.38776,0.370691,13,3,1,0,2.3127000000000004,w,2017-09-20 21:00:00,1,0,0,3,1.0170690000000002,257,37,329,19,4,0,1,13,4.53328,9.32072,5.5307200000000005,9.32072,4.78744,7,1,9.6107,4,0,1,13,4.53328,9.32072,5.5307200000000005,9.32072,4.78744,7,1,9.6107,Las Palmas,0.6923,0.2358,0.0719,h,0.895334,1.10686,0.895334,1.10686,4,8,1,0,1.1339,w,2017-09-17 17:30:00,1,0,0,3,-0.211526,204,25,269,33,2,2,0,6,-0.4685670000000002,4.402472,4.127766,3.659199,4.127766,5,7,5.8097,2,2,0,6,-0.4685670000000002,4.402472,4.127766,3.659199,4.127766,5,7,5.8097,Athletic Club,0.2749,0.3092,0.4159
5,a,0.370195,1.54213,0.370195,1.54213,14,6,0,2,0.391,l,2017-09-23 12:00:00,0,0,1,0,-1.171935,189,34,334,21,4,1,1,13,3.361345,9.690915,7.072850000000001,9.690915,6.32957,7,3,10.0017,4,1,0,12,1.9340749999999995,7.170785,5.97999,7.170785,5.23671,6,2,7.547200000000001,Atletico Madrid,0.0604,0.2098,0.7298,a,2.30016,1.715,2.30016,0.971855,9,7,2,1,1.7881999999999998,w,2017-09-20 19:00:00,1,0,0,3,1.3283049999999998,288,14,218,28,3,0,2,11,0.5097339999999999,5.843069,6.819753,5.843069,5.333334999999999,10,4,6.196899999999999,3,0,2,11,0.5097339999999999,5.843069,6.819753,5.843069,5.333334999999999,10,4,6.196899999999999,Athletic Club,0.5154,0.242,0.2426
6,h,2.50129,0.429422,1.75801,0.429422,7,2,2,0,2.7388000000000003,w,2017-09-30 15:15:00,1,0,0,3,1.328588,162,31,322,24,5,1,1,16,4.689933,12.192205,7.502272,11.448925,6.758992,9,3,12.7405,4,1,0,12,3.518313,8.455605,4.937291999999999,7.712325,4.194012,7,2,9.1208,Malaga,0.8817,0.0937,0.0246,h,2.36068,1.93264,2.36068,1.18936,7,4,3,3,1.6987,d,2017-09-23 17:30:00,0,1,0,1,1.17132,275,28,221,25,0,5,1,1,-5.429039000000001,5.760551,11.93287,5.760551,11.18959,4,14,4.047000000000001,0,4,1,1,-4.865881,4.847109,10.45627,4.847109,9.71299,4,13,3.1907,Athletic Club,0.4883,0.2338,0.2779
7,a,1.79545,1.12259,1.79545,1.12259,12,6,0,1,1.9042,l,2017-10-14 12:00:00,0,0,1,0,0.67286,128,18,248,34,5,2,1,16,5.362793,13.987655000000002,8.624862,13.244375000000002,7.881582,9,4,14.6447,3,2,0,9,2.0406120000000003,7.409835,5.369223,6.666555,4.625943,4,3,8.2711,Athletic Club,0.5537,0.2431,0.2032,a,2.60881,2.6265,2.60881,1.88322,5,9,2,3,1.393,l,2017-10-01 17:30:00,0,0,1,0,0.7255900000000002,190,44,275,24,2,3,2,8,0.8613680000000006,11.54995,9.945437,10.063524999999998,9.202157,9,9,11.1833,1,3,1,4,-0.1524169999999993,9.08753,8.496802,7.601105,7.753522,8,9,7.579499999999999,Valencia,0.3904,0.2218,0.3878
8,a,0.879816,1.72867,0.879816,1.72867,8,11,0,4,0.7553,l,2017-10-21 17:30:00,0,0,1,0,-0.8488539999999999,238,29,207,16,5,3,1,16,4.513939,14.867471000000002,10.353532,14.124191,9.610252,9,8,15.4,2,3,0,6,0.9977280000000004,6.934511,5.193503000000001,6.191231,5.193503000000001,3,7,8.102,Valencia,0.1722,0.2387,0.5891,a,1.95165,2.25048,1.95165,1.5072,6,12,6,3,1.1733,w,2017-10-15 19:45:00,1,0,0,3,0.44445,318,21,218,27,5,0,3,18,2.849207,14.962281,12.113074,14.219001,11.369794000000002,21,10,13.4041,4,0,1,13,3.879859999999999,11.748500000000002,7.868639999999999,11.00522,7.12536,18,8,9.4308,Real Betis,0.3124,0.2361,0.4515
9,h,1.73468,1.02702,1.73468,0.283741,8,3,2,1,1.9501000000000004,w,2017-10-28 21:30:00,1,0,0,3,1.450939,134,26,325,25,6,3,1,19,5.964878,16.602151000000003,11.380552,15.858871,9.893992999999998,11,9,17.3501,2,3,0,6,1.431598,7.281430999999999,5.849832,6.538151,5.106553,4,8,7.739400000000002,Leganes,0.557,0.2791,0.1639,h,0.800353,0.726155,0.800353,0.726155,1,0,1,0,1.3465,w,2017-10-22 17:30:00,1,0,0,3,0.0741979999999999,243,14,141,31,5,2,2,17,1.984371,9.55841,7.574034,8.815127,6.830756,8,3,13.5874,3,0,2,11,0.7113339999999999,5.217941000000001,4.506607000000001,5.217941000000001,4.506607000000001,5,0,7.155699999999999,Athletic Club,0.3212,0.3829,0.2959
