,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.45697,1.14522,2.45697,1.14522,6,3,2,1,2.2877,w,2018-08-20 23:00:00,1,0,0,3,1.3117500000000002,136,23,335,16,1,0,0,3,1.3117500000000002,2.45697,1.14522,2.45697,1.14522,2,1,2.2877,1,0,0,3,1.3117500000000002,2.45697,1.14522,2.45697,1.14522,2,1,2.2877,Leganes,0.7016,0.1829,0.1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.852349,0.217866,0.852349,0.217866,9,5,2,2,1.9464,d,2018-08-27 23:00:00,0,1,0,1,0.634483,183,35,276,20,1,0,1,4,1.9462330000000003,3.3093190000000003,1.363086,3.3093190000000003,1.363086,4,3,4.2341,1,0,1,4,1.9462330000000003,3.3093190000000003,1.363086,3.3093190000000003,1.363086,4,3,4.2341,SD Huesca,0.5164,0.3972,0.0864,a,1.51617,1.49776,1.51617,1.49776,3,12,2,1,1.4122,w,2018-08-19 19:15:00,1,0,0,3,0.01841,279,22,124,24,1,0,0,3,0.01841,1.51617,1.49776,1.51617,1.49776,2,1,1.4122,1,0,0,3,0.01841,1.51617,1.49776,1.51617,1.49776,2,1,1.4122,Eibar,0.3793,0.2743,0.3464
2,h,1.45129,1.95843,1.45129,1.95843,5,9,1,1,0.9128,d,2018-09-15 18:45:00,0,1,0,1,-0.5071399999999999,353,29,248,18,1,0,2,5,1.4390930000000004,4.7606090000000005,3.321516,4.7606090000000005,3.321516,5,4,5.1469,1,0,2,5,1.4390930000000004,4.7606090000000005,3.321516,4.7606090000000005,3.321516,5,4,5.1469,Real Madrid,0.2071,0.2915,0.5014,a,4.09404,0.502361,2.60748,0.502361,9,7,4,1,2.9458,w,2018-08-26 23:15:00,1,0,0,3,2.105119,212,16,431,14,2,0,0,6,3.078863,5.25623,0.690807,3.76967,0.690807,6,1,5.254300000000001,2,0,0,6,3.078863,5.25623,0.690807,3.76967,0.690807,6,1,5.254300000000001,Girona,0.9756,0.019,0.0054
3,a,0.947496,1.55308,0.947496,1.55308,4,7,2,2,0.8372,d,2018-09-23 18:00:00,0,1,0,1,-0.605584,298,27,126,15,1,0,3,6,0.8335090000000004,5.708105000000001,4.874596,5.708105000000001,4.874596,7,6,5.9841,1,0,3,6,0.8335090000000004,5.708105000000001,4.874596,5.708105000000001,4.874596,7,6,5.9841,Real Betis,0.178,0.3032,0.5188,h,1.18295,0.784969,1.18295,0.784969,5,2,1,0,1.7164,w,2018-09-02 18:45:00,1,0,0,3,0.3979809999999999,149,21,303,25,1,1,1,4,-0.2732320000000001,3.76753,4.040762,3.76753,4.040762,1,3,4.2583,1,1,1,4,-0.2732320000000001,3.76753,4.040762,3.76753,4.040762,1,3,4.2583,Sevilla,0.4628,0.328,0.2092
4,h,0.754289,2.45205,0.754289,2.45205,10,4,0,3,0.3012,l,2018-09-26 18:00:00,0,0,1,0,-1.697761,172,20,355,19,1,1,3,6,-0.8642519999999995,6.462394000000001,7.326646,6.462394000000001,7.326646,7,9,6.285299999999999,1,1,3,6,-0.8642519999999995,6.462394000000001,7.326646,6.462394000000001,7.326646,7,9,6.285299999999999,Villarreal,0.0572,0.1296,0.8132,a,0.533854,1.22184,0.533854,0.478559,6,1,1,0,0.6531,w,2018-09-16 10:00:00,1,0,0,3,0.055295,202,8,251,20,1,2,1,4,0.0399089999999999,3.733723,4.437095,3.733723,3.693814,2,3,4.943200000000001,1,2,1,4,0.0399089999999999,3.733723,4.437095,3.733723,3.693814,2,3,4.943200000000001,Leganes,0.123,0.2841,0.5929
5,a,0.889081,3.06389,0.889081,3.06389,2,10,1,1,0.2015,d,2018-09-29 14:15:00,0,1,0,1,-2.174809,357,25,127,25,1,1,4,7,-3.039061,7.351475000000001,10.390536,7.351475000000001,10.390536,8,10,6.4868,0,1,4,4,-4.350810999999999,4.894505,9.245316,4.894505,9.245316,6,9,4.1991000000000005,Barcelona,0.0351,0.0962,0.8687,h,1.67678,1.54969,1.67678,1.54969,9,2,2,2,1.4363,d,2018-09-23 18:45:00,0,1,0,1,0.1270899999999999,225,21,382,15,4,0,1,13,7.783655,13.951729999999998,5.424795,13.20845,5.424795,16,5,10.871199999999998,4,0,1,13,7.783655,13.951729999999998,5.424795,13.20845,5.424795,16,5,10.871199999999998,Girona,0.3891,0.269,0.3419
6,h,1.18842,2.11494,1.18842,0.628384,8,1,1,3,0.5942,l,2018-10-05 19:00:00,0,0,1,0,0.560036,132,23,287,24,1,2,4,7,-2.479024999999999,8.539895000000001,12.505476000000002,8.539895000000001,11.01892,9,13,7.081,0,2,3,3,-4.425258,5.230576,11.14239,5.230576,9.655834,5,10,2.8469,Real Sociedad,0.122,0.2282,0.6498,h,1.23911,1.77977,1.23911,1.03675,11,5,2,2,0.9078,d,2018-09-25 19:00:00,0,1,0,1,0.2023599999999998,189,36,290,23,2,2,2,8,-1.6291610000000003,6.349921,7.978822,5.606641,7.235802,9,9,6.7343,1,2,2,5,-0.6426470000000003,5.939274999999999,6.581662000000001,5.195995,5.838642,7,8,6.2045,Rayo Vallecano,0.2163,0.2589,0.5248
7,a,0.992745,1.68646,0.992745,0.943179,0,3,1,1,0.7850999999999999,d,2018-10-21 14:15:00,0,1,0,1,0.049566,193,17,137,28,1,2,5,8,-2.429458999999999,9.53264,14.191936000000002,9.53264,11.962099000000002,10,14,7.866099999999999,0,2,3,3,-3.868552,4.772031,10.87042,4.772031,8.640583,5,10,2.7192,Eibar,0.1674,0.2829,0.5497,h,0.563865,1.98532,0.563865,1.24204,2,2,1,3,0.3198999999999999,l,2018-09-29 16:30:00,0,0,1,0,-0.6781750000000001,159,34,263,11,2,4,1,7,-2.637248,6.588155999999999,10.711964,6.588155999999999,9.225404,6,10,5.9662,2,2,1,7,-1.4053719999999998,4.560992000000001,7.452923999999999,4.560992000000001,5.966364,5,6,4.3249,Sevilla,0.0548,0.1555,0.7897
8,a,1.23764,1.35392,1.23764,1.35392,5,2,1,1,1.1468,d,2018-10-24 17:00:00,0,1,0,1,-0.1162799999999999,158,28,324,23,1,2,6,9,-2.5457389999999998,10.77028,15.545856000000002,10.77028,13.316019000000002,11,15,9.0129,0,2,3,3,-3.379248,5.062175,10.67126,5.062175,8.441422999999999,4,9,3.0288,Rayo Vallecano,0.2305,0.4553,0.3142,h,0.320919,0.498066,0.320919,0.498066,2,1,1,2,1.0091,l,2018-10-21 10:00:00,0,0,1,0,-0.177147,78,23,217,32,1,5,2,5,-4.292115,9.896527,11.959712,7.667597000000001,11.959712,8,17,9.1037,0,3,2,2,-2.636469,4.815637000000001,5.965805999999999,3.329337,5.965805999999999,6,12,5.5544,Getafe,0.1687,0.503,0.3283
9,h,0.632913,0.723783,0.632913,0.723783,3,3,0,0,1.2151,d,2018-10-27 14:15:00,0,1,0,1,-0.09087,213,34,236,25,1,2,7,10,-2.636608999999999,11.403193000000002,16.269639,11.403193000000002,14.039802000000002,11,15,10.228,0,1,4,4,-1.7723569999999995,4.940799,8.942993,4.940799,6.713156000000001,4,6,3.9427,Valencia,0.2768,0.3847,0.3385,h,1.18124,0.973224,1.18124,0.230203,9,1,1,1,1.4708,d,2018-10-20 14:15:00,0,1,0,1,0.951037,222,21,253,25,1,1,7,10,3.799863,11.616678000000002,8.559832,10.873398000000002,7.073535000000001,7,8,14.2885,1,0,4,7,3.188065000000001,5.054898000000001,3.35313,5.054898000000001,1.866833,4,3,8.0929,Leganes,0.376,0.3428,0.2812
10,a,0.782205,1.46389,0.782205,1.46389,4,5,0,1,0.7925000000000001,l,2018-11-05 20:00:00,0,0,1,0,-0.6816849999999999,219,37,279,23,1,3,7,10,-3.318293999999999,12.185398,17.733529,12.185398,15.503692,11,16,11.0205,0,2,3,3,-0.2792329999999998,4.833923,7.342993,4.833923,5.113156,3,6,4.5337,Espanyol,0.1715,0.278,0.5505,a,0.508367,1.2412,0.508367,1.2412,7,7,1,1,0.7176,d,2018-10-26 19:00:00,0,1,0,1,-0.7328330000000001,258,26,235,21,5,2,3,18,4.107689999999999,13.032903,8.925214,12.289624,8.181934,14,8,16.837400000000002,3,0,2,11,4.010974999999999,7.79342,4.525725,7.79342,3.782445,9,4,9.459,Real Valladolid,0.1403,0.2967,0.563
