,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,2.67481,1.00338,2.67481,1.00338,2,8,3,0,2.558,w,2018-08-17 23:15:00,1,0,0,3,1.67143,343,21,99,39,1,0,0,3,1.67143,2.67481,1.00338,2.67481,1.00338,3,0,2.558,1,0,0,3,1.67143,2.67481,1.00338,2.67481,1.00338,3,0,2.558,Real Betis,0.8104,0.1268,0.0628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.84058,2.61735,1.0973,2.61735,5,7,1,2,0.8805999999999999,l,2018-08-27 21:15:00,0,0,1,0,-1.52005,230,27,209,19,1,1,0,3,0.1513799999999998,4.51539,3.62073,3.77211,3.62073,4,2,3.4386,1,1,0,3,0.1513799999999998,4.51539,3.62073,3.77211,3.62073,4,2,3.4386,Celta Vigo,0.2195,0.2221,0.5584,h,0.428686,0.647286,0.428686,0.647286,5,5,1,1,1.044,d,2018-08-18 19:15:00,0,1,0,1,-0.2186,235,26,212,20,0,0,1,1,-0.2186,0.428686,0.647286,0.428686,0.647286,1,1,1.044,0,0,1,1,-0.2186,0.428686,0.647286,0.428686,0.647286,1,1,1.044,Espanyol,0.2028,0.4356,0.3616
2,h,1.50228,3.39969,1.50228,2.65641,9,6,2,2,0.3202,d,2018-09-02 10:00:00,0,1,0,1,-1.15413,229,22,179,19,1,1,1,4,-1.0027500000000005,6.01767,7.02042,5.27439,6.27714,6,4,3.7588,1,1,1,4,-1.0027500000000005,6.01767,7.02042,5.27439,6.27714,6,4,3.7588,Valencia,0.066,0.1222,0.8118,a,1.0368,1.50101,1.0368,1.50101,11,10,0,2,0.9982,l,2018-08-26 19:15:00,0,0,1,0,-0.46421,268,31,247,29,0,1,1,1,-0.3653119999999999,2.11565,2.480962,2.11565,2.480962,1,3,2.4202000000000004,0,1,1,1,-0.3653119999999999,2.11565,2.480962,2.11565,2.480962,1,3,2.4202000000000004,Espanyol,0.2398,0.2788,0.4814
3,a,0.690773,1.61848,0.690773,1.61848,2,6,0,1,0.6302,l,2018-09-16 14:15:00,0,0,1,0,-0.927707,225,23,168,21,1,2,1,4,-1.930457,6.708443,8.6389,5.965163,7.89562,6,5,4.389,1,2,1,4,-1.930457,6.708443,8.6389,5.965163,7.89562,6,5,4.389,Espanyol,0.1329,0.2315,0.6356,a,1.04802,1.15622,0.304741,1.15622,10,2,1,2,1.2519,l,2018-09-02 14:15:00,0,0,1,0,-0.8514790000000001,150,23,276,27,1,1,1,4,-0.168669,3.1963160000000004,2.621706,2.453037,2.621706,4,3,4.4953,1,1,1,4,-0.168669,3.1963160000000004,2.621706,2.453037,2.621706,4,3,4.4953,Alaves,0.2977,0.3588,0.3435
4,h,2.24847,3.40128,1.50532,3.40128,9,13,2,6,0.6912,l,2018-09-23 10:00:00,0,0,1,0,-1.89596,267,15,235,23,1,3,1,4,-3.826417,8.956913,12.04018,7.470483,11.2969,8,11,5.0802000000000005,1,3,1,4,-3.826417,8.956913,12.04018,7.470483,11.2969,8,11,5.0802000000000005,Sevilla,0.1703,0.1803,0.6494,h,1.08255,2.12717,1.08255,2.12717,20,4,0,2,0.6337999999999999,l,2018-09-16 18:45:00,0,0,1,0,-1.04462,107,26,295,22,1,2,1,4,1.5577899999999998,7.189099000000001,6.373939,7.189099000000001,5.631309,4,4,5.905499999999999,1,2,1,4,1.5577899999999998,7.189099000000001,6.373939,7.189099000000001,5.631309,4,4,5.905499999999999,Getafe,0.1432,0.2042,0.6526
5,a,1.09992,1.25362,1.09992,1.25362,3,5,1,2,1.2233999999999998,l,2018-09-27 18:00:00,0,0,1,0,-0.1536999999999999,233,20,118,33,1,4,1,4,-3.980117,10.056833,13.2938,8.570402999999999,12.55052,9,13,6.3036,0,4,1,1,-5.651547,7.382023,12.29042,5.895593,11.54714,6,13,3.7456,Real Valladolid,0.2981,0.3291,0.3728,a,2.16098,2.13067,2.16098,2.13067,7,7,3,3,1.4016000000000002,d,2018-09-22 14:15:00,0,1,0,1,0.03031,260,27,246,22,0,2,3,3,-0.988808,4.901676,5.890484000000001,4.901676,5.890484000000001,3,5,5.5459000000000005,0,2,3,3,-0.988808,4.901676,5.890484000000001,4.901676,5.890484000000001,3,5,5.5459000000000005,Celta Vigo,0.3861,0.2433,0.3706
6,h,1.37126,0.703753,1.37126,0.703753,7,1,2,1,1.9627,w,2018-09-30 16:30:00,1,0,0,3,0.667507,142,26,128,25,2,4,1,7,-3.31261,11.428093,13.997553,9.941662999999998,13.254273,11,14,8.266300000000001,1,3,1,4,-3.4639899999999995,6.9127030000000005,10.376823,6.1695530000000005,9.633543,7,12,4.8277,Alaves,0.5644,0.2695,0.1661,h,1.65223,1.20669,0.908948,1.20669,4,6,1,1,1.7476,d,2018-09-27 18:00:00,0,1,0,1,-0.297742,129,21,112,35,3,1,2,11,-3.553879,5.735104000000001,9.28898,4.991822,8.545701000000001,9,6,6.3464,3,0,2,11,-0.5347019999999998,5.486751,6.02145,4.743469,5.278171,9,3,6.2868,Getafe,0.4926,0.2698,0.2376
7,a,0.902661,1.04946,0.902661,1.04946,5,11,1,0,1.2068,w,2018-10-06 14:15:00,1,0,0,3,-0.146799,152,25,149,29,3,4,1,10,-3.459409,12.330754,15.047013,10.844324,14.303733,12,14,9.4731,2,3,0,6,-2.456659,6.313084,8.026593,5.569934,8.026593,6,10,5.7143,Getafe,0.2959,0.3191,0.385,a,1.02662,0.481181,1.02662,0.481181,7,3,1,1,1.8862,d,2018-10-01 19:00:00,0,1,0,1,0.545439,223,27,141,16,2,2,3,9,1.2171059999999998,7.952929000000001,7.479105000000001,7.952929000000001,6.735823,6,6,9.7369,1,1,3,6,0.977384,6.021613,5.787511,6.021613,5.044229,4,4,6.8192,Celta Vigo,0.5162,0.3376,0.1462
8,a,1.83965,3.02601,1.09637,3.02601,3,23,2,1,0.666,w,2018-10-20 11:00:00,1,0,0,3,-1.92964,336,28,159,35,4,4,1,13,-5.389049,14.170404,18.073023,11.940694,17.329743,14,15,10.1391,3,2,0,9,-3.4585919999999994,7.461961,9.434123,5.975531,9.434123,8,10,5.7501,Real Madrid,0.1575,0.1935,0.649,a,0.872949,1.16947,0.872949,1.16947,8,1,0,1,1.0275,l,2018-10-06 16:30:00,0,0,1,0,-0.296521,156,18,402,23,4,2,2,14,4.996124999999998,14.174568999999998,7.692010999999999,11.944859,6.948734,12,7,15.0253,1,2,2,5,0.607785,6.607419,5.999634,6.607419,5.999634,2,5,7.4152,Alaves,0.2351,0.3222,0.4427
9,h,1.15766,1.46459,1.15766,1.46459,5,9,2,0,1.0738,w,2018-10-27 16:30:00,1,0,0,3,-0.3069300000000001,269,19,187,25,5,4,1,16,-5.695979,15.328064,19.537613,13.098354,18.794333,16,15,11.2129,4,1,0,12,-1.869562,6.371151,7.497433,5.627871,7.497433,8,4,6.1327,Leganes,0.2629,0.2851,0.452,a,0.973224,1.18124,0.230203,1.18124,1,9,1,1,1.1864,d,2018-10-20 14:15:00,0,1,0,1,-0.951037,253,25,222,21,2,5,2,8,-4.773150000000001,9.576341,12.863062,7.346761999999999,12.119912,8,13,10.5019,2,2,1,7,-2.077268000000001,4.531351,5.865597999999999,3.78833,5.865597999999999,4,4,6.1846,Valencia,0.2812,0.3428,0.376
