,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.51617,1.49776,1.51617,1.49776,3,12,2,1,1.4122,w,2018-08-19 19:15:00,1,0,0,3,0.01841,279,22,124,24,1,0,0,3,0.01841,1.51617,1.49776,1.51617,1.49776,2,1,1.4122,1,0,0,3,0.01841,1.51617,1.49776,1.51617,1.49776,2,1,1.4122,Eibar,0.3793,0.2743,0.3464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.217866,0.852349,0.217866,0.852349,5,9,2,2,0.6564,d,2018-08-27 23:00:00,0,1,0,1,-0.634483,276,20,183,35,1,0,1,4,-0.616073,1.734036,2.350109,1.734036,2.350109,4,3,2.0686,1,0,1,4,-0.616073,1.734036,2.350109,1.734036,2.350109,4,3,2.0686,Athletic Club,0.0864,0.3972,0.5164,h,2.45697,1.14522,2.45697,1.14522,6,3,2,1,2.2877,w,2018-08-20 23:00:00,1,0,0,3,1.3117500000000002,136,23,335,16,1,0,0,3,1.3117500000000002,2.45697,1.14522,2.45697,1.14522,2,1,2.2877,1,0,0,3,1.3117500000000002,2.45697,1.14522,2.45697,1.14522,2,1,2.2877,Leganes,0.7016,0.1829,0.1155
2,a,1.63632,6.0418,1.63632,5.29852,4,22,2,8,0.0245999999999999,l,2018-09-02 16:30:00,0,0,1,0,-3.6622,318,10,183,20,1,1,1,4,-4.278273,3.370356,8.391909,3.370356,7.648629,6,11,2.0932,1,1,1,4,-4.278273,3.370356,8.391909,3.370356,7.648629,6,11,2.0932,Barcelona,0.0033,0.0147,0.982,a,1.20392,0.510742,1.20392,0.510742,15,4,1,0,1.9865,w,2018-08-25 23:15:00,1,0,0,3,0.6931780000000001,163,16,316,15,2,0,0,6,3.712355,4.47145,0.7590950000000001,4.47145,0.7590950000000001,4,0,4.8874,2,0,0,6,3.712355,4.47145,0.7590950000000001,4.47145,0.7590950000000001,4,0,4.8874,Real Valladolid,0.56,0.3065,0.1335
3,h,1.66772,1.20514,1.66772,1.20514,5,2,0,1,1.7537,l,2018-09-14 19:00:00,0,0,1,0,0.46258,210,30,226,24,1,2,1,4,-3.815693,5.038076,9.597049,5.038076,8.853769,6,12,3.8469,1,2,1,4,-3.815693,5.038076,9.597049,5.038076,8.853769,6,12,3.8469,Rayo Vallecano,0.4832,0.3041,0.2127,a,1.20514,1.66772,1.20514,1.66772,2,5,1,0,0.9422,w,2018-09-14 19:00:00,1,0,0,3,-0.46258,226,24,210,30,1,2,0,3,-1.655646,5.08089,5.993906,4.33826,5.993906,2,5,3.5493,1,2,0,3,-1.655646,5.08089,5.993906,4.33826,5.993906,2,5,3.5493,SD Huesca,0.2127,0.3041,0.4832
4,h,0.565773,0.200875,0.565773,0.200875,3,4,0,1,1.6533,l,2018-09-21 19:00:00,0,0,1,0,0.3648979999999999,242,20,194,22,1,3,1,4,-3.4507949999999994,5.603849,9.797924,5.603849,9.054644,6,13,5.5002,1,3,1,4,-3.4507949999999994,5.603849,9.797924,5.603849,9.054644,6,13,5.5002,Real Sociedad,0.3805,0.5118,0.1077,h,1.47969,1.7617,1.47969,1.7617,3,9,1,2,1.1398,l,2018-09-15 14:15:00,0,0,1,0,-0.2820100000000001,432,36,218,22,1,2,1,4,-1.4666230000000002,4.909936,5.633279,4.166656,5.633279,6,7,4.9916,1,2,1,4,-1.4666230000000002,4.909936,5.633279,4.166656,5.633279,6,7,4.9916,Barcelona,0.2888,0.2734,0.4378
5,a,0.500396,1.1563,0.500396,1.1563,5,8,0,3,0.7373,l,2018-09-25 20:00:00,0,0,1,0,-0.6559040000000002,379,22,264,16,1,4,1,4,-4.106699,6.104245000000001,10.954224,6.104245000000001,10.210944,6,16,6.2375,0,4,1,1,-4.125109,4.588075,9.456464,4.588075,8.713184,4,15,4.8253,Atletico Madrid,0.1417,0.3122,0.5461,a,1.4765,0.580433,1.4765,0.580433,8,6,2,0,2.1932,w,2018-09-22 16:30:00,1,0,0,3,0.896067,175,18,321,34,2,1,2,8,1.2959319999999996,6.330971,5.035039,6.330971,5.035039,5,4,7.6484,2,1,2,8,1.2959319999999996,6.330971,5.035039,6.330971,5.035039,5,4,7.6484,Getafe,0.6502,0.2426,0.1072
6,h,1.6139,1.80702,0.870618,1.06387,8,5,1,1,1.1829,d,2018-09-30 10:00:00,0,1,0,1,-0.1932520000000001,244,34,248,24,1,4,2,5,-4.299951,7.718145000000001,12.761244,6.974863000000001,11.274814,7,17,7.4204,0,4,1,1,-3.683878,5.984109,10.411135,5.240827,8.924705,3,14,5.3518,Girona,0.2987,0.2868,0.4145,h,0.830935,1.56038,0.830935,1.56038,5,5,0,1,0.7488,l,2018-09-27 20:00:00,0,0,1,0,-0.7294450000000001,341,31,172,26,2,2,2,8,-1.843721,6.064381000000001,9.394662,6.064381000000001,7.908101999999999,7,9,7.1854000000000005,2,2,1,7,-2.439503,5.437665000000001,9.363728,5.437665000000001,7.877168,7,9,5.2583,Real Betis,0.1612,0.2652,0.5736
7,a,0.800191,0.927264,0.800191,0.927264,7,3,0,1,1.1920000000000002,l,2018-10-07 10:00:00,0,0,1,0,-0.127073,196,19,268,17,1,5,2,5,-4.427024,8.518336000000001,13.688508,7.775054000000001,12.202077999999998,7,18,8.612400000000001,0,4,1,1,-0.1487510000000003,5.14798,5.296599,4.404698,4.553449,1,7,6.5192000000000005,Real Valladolid,0.277,0.361,0.362,a,0.848198,2.90806,0.848198,2.15121,2,7,1,0,0.2284999999999999,w,2018-09-30 14:15:00,1,0,0,3,-1.3030119999999998,287,13,202,29,2,2,3,9,-2.13812,7.003494,9.898464,7.003494,9.141614,6,6,7.221900000000001,2,1,2,8,-0.8491599999999998,6.461817999999999,8.067827999999999,6.461817999999999,7.310977999999999,6,5,5.9567000000000005,Villarreal,0.0402,0.1079,0.8519
8,h,0.264947,1.84992,0.264947,1.84992,4,4,0,2,0.1956999999999999,l,2018-10-21 16:30:00,0,0,1,0,-1.584973,234,35,255,30,1,6,2,5,-6.011997,8.783283,15.538428,8.040001,14.051997999999998,7,20,8.808100000000001,0,4,1,1,-2.1963040000000005,3.7452069999999993,5.941379,3.0019249999999995,5.198229,1,8,4.9612,Espanyol,0.0237,0.1246,0.8517,h,2.74615,1.59419,2.74615,1.59419,10,4,3,1,2.1127,w,2018-10-07 16:30:00,1,0,0,3,1.15196,217,30,294,20,4,2,2,14,3.2555499999999995,10.674616,7.419067,9.931337,6.675787,11,7,13.440100000000005,3,1,1,10,3.424219,7.4783,4.797361,7.4783,4.054081,7,4,8.9448,Villarreal,0.6362,0.2041,0.1597
9,a,1.01306,1.88431,1.01306,1.88431,5,9,1,2,0.6885,l,2018-10-28 18:45:00,0,0,1,0,-0.8712499999999999,327,18,191,16,1,7,2,5,-6.883247,9.796343,17.422738,9.053061,15.936307999999997,8,22,9.4966,0,4,1,1,-3.432452,4.192494,7.624814000000001,3.449212,6.881664000000001,2,9,3.9964,Sevilla,0.1497,0.2394,0.6109,a,1.89801,3.21948,1.89801,2.4762,8,8,2,4,0.6312,l,2018-10-20 18:45:00,0,0,1,0,-0.57819,289,28,225,21,5,3,1,16,5.634014,19.003329,14.855095,18.260049,12.626035,20,12,15.463299999999998,4,1,0,12,4.076224,11.814229999999998,8.481156,11.07095,6.994726,16,8,9.5578,Barcelona,0.1531,0.1719,0.675
10,h,1.31412,0.470822,1.31412,0.470822,4,7,1,1,2.061,d,2018-11-04 17:30:00,0,1,0,1,0.8432979999999999,85,20,137,17,1,7,3,6,-6.039949,11.110463,17.893559999999997,10.367181,16.407129999999995,9,23,11.5576,0,3,2,2,-1.93325,5.006218,6.939336,4.262936,6.196186,3,7,5.3201,Getafe,0.5919,0.2853,0.1228,h,2.5306,0.554027,2.5306,0.554027,8,5,2,0,2.7175,w,2018-10-28 10:00:00,1,0,0,3,1.976573,351,34,80,20,4,3,3,15,3.517625,12.031055,9.256712,12.031055,8.51343,10,8,15.4164,2,1,2,8,3.1437,6.3114360000000005,3.911018,6.3114360000000005,3.167736,6,4,8.5483,Real Betis,0.8724,0.1003,0.0273
11,a,0.980901,1.44304,0.980901,1.44304,5,7,1,2,0.9768,l,2018-11-11 11:00:00,0,0,1,0,-0.4621390000000001,174,19,174,27,1,8,3,6,-6.5020880000000005,12.091364,19.3366,11.348081999999998,17.850169999999995,10,25,12.534400000000002,0,4,1,1,-2.202137,4.373219,6.575356,4.373219,6.575356,3,8,5.114,Alaves,0.2235,0.3063,0.4702,a,0.596162,1.161,0.596162,1.161,2,12,1,2,0.8672,l,2018-11-04 11:00:00,0,0,1,0,-0.5648380000000001,209,14,84,25,6,3,2,20,-3.350735,11.168646,14.519377999999998,10.425364,13.776099,15,11,13.323,3,2,0,9,0.2031440000000001,5.433541999999999,5.230397999999999,5.433541999999999,5.230397999999999,6,5,6.976600000000001,Eibar,0.1842,0.3146,0.5012
