,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.26802,0.188265,1.26802,0.188265,7,2,0,1,2.383,l,2019-08-17 20:00:00,0,0,1,0,1.079755,167,26,177,18,0,1,0,0,1.079755,1.26802,0.188265,1.26802,0.188265,0,1,2.383,0,1,0,0,1.079755,1.26802,0.188265,1.26802,0.188265,0,1,2.383,Osasuna,0.713,0.244,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.379878,1.39426,0.379878,1.39426,10,7,0,1,0.4832999999999999,l,2019-08-25 18:00:00,0,0,1,0,-1.014382,293,27,144,14,0,2,0,0,0.0653729999999999,1.647898,1.582525,1.647898,1.582525,0,2,2.8663,0,2,0,0,0.0653729999999999,1.647898,1.582525,1.647898,1.582525,0,2,2.8663,Atletico Madrid,0.08,0.2433,0.6767,h,2.44678,0.333556,1.7035,0.333556,5,2,1,0,2.8418,w,2019-08-18 21:00:00,1,0,0,3,1.369944,131,19,243,21,1,0,0,3,1.369944,2.44678,0.333556,1.7035,0.333556,1,0,2.8418,1,0,0,3,1.369944,2.44678,0.333556,1.7035,0.333556,1,0,2.8418,Getafe,0.927,0.0608,0.0122
2,a,1.44559,2.52444,1.44559,2.52444,5,16,1,2,0.6577999999999999,l,2019-08-31 19:00:00,0,0,1,0,-1.07885,269,18,85,21,0,3,0,0,-1.013477,3.093488,4.106965,3.093488,4.106965,1,4,3.5241,0,3,0,0,-1.013477,3.093488,4.106965,3.093488,4.106965,1,4,3.5241,Real Betis,0.1512,0.2042,0.6446,a,0.145785,2.85088,0.145785,2.85088,0,23,2,5,0.063,l,2019-08-25 20:00:00,0,0,1,0,-2.705095,358,17,229,46,0,2,0,0,-2.201091,1.385815,3.586906,1.385815,3.586906,3,7,1.8848,0,2,0,0,-2.201091,1.385815,3.586906,1.385815,3.586906,3,7,1.8848,Barcelona,0.0055,0.0465,0.948
3,h,0.399916,1.83013,0.399916,1.83013,6,5,0,3,0.2919,l,2019-09-14 14:00:00,0,0,1,0,-1.430214,288,16,229,21,0,4,0,0,-2.4436910000000003,3.493404,5.937094999999999,3.493404,5.937094999999999,1,7,3.816,0,4,0,0,-2.4436910000000003,3.493404,5.937094999999999,3.493404,5.937094999999999,1,7,3.816,Villarreal,0.0454,0.1557,0.7989,h,2.13825,1.76659,2.13825,1.76659,4,7,2,2,1.6624,d,2019-09-01 20:00:00,0,1,0,1,0.3716600000000001,348,19,265,31,0,1,2,2,2.571877,6.8962900000000005,5.81071,6.15301,3.5811330000000003,7,8,4.8455,0,1,2,2,2.571877,6.8962900000000005,5.81071,6.15301,3.5811330000000003,7,8,4.8455,Real Madrid,0.4649,0.2677,0.2674
4,a,1.52139,1.66574,1.52139,0.922459,3,5,1,1,1.2285,d,2019-09-22 14:00:00,0,1,0,1,0.598931,301,26,153,17,0,4,1,1,-1.8447600000000004,5.014794,7.602834999999999,5.014794,6.859553999999999,2,8,5.044499999999999,0,4,1,1,-1.8447600000000004,5.014794,7.602834999999999,5.014794,6.859553999999999,2,8,5.044499999999999,Valencia,0.3185,0.273,0.4085,a,1.27064,2.61069,1.27064,2.61069,8,12,2,5,0.4851999999999999,l,2019-09-14 19:00:00,0,0,1,0,-1.34005,328,17,253,31,1,2,1,4,-2.339641,6.350641,7.94687,4.120809,6.46045,5,7,4.7617,1,2,1,4,-2.339641,6.350641,7.94687,4.120809,6.46045,5,7,4.7617,Barcelona,0.0985,0.1897,0.7118
5,h,0.496204,1.29281,0.496204,0.549662,4,2,1,1,0.5708,d,2019-09-25 17:00:00,0,1,0,1,-0.053458,343,23,156,31,0,4,2,2,-1.8982180000000004,5.510998,8.895644999999998,5.510998,7.409215999999999,3,9,5.6153,0,3,2,2,-2.977973,4.242978,8.707379999999999,4.242978,7.220950999999999,3,8,3.2322999999999995,Athletic Club,0.0993,0.2729,0.6278,h,1.9352,0.522331,1.19192,0.522331,5,1,2,0,2.523,w,2019-09-22 16:30:00,1,0,0,3,0.6695890000000001,201,22,316,30,3,0,2,11,0.4272730000000001,5.403115,4.232569000000001,3.916562,3.489289,6,1,7.822100000000001,3,0,2,11,0.4272730000000001,5.403115,4.232569000000001,3.916562,3.489289,6,1,7.822100000000001,Alaves,0.7828,0.1746,0.0426
6,a,0.989332,0.718298,0.989332,0.718298,2,6,0,1,1.5697,l,2019-09-28 16:30:00,0,0,1,0,0.271034,148,20,180,25,0,5,2,2,-1.6271840000000004,6.50033,9.613943,6.50033,8.127514,3,10,7.185,0,3,2,2,-1.692557,4.852431999999999,8.031418,4.852431999999999,6.544988999999999,3,8,4.3187,Granada,0.4087,0.3436,0.2477,a,0.650478,1.26726,0.650478,1.26726,3,2,1,1,0.7126,d,2019-09-24 17:00:00,0,1,0,1,-0.616782,194,26,222,22,3,1,2,11,0.17763,7.64697,6.72606,6.16041,5.98278,12,6,9.0175,3,1,1,10,0.1429699999999999,5.680289999999999,4.79404,4.93701,4.79404,8,2,7.6268,Real Valladolid,0.1277,0.3295,0.5428
7,h,3.28469,1.08538,2.48489,0.342101,7,4,1,2,2.7502,l,2019-10-05 12:00:00,0,0,1,0,2.142789,171,26,258,12,0,6,2,2,0.5156049999999996,9.78502,10.699323,8.98522,8.469615,4,12,9.9352,0,3,2,2,1.5290819999999998,6.6915320000000005,6.592358,5.891732,4.36265,3,8,6.411099999999999,Levante,0.8879,0.0865,0.0256,h,1.55287,0.758419,1.55287,0.758419,8,6,1,1,2.0988,d,2019-09-29 16:30:00,0,1,0,1,0.794451,197,23,175,23,2,3,2,8,-1.327595,12.632201000000002,12.473499,11.145904000000002,12.473499,8,9,10.2018,1,2,2,5,0.732211,9.695530000000002,8.963319,9.695530000000002,8.963319,6,7,7.8159,Osasuna,0.6179,0.2451,0.137
8,a,0.372249,1.0435,0.372249,1.0435,5,1,0,2,0.6174,l,2019-10-19 17:30:00,0,0,1,0,-0.671251,126,22,151,36,0,7,2,2,-0.1556460000000004,10.157269,11.742823,9.357469,9.513115,4,14,10.5526,0,3,2,2,2.2880450000000003,6.663865,5.805727999999999,5.864065,3.57602,3,7,6.736599999999999,Getafe,0.1021,0.3111,0.5868,a,0.86893,0.770489,0.86893,0.770489,3,2,2,1,1.4018,w,2019-10-06 17:30:00,1,0,0,3,0.098441,149,24,94,21,2,2,4,10,0.9822859999999998,10.381081,9.398806,8.894535000000001,7.912248999999999,12,12,11.2894,2,1,2,8,2.580801,8.80958,5.48551,7.323033999999999,4.742233000000001,10,9,9.0713,Real Sociedad,0.3458,0.3644,0.2898
9,h,1.7617,0.858516,1.7617,0.858516,1,3,1,0,2.1691000000000003,w,2019-10-26 15:00:00,1,0,0,3,0.903184,239,28,168,18,1,7,2,5,0.7475379999999997,11.918969,12.601339,11.119169,10.371631,5,14,12.7217,1,3,1,4,2.592298,6.904175,4.998504,6.104375,3.512077,3,6,7.677200000000001,Mallorca,0.6417,0.244,0.1143,h,0.245649,0.808026,0.245649,0.808026,1,8,1,0,0.736,w,2019-10-19 20:00:00,1,0,0,3,-0.562377,306,22,162,31,3,5,1,10,-1.443965,8.759492,13.176162,8.016212,9.460177,7,12,9.018200000000002,2,3,0,6,-2.974997,2.844557,7.305713999999999,2.844557,5.819553999999999,5,8,3.6622,Real Madrid,0.1076,0.4132,0.4792
