,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.68856,0.794158,1.68856,0.794158,3,6,2,1,2.076,w,2019-08-17 19:00:00,1,0,0,3,0.894402,258,17,153,22,1,0,0,3,0.894402,1.68856,0.794158,1.68856,0.794158,2,1,2.076,1,0,0,3,0.894402,1.68856,0.794158,1.68856,0.794158,2,1,2.076,Eibar,0.6106,0.2442,0.1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.871995,1.59382,0.871995,1.59382,6,7,0,1,0.7412000000000001,l,2019-08-25 16:00:00,0,0,1,0,-0.721825,351,21,139,17,1,1,0,3,0.1725769999999999,2.560555,2.387978,2.560555,2.387978,2,2,2.8172,1,1,0,3,0.1725769999999999,2.560555,2.387978,2.560555,2.387978,2,2,2.8172,Real Sociedad,0.1607,0.2591,0.5802,a,1.79528,2.31396,1.05213,1.57068,6,7,1,1,0.9553,d,2019-08-17 18:00:00,0,1,0,1,-0.5185500000000001,189,26,366,20,0,0,1,1,-0.5185500000000001,1.79528,2.31396,1.05213,1.57068,1,1,0.9553,0,0,1,1,-0.5185500000000001,1.79528,2.31396,1.05213,1.57068,1,1,0.9553,Valencia,0.2322,0.2587,0.5091
2,a,1.16388,2.09044,1.16388,0.603888,7,5,0,2,0.5479,l,2019-09-01 16:00:00,0,0,1,0,0.559992,251,25,255,19,1,2,0,3,0.732569,3.724435,4.478418,3.724435,2.991866,2,4,3.3651,1,2,0,3,0.732569,3.724435,4.478418,3.724435,2.991866,2,4,3.3651,Valencia,0.1047,0.2338,0.6615,a,0.675601,2.37702,0.675601,1.63375,11,8,0,1,0.2722,l,2019-08-24 20:00:00,0,0,1,0,-0.958149,310,29,227,12,0,1,1,1,-0.4395989999999999,2.989561,4.1723,2.246281,2.68588,1,2,2.0582,0,1,1,1,-0.4395989999999999,2.989561,4.1723,2.246281,2.68588,1,2,2.0582,Celta Vigo,0.0458,0.1348,0.8194
3,h,2.1905,1.39203,1.44722,0.648757,5,3,0,0,1.9909,d,2019-09-13 19:00:00,0,1,0,1,0.7984629999999999,179,19,140,24,1,2,1,4,1.531032,5.914935,5.870448,5.171655,3.640623,2,4,5.356,1,2,1,4,1.531032,5.914935,5.870448,5.171655,3.640623,2,4,5.356,Athletic Club,0.5803,0.25,0.1697,h,1.16451,0.217717,1.16451,0.217717,5,5,2,0,2.254,w,2019-08-30 21:00:00,1,0,0,3,0.946793,318,35,149,18,2,0,1,7,0.556147,2.075885,1.519738,2.075885,1.519738,4,1,4.54,2,0,1,7,0.556147,2.075885,1.519738,2.075885,1.519738,4,1,4.54,Real Sociedad,0.6542,0.2914,0.0544
4,a,0.726341,2.70951,0.726341,1.96624,1,13,2,4,0.2037,l,2019-09-22 10:00:00,0,0,1,0,-1.239899,93,18,137,20,1,3,1,4,0.2911330000000001,6.641276,8.579958,5.897995999999999,5.606863,4,8,5.5597,1,3,1,4,0.2911330000000001,6.641276,8.579958,5.897995999999999,5.606863,4,8,5.5597,Getafe,0.0323,0.1068,0.8609,a,1.49492,1.00209,0.751644,0.258813,8,1,1,1,1.7656999999999998,d,2019-09-15 19:00:00,0,1,0,1,0.4928309999999999,240,39,80,13,0,1,3,3,-1.105684,3.066421,4.915386,2.323145,3.428829,3,4,3.9838,0,1,3,3,-1.105684,3.066421,4.915386,2.323145,3.428829,3,4,3.9838,Real Betis,0.4714,0.3515,0.1771
5,h,0.673477,1.21545,0.673477,1.21545,3,10,0,2,0.9073,l,2019-09-25 17:00:00,0,0,1,0,-0.5419729999999999,280,14,227,26,1,4,1,4,-0.2508399999999998,7.314753,9.795408,6.571472999999999,6.822312999999999,4,10,6.4670000000000005,0,4,1,1,-1.145242,5.626193,9.00125,4.882912999999999,6.028155,2,9,4.391,Atletico Madrid,0.1992,0.3097,0.4911,h,1.71994,0.582564,1.71994,0.582564,10,3,0,0,2.3054,d,2019-09-21 16:30:00,0,1,0,1,1.1373760000000002,247,27,215,12,3,1,1,10,3.4640760000000004,8.43983,4.232474,7.69655,4.232474,5,4,10.2562,3,1,1,10,3.4640760000000004,8.43983,4.232474,7.69655,4.232474,5,4,10.2562,Celta Vigo,0.6954,0.2192,0.0854
6,a,0.16946,1.84115,0.16946,1.09826,2,6,0,2,0.1462,l,2019-09-29 14:00:00,0,0,1,0,-0.9288,259,23,172,22,1,5,1,4,-1.17964,7.484213,11.636558,6.740932999999999,7.920572999999999,4,12,6.613200000000001,0,4,1,1,-1.352217,4.923658,9.24858,4.180378,5.532595,2,10,3.796,Alaves,0.0137,0.1051,0.8812,a,0.195935,3.80899,0.195935,2.32244,1,11,0,3,0.0177,l,2019-09-26 19:00:00,0,0,1,0,-2.126505,278,22,213,23,1,3,2,5,-2.73191,3.864276,8.826016,3.864276,6.596185999999999,2,7,5.845099999999999,0,3,2,2,-2.556839,3.180116,7.966785,3.180116,5.736955,1,7,4.6852,Real Sociedad,0.0017,0.0126,0.9857
7,h,1.02963,0.731578,1.02963,0.731578,1,5,2,0,1.669,w,2019-10-06 11:00:00,1,0,0,3,0.2980520000000001,402,21,190,28,2,5,1,7,-0.8815879999999999,8.513843,12.368136000000002,7.770562999999999,8.652151,6,12,8.282200000000001,1,3,1,4,-1.6141569999999996,4.789408,7.889717999999999,4.046128,5.660284999999999,4,8,4.9171,Espanyol,0.4444,0.3358,0.2198,h,0.947178,2.13178,0.947178,1.38863,9,6,0,2,0.5236,l,2019-09-29 10:00:00,0,0,1,0,-0.441452,176,30,269,20,1,4,2,5,-2.7888850000000005,6.449316,9.981351,6.449316,9.238201,4,12,7.2493,1,3,1,4,-0.0178660000000001,6.143976,6.904992,6.143976,6.161842,4,10,6.4891000000000005,Real Valladolid,0.1117,0.1885,0.6998
8,h,0.245649,0.808026,0.245649,0.808026,1,8,1,0,0.736,w,2019-10-19 20:00:00,1,0,0,3,-0.562377,306,22,162,31,3,5,1,10,-1.443965,8.759492,13.176162,8.016212,9.460177,7,12,9.018200000000002,2,3,0,6,-2.974997,2.844557,7.305713999999999,2.844557,5.819553999999999,5,8,3.6622,Real Madrid,0.1076,0.4132,0.4792,h,2.7833,1.6065,2.7833,0.863224,6,3,4,2,2.1954,w,2019-10-05 15:00:00,1,0,0,3,1.920076,166,20,276,30,5,0,3,18,6.317067,15.192267,9.618476,15.192267,8.875200000000001,16,8,14.861399999999998,4,0,1,13,5.697267,9.700467,4.746476,9.700467,4.0032,10,4,10.323099999999998,Granada,0.6635,0.2049,0.1316
9,a,0.858516,1.7617,0.858516,1.7617,3,1,0,1,0.5869,l,2019-10-26 15:00:00,0,0,1,0,-0.903184,168,18,239,28,3,6,1,10,-2.347149,9.618008,14.937862,8.874728,11.221877,7,13,9.605100000000002,2,3,0,6,-2.638282,2.976732,6.357904,2.976732,5.615014,3,5,4.0454,Leganes,0.1143,0.244,0.6417,a,0.372249,1.0435,0.372249,1.0435,5,1,0,2,0.6174,l,2019-10-19 17:30:00,0,0,1,0,-0.671251,126,22,151,36,0,7,2,2,-0.1556460000000004,10.157269,11.742823,9.357469,9.513115,4,14,10.5526,0,3,2,2,2.2880450000000003,6.663865,5.805727999999999,5.864065,3.57602,3,7,6.736599999999999,Getafe,0.1021,0.3111,0.5868
