,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.736026,1.24003,0.736026,1.24003,2,3,2,1,0.8815999999999999,w,2019-08-18 20:00:00,1,0,0,3,-0.504004,244,30,262,11,1,0,0,3,-0.504004,0.736026,1.24003,0.736026,1.24003,2,1,0.8815999999999999,1,0,0,3,-0.504004,0.736026,1.24003,0.736026,1.24003,2,1,0.8815999999999999,Real Betis,0.195,0.2966,0.5084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.22209,1.72798,1.22209,1.72798,2,13,1,1,1.0106,d,2019-08-24 18:00:00,0,1,0,1,-0.5058900000000002,341,18,193,25,1,0,1,4,-1.009894,1.958116,2.96801,1.958116,2.96801,3,2,1.8922,1,0,1,4,-1.009894,1.958116,2.96801,1.958116,2.96801,3,2,1.8922,Real Madrid,0.2473,0.2687,0.484,a,1.99723,1.51166,1.99723,1.51166,8,5,3,1,1.7477,w,2019-08-17 16:00:00,1,0,0,3,0.48557,324,23,216,19,1,0,0,3,0.48557,1.99723,1.51166,1.99723,1.51166,3,1,1.7477,1,0,0,3,0.48557,1.99723,1.51166,1.99723,1.51166,3,1,1.7477,Celta Vigo,0.4953,0.2618,0.2429
2,a,1.02789,2.77857,1.02789,2.77857,7,8,0,2,0.2657,l,2019-08-31 18:00:00,0,0,1,0,-1.7506800000000002,167,19,185,21,1,1,1,4,-2.760574,2.986006,5.74658,2.986006,5.74658,3,4,2.1579,1,1,1,4,-2.760574,2.986006,5.74658,2.986006,5.74658,3,4,2.1579,Levante,0.0477,0.1226,0.8297,h,2.07744,2.82602,0.591143,2.82602,2,9,2,1,0.9146,w,2019-08-23 21:00:00,1,0,0,3,-2.234877,257,26,198,18,1,1,0,3,-2.059806,2.936671,3.51018,1.450374,3.51018,2,2,2.3859000000000004,1,1,0,3,-2.059806,2.936671,3.51018,1.450374,3.51018,2,2,2.3859000000000004,Villarreal,0.227,0.2336,0.5394
3,h,0.790606,2.68375,0.790606,2.68375,3,10,1,1,0.2215,d,2019-09-15 16:30:00,0,1,0,1,-1.893144,214,20,201,20,1,1,2,5,-4.653718,3.776612,8.43033,3.776612,8.43033,4,5,2.3793999999999995,1,1,2,5,-4.653718,3.776612,8.43033,3.776612,8.43033,4,5,2.3793999999999995,Osasuna,0.0369,0.1108,0.8523,h,1.7305,0.360967,0.987222,0.360967,5,2,2,2,2.5305,d,2019-08-31 16:00:00,0,1,0,1,0.626255,396,33,82,20,1,0,2,5,-0.249237,2.775198,2.281157,2.03192,2.281157,3,2,4.4399,1,0,2,5,-0.249237,2.775198,2.281157,2.03192,2.281157,3,2,4.4399,Barcelona,0.7883,0.1656,0.0461
4,a,0.434119,2.03561,0.434119,1.29233,1,6,0,2,0.2531,l,2019-09-21 11:00:00,0,0,1,0,-0.8582110000000001,292,18,195,39,1,2,2,5,-5.511928999999999,4.210731,10.46594,4.210731,9.72266,4,7,2.6324999999999994,1,2,2,5,-5.511928999999999,4.210731,10.46594,4.210731,9.72266,4,7,2.6324999999999994,Villarreal,0.0365,0.1436,0.8199,a,1.83013,0.399916,1.83013,0.399916,5,6,3,0,2.5524,w,2019-09-14 14:00:00,1,0,0,3,1.430214,229,21,288,16,1,1,2,5,4.002091,8.726420000000001,6.210626,7.983140000000001,3.981049000000001,10,8,7.3979,1,1,2,5,4.002091,8.726420000000001,6.210626,7.983140000000001,3.981049000000001,10,8,7.3979,Leganes,0.7989,0.1557,0.0454
5,h,1.26726,0.650478,1.26726,0.650478,2,3,1,1,1.9579,d,2019-09-24 17:00:00,0,1,0,1,0.616782,222,22,194,26,1,2,3,6,-4.895147,5.477991,11.116418,5.477991,10.373138,5,8,4.590399999999999,0,2,3,3,-4.3911430000000005,4.741965,9.876388,4.741965,9.133108,3,7,3.7088,Granada,0.5428,0.3295,0.1277,h,1.87283,0.557709,1.12955,0.557709,2,10,2,0,2.5958999999999994,w,2019-09-21 19:00:00,1,0,0,3,0.571841,383,26,116,22,3,1,1,10,0.7944120000000001,6.996492,5.4588,5.509932,4.71552,11,5,8.3049,3,1,1,10,0.7944120000000001,6.996492,5.4588,5.509932,4.71552,11,5,8.3049,Barcelona,0.817,0.1449,0.0381
6,a,2.13178,0.947178,1.38863,0.947178,6,9,2,0,2.2879,w,2019-09-29 10:00:00,1,0,0,3,0.441452,269,20,176,30,2,2,3,9,-4.453695,7.609771,12.063596,6.866621,11.320315999999998,7,8,6.878299999999999,1,2,2,5,-3.443801,5.651655,9.095586,4.908505,8.352305999999999,4,6,4.9861,Espanyol,0.6998,0.1885,0.1117,a,1.50653,1.1247,1.50653,1.1247,7,9,1,1,1.6744,d,2019-09-26 18:00:00,0,1,0,1,0.3818299999999999,380,25,235,27,1,3,2,5,-2.3474330000000005,5.502138,7.849571,5.502138,7.849571,4,10,6.7257,1,2,2,5,-0.0928720000000001,5.356259,5.449131,5.356259,5.449131,4,8,6.672499999999999,Celta Vigo,0.4637,0.2833,0.253
7,h,0.969549,0.768197,0.226787,0.768197,2,5,0,0,1.5313,d,2019-10-06 15:00:00,0,1,0,1,-0.5414100000000001,231,17,204,29,2,2,4,10,-4.995105,8.579320000000001,12.831793,7.093408,12.088513,7,8,8.4096,1,1,3,6,-2.234531,5.593314,7.085213,4.107402,6.341932999999999,4,4,6.2517,Atletico Madrid,0.3775,0.3988,0.2237,h,0.819412,0.379757,0.819412,0.379757,4,4,0,0,1.7816,d,2019-09-28 19:00:00,0,1,0,1,0.439655,308,22,239,26,4,1,2,14,4.445704,10.474692,5.285708,9.731412,5.285708,7,4,13.820799999999998,2,1,2,8,2.0613780000000004,6.633652,4.572273999999999,6.633652,4.572273999999999,5,4,8.7056,Real Madrid,0.4663,0.3827,0.151
8,a,0.672979,1.50554,0.672979,1.50554,3,1,1,1,0.7131000000000001,d,2019-10-20 17:30:00,0,1,0,1,-0.8325610000000001,252,18,217,24,2,2,5,11,-5.827666,9.252299,14.337333,7.766387,13.594053,8,9,9.1227,1,1,3,6,-1.1739480000000002,5.475687,5.907003,3.989775,5.163723,4,4,6.7433,Athletic Club,0.1497,0.264,0.5863,a,0.127135,1.91529,0.127135,1.91529,3,4,0,1,0.1616,l,2019-10-06 13:00:00,0,0,1,0,-1.788155,283,23,127,9,3,2,3,12,-2.3643939999999994,7.87154,8.749513,5.641839,8.006233,7,4,10.7392,1,2,2,5,-2.920540999999999,5.795655000000001,7.229774999999999,3.565954,6.486495,3,3,6.199199999999999,Celta Vigo,0.0118,0.1262,0.862
9,h,1.95496,0.395075,1.95496,0.395075,2,4,2,0,2.691,w,2019-10-26 17:30:00,1,0,0,3,1.559885,261,18,134,22,3,2,5,14,-4.267780999999999,11.207259,14.732408,9.721347,13.989128,10,9,11.8137,2,0,3,9,1.244148,6.996528,4.266468000000001,5.510616,4.266468000000001,6,2,9.1812,Eibar,0.8585,0.1155,0.026,h,0.212797,1.72534,0.212797,1.72534,4,10,0,3,0.2344,l,2019-10-19 12:00:00,0,0,1,0,-1.5125430000000002,373,23,231,18,2,4,3,9,-5.892769499999999,8.114013,13.263506,6.627459000000001,12.520228499999998,10,13,7.9368,2,1,2,8,-2.7532524999999994,5.251977000000001,7.261952999999999,3.765423,6.5186755,6,6,5.261799999999999,Barcelona,0.0272,0.1528,0.82
10,a,1.2024,3.77856,1.2024,3.77856,2,12,1,5,0.1547,l,2019-10-29 20:15:00,0,0,1,0,-2.57616,337,26,242,23,3,3,5,14,-6.843940999999999,12.409659,18.510968,10.923747,17.767688,11,14,11.9684,2,1,2,8,-1.9487940000000004,6.931667999999999,7.39455,5.445756,7.39455,6,6,7.378,Barcelona,0.0266,0.0749,0.8985,h,3.77856,1.2024,3.77856,1.2024,12,2,5,1,2.7704,w,2019-10-29 20:15:00,1,0,0,3,2.57616,242,23,337,26,7,2,1,22,7.206938000000001,17.275861,11.555481,17.275861,10.068922999999998,28,11,16.978599999999997,5,0,0,15,3.780808,9.859405,6.078597,9.859405,6.078597,16,2,9.3285,Real Valladolid,0.8985,0.0749,0.0266
11,h,1.96371,0.590538,1.22043,0.590538,6,6,3,0,2.4548,w,2019-11-03 11:00:00,1,0,0,3,0.6298919999999999,203,27,195,27,4,3,5,17,-6.214048999999999,14.373369000000002,19.101506,12.144177,18.358226,14,14,14.4232,2,1,2,8,-1.7603540000000004,6.763598,7.03791,5.277556000000001,7.03791,7,6,7.544899999999999,Mallorca,0.7612,0.1712,0.0676,h,2.15631,0.869837,0.669752,0.869837,7,4,2,2,2.3777000000000004,d,2019-10-31 18:00:00,0,1,0,1,-0.2000849999999999,231,14,181,15,3,6,2,11,-2.547234,11.774318,15.807699,9.54448,12.091714,9,15,11.982800000000005,2,2,1,7,-2.2963940000000003,4.459565,6.012290999999999,2.973007,5.269401,5,5,5.5158000000000005,Osasuna,0.7325,0.1802,0.0873
12,a,0.280826,2.8505,0.280826,2.10722,2,7,0,3,0.0395,l,2019-11-09 12:00:00,0,0,1,0,-1.826394,163,21,215,27,4,4,5,17,-8.040443,14.654195,21.952006,12.425002999999998,20.465446,14,17,14.462700000000002,2,2,1,7,-3.045338,6.0748750000000005,9.120213,5.331595,8.376933000000001,7,9,6.0531,Alaves,0.0032,0.0299,0.9669,a,1.45796,3.87668,0.714682,2.39012,6,8,2,4,0.1848,l,2019-11-03 15:00:00,0,0,1,0,-1.675438,212,27,132,21,3,6,3,12,-5.271505,11.754717,19.999596,10.268549,15.540054,11,18,12.643199999999997,1,3,1,4,-3.468395,6.049290999999999,11.00412,5.306012999999999,8.774408,7,11,4.0494,Osasuna,0.0356,0.078,0.8864
