,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.93202,1.96668,1.18874,1.2234,6,2,4,4,1.3313,d,2019-08-17 20:00:00,0,1,0,1,-0.0346600000000001,194,23,295,23,0,0,1,1,-0.0346600000000001,1.93202,1.96668,1.18874,1.2234,4,4,1.3313,0,0,1,1,-0.0346600000000001,1.93202,1.96668,1.18874,1.2234,4,4,1.3313,Granada,0.3511,0.278,0.3709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,2.82602,2.07744,2.82602,0.591143,9,2,1,2,1.8518,l,2019-08-23 21:00:00,0,0,1,0,2.234877,198,18,257,26,0,1,1,1,2.200217,4.75804,4.04412,4.01476,1.814543,5,6,3.1831,0,1,1,1,2.200217,4.75804,4.04412,4.01476,1.814543,5,6,3.1831,Levante,0.5394,0.2336,0.227,a,0.859231,0.68416,0.859231,0.68416,3,3,0,1,1.4713,l,2019-08-18 16:00:00,0,0,1,0,0.1750709999999999,113,23,263,20,0,1,0,0,0.1750709999999999,0.859231,0.68416,0.859231,0.68416,0,1,1.4713,0,1,0,0,0.1750709999999999,0.859231,0.68416,0.859231,0.68416,0,1,1.4713,Alaves,0.3675,0.3688,0.2637
2,h,2.13825,1.76659,2.13825,1.76659,4,7,2,2,1.6624,d,2019-09-01 20:00:00,0,1,0,1,0.3716600000000001,348,19,265,31,0,1,2,2,2.571877,6.8962900000000005,5.81071,6.15301,3.5811330000000003,7,8,4.8455,0,1,2,2,2.571877,6.8962900000000005,5.81071,6.15301,3.5811330000000003,7,8,4.8455,Real Madrid,0.4649,0.2677,0.2674,h,1.72798,1.22209,1.72798,1.22209,13,2,1,1,1.7207,d,2019-08-24 18:00:00,0,1,0,1,0.5058900000000002,193,25,341,18,1,0,1,4,0.9914600000000002,3.72521,2.73375,3.72521,2.73375,4,2,3.4684,1,0,1,4,0.9914600000000002,3.72521,2.73375,3.72521,2.73375,4,2,3.4684,Real Valladolid,0.484,0.2687,0.2473
3,a,1.83013,0.399916,1.83013,0.399916,5,6,3,0,2.5524,w,2019-09-14 14:00:00,1,0,0,3,1.430214,229,21,288,16,1,1,2,5,4.002091,8.726420000000001,6.210626,7.983140000000001,3.981049000000001,10,8,7.3979,1,1,2,5,4.002091,8.726420000000001,6.210626,7.983140000000001,3.981049000000001,10,8,7.3979,Leganes,0.7989,0.1557,0.0454,a,1.44559,2.52444,1.44559,2.52444,5,16,1,2,0.6577999999999999,l,2019-08-31 19:00:00,0,0,1,0,-1.07885,269,18,85,21,0,3,0,0,-1.013477,3.093488,4.106965,3.093488,4.106965,1,4,3.5241,0,3,0,0,-1.013477,3.093488,4.106965,3.093488,4.106965,1,4,3.5241,Real Betis,0.1512,0.2042,0.6446
4,h,2.03561,0.434119,1.29233,0.434119,6,1,2,0,2.6033,w,2019-09-21 11:00:00,1,0,0,3,0.8582110000000001,195,39,292,18,2,1,2,8,4.860302,10.76203,6.644745,9.27547,4.415168,12,8,10.0012,2,1,2,8,4.860302,10.76203,6.644745,9.27547,4.415168,12,8,10.0012,Real Valladolid,0.8199,0.1436,0.0365,h,0.790606,2.68375,0.790606,2.68375,3,10,1,1,0.2215,d,2019-09-15 16:30:00,0,1,0,1,-1.893144,214,20,201,20,1,1,2,5,-4.653718,3.776612,8.43033,3.776612,8.43033,4,5,2.3793999999999995,1,1,2,5,-4.653718,3.776612,8.43033,3.776612,8.43033,4,5,2.3793999999999995,Osasuna,0.0369,0.1108,0.8523
5,a,0.54607,0.643865,0.54607,0.643865,4,15,1,2,1.1797,l,2019-09-24 19:00:00,0,0,1,0,-0.0977949999999999,348,27,302,22,2,2,2,8,4.762507,11.3081,7.28861,9.82154,5.059033,13,10,11.1809,2,2,1,7,4.797167000000001,9.376080000000002,5.32193,8.632800000000001,3.835633,9,6,9.8496,Barcelona,0.2525,0.4222,0.3253,a,0.557709,1.87283,0.557709,1.12955,10,2,0,2,0.2592,l,2019-09-21 19:00:00,0,0,1,0,-0.571841,116,22,383,26,2,2,1,7,3.42613,7.416456,5.476884,7.416456,3.990326,12,9,7.650099999999999,2,2,1,7,3.42613,7.416456,5.476884,7.416456,3.990326,12,9,7.650099999999999,Granada,0.0381,0.1449,0.817
6,h,2.95644,0.667105,2.21316,0.667105,5,7,5,1,2.7459,w,2019-09-27 19:00:00,1,0,0,3,1.546055,286,29,213,19,3,2,2,11,6.308562,14.264540000000002,7.955715,12.0347,5.726138000000001,18,11,13.926800000000002,3,1,1,10,4.108345,9.5065,3.911595,8.01994,3.911595,13,5,10.7437,Real Betis,0.8878,0.0825,0.0297,h,2.73836,1.93984,2.73836,1.93984,14,6,3,1,1.9511,w,2019-09-24 18:00:00,1,0,0,3,0.7985200000000001,232,22,284,12,2,2,2,8,-2.682999,7.984978,10.667976,7.241701,9.9247,9,10,7.0474,2,1,2,8,-3.187003,6.744948,9.93195,6.001671,9.188674,8,8,5.2256,Levante,0.578,0.2171,0.2049
7,a,2.52105,1.13814,2.52105,1.13814,5,10,1,2,2.3506,l,2019-10-05 20:00:00,0,0,1,0,1.38291,217,15,242,18,3,3,2,11,7.691472,16.785590000000003,9.093855,14.55575,6.8642780000000005,19,13,16.2774,3,2,0,9,5.119595,9.8893,3.283145,8.402740000000001,3.283145,12,5,11.4319,Osasuna,0.7231,0.1813,0.0956,a,0.758419,1.55287,0.758419,1.55287,6,8,1,1,0.6561,d,2019-09-29 16:30:00,0,1,0,1,-0.794451,175,23,197,23,1,1,5,8,0.8434429999999999,8.532777,6.9460560000000005,7.789499,6.9460560000000005,5,6,10.5677,0,1,4,4,1.7189349999999997,7.488079,5.025866000000001,6.744801,5.025866000000001,4,6,8.6583,Levante,0.137,0.2451,0.6179
8,a,1.64809,0.746222,1.64809,0.746222,3,6,1,0,2.166,w,2019-10-20 15:00:00,1,0,0,3,0.901868,188,19,217,31,4,3,2,14,8.59334,18.433680000000003,9.840077,16.20384,7.610500000000001,20,13,18.4434,3,2,0,9,4.591249,9.707260000000002,3.629451,8.2207,3.629451,10,5,11.0455,Espanyol,0.6452,0.2304,0.1244,a,0.731578,1.02963,0.731578,1.02963,5,1,0,2,0.9952,l,2019-10-06 11:00:00,0,0,1,0,-0.2980520000000001,190,28,402,21,1,5,2,5,-3.0869370000000007,7.180894,11.010981,7.180894,10.267831,4,14,8.2445,1,3,1,4,-0.0741080000000001,5.532314,6.349572,5.532314,5.606422,4,9,6.3267,Mallorca,0.2198,0.3358,0.4444
9,h,2.56098,0.591294,2.56098,0.591294,5,1,4,1,2.6623,w,2019-10-25 20:00:00,1,0,0,3,1.969686,146,20,330,25,5,3,2,17,10.563026,20.994660000000003,10.431371,18.76482,8.201794000000001,24,14,21.1057,3,2,0,9,5.702724,10.23263,3.786626,9.489349999999998,3.786626,12,6,11.1045,Alaves,0.8513,0.1084,0.0403,h,2.08309,1.1334,2.08309,1.1334,8,7,2,0,2.0955,w,2019-10-20 11:00:00,1,0,0,3,0.94969,352,36,169,18,3,4,2,11,-0.3439680000000003,9.262716,11.836776,8.519826,8.863793999999999,7,9,11.852199999999998,2,3,0,6,-0.4081520000000003,6.116706000000001,8.75495,5.373816,5.781968,5,7,6.3272,Celta Vigo,0.6232,0.2259,0.1509
