,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.17642,0.341233,1.17642,0.341233,1,4,0,1,2.3667,l,2020-09-13 12:00:00,0,0,1,0,0.835187,214,25,179,18,0,1,0,0,0.835187,1.17642,0.341233,1.17642,0.341233,0,1,2.3667,0,1,0,0,0.835187,1.17642,0.341233,1.17642,0.341233,0,1,2.3667,Real Betis,0.7103,0.2358,0.0539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.77021,2.45453,0.77021,2.45453,2,3,1,2,0.2271,l,2020-09-20 16:30:00,0,0,1,0,-1.68432,195,16,129,23,0,2,0,0,-0.849133,1.94663,2.795763,1.94663,2.795763,1,3,2.5938,0,2,0,0,-0.849133,1.94663,2.795763,1.94663,2.795763,1,3,2.5938,Granada,0.032,0.1311,0.8369,h,0.545144,0.483337,0.545144,0.483337,2,3,2,0,1.3898,w,2020-09-12 16:30:00,1,0,0,3,0.0618069999999999,287,16,150,22,1,0,0,3,0.0618069999999999,0.545144,0.483337,0.545144,0.483337,2,0,1.3898,1,0,0,3,0.0618069999999999,0.545144,0.483337,0.545144,0.483337,2,0,1.3898,Athletic Club,0.3131,0.4505,0.2364
2,h,0.867165,1.31111,0.867165,1.31111,3,2,0,0,0.9693,d,2020-09-26 11:00:00,0,1,0,1,-0.443945,148,23,113,13,0,2,1,1,-1.293078,2.813795,4.106873,2.813795,4.106873,1,3,3.5631,0,2,1,1,-1.293078,2.813795,4.106873,2.813795,4.106873,1,3,3.5631,Getafe,0.2251,0.294,0.4809,a,1.31111,0.867165,1.31111,0.867165,2,3,0,0,1.7367,d,2020-09-26 11:00:00,0,1,0,1,0.443945,113,13,148,23,1,0,1,4,0.660194,2.013825,1.353631,2.013825,1.353631,1,0,3.2736,1,0,1,4,0.660194,2.013825,1.353631,2.013825,1.353631,1,0,3.2736,Alaves,0.4809,0.294,0.2251
3,a,0.618672,2.65908,0.618672,1.9158,3,6,1,3,0.1291999999999999,l,2020-09-30 17:00:00,0,0,1,0,-1.2971279999999998,359,33,224,30,0,3,1,1,-2.590206,3.432467,6.765953,3.432467,6.022673,2,6,3.6923,0,3,1,1,-2.590206,3.432467,6.765953,3.432467,6.022673,2,6,3.6923,Villarreal,0.0169,0.0785,0.9046,a,0.244835,3.50735,0.244835,2.76408,6,17,0,4,0.0328,l,2020-09-27 19:00:00,0,0,1,0,-2.519245,383,20,314,21,1,1,1,4,0.0814719999999997,5.256825,5.175353,4.513555,4.432083,3,6,5.0793,1,1,1,4,0.0814719999999997,5.256825,5.175353,4.513555,4.432083,3,6,5.0793,Barcelona,0.0037,0.0217,0.9746
4,h,0.520642,0.487749,0.520642,0.487749,3,4,1,0,1.3192,w,2020-10-04 12:00:00,1,0,0,3,0.032893,246,25,126,26,1,3,1,4,-2.557313,3.953109,7.253702,3.953109,6.510422,3,6,5.0115,1,3,1,4,-2.557313,3.953109,7.253702,3.953109,6.510422,3,6,5.0115,Athletic Club,0.2885,0.4537,0.2578,a,0.487749,0.520642,0.487749,0.520642,4,3,0,1,1.2271,l,2020-10-04 12:00:00,0,0,1,0,-0.032893,126,26,246,25,1,3,0,3,0.366981,2.021758,1.6547770000000002,2.021758,1.6547770000000002,2,5,5.3842,1,3,0,3,0.366981,2.021758,1.6547770000000002,2.021758,1.6547770000000002,2,5,5.3842,Alaves,0.2578,0.4537,0.2885
5,h,0.90822,0.902261,0.90822,0.902261,9,1,0,2,1.3134,l,2020-10-18 16:30:00,0,0,1,0,0.005959,330,35,234,19,1,4,1,4,-2.551354,4.861329,8.155963,4.861329,7.412683,3,8,6.3249,1,3,1,4,-3.386541,3.684909,7.814730000000001,3.684909,7.0714500000000005,3,7,3.9582,Elche,0.3228,0.345,0.3322,h,0.165573,1.23519,0.165573,1.23519,1,8,2,1,0.3325,w,2020-10-23 19:00:00,1,0,0,3,-1.069617,285,18,308,27,3,1,1,10,-3.923414,2.8715,8.281469999999999,2.8715,6.794914,5,4,2.7078,3,1,1,10,-3.923414,2.8715,8.281469999999999,2.8715,6.794914,5,4,2.7078,Valencia,0.0327,0.2344,0.7329
6,a,2.3128,0.305213,1.56953,0.305213,4,5,2,0,2.7896,w,2020-10-25 13:00:00,1,0,0,3,1.264317,170,15,252,13,2,4,1,7,-1.2870369999999998,7.174129,8.461176,6.430859,7.717896,5,8,9.1145,2,2,1,7,-0.4379039999999996,5.227499,5.665413,4.484229,4.9221330000000005,4,5,6.5207,Real Valladolid,0.9031,0.0803,0.0166,a,0.907963,1.25439,0.164685,1.25439,0,2,2,2,1.0451,d,2020-10-18 16:30:00,0,1,0,1,-1.089705,323,32,109,11,0,3,3,3,-4.280937999999999,5.216622999999999,8.754280000000001,2.986791,7.267729,5,9,5.9252,0,3,2,2,-4.827368999999999,4.358412,8.442499999999999,2.1285800000000004,6.955949,4,8,3.9757,SD Huesca,0.2325,0.3476,0.4199
7,h,1.11324,2.07747,1.11324,2.07747,0,24,1,1,0.6778,d,2020-10-31 20:00:00,0,1,0,1,-0.96423,382,18,100,17,2,4,2,8,-2.2512669999999995,8.287369,10.538646,7.544099,9.795366,6,9,9.7923,2,2,1,7,-0.9581889999999996,5.473574,6.431773,4.730304,5.688493,5,6,6.229199999999999,Barcelona,0.1408,0.2554,0.6038,h,4.44487,0.86991,2.95831,0.86991,19,4,5,2,2.9277,w,2020-11-07 15:15:00,1,0,0,3,2.0884,274,25,296,15,3,2,2,11,4.504264,14.217469,8.969805999999998,11.987639,7.483375,15,8,11.7415,1,2,2,5,1.621531,9.77843,8.15677,8.29187,6.670339,8,8,7.073,Real Betis,0.9677,0.0246,0.0077
8,a,1.01595,1.99148,1.01595,1.99148,3,17,1,1,0.6385000000000001,d,2020-11-08 17:30:00,0,1,0,1,-0.97553,239,24,97,29,2,4,3,9,-3.2267969999999995,9.303319,12.530126,8.560049,11.786846,7,10,10.4308,2,1,2,8,-0.6365909999999997,5.870852,5.764173,5.127582,5.764173,5,4,6.7385,Levante,0.1371,0.2272,0.6357,h,1.99148,1.01595,1.99148,1.01595,17,3,1,1,2.1343,d,2020-11-08 17:30:00,0,1,0,1,0.97553,97,29,239,24,1,4,3,6,-0.3983609999999999,10.597753,9.509566,9.111205,9.509566,8,13,11.653199999999998,0,2,3,3,-1.899404,4.856369,6.012495,4.113091,6.012495,3,7,6.3103,Alaves,0.6357,0.2272,0.1371
9,h,1.82668,1.79824,1.0834,1.79824,2,9,2,2,1.3991,d,2020-11-22 20:00:00,0,1,0,1,-0.7148400000000001,302,29,113,17,2,4,4,10,-3.941637,11.129999,14.328366,9.643449,13.585086,9,12,11.8299,1,1,3,6,-1.384324,7.17689,7.074663999999999,5.690340000000001,7.074663999999999,6,6,6.8184,Valencia,0.3744,0.2759,0.3497,h,2.34693,1.05824,0.117097,1.05824,2,14,4,1,2.4174,w,2020-11-08 20:00:00,1,0,0,3,-0.941143,275,22,182,27,3,4,2,11,-5.869543,9.819108,13.458942,6.846125000000001,12.715668,15,14,10.0291,1,3,1,4,-2.791825,6.494267000000001,7.056383,3.521284,6.313109000000001,8,9,6.7038,Real Madrid,0.749,0.1704,0.0806
