,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.600934,0.633286,0.600934,0.633286,4,5,0,2,1.246,l,2020-09-12 19:00:00,0,0,1,0,-0.032352,140,21,182,27,0,1,0,0,-0.032352,0.600934,0.633286,0.600934,0.633286,0,2,1.246,0,1,0,0,-0.032352,0.600934,0.633286,0.600934,0.633286,0,2,1.246,Osasuna,0.2773,0.4141,0.3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.50522,0.223846,1.50522,0.223846,1,0,2,0,2.692,w,2020-09-20 14:00:00,1,0,0,3,1.281374,408,34,103,28,1,1,0,3,1.249022,2.106154,0.857132,2.106154,0.857132,2,2,3.938,1,1,0,3,1.249022,2.106154,0.857132,2.106154,0.857132,2,2,3.938,SD Huesca,0.8535,0.1315,0.015,a,0.556003,2.01913,0.556003,1.27586,3,11,1,1,0.3495,d,2020-09-13 16:30:00,0,1,0,1,-0.719857,278,21,163,29,0,0,1,1,-0.719857,0.556003,2.01913,0.556003,1.27586,1,1,0.3495,0,0,1,1,-0.719857,0.556003,2.01913,0.556003,1.27586,1,1,0.3495,Villarreal,0.06,0.1695,0.7705
2,h,1.0983,2.2102,1.0983,2.2102,3,13,1,3,0.6369999999999999,l,2020-09-27 19:00:00,0,0,1,0,-1.1119,501,16,79,23,1,2,0,3,0.1371220000000002,3.204454,3.067332,3.204454,3.067332,3,5,4.575,1,2,0,3,0.1371220000000002,3.204454,3.067332,3.204454,3.067332,3,5,4.575,Sevilla,0.141,0.214,0.645,h,1.04729,0.375244,1.04729,0.375244,8,0,1,0,1.9492,w,2020-10-01 17:00:00,1,0,0,3,0.672046,169,26,327,25,2,0,0,6,1.7839459999999998,3.25749,1.473544,3.25749,1.473544,4,1,4.0982,2,0,0,6,1.7839459999999998,3.25749,1.473544,3.25749,1.473544,4,1,4.0982,Levante,0.5345,0.3457,0.1198
3,a,0.263675,0.545027,0.263675,0.545027,4,5,1,0,0.9416,w,2020-10-01 17:00:00,1,0,0,3,-0.281352,243,21,66,15,2,2,0,6,-0.1442299999999998,3.468129,3.612359,3.468129,3.612359,4,5,5.5166,2,2,0,6,-0.1442299999999998,3.468129,3.612359,3.468129,3.612359,4,5,5.5166,Athletic Club,0.1459,0.5039,0.3502,h,0.545027,0.263675,0.545027,0.263675,5,4,0,1,1.5545,l,2020-10-01 17:00:00,0,0,1,0,0.281352,66,15,243,21,1,2,0,3,0.3998740000000001,1.5340090000000002,1.134135,1.5340090000000002,1.134135,2,4,4.1571,1,2,0,3,0.3998740000000001,1.5340090000000002,1.134135,1.5340090000000002,1.134135,2,4,4.1571,Cadiz,0.3502,0.5039,0.1459
4,h,1.09095,0.820558,1.09095,0.820558,1,4,1,1,1.5995,d,2020-10-04 16:30:00,0,1,0,1,0.2703920000000001,248,26,140,35,2,2,1,7,0.1261620000000002,4.5590790000000005,4.432917,4.5590790000000005,4.432917,5,6,7.1161,2,2,1,7,0.1261620000000002,4.5590790000000005,4.432917,4.5590790000000005,4.432917,5,6,7.1161,Granada,0.4235,0.329,0.2475,a,0.820558,1.09095,0.820558,1.09095,4,1,1,1,1.0715,d,2020-10-04 16:30:00,0,1,0,1,-0.2703920000000001,140,35,248,26,2,1,1,7,0.0726849999999997,5.125382,5.948977,5.125382,5.052697,6,8,5.3065,2,1,1,7,0.0726849999999997,5.125382,5.948977,5.125382,5.052697,6,8,5.3065,Cadiz,0.2475,0.329,0.4235
5,a,1.768,1.1359,1.768,1.1359,2,10,1,0,1.8448,w,2020-10-17 16:30:00,1,0,0,3,0.6321000000000001,330,14,78,12,3,2,1,10,0.7582620000000003,6.327079,5.568816999999999,6.327079,5.568816999999999,6,6,8.9609,3,1,1,10,0.7906140000000003,5.726145,4.935531,5.726145,4.935531,6,4,7.7149,Real Madrid,0.5294,0.2566,0.214,h,1.1359,1.768,1.1359,1.768,10,2,0,1,0.8986000000000001,l,2020-10-17 16:30:00,0,0,1,0,-0.6321000000000001,78,12,330,14,3,1,1,10,4.531524,10.293089,5.018285,9.549809,5.018285,6,3,10.1525,3,1,1,10,4.531524,10.293089,5.018285,9.549809,5.018285,6,3,10.1525,Cadiz,0.214,0.2566,0.5294
6,h,0.20914,0.752296,0.20914,0.752296,4,4,0,0,0.6477999999999999,d,2020-10-25 15:00:00,0,1,0,1,-0.543156,489,20,89,18,3,2,2,11,0.2151060000000003,6.536219,6.321113,6.536219,6.321113,6,6,9.6087,2,1,2,8,-1.0339159999999996,4.430065,5.463981,4.430065,5.463981,4,4,5.6707,Villarreal,0.0841,0.3955,0.5204,h,1.59975,0.677588,0.856476,0.677588,11,1,2,1,2.16,w,2020-10-18 14:00:00,1,0,0,3,0.178888,207,20,306,21,3,1,2,11,1.1489939999999996,9.717163,7.081615,7.487338999999999,6.338345,8,8,10.8268,3,1,1,10,0.4291369999999999,7.698033,6.525612000000001,6.211478999999999,5.782342,7,7,8.3458,Valencia,0.6398,0.2406,0.1196
7,a,0.932416,0.466935,0.932416,0.466935,3,3,2,0,1.8337,w,2020-10-30 20:00:00,1,0,0,3,0.465481,348,16,75,16,4,2,2,14,0.6805870000000004,7.468635,6.788048,7.468635,6.788048,8,6,11.4424,3,0,2,11,0.5434650000000002,4.264181000000001,3.720716,4.264181000000001,3.720716,5,1,6.867400000000001,Eibar,0.4944,0.3505,0.1551,a,0.198368,1.98558,0.198368,1.98558,2,5,1,0,0.1491,w,2020-10-24 16:30:00,1,0,0,3,-1.7872119999999998,422,27,119,23,2,3,2,8,-4.645643,5.102873000000001,9.005239,3.616316,8.261959,5,6,6.886999999999999,2,2,1,7,-2.325138,3.646865,5.228726,2.160308,4.485446,4,4,5.762899999999999,Sevilla,0.0139,0.1074,0.8787
8,a,0.395983,2.62556,0.395983,2.62556,1,8,0,4,0.1574,l,2020-11-07 20:00:00,0,0,1,0,-2.229577,475,21,194,21,4,3,2,14,-1.5489899999999994,7.864618,9.413608,7.864618,9.413608,8,10,11.599800000000002,2,1,2,8,-1.4047599999999996,4.396489000000001,5.801249,4.396489000000001,5.801249,4,5,6.083200000000001,Atletico Madrid,0.0251,0.0821,0.8928,h,0.812108,1.29964,0.812108,1.29964,8,7,1,0,0.9303,w,2020-11-21 20:00:00,1,0,0,3,-0.4875319999999998,306,15,280,15,6,0,2,20,4.706937,15.26445,8.174673,12.88161,8.174673,18,2,15.5264,5,0,0,15,1.734915,9.257558,6.0360830000000005,7.770998,6.0360830000000005,12,1,8.8077,Barcelona,0.2109,0.2976,0.4915
9,h,0.0824748,1.90588,0.0824748,1.90588,0,4,0,1,0.1343,l,2020-11-22 15:15:00,0,0,1,0,-1.8234052,323,27,100,23,4,4,2,14,-3.3723952,7.9470928,11.319488,7.9470928,11.319488,8,11,11.734100000000002,2,2,1,7,-3.4985572,3.3880137999999995,6.886571,3.3880137999999995,6.886571,3,5,4.617999999999999,Real Sociedad,0.0077,0.1112,0.8811,h,3.72416,0.780649,2.23023,0.0377568,18,0,2,0,2.9187,w,2020-11-08 15:15:00,1,0,0,3,2.1924732,101,15,314,16,6,1,2,20,5.774000200000001,16.571317999999998,7.816318,12.104276,6.3302758,20,4,17.6646,5,0,0,15,5.2250182,11.57837,4.115632000000001,7.854608000000001,2.6295898,16,2,12.048,Granada,0.9614,0.0345,0.0041
