,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.783653,0.344008,0.783653,0.344008,2,1,0,0,1.7989,d,2020-09-12 14:00:00,0,1,0,1,0.439645,115,22,119,27,0,0,1,1,0.439645,0.783653,0.344008,0.783653,0.344008,0,0,1.7989,0,0,1,1,0.439645,0.783653,0.344008,0.783653,0.344008,0,0,1.7989,Eibar,0.4695,0.3904,0.1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.33534,0.456643,2.33534,0.456643,8,2,2,1,2.6887000000000003,w,2020-09-19 19:00:00,1,0,0,3,1.878697,207,22,247,28,1,0,1,4,2.318342,3.118993,0.800651,3.118993,0.800651,2,1,4.4876000000000005,1,0,1,4,2.318342,3.118993,0.800651,3.118993,0.800651,2,1,4.4876000000000005,Valencia,0.8596,0.1099,0.0305,h,1.72531,2.37179,1.72531,2.37179,4,5,4,2,0.9055,w,2020-09-13 19:00:00,1,0,0,3,-0.6464799999999999,261,18,218,22,1,0,0,3,-0.6464799999999999,1.72531,2.37179,1.72531,2.37179,4,2,0.9055,1,0,0,3,-0.6464799999999999,1.72531,2.37179,1.72531,2.37179,4,2,0.9055,Levante,0.2184,0.2503,0.5313
2,a,1.08307,1.52483,1.08307,0.781556,3,3,1,1,0.9605,d,2020-09-27 16:30:00,0,1,0,1,0.3015139999999999,171,26,163,40,1,0,2,5,2.619856,4.202063,2.325481,4.202063,1.582207,3,2,5.4481,1,0,2,5,2.619856,4.202063,2.325481,4.202063,1.582207,3,2,5.4481,Real Valladolid,0.2169,0.3098,0.4733,a,0.290702,1.76775,0.290702,1.02448,2,1,0,2,0.251,l,2020-09-20 16:30:00,0,0,1,0,-0.733778,253,28,205,30,0,1,1,1,-0.1873470000000001,1.148913,2.07953,1.148913,1.33626,1,3,2.2005,0,1,1,1,-0.1873470000000001,1.148913,2.07953,1.148913,1.33626,1,3,2.2005,Real Betis,0.0328,0.1526,0.8146
3,h,0.568201,0.931689,0.568201,0.931689,5,7,0,3,0.9211,l,2020-10-01 19:30:00,0,0,1,0,-0.363488,283,37,203,18,1,1,2,5,2.256368,4.770264,3.25717,4.770264,2.513896,3,5,6.3692,1,1,2,5,2.256368,4.770264,3.25717,4.770264,2.513896,3,5,6.3692,Barcelona,0.1884,0.3559,0.4557,h,1.05717,1.25522,1.05717,1.25522,3,2,1,1,1.1629,d,2020-10-04 19:00:00,0,1,0,1,-0.19805,380,24,370,33,2,0,1,7,2.684683,5.496209,2.068256,4.752939,2.068256,8,1,5.8314,2,0,1,7,2.684683,5.496209,2.068256,4.752939,2.068256,8,1,5.8314,Sevilla,0.2852,0.3073,0.4075
4,a,0.360866,1.12188,0.360866,1.12188,8,6,0,2,0.5939,l,2020-10-04 10:00:00,0,0,1,0,-0.761014,116,21,250,35,1,2,2,5,1.4953540000000003,5.13113,4.379049999999999,5.13113,3.635776,3,7,6.9631,1,2,2,5,1.4953540000000003,5.13113,4.379049999999999,5.13113,3.635776,3,7,6.9631,Osasuna,0.0978,0.3005,0.6017,h,1.12188,0.360866,1.12188,0.360866,6,8,2,0,2.1056,w,2020-10-04 10:00:00,1,0,0,3,0.761014,250,35,116,21,2,2,0,6,-0.949492,2.966103,4.658865,2.966103,3.915595,5,4,4.627800000000001,2,2,0,6,-0.949492,2.966103,4.658865,2.966103,3.915595,5,4,4.627800000000001,Celta Vigo,0.6017,0.3005,0.0978
5,h,1.89737,1.51399,1.89737,1.51399,12,7,0,2,1.646,l,2020-10-17 14:00:00,0,0,1,0,0.38338,249,18,257,27,1,3,2,5,1.8787340000000003,7.028499999999999,5.893039999999999,7.028499999999999,5.149766,3,9,8.6091,1,3,1,4,1.4390889999999998,6.244847,5.549032,6.244847,4.805758,3,9,6.8102,Atletico Madrid,0.464,0.254,0.282,h,1.24304,1.01541,1.24304,1.01541,8,5,2,0,1.5124,w,2020-10-24 19:00:00,1,0,0,3,0.22763,318,29,203,29,3,0,2,11,2.816272,8.763921999999999,5.05137,7.867641999999999,5.05137,10,1,9.3311,3,0,2,11,2.816272,8.763921999999999,5.05137,7.867641999999999,5.05137,10,1,9.3311,Real Betis,0.4005,0.3109,0.2886
6,a,0.818389,1.19249,0.818389,0.449212,3,10,1,1,0.9463,d,2020-10-26 20:00:00,0,1,0,1,0.369177,269,32,175,29,1,3,3,6,2.247911,7.846888999999999,7.085529999999999,7.846888999999999,5.598978,4,10,9.5554,0,3,2,2,-0.0704309999999999,4.727896,6.284879,4.727896,4.7983270000000005,2,9,5.0678,Levante,0.2028,0.3379,0.4593,h,1.19249,0.818389,0.449212,0.818389,10,3,1,1,1.7157999999999998,d,2020-10-26 20:00:00,0,1,0,1,-0.369177,175,29,269,32,1,4,1,4,-1.956593,7.792685,8.26273,6.3061370000000005,8.26273,6,11,7.639699999999999,1,3,1,4,-2.603073,5.420895000000001,6.53742,3.934347,6.53742,4,7,5.7955000000000005,Celta Vigo,0.4593,0.3379,0.2028
7,h,2.12312,2.27628,1.37997,2.27628,5,7,1,4,1.2354,l,2020-11-01 15:00:00,0,0,1,0,-0.8963099999999999,297,39,243,38,1,4,3,6,1.3516010000000005,9.970009,9.361809999999998,9.226859,7.875258,5,14,10.7908,0,4,1,1,-1.268255,5.767946,7.036329,5.024796,6.293051,2,12,5.342700000000001,Real Sociedad,0.3175,0.2829,0.3996,h,1.79773,0.591473,1.05446,0.591473,16,2,4,1,2.3632,w,2020-10-25 20:00:00,1,0,0,3,0.4629869999999999,248,28,241,16,4,1,2,14,2.685217,10.570878,4.912548999999999,7.597765999999999,4.912548999999999,14,3,13.2642,4,1,0,12,3.282598,9.540979,3.285269,6.567867000000001,3.285269,13,2,11.3177,SD Huesca,0.7155,0.2167,0.0678
8,a,2.15551,1.6055,2.15551,0.862223,9,4,1,1,1.7571000000000003,d,2020-11-06 20:00:00,0,1,0,1,1.293287,305,35,288,24,1,4,4,7,2.6448880000000003,12.125519,10.967309999999998,11.382369,8.737480999999999,6,15,12.547900000000002,0,3,2,2,0.3885200000000002,7.355255,7.71014,6.612105,6.223585,3,10,6.1787,Elche,0.5006,0.2553,0.2441,a,0.832435,0.902091,0.832435,0.902091,4,11,1,1,1.2713,d,2020-11-21 13:00:00,0,1,0,1,-0.0696559999999999,201,15,341,35,3,2,3,12,-7.129705,5.787687,14.403690999999998,5.04441,12.174115,8,9,5.0604000000000005,2,1,2,8,-4.281867000000001,3.984021,8.265631,3.2407440000000003,7.522611000000001,7,6,4.0267,Levante,0.306,0.3533,0.3407
9,a,2.08172,2.22603,2.08172,2.22603,3,5,2,4,1.2816,l,2020-11-21 17:30:00,0,0,1,0,-0.1443100000000003,267,25,230,22,1,5,4,7,2.500578,14.207238999999998,13.193339999999996,13.464088999999998,10.963511,8,19,13.829500000000005,0,3,2,2,1.005224,9.076109,8.81429,8.332958999999999,7.327735,5,12,6.8664000000000005,Sevilla,0.3419,0.2559,0.4022,a,1.69981,0.167609,1.69981,0.167609,11,2,1,0,2.6534,w,2020-11-28 17:30:00,1,0,0,3,1.532201,154,22,336,17,5,3,1,16,4.7882810000000005,13.425051,7.893488,12.681769,7.893488,12,8,16.6543,3,2,0,9,3.1944840000000005,8.21333,4.275563999999999,7.470048000000001,4.275563999999999,7,5,10.0803,SD Huesca,0.8371,0.1421,0.0208
