,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.344008,0.783653,0.344008,0.783653,1,2,0,0,0.8107,d,2020-09-12 14:00:00,0,1,0,1,-0.439645,119,27,115,22,0,0,1,1,-0.439645,0.344008,0.783653,0.344008,0.783653,0,0,0.8107,0,0,1,1,-0.439645,0.344008,0.783653,0.344008,0.783653,0,0,0.8107,Celta Vigo,0.1401,0.3904,0.4695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.112,2.99286,1.112,2.99286,1,6,1,2,0.3134,l,2020-09-19 14:00:00,0,0,1,0,-1.88086,259,29,145,19,0,1,1,1,-2.320505,1.4560080000000002,3.776513,1.4560080000000002,3.776513,1,2,1.1241,0,1,1,1,-2.320505,1.4560080000000002,3.776513,1.4560080000000002,3.776513,1,2,1.1241,Villarreal,0.0641,0.1211,0.8148,h,2.01913,0.556003,1.27586,0.556003,11,3,1,1,2.481,d,2020-09-13 16:30:00,0,1,0,1,0.719857,163,29,278,21,0,0,1,1,0.719857,2.01913,0.556003,1.27586,0.556003,1,1,2.481,0,0,1,1,0.719857,2.01913,0.556003,1.27586,0.556003,1,1,2.481,SD Huesca,0.7705,0.1695,0.06
2,h,0.325316,0.505645,0.325316,0.505645,0,5,1,2,1.0496,l,2020-09-27 12:00:00,0,0,1,0,-0.180329,159,27,133,18,0,2,1,1,-2.500834,1.781324,4.282158,1.781324,4.282158,2,4,2.1737,0,2,1,1,-2.500834,1.781324,4.282158,1.781324,4.282158,2,4,2.1737,Athletic Club,0.1807,0.5075,0.3118,a,0.505645,0.325316,0.505645,0.325316,5,0,2,1,1.4428999999999998,w,2020-09-27 12:00:00,1,0,0,3,0.180329,133,18,159,27,1,1,0,3,0.118522,0.988982,0.87046,0.988982,0.87046,2,3,2.6026,1,1,0,3,0.118522,0.988982,0.87046,0.988982,0.87046,2,3,2.6026,Eibar,0.3118,0.5075,0.1807
3,h,1.06052,0.378171,0.317244,0.378171,6,4,0,1,2.1293,l,2020-09-30 19:30:00,0,0,1,0,-0.0609269999999999,168,42,256,20,0,3,1,1,-2.561761,2.841844,4.660329,2.098568,4.660329,2,5,4.302999999999999,0,3,1,1,-2.561761,2.841844,4.660329,2.098568,4.660329,2,5,4.302999999999999,Elche,0.6092,0.3017,0.0891,h,0.188885,1.70374,0.188885,1.70374,0,12,0,0,0.238,d,2020-10-03 16:30:00,0,1,0,1,-1.514855,239,23,355,46,1,1,1,4,-2.8478380000000003,1.803666,6.138059999999999,1.803666,4.651504,1,3,1.0337,1,1,1,4,-2.8478380000000003,1.803666,6.138059999999999,1.803666,4.651504,1,3,1.0337,SD Huesca,0.0251,0.1627,0.8122
4,a,1.6913,1.09473,0.948019,0.35145,2,3,2,1,1.9036,w,2020-10-03 11:00:00,1,0,0,3,0.5965689999999999,169,22,136,17,1,3,1,4,-1.965192,4.533144,5.755059,3.046587,5.011779,4,6,6.206599999999999,1,3,1,4,-1.965192,4.533144,5.755059,3.046587,5.011779,4,6,6.206599999999999,Real Valladolid,0.5323,0.3067,0.161,a,0.540187,2.64599,0.540187,2.64599,2,9,0,1,0.1602,l,2020-09-30 19:30:00,0,0,1,0,-2.105803,337,19,157,14,0,2,2,2,-2.594664,3.21393,5.808590000000001,2.470656,5.06532,2,5,4.0904,0,2,2,2,-2.594664,3.21393,5.808590000000001,2.470656,5.06532,2,5,4.0904,Real Madrid,0.0256,0.0834,0.891
5,h,0.371361,1.2646,0.371361,1.2646,3,6,0,0,0.5313000000000001,d,2020-10-18 10:00:00,0,1,0,1,-0.8932389999999999,135,13,132,22,1,3,2,5,-2.8584309999999995,4.904505,7.019659,3.417948,6.276379,4,6,6.737899999999999,1,3,1,4,-2.418786,4.560497,6.236006,3.07394,5.492725999999999,4,6,5.927199999999999,Osasuna,0.0898,0.2619,0.6483,a,1.2646,0.371361,1.2646,0.371361,6,3,0,0,2.2068000000000003,d,2020-10-18 10:00:00,0,1,0,1,0.8932389999999999,132,22,135,13,2,2,1,7,-0.0562530000000002,4.230703,5.030226,4.230703,4.286956,5,4,6.834600000000001,2,2,1,7,-0.0562530000000002,4.230703,5.030226,4.230703,4.286956,5,4,6.834600000000001,Eibar,0.6483,0.2619,0.0898
6,a,0.198368,1.98558,0.198368,1.98558,2,5,1,0,0.1491,w,2020-10-24 16:30:00,1,0,0,3,-1.7872119999999998,422,27,119,23,2,3,2,8,-4.645643,5.102873000000001,9.005239,3.616316,8.261959,5,6,6.886999999999999,2,2,1,7,-2.325138,3.646865,5.228726,2.160308,4.485446,4,4,5.762899999999999,Sevilla,0.0139,0.1074,0.8787,a,1.15091,1.32876,1.15091,1.32876,6,3,1,2,1.1655,l,2020-10-31 15:00:00,0,0,1,0,-0.1778499999999998,179,28,270,20,2,3,1,7,3.203159,8.348211000000001,5.145052,8.348211000000001,5.145052,6,6,10.483,1,3,1,4,2.091259,6.1380110000000005,4.046752,6.1380110000000005,4.046752,3,5,8.334,Athletic Club,0.2853,0.3096,0.4051
7,h,0.466935,0.932416,0.466935,0.932416,3,3,0,2,0.8157999999999999,l,2020-10-30 20:00:00,0,0,1,0,-0.465481,75,16,348,16,2,4,2,8,-5.111124,5.569808000000001,9.937655,4.083251,9.194375,5,8,7.702799999999998,2,2,1,7,-2.61029,3.788484,5.655497,2.301927,4.912217,3,4,5.5291,Cadiz,0.1551,0.3505,0.4944,h,0.20914,0.752296,0.20914,0.752296,4,4,0,0,0.6477999999999999,d,2020-10-25 15:00:00,0,1,0,1,-0.543156,489,20,89,18,3,2,2,11,0.2151060000000003,6.536219,6.321113,6.536219,6.321113,6,6,9.6087,2,1,2,8,-1.0339159999999996,4.430065,5.463981,4.430065,5.463981,4,4,5.6707,Villarreal,0.0841,0.3955,0.5204
8,a,0.839508,2.23211,0.839508,2.23211,1,2,1,1,0.3596,d,2020-11-07 13:00:00,0,1,0,1,-1.392602,299,43,158,23,2,4,3,9,-6.503726,6.409316000000001,12.169765,4.922759,11.426485,6,9,8.062399999999998,2,1,2,8,-3.941965,3.5674719999999995,7.509435999999999,2.824191,6.7661560000000005,4,4,3.7594,SD Huesca,0.0577,0.1865,0.7558,a,0.79915,2.23898,0.79915,2.23898,0,9,1,4,0.4185999999999999,l,2020-10-31 13:00:00,0,0,1,0,-1.4398300000000002,370,18,307,33,0,3,5,5,-1.6598779999999995,6.866714,10.75641,6.866714,8.526592,6,14,8.1284,0,2,3,3,-0.458735,4.980685,6.925967999999999,4.980685,5.43942,4,10,5.5349,Real Madrid,0.0809,0.1759,0.7432
9,h,1.45225,0.352628,1.45225,0.352628,7,3,0,0,2.362,d,2020-11-22 13:00:00,0,1,0,1,1.099622,85,15,122,23,2,4,4,10,-5.404104,7.861566000000002,12.522393,6.375009,11.779113,6,9,10.4244,1,1,3,6,-3.438912,3.328422,6.767334000000001,3.328422,6.767334000000001,2,3,4.2178,Getafe,0.7142,0.2194,0.0664,a,0.352628,1.45225,0.352628,1.45225,3,7,0,0,0.4185999999999999,d,2020-11-22 13:00:00,0,1,0,1,-1.099622,122,23,85,15,3,3,3,12,-0.0676290000000001,9.547074,11.101259,8.803923,8.871552,8,9,11.727,1,2,2,5,-0.0553569999999998,6.309317999999999,7.107951000000001,5.566167,5.621524,4,6,6.4819,Eibar,0.0664,0.2194,0.7142
