,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.23661,3.3738,1.23661,2.63052,2,13,0,3,0.2266999999999999,l,2020-09-26 16:30:00,0,0,1,0,-1.3939100000000002,260,11,221,29,0,1,0,0,-1.3939100000000002,1.23661,3.3738,1.23661,2.63052,0,3,0.2266999999999999,0,1,0,0,-1.3939100000000002,1.23661,3.3738,1.23661,2.63052,0,3,0.2266999999999999,Real Sociedad,0.037,0.1157,0.8473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.378171,1.06052,0.378171,0.317244,4,6,1,0,0.569,w,2020-09-30 19:30:00,1,0,0,3,0.0609269999999999,256,20,168,42,1,1,0,3,-1.3329830000000005,1.614781,4.43432,1.614781,2.9477640000000003,1,3,0.7957,1,1,0,3,-1.3329830000000005,1.614781,4.43432,1.614781,2.9477640000000003,1,3,0.7957,Eibar,0.0891,0.3017,0.6092,h,0.344008,0.783653,0.344008,0.783653,1,2,0,0,0.8107,d,2020-09-12 14:00:00,0,1,0,1,-0.439645,119,27,115,22,0,0,1,1,-0.439645,0.344008,0.783653,0.344008,0.783653,0,0,0.8107,0,0,1,1,-0.439645,0.344008,0.783653,0.344008,0.783653,0,0,0.8107,Celta Vigo,0.1401,0.3904,0.4695
2,h,0.188885,1.70374,0.188885,1.70374,0,12,0,0,0.238,d,2020-10-03 16:30:00,0,1,0,1,-1.514855,239,23,355,46,1,1,1,4,-2.8478380000000003,1.803666,6.138059999999999,1.803666,4.651504,1,3,1.0337,1,1,1,4,-2.8478380000000003,1.803666,6.138059999999999,1.803666,4.651504,1,3,1.0337,SD Huesca,0.0251,0.1627,0.8122,h,0.223846,1.50522,0.223846,1.50522,0,1,0,2,0.1765,l,2020-09-20 14:00:00,0,0,1,0,-1.281374,103,28,408,34,0,1,1,1,-2.001231,0.779849,3.52435,0.779849,2.78108,1,3,0.526,0,1,1,1,-2.001231,0.779849,3.52435,0.779849,2.78108,1,3,0.526,Cadiz,0.015,0.1315,0.8535
3,a,0.902261,0.90822,0.902261,0.90822,1,9,2,0,1.3416,w,2020-10-18 16:30:00,1,0,0,3,-0.005959,234,19,330,35,2,1,1,7,-2.853797,2.705927,7.046279999999999,2.705927,5.559724,3,3,2.3753,2,1,1,7,-2.853797,2.705927,7.046279999999999,2.705927,5.559724,3,3,2.3753,Alaves,0.3322,0.345,0.3228,h,0.867165,1.31111,0.867165,1.31111,3,2,0,0,0.9693,d,2020-09-26 11:00:00,0,1,0,1,-0.443945,148,23,113,13,0,2,1,1,-1.293078,2.813795,4.106873,2.813795,4.106873,1,3,3.5631,0,2,1,1,-1.293078,2.813795,4.106873,2.813795,4.106873,1,3,3.5631,Getafe,0.2251,0.294,0.4809
4,h,0.165573,1.23519,0.165573,1.23519,1,8,2,1,0.3325,w,2020-10-23 19:00:00,1,0,0,3,-1.069617,285,18,308,27,3,1,1,10,-3.923414,2.8715,8.281469999999999,2.8715,6.794914,5,4,2.7078,3,1,1,10,-3.923414,2.8715,8.281469999999999,2.8715,6.794914,5,4,2.7078,Valencia,0.0327,0.2344,0.7329,a,0.836796,0.589249,0.836796,0.589249,4,12,1,0,1.6146,w,2020-09-29 17:00:00,1,0,0,3,0.2475469999999999,238,21,151,21,2,1,1,7,-3.077718,3.324841,6.402558999999999,3.324841,6.402558999999999,7,5,3.3253000000000004,2,1,1,7,-3.077718,3.324841,6.402558999999999,3.324841,6.402558999999999,7,5,3.3253000000000004,Real Sociedad,0.4139,0.3729,0.2132
5,a,0.478252,3.06462,0.478252,2.3216,2,13,1,3,0.0937,l,2020-11-01 13:00:00,0,0,1,0,-1.843348,408,14,333,38,3,2,1,10,-5.766762,3.349752,11.346089999999998,3.349752,9.116514,6,7,2.8015000000000003,3,1,1,10,-4.372852,2.113142,7.972290000000001,2.113142,6.485994,6,4,2.5748,Real Betis,0.0124,0.0565,0.9311,a,1.87508,0.475219,1.87508,0.475219,7,3,2,0,2.4666,w,2020-10-03 19:00:00,1,0,0,3,1.399861,243,30,197,20,3,2,0,9,-0.87384,5.84155,6.715400000000001,5.09828,5.97212,7,6,6.485799999999999,3,2,0,9,-0.87384,5.84155,6.715400000000001,5.09828,5.97212,7,6,6.485799999999999,Valencia,0.7601,0.1863,0.0536
6,h,1.6055,2.15551,0.862223,2.15551,4,9,1,1,0.9876,d,2020-11-06 20:00:00,0,1,0,1,-1.293287,288,24,305,35,3,2,2,11,-7.060049,4.955252,13.501599999999998,4.211975,11.272024,7,8,3.7891,2,1,2,8,-5.727066000000001,3.340471,9.06728,2.597194,8.32426,6,5,2.9934,Celta Vigo,0.2441,0.2553,0.5006,h,1.89737,1.51399,1.89737,1.51399,12,7,0,2,1.646,l,2020-10-17 14:00:00,0,0,1,0,0.38338,249,18,257,27,1,3,2,5,1.8787340000000003,7.028499999999999,5.893039999999999,7.028499999999999,5.149766,3,9,8.6091,1,3,1,4,1.4390889999999998,6.244847,5.549032,6.244847,4.805758,3,9,6.8102,Atletico Madrid,0.464,0.254,0.282
7,a,0.832435,0.902091,0.832435,0.902091,4,11,1,1,1.2713,d,2020-11-21 13:00:00,0,1,0,1,-0.0696559999999999,201,15,341,35,3,2,3,12,-7.129705,5.787687,14.403690999999998,5.04441,12.174115,8,9,5.0604000000000005,2,1,2,8,-4.281867000000001,3.984021,8.265631,3.2407440000000003,7.522611000000001,7,6,4.0267,Levante,0.306,0.3533,0.3407,a,0.813588,0.230886,0.813588,0.230886,15,4,1,1,1.8792,d,2020-11-01 17:30:00,0,1,0,1,0.5827019999999999,86,17,211,6,1,4,2,5,-1.373891,8.606273,8.493616,7.119725000000001,8.493616,7,12,9.5189,0,3,2,2,-3.54698,3.240133,6.043835,2.496855,6.043835,2,7,4.8811,Granada,0.4859,0.4215,0.0926
8,h,0.0867292,0.678171,0.0867292,0.678171,2,1,1,1,0.5632,d,2020-11-28 13:00:00,0,1,0,1,-0.5914417999999999,247,22,270,29,3,2,4,13,-7.7211468,5.8744162,15.081862,5.1311392,12.852286,9,10,5.623600000000001,1,1,3,6,-4.8673498,3.1684892,8.035582000000002,2.4252122000000003,7.292562000000001,6,7,3.2483000000000004,Cadiz,0.0377,0.4501,0.5122,a,0.932416,0.466935,0.932416,0.466935,3,3,2,0,1.8337,w,2020-10-30 20:00:00,1,0,0,3,0.465481,348,16,75,16,4,2,2,14,0.6805870000000004,7.468635,6.788048,7.468635,6.788048,8,6,11.4424,3,0,2,11,0.5434650000000002,4.264181000000001,3.720716,4.264181000000001,3.720716,5,1,6.867400000000001,Eibar,0.4944,0.3505,0.1551
9,a,0.0544723,0.520422,0.0544723,0.520422,0,9,0,0,0.6707,d,2020-12-06 17:30:00,0,1,0,1,-0.4659497,301,16,272,35,3,2,5,14,-8.1870965,5.928888499999999,15.602284,5.185611499999999,13.372708,9,10,6.294300000000001,0,1,4,4,-4.263682500000001,3.0573885,7.320813999999999,2.3141115,6.577794,4,6,3.5865,Villarreal,0.0314,0.5765,0.3921,a,2.32114,0.55465,2.32114,0.55465,8,7,3,1,2.6323,w,2020-11-08 13:00:00,1,0,0,3,1.76649,142,12,306,42,5,1,3,18,4.514867,14.640739,8.639318000000001,12.410915,7.896047999999999,13,9,17.6467,3,0,2,11,3.136267,6.724834,2.845293,5.98156,2.845293,7,2,9.7751,Getafe,0.8374,0.1201,0.0425
