,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.545144,0.483337,0.545144,0.483337,2,3,2,0,1.3898,w,2020-09-12 16:30:00,1,0,0,3,0.0618069999999999,287,16,150,22,1,0,0,3,0.0618069999999999,0.545144,0.483337,0.545144,0.483337,2,0,1.3898,1,0,0,3,0.0618069999999999,0.545144,0.483337,0.545144,0.483337,2,0,1.3898,Athletic Club,0.3131,0.4505,0.2364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.45453,0.77021,2.45453,0.77021,3,2,2,1,2.6418,w,2020-09-20 16:30:00,1,0,0,3,1.68432,129,23,195,16,2,0,0,6,1.746127,2.999674,1.253547,2.999674,1.253547,4,1,4.0316,2,0,0,6,1.746127,2.999674,1.253547,2.999674,1.253547,4,1,4.0316,Alaves,0.8369,0.1311,0.032,h,1.17642,0.341233,1.17642,0.341233,1,4,0,1,2.3667,l,2020-09-13 12:00:00,0,0,1,0,0.835187,214,25,179,18,0,1,0,0,0.835187,1.17642,0.341233,1.17642,0.341233,0,1,2.3667,0,1,0,0,0.835187,1.17642,0.341233,1.17642,0.341233,0,1,2.3667,Real Betis,0.7103,0.2358,0.0539
2,a,1.30515,3.60448,1.30515,2.7082,4,14,1,6,0.2034,l,2020-09-27 14:00:00,0,0,1,0,-1.40305,297,30,194,28,2,1,0,6,0.3430769999999998,4.304824,4.858027,4.304824,3.961747,5,7,4.235,2,1,0,6,0.3430769999999998,4.304824,4.858027,4.304824,3.961747,5,7,4.235,Atletico Madrid,0.0368,0.093,0.8702,a,1.79241,0.631932,1.79241,0.631932,11,3,0,0,2.3055,d,2020-09-30 17:00:00,0,1,0,1,1.160478,196,22,324,21,1,0,1,4,2.563528,5.39689,1.937082,4.50061,1.937082,6,1,5.0091,1,0,1,4,2.563528,5.39689,1.937082,4.50061,1.937082,6,1,5.0091,SD Huesca,0.7002,0.2049,0.0949
3,a,0.820558,1.09095,0.820558,1.09095,4,1,1,1,1.0715,d,2020-10-04 16:30:00,0,1,0,1,-0.2703920000000001,140,35,248,26,2,1,1,7,0.0726849999999997,5.125382,5.948977,5.125382,5.052697,6,8,5.3065,2,1,1,7,0.0726849999999997,5.125382,5.948977,5.125382,5.052697,6,8,5.3065,Cadiz,0.2475,0.329,0.4235,h,1.0983,2.2102,1.0983,2.2102,3,13,1,3,0.6369999999999999,l,2020-09-27 19:00:00,0,0,1,0,-1.1119,501,16,79,23,1,2,0,3,0.1371220000000002,3.204454,3.067332,3.204454,3.067332,3,5,4.575,1,2,0,3,0.1371220000000002,3.204454,3.067332,3.204454,3.067332,3,5,4.575,Sevilla,0.141,0.214,0.645
4,h,1.08721,0.699011,1.08721,0.699011,5,5,1,0,1.7098,w,2020-10-17 11:00:00,1,0,0,3,0.3881989999999999,216,27,194,17,3,1,1,10,0.4608839999999997,6.212592,6.647988,6.212592,5.751708000000001,7,8,7.016299999999999,3,1,1,10,0.4608839999999997,6.212592,6.647988,6.212592,5.751708000000001,7,8,7.016299999999999,Sevilla,0.4552,0.3442,0.2006,a,0.699011,1.08721,0.699011,1.08721,5,5,0,1,0.946,l,2020-10-17 11:00:00,0,0,1,0,-0.3881989999999999,194,17,216,27,2,1,1,7,1.593797,5.211721000000001,3.617924,5.211721000000001,3.617924,5,3,6.574,2,1,1,7,1.593797,5.211721000000001,3.617924,5.211721000000001,3.617924,5,3,6.574,Granada,0.2006,0.3442,0.4552
5,a,0.949811,1.33438,0.206534,1.33438,2,4,1,0,0.9787,w,2020-10-25 17:30:00,1,0,0,3,-1.127846,131,26,55,22,4,1,1,13,-0.6669620000000002,7.162402999999999,7.982367999999999,6.419126,7.086088,8,8,7.994999999999999,3,1,1,10,-0.7287690000000001,6.617259000000001,7.499031,5.873982,6.602751,6,8,6.6052,Getafe,0.2094,0.3505,0.4401,h,1.70992,0.62541,0.966769,0.62541,4,4,1,0,2.2964,w,2020-10-17 19:00:00,1,0,0,3,0.3413589999999999,399,35,76,15,3,1,1,10,0.3290870000000001,4.947676,4.618717999999999,4.204525,3.875438,5,3,7.541500000000001,3,1,1,10,0.3290870000000001,4.947676,4.618717999999999,4.204525,3.875438,5,3,7.541500000000001,Barcelona,0.6928,0.218,0.0892
6,h,0.230886,0.813588,0.230886,0.813588,4,15,1,1,0.6993,d,2020-11-01 17:30:00,0,1,0,1,-0.5827019999999999,211,6,86,17,4,1,2,14,-1.249664,7.393288999999999,8.795955999999999,6.650012,7.899676,9,9,8.694299999999998,2,1,2,8,-2.995791,4.3936150000000005,7.542409,3.650338,6.646128999999999,5,8,4.6627,Levante,0.0926,0.4215,0.4859,h,1.19249,0.818389,0.449212,0.818389,10,3,1,1,1.7157999999999998,d,2020-10-26 20:00:00,0,1,0,1,-0.369177,175,29,269,32,1,4,1,4,-1.956593,7.792685,8.26273,6.3061370000000005,8.26273,6,11,7.639699999999999,1,3,1,4,-2.603073,5.420895000000001,6.53742,3.934347,6.53742,4,7,5.7955000000000005,Celta Vigo,0.4593,0.3379,0.2028
7,a,0.780649,3.72416,0.0377568,2.23023,0,18,0,2,0.0468,l,2020-11-08 15:15:00,0,0,1,0,-2.1924732,314,16,101,15,4,2,2,14,-3.4421372000000003,8.173938,12.520115999999998,6.687768800000001,10.129906,9,11,8.741099999999998,2,1,2,8,-3.7852142,3.869114,7.662089,2.3829448,6.168159000000001,4,4,4.5061,Real Sociedad,0.0041,0.0345,0.9614,h,1.79773,0.591473,1.05446,0.591473,16,2,4,1,2.3632,w,2020-10-25 20:00:00,1,0,0,3,0.4629869999999999,248,28,241,16,4,1,2,14,2.685217,10.570878,4.912548999999999,7.597765999999999,4.912548999999999,14,3,13.2642,4,1,0,12,3.282598,9.540979,3.285269,6.567867000000001,3.285269,13,2,11.3177,SD Huesca,0.7155,0.2167,0.0678
8,h,1.40253,1.45546,1.40253,1.45546,5,0,1,3,1.3276,l,2020-11-22 17:30:00,0,0,1,0,-0.0529299999999999,120,25,223,25,4,3,2,14,-3.4950672000000003,9.576468,13.975575999999998,8.090298800000001,11.585366,10,14,10.068699999999998,2,2,1,7,-3.5677522,4.451086,8.026599000000001,2.9649168,6.532669,4,6,4.7622,Real Valladolid,0.3436,0.2968,0.3596,a,0.793913,1.85014,0.793913,1.85014,3,6,0,2,0.5572,l,2020-11-02 20:00:00,0,0,1,0,-1.0562269999999998,367,34,171,24,0,5,3,3,-6.601481999999999,6.315748999999999,12.91722,4.085917,10.687399,5,13,6.6125,0,4,1,1,-6.112620999999999,3.642006,9.75462,2.155448,8.268069,3,9,2.6823,Villarreal,0.1151,0.2119,0.673
9,a,1.49416,4.64116,1.49416,4.64116,2,13,1,3,0.0853,l,2020-11-29 17:30:00,0,0,1,0,-3.147,336,19,156,32,4,4,2,14,-6.6420672000000005,11.070628,18.616736,9.5844588,16.226526,11,17,10.153999999999998,1,3,1,4,-7.1029512,4.858036,11.968748,3.3718668000000003,10.474818,4,9,3.1377,Celta Vigo,0.0142,0.0427,0.9431,a,2.15551,1.6055,2.15551,0.862223,9,4,1,1,1.7571000000000003,d,2020-11-06 20:00:00,0,1,0,1,1.293287,305,35,288,24,1,4,4,7,2.6448880000000003,12.125519,10.967309999999998,11.382369,8.737480999999999,6,15,12.547900000000002,0,3,2,2,0.3885200000000002,7.355255,7.71014,6.612105,6.223585,3,10,6.1787,Elche,0.5006,0.2553,0.2441
