,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.633286,0.600934,0.633286,0.600934,5,4,2,0,1.3399,w,2020-09-12 19:00:00,1,0,0,3,0.032352,182,27,140,21,1,0,0,3,0.032352,0.633286,0.600934,0.633286,0.600934,2,0,1.3399,1,0,0,3,0.032352,0.633286,0.600934,0.633286,0.600934,2,0,1.3399,Cadiz,0.3086,0.4141,0.2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.486466,0.702715,0.486466,0.702715,3,2,0,1,1.0509,l,2020-09-19 16:30:00,0,0,1,0,-0.2162489999999999,175,14,148,24,1,1,0,3,-0.1838969999999999,1.119752,1.303649,1.119752,1.303649,2,1,2.3908,1,1,0,3,-0.1838969999999999,1.119752,1.303649,1.119752,1.303649,2,1,2.3908,Getafe,0.2129,0.4122,0.3749,h,0.702715,0.486466,0.702715,0.486466,2,3,1,0,1.5369000000000002,w,2020-09-19 16:30:00,1,0,0,3,0.2162489999999999,148,24,175,14,1,0,0,3,0.2162489999999999,0.702715,0.486466,0.702715,0.486466,1,0,1.5369000000000002,1,0,0,3,0.2162489999999999,0.702715,0.486466,0.702715,0.486466,1,0,1.5369000000000002,Osasuna,0.3749,0.4122,0.2129
2,h,0.724471,2.99435,0.724471,2.25108,1,8,1,3,0.1314,l,2020-09-27 10:00:00,0,0,1,0,-1.526609,227,23,120,20,1,2,0,3,-1.710506,1.844223,4.297999,1.844223,3.554729,3,4,2.5222,1,2,0,3,-1.710506,1.844223,4.297999,1.844223,3.554729,3,4,2.5222,Levante,0.0188,0.075,0.9062,a,2.99435,0.724471,2.25108,0.724471,8,1,3,1,2.7936,w,2020-09-27 10:00:00,1,0,0,3,1.526609,120,20,227,23,1,1,0,3,2.173089,5.36614,2.449781,4.62287,2.449781,5,5,4.6378,1,1,0,3,2.173089,5.36614,2.449781,4.62287,2.449781,5,5,4.6378,Osasuna,0.9062,0.075,0.0188
3,h,1.12188,0.360866,1.12188,0.360866,6,8,2,0,2.1056,w,2020-10-04 10:00:00,1,0,0,3,0.761014,250,35,116,21,2,2,0,6,-0.949492,2.966103,4.658865,2.966103,3.915595,5,4,4.627800000000001,2,2,0,6,-0.949492,2.966103,4.658865,2.966103,3.915595,5,4,4.627800000000001,Celta Vigo,0.6017,0.3005,0.0978,a,1.08307,1.52483,1.08307,0.781556,3,3,1,1,0.9605,d,2020-09-27 16:30:00,0,1,0,1,0.3015139999999999,171,26,163,40,1,0,2,5,2.619856,4.202063,2.325481,4.202063,1.582207,3,2,5.4481,1,0,2,5,2.619856,4.202063,2.325481,4.202063,1.582207,3,2,5.4481,Real Valladolid,0.2169,0.3098,0.4733
4,a,1.2646,0.371361,1.2646,0.371361,6,3,0,0,2.2068000000000003,d,2020-10-18 10:00:00,0,1,0,1,0.8932389999999999,132,22,135,13,2,2,1,7,-0.0562530000000002,4.230703,5.030226,4.230703,4.286956,5,4,6.834600000000001,2,2,1,7,-0.0562530000000002,4.230703,5.030226,4.230703,4.286956,5,4,6.834600000000001,Eibar,0.6483,0.2619,0.0898,h,1.06052,0.378171,0.317244,0.378171,6,4,0,1,2.1293,l,2020-09-30 19:30:00,0,0,1,0,-0.0609269999999999,168,42,256,20,0,3,1,1,-2.561761,2.841844,4.660329,2.098568,4.660329,2,5,4.302999999999999,0,3,1,1,-2.561761,2.841844,4.660329,2.098568,4.660329,2,5,4.302999999999999,Elche,0.6092,0.3017,0.0891
5,h,0.989319,0.5791,0.246042,0.5791,3,5,1,0,1.8271,w,2020-10-24 16:30:00,1,0,0,3,-0.3330579999999999,287,26,145,22,3,2,1,10,-0.3893110000000002,5.220022,5.609325999999999,4.476745,4.866056,6,4,8.661700000000002,2,2,1,7,-0.4216630000000001,4.586736,5.008392000000001,3.843459,4.265122,4,4,7.3218,Athletic Club,0.4951,0.3418,0.1631,h,2.07013,0.281482,2.07013,0.281482,9,5,2,0,2.7327,w,2020-10-18 12:00:00,1,0,0,3,1.7886479999999998,178,25,201,19,2,3,0,6,2.155629,4.091888,1.936259,4.091888,1.936259,4,5,8.1169,2,3,0,6,2.155629,4.091888,1.936259,4.091888,1.936259,4,5,8.1169,Levante,0.8762,0.1041,0.0197
6,h,1.42768,3.06286,1.42768,1.5763,2,9,1,3,0.3480999999999999,l,2020-10-31 17:30:00,0,0,1,0,-0.1486199999999999,331,20,228,22,3,3,1,10,-0.5379310000000002,6.647702000000001,8.672186,5.904425,6.442356,7,7,9.009800000000002,2,2,1,7,-0.3540340000000002,5.527950000000001,7.368537,4.784673,5.138707,5,6,6.619000000000001,Atletico Madrid,0.0669,0.1474,0.7857,a,3.06286,1.42768,1.5763,1.42768,9,2,3,1,2.5045,w,2020-10-31 17:30:00,1,0,0,3,0.1486199999999999,228,22,331,20,4,0,2,14,2.964892,11.826782,6.479050000000001,9.443942,6.479050000000001,13,2,11.8356,3,0,2,11,1.561842,8.222301999999999,5.1739,6.735741999999999,5.1739,7,1,9.132,Osasuna,0.7857,0.1474,0.0669
7,a,0.499107,1.151,0.499107,0.407718,5,3,0,1,0.6478,l,2020-11-07 17:30:00,0,0,1,0,0.091389,376,34,121,16,3,4,1,10,-0.4465420000000001,7.146809000000001,9.823186,6.403532,6.850074,7,8,9.657600000000002,2,2,1,7,1.263964,5.302586,5.525187,4.559309000000001,3.295345,4,4,7.1354,Sevilla,0.117,0.2968,0.5862,h,1.151,0.499107,0.407718,0.499107,3,5,1,0,2.0554,w,2020-11-07 17:30:00,1,0,0,3,-0.091389,121,16,376,34,3,3,1,10,3.11177,9.499211,5.644159,8.755929000000002,5.644159,7,6,12.5384,1,3,1,4,1.327824,6.241721,4.170615,5.498439,4.170615,3,5,8.440199999999999,Osasuna,0.5862,0.2968,0.117
8,h,0.878778,0.807899,0.878778,0.807899,7,1,1,1,1.3508,d,2020-11-20 20:00:00,0,1,0,1,0.0708789999999999,221,25,238,22,3,4,2,11,-0.3756630000000002,8.025587000000002,10.631085,7.28231,7.657973,8,9,11.008400000000002,1,2,2,5,0.5738289999999999,5.059483999999999,5.97222,4.316207,3.742378,3,5,6.380600000000001,SD Huesca,0.3343,0.3479,0.3178,a,0.79915,2.23898,0.79915,2.23898,0,9,1,4,0.4185999999999999,l,2020-10-31 13:00:00,0,0,1,0,-1.4398300000000002,370,18,307,33,0,3,5,5,-1.6598779999999995,6.866714,10.75641,6.866714,8.526592,6,14,8.1284,0,2,3,3,-0.458735,4.980685,6.925967999999999,4.980685,5.43942,4,10,5.5349,Real Madrid,0.0809,0.1759,0.7432
9,a,1.56118,3.91416,1.56118,3.91416,3,17,0,4,0.1984,l,2020-11-29 13:00:00,0,0,1,0,-2.35298,483,23,168,13,3,5,2,11,-2.728643,9.586767000000002,14.545245,8.84349,11.572133,8,13,11.2068,1,3,1,4,-2.67239,5.356064,9.515019,4.612787,7.285177,3,9,4.3722,Barcelona,0.0365,0.0889,0.8746,h,3.91416,1.56118,3.91416,1.56118,17,3,4,0,2.7127000000000003,w,2020-11-29 13:00:00,1,0,0,3,2.35298,168,13,483,23,4,3,2,14,7.344775999999999,19.431269,11.343094,17.201439,9.856663,19,9,16.226300000000002,2,2,1,7,5.001452,13.309649999999998,7.564918,11.82309,6.821638,11,7,9.9093,Osasuna,0.8746,0.0889,0.0365
