,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.769069,0.718119,0.769069,0.718119,7,4,0,0,1.3727999999999998,d,2020-09-20 19:00:00,0,1,0,1,0.05095,168,24,384,29,0,0,1,1,0.05095,0.769069,0.718119,0.769069,0.718119,0,0,1.3727999999999998,0,0,1,1,0.05095,0.769069,0.718119,0.769069,0.718119,0,0,1.3727999999999998,Real Sociedad,0.3357,0.3657,0.2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,3.86499,1.41465,3.12171,1.41465,7,5,3,2,2.7254,w,2020-09-26 19:00:00,1,0,0,3,1.7070600000000002,205,20,345,22,1,0,1,4,1.7580100000000003,4.634059000000001,2.132769,3.890779,2.132769,3,2,4.098199999999999,1,0,1,4,1.7580100000000003,4.634059000000001,2.132769,3.890779,2.132769,3,2,4.098199999999999,Real Betis,0.8814,0.0812,0.0374,a,0.341233,1.17642,0.341233,1.17642,4,1,1,0,0.3975,w,2020-09-13 12:00:00,1,0,0,3,-0.835187,179,18,214,25,1,0,0,3,-0.835187,0.341233,1.17642,0.341233,1.17642,1,0,0.3975,1,0,0,3,-0.835187,0.341233,1.17642,0.341233,1.17642,1,0,0.3975,Alaves,0.0539,0.2358,0.7103
2,h,2.64599,0.540187,2.64599,0.540187,9,2,1,0,2.7564,w,2020-09-30 19:30:00,1,0,0,3,2.105803,157,14,337,19,2,0,1,7,3.863813,7.280049,2.672956,6.536769,2.672956,4,2,6.8546,2,0,1,7,3.863813,7.280049,2.672956,6.536769,2.672956,4,2,6.8546,Real Valladolid,0.891,0.0834,0.0256,a,0.290702,1.76775,0.290702,1.02448,2,1,0,2,0.251,l,2020-09-20 16:30:00,0,0,1,0,-0.733778,253,28,205,30,0,1,1,1,-0.1873470000000001,1.148913,2.07953,1.148913,1.33626,1,3,2.2005,0,1,1,1,-0.1873470000000001,1.148913,2.07953,1.148913,1.33626,1,3,2.2005,Real Betis,0.0328,0.1526,0.8146
3,a,1.87714,0.577329,1.87714,0.577329,13,6,2,0,2.3993,w,2020-10-04 14:00:00,1,0,0,3,1.299811,258,33,265,26,3,0,1,10,5.163624,9.157189,3.250285,8.413909,3.250285,6,2,9.2539,3,0,1,10,5.163624,9.157189,3.250285,8.413909,3.250285,6,2,9.2539,Levante,0.7388,0.1829,0.0783,a,0.375244,1.04729,0.375244,1.04729,0,8,0,1,0.7051000000000001,l,2020-10-01 17:00:00,0,0,1,0,-0.672046,327,25,169,26,1,2,0,3,1.501043,5.741384,3.497071,4.998114,3.497071,5,6,5.3429,1,2,0,3,1.501043,5.741384,3.497071,4.998114,3.497071,5,6,5.3429,Sevilla,0.1198,0.3457,0.5345
4,h,1.1359,1.768,1.1359,1.768,10,2,0,1,0.8986000000000001,l,2020-10-17 16:30:00,0,0,1,0,-0.6321000000000001,78,12,330,14,3,1,1,10,4.531524,10.293089,5.018285,9.549809,5.018285,6,3,10.1525,3,1,1,10,4.531524,10.293089,5.018285,9.549809,5.018285,6,3,10.1525,Cadiz,0.214,0.2566,0.5294,a,0.263675,0.545027,0.263675,0.545027,4,5,1,0,0.9416,w,2020-10-01 17:00:00,1,0,0,3,-0.281352,243,21,66,15,2,2,0,6,-0.1442299999999998,3.468129,3.612359,3.468129,3.612359,4,5,5.5166,2,2,0,6,-0.1442299999999998,3.468129,3.612359,3.468129,3.612359,4,5,5.5166,Athletic Club,0.1459,0.5039,0.3502
5,a,3.20848,1.57351,2.4652,1.57351,8,5,3,1,2.4195999999999995,w,2020-10-24 14:00:00,1,0,0,3,0.8916899999999999,351,26,329,28,4,1,1,13,5.423214,13.501569,6.591794999999999,12.015009,6.591794999999999,9,4,12.5721,4,1,0,12,5.372264,12.7325,5.873676,11.24594,5.873676,9,4,11.1993,Barcelona,0.7564,0.1504,0.0932,h,1.57351,3.20848,1.57351,2.4652,5,8,1,3,0.43,l,2020-10-24 14:00:00,0,0,1,0,-0.8916899999999999,329,28,351,26,2,2,1,7,1.451634,7.695129,6.986656,6.951859,5.500225,9,5,6.747,2,2,1,7,1.451634,7.695129,6.986656,6.951859,5.500225,9,5,6.747,Real Madrid,0.0932,0.1504,0.7564
6,h,2.23898,0.79915,2.23898,0.79915,9,0,4,1,2.4055,w,2020-10-31 13:00:00,1,0,0,3,1.4398300000000002,307,33,370,18,5,1,1,16,6.863044,15.740549,7.390944999999999,14.253989,7.390944999999999,13,5,14.9776,4,1,0,12,5.105034,11.10649,5.258176,10.36321,5.258176,10,3,10.8794,SD Huesca,0.7432,0.1759,0.0809,h,1.25439,0.907963,1.25439,0.164685,2,0,2,2,1.6073,d,2020-10-18 16:30:00,0,1,0,1,1.089705,109,11,323,32,0,1,5,5,0.2429390000000004,5.476091,6.7197,5.476091,5.2331520000000005,4,6,7.2897,0,1,4,4,0.962796,4.920088,4.70057,4.920088,3.957292,3,5,6.940200000000001,Real Valladolid,0.4199,0.3476,0.2325
7,a,1.05824,2.34693,1.05824,0.117097,14,2,1,4,0.4122,l,2020-11-08 20:00:00,0,0,1,0,0.941143,182,27,275,22,5,2,1,16,7.804187000000001,16.798789,9.737875,15.312229,7.508042,14,9,15.3898,3,2,0,9,3.940374,9.51874,7.064919,8.775459999999999,4.835086,10,7,8.5352,Valencia,0.0806,0.1704,0.749,a,1.23519,0.165573,1.23519,0.165573,8,1,1,2,2.4331,l,2020-10-23 19:00:00,0,0,1,0,1.069617,308,27,285,18,2,4,1,7,-3.58685,5.7128380000000005,10.042962,5.7128380000000005,9.299688,9,11,6.7049,1,3,1,4,-1.061673,3.530885,5.335832,3.530885,4.592558,4,7,5.598000000000001,Elche,0.7329,0.2344,0.0327
8,a,0.652049,1.72712,0.652049,0.983841,5,5,1,1,0.5034000000000001,d,2020-11-21 15:15:00,0,1,0,1,-0.331792,321,28,362,36,5,2,2,17,7.472395000000001,17.450838,11.464994999999998,15.964277999999998,8.491883,15,10,15.8932,2,2,1,7,2.308771,8.293649,8.21471,7.550369,5.241598000000001,9,8,6.6393,Villarreal,0.0888,0.237,0.6742,h,1.85014,0.793913,1.85014,0.793913,6,3,2,0,2.2309,w,2020-11-02 20:00:00,1,0,0,3,1.0562269999999998,171,24,367,34,4,1,3,15,2.748377,12.319599,8.084668,10.089775,7.341398,10,8,15.0144,3,0,2,11,2.666905,7.062774,2.909315,5.57622,2.909315,7,2,9.9351,Real Valladolid,0.673,0.2119,0.1151
9,h,1.66068,2.35024,1.66068,1.60709,8,3,1,2,0.8876,l,2020-11-28 20:00:00,0,0,1,0,0.05359,148,14,299,14,5,3,2,17,7.525985,19.111518,13.815234999999998,17.624958,10.098973,16,12,16.7808,2,2,1,7,2.9944610000000003,8.818429,8.79695,8.075149,5.080688,10,9,6.628299999999999,Alaves,0.2152,0.242,0.5428,a,1.01595,1.99148,1.01595,1.99148,3,17,1,1,0.6385000000000001,d,2020-11-08 17:30:00,0,1,0,1,-0.97553,239,24,97,29,2,4,3,9,-3.2267969999999995,9.303319,12.530126,8.560049,11.786846,7,10,10.4308,2,1,2,8,-0.6365909999999997,5.870852,5.764173,5.127582,5.764173,5,4,6.7385,Levante,0.1371,0.2272,0.6357
