,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.813737,1.23869,0.813737,1.23869,3,1,0,3,0.9585,l,2014-08-09 20:00:00,0,0,1,0,-0.424953,168,24,297,14,0,1,0,0,-0.424953,0.813737,1.23869,0.813737,1.23869,0,3,0.9585,0,1,0,0,-0.424953,0.813737,1.23869,0.813737,1.23869,0,3,0.9585,Caen,0.2105,0.327,0.4625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.06246,1.81988,1.06246,1.81988,2,2,2,6,0.7427,l,2014-08-16 19:00:00,0,0,1,0,-0.75742,361,24,232,16,0,2,0,0,-1.182373,1.876197,3.05857,1.876197,3.05857,2,9,1.7012,0,2,0,0,-1.182373,1.876197,3.05857,1.876197,3.05857,2,9,1.7012,Rennes,0.165,0.2477,0.5873,a,0.375946,2.064,0.375946,1.3039,3,5,0,2,0.2123,l,2014-08-10 16:00:00,0,0,1,0,-0.927954,293,16,240,31,0,1,0,0,-0.927954,0.375946,2.064,0.375946,1.3039,0,2,0.2123,0,1,0,0,-0.927954,0.375946,2.064,0.375946,1.3039,0,2,0.2123,Lyon,0.0293,0.1244,0.8463
2,h,0.632883,0.388902,0.632883,0.388902,3,6,0,0,1.5169,d,2014-08-22 19:30:00,0,1,0,1,0.2439809999999999,546,26,109,12,0,2,1,1,-0.938392,2.50908,3.447472,2.50908,3.447472,2,9,3.2181,0,2,1,1,-0.938392,2.50908,3.447472,2.50908,3.447472,2,9,3.2181,Paris Saint Germain,0.3561,0.4486,0.1953,h,1.50758,0.164539,1.50758,0.164539,6,1,2,0,2.4814000000000003,w,2014-08-16 16:00:00,1,0,0,3,1.343041,182,27,512,21,1,0,1,4,1.870461,4.16296,1.532409,3.40287,1.532409,4,2,4.7806,1,0,1,4,1.870461,4.16296,1.532409,3.40287,1.532409,4,2,4.7806,SC Bastia,0.7577,0.2083,0.034
3,a,0.710663,0.851431,0.710663,0.851431,1,8,0,1,1.2274,l,2014-08-30 19:00:00,0,0,1,0,-0.140768,276,28,123,25,0,3,1,1,-1.07916,3.219743,4.298903,3.219743,4.298903,2,10,4.4455,0,3,1,1,-1.07916,3.219743,4.298903,3.219743,4.298903,2,10,4.4455,Toulouse,0.2872,0.3658,0.347,a,0.714399,1.14876,0.714399,0.388668,2,1,0,1,0.8551,l,2014-08-23 19:00:00,0,0,1,0,0.325731,146,26,211,27,1,2,0,3,-0.1755489999999999,3.717569,4.65321,3.717569,3.893118,4,5,3.2443,1,2,0,3,-0.1755489999999999,3.717569,4.65321,3.717569,3.893118,4,5,3.2443,SC Bastia,0.1783,0.3202,0.5015
4,h,0.912171,1.12115,0.912171,1.12115,2,2,1,3,1.1283,l,2014-09-14 20:00:00,0,0,1,0,-0.2089790000000001,330,33,188,23,0,4,1,1,-1.288139,4.131914,5.420053,4.131914,5.420053,3,13,5.5738,0,4,1,1,-1.288139,4.131914,5.420053,4.131914,5.420053,3,13,5.5738,Marseille,0.2699,0.3186,0.4115,h,4.68663,0.699986,4.68663,0.699986,7,2,4,0,2.9415,w,2014-08-29 19:30:00,1,0,0,3,3.986644,193,28,294,36,2,1,1,7,3.706368,7.814829,4.108458000000001,7.054733000000001,3.3483650000000003,8,5,6.6853,2,1,1,7,3.706368,7.814829,4.108458000000001,7.054733000000001,3.3483650000000003,8,5,6.6853,Nice,0.9738,0.0201,0.0061
5,a,0.365111,0.539429,0.365111,0.539429,4,3,1,2,1.0768,l,2014-09-19 19:30:00,0,0,1,0,-0.174318,279,26,209,9,0,5,1,1,-1.462457,4.497025,5.959482,4.497025,5.959482,4,15,6.650600000000001,0,4,1,1,-1.0375040000000002,3.683288,4.720792,3.683288,4.720792,4,12,5.6921,Bordeaux,0.1968,0.4864,0.3168,a,0.289488,1.68757,0.289488,0.927472,9,6,1,2,0.2506,l,2014-09-14 16:00:00,0,0,1,0,-0.6379839999999999,134,24,281,24,3,1,1,10,0.8898960000000002,7.554472000000001,5.144391,5.274189000000001,4.384293,10,5,7.7956,3,1,1,10,0.8898960000000002,7.554472000000001,5.144391,5.274189000000001,4.384293,10,5,7.7956,Guingamp,0.0308,0.1582,0.811
6,h,0.96835,0.860457,0.96835,0.860457,1,3,2,1,1.409,w,2014-09-24 18:00:00,1,0,0,3,0.107893,297,28,235,28,1,5,1,4,-1.354564,5.465375,6.819939000000001,5.465375,6.819939000000001,6,16,8.059600000000001,1,3,1,4,-0.1721910000000002,3.589178,3.761369,3.589178,3.761369,4,7,6.3584,Lens,0.3588,0.3326,0.3086,h,0.880858,1.03801,0.880858,1.03801,1,6,0,1,1.2239,l,2014-09-21 16:00:00,0,0,1,0,-0.157152,260,23,211,22,2,3,1,7,-0.7006129999999999,6.768803,5.949226,5.248613,5.949226,6,6,8.3343,2,2,1,7,0.157259,6.601675,4.924226,5.081485,4.924226,6,5,7.8429,Saint-Etienne,0.2944,0.3407,0.3649
7,a,0.834365,0.791519,0.834365,0.791519,2,6,2,0,1.4161,w,2014-09-27 19:00:00,1,0,0,3,0.042846,290,26,158,17,2,5,1,7,-1.311718,6.29974,7.611458000000001,6.29974,7.611458000000001,8,16,9.475700000000002,2,3,0,6,-0.3733260000000001,3.79066,4.163986,3.79066,4.163986,6,7,6.2576,Lorient,0.3539,0.3544,0.2917,a,0.450279,2.15635,0.450279,2.15635,5,8,0,4,0.2786,l,2014-09-24 18:00:00,0,0,1,0,-1.706071,430,25,340,12,2,4,1,7,-2.1708350000000003,6.108829999999999,8.279724,5.348799,7.519634,6,9,7.6684,1,4,0,3,-2.409771,3.44986,5.859631,3.44986,5.859631,4,8,4.6468,Lyon,0.0456,0.1418,0.8126
8,h,1.25083,0.334334,0.490737,0.334334,2,5,3,0,2.2937000000000003,w,2014-10-04 19:00:00,1,0,0,3,0.1564029999999999,151,26,191,20,3,5,1,10,-1.155315,7.55057,7.945792000000001,6.790477,7.945792000000001,11,16,11.7694,3,2,0,9,-0.0761550000000001,4.330827,3.6468890000000007,3.570734,3.6468890000000007,9,6,7.3239,Metz,0.6815,0.2492,0.0693,h,1.57463,0.119753,1.57463,0.119753,5,2,3,0,2.5526,w,2014-09-27 19:00:00,1,0,0,3,1.454877,178,20,193,12,4,2,2,14,-1.9275249,8.4654471,8.006924999999999,6.0794001,8.006924999999999,10,6,11.1904,4,1,0,12,0.6660360000000003,5.67183,4.245767,4.911803,4.245767,9,3,7.7016,Reims,0.787,0.1916,0.0214
9,a,1.3361,2.44399,1.3361,1.68389,6,6,0,2,0.5792999999999999,l,2014-10-18 19:00:00,0,0,1,0,-0.34779,237,31,205,29,3,6,1,10,-1.503105,8.88667,10.389782,8.126577000000001,9.629682,11,18,12.3487,3,2,0,9,-0.214966,4.754756,4.969729,3.994663,4.2096290000000005,8,5,6.774900000000001,Monaco,0.1261,0.201,0.6729,a,1.28795,1.23205,1.28795,1.23205,5,7,1,1,1.3961,d,2014-10-05 20:00:00,0,1,0,1,0.0558999999999998,386,41,212,27,3,4,2,11,0.5267572999999999,10.299004,12.0673177,9.538914,9.0121567,8,11,12.7791,2,2,1,7,1.1753182999999998,5.054302999999999,3.8789847,5.054302999999999,3.8789847,4,4,7.963500000000001,Paris Saint Germain,0.3625,0.3086,0.3289
