,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.167128,1.025,0.167128,1.025,2,3,0,1,0.4914,l,2014-08-09 20:00:00,0,0,1,0,-0.857872,306,14,296,25,0,1,0,0,-0.857872,0.167128,1.025,0.167128,1.025,0,1,0.4914,0,1,0,0,-0.857872,0.167128,1.025,0.167128,1.025,0,1,0.4914,Nantes,0.0565,0.3219,0.6216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.908766,1.00409,0.908766,1.00409,2,2,0,1,1.2174,l,2014-08-16 19:00:00,0,0,1,0,-0.0953239999999999,267,29,255,17,0,2,0,0,-0.953196,1.075894,2.02909,1.075894,2.02909,0,2,1.7088,0,2,0,0,-0.953196,1.075894,2.02909,1.075894,2.02909,0,2,1.7088,Guingamp,0.2994,0.3192,0.3814,h,0.63294,1.49532,0.63294,0.735229,3,2,0,2,0.5325,l,2014-08-09 20:00:00,0,0,1,0,-0.102289,257,16,215,20,0,1,0,0,-0.102289,0.63294,1.49532,0.63294,0.735229,0,2,0.5325,0,1,0,0,-0.102289,0.63294,1.49532,0.63294,0.735229,0,2,0.5325,Saint-Etienne,0.0911,0.2592,0.6497
2,a,1.83188,0.907071,1.83188,0.907071,3,6,1,0,2.1649000000000003,w,2014-08-24 13:00:00,1,0,0,3,0.924809,270,22,153,36,1,2,0,3,-0.0283869999999999,2.907774,2.936161,2.907774,2.936161,1,2,3.8737,1,2,0,3,-0.0283869999999999,2.907774,2.936161,2.907774,2.936161,1,2,3.8737,Lyon,0.6483,0.22,0.1317,a,1.28964,1.43956,1.28964,1.43956,5,7,1,2,1.2262,l,2014-08-16 19:00:00,0,0,1,0,-0.14992,129,12,187,23,1,1,0,3,0.778034,3.35364,1.815506,2.59354,1.815506,3,2,3.8895,1,1,0,3,0.778034,3.35364,1.815506,2.59354,1.815506,3,2,3.8895,Toulouse,0.3183,0.2713,0.4104
3,h,2.67759,1.28585,1.1574,1.28585,4,3,4,2,2.3799,w,2014-08-30 19:00:00,1,0,0,3,-0.1284499999999999,222,18,267,22,2,2,0,6,-0.1568369999999999,5.585364,4.222011,4.065174,4.222011,5,4,6.2536000000000005,2,2,0,6,-0.1568369999999999,5.585364,4.222011,4.065174,4.222011,5,4,6.2536000000000005,Reims,0.7362,0.1713,0.0925,h,1.8721,1.80265,1.8721,1.80265,2,4,0,2,1.4369,l,2014-08-23 19:00:00,0,0,1,0,0.06945,167,21,269,15,0,2,1,1,-2.6014230000000005,3.525437,6.886950000000001,3.525437,6.12686,3,7,2.0908,0,2,1,1,-2.6014230000000005,3.525437,6.886950000000001,3.525437,6.12686,3,7,2.0908,Caen,0.3864,0.2777,0.3359
4,a,0.302581,0.689205,0.302581,0.689205,3,3,1,1,0.8568,d,2014-09-13 19:00:00,0,1,0,1,-0.3866239999999999,292,26,158,17,2,2,1,7,-0.5434609999999999,5.887945,4.9112160000000005,4.367755,4.9112160000000005,6,5,7.1104,2,2,1,7,-0.5434609999999999,5.887945,4.9112160000000005,4.367755,4.9112160000000005,6,5,7.1104,SC Bastia,0.1389,0.4401,0.421,a,1.03398,1.35871,1.03398,1.35871,1,12,1,1,1.0974,d,2014-08-31 13:00:00,0,1,0,1,-0.3247300000000002,318,14,153,28,1,1,2,5,-1.914119,3.744169,4.898199,2.223984,4.138103,5,6,4.6394,1,1,2,5,-1.914119,3.744169,4.898199,2.223984,4.138103,5,6,4.6394,Bordeaux,0.2666,0.2976,0.4358
5,h,0.880858,1.03801,0.880858,1.03801,1,6,0,1,1.2239,l,2014-09-21 16:00:00,0,0,1,0,-0.157152,260,23,211,22,2,3,1,7,-0.7006129999999999,6.768803,5.949226,5.248613,5.949226,6,6,8.3343,2,2,1,7,0.157259,6.601675,4.924226,5.081485,4.924226,6,5,7.8429,Saint-Etienne,0.2944,0.3407,0.3649,h,1.40877,0.54212,1.40877,0.54212,8,1,1,0,2.0949,w,2014-09-13 19:00:00,1,0,0,3,0.86665,175,18,294,11,3,1,1,10,1.928068,6.882477,3.434218,5.362286000000001,3.434218,6,6,9.6864,3,1,1,10,1.928068,6.882477,3.434218,5.362286000000001,3.434218,6,6,9.6864,Caen,0.6047,0.2808,0.1145
6,a,0.860457,0.96835,0.860457,0.96835,3,1,1,2,1.2584,l,2014-09-24 18:00:00,0,0,1,0,-0.107893,235,28,297,28,2,4,1,7,-0.808506,7.62926,6.917576,6.10907,6.917576,7,8,9.5927,2,2,1,7,0.1446899999999999,6.5533660000000005,4.888486,5.033176,4.888486,7,6,7.883900000000001,Evian Thonon Gaillard,0.3086,0.3326,0.3588,a,0.365111,0.539429,0.365111,0.539429,4,3,1,2,1.0768,l,2014-09-19 19:30:00,0,0,1,0,-0.174318,279,26,209,9,0,5,1,1,-1.462457,4.497025,5.959482,4.497025,5.959482,4,15,6.650600000000001,0,4,1,1,-1.0375040000000002,3.683288,4.720792,3.683288,4.720792,4,12,5.6921,Bordeaux,0.1968,0.4864,0.3168
7,h,0.518773,0.375391,0.518773,0.375391,6,1,0,0,1.4126,d,2014-09-28 16:00:00,0,1,0,1,0.143382,271,22,250,24,2,4,2,8,-0.6651239999999998,8.148033,7.292967,6.627843,7.292967,7,8,11.0053,1,2,2,5,-0.6367369999999999,5.240259,4.356806,3.720069,4.356806,6,6,7.1316,Caen,0.307,0.4916,0.2014,h,0.943355,2.14743,0.943355,2.14743,2,6,0,2,0.5791,l,2014-09-24 20:00:00,0,0,1,0,-1.204075,544,26,188,23,2,4,1,7,-3.07925,5.884779000000001,12.004408,5.884779000000001,8.964029,8,8,5.358499999999999,1,3,1,4,-3.5921360000000004,4.3722900000000005,10.24471,4.3722900000000005,7.964426,5,7,3.1288,Paris Saint Germain,0.1251,0.2038,0.6711
8,a,0.191323,2.26447,0.191323,2.26447,2,6,0,2,0.0941999999999999,l,2014-10-04 19:00:00,0,0,1,0,-2.073147,262,14,285,33,2,5,2,8,-2.738271,8.339356,9.557437,6.819166,9.557437,7,10,11.0995,0,3,2,2,-2.581434,2.753992,5.335426,2.753992,5.335426,2,6,4.8459,Rennes,0.009,0.0672,0.9238,a,2.28274,1.73816,2.28274,1.73816,6,1,1,2,1.8314,l,2014-09-28 13:00:00,0,0,1,0,0.5445800000000001,273,22,351,19,2,4,2,8,-0.8375759999999999,8.323208,9.92089,7.563113999999999,8.40069,9,13,9.7753,1,3,1,4,-0.6270629999999999,5.762570999999999,5.62954,5.002477,5.62954,3,9,7.0655,Bordeaux,0.5203,0.2705,0.2092
9,h,0.887858,2.32314,0.887858,1.56305,2,9,1,3,0.4206999999999999,l,2014-10-17 19:30:00,0,0,1,0,-0.675192,441,19,152,27,2,6,2,8,-3.413463,9.227214,11.880577,7.707024,11.120487,8,13,11.5202,0,4,1,1,-2.870002,3.3392690000000003,6.969361000000001,3.3392690000000003,6.209271000000001,2,8,4.4098,Paris Saint Germain,0.0832,0.1711,0.7457,h,1.23205,1.28795,1.23205,1.28795,7,5,1,1,1.2953,d,2014-10-05 20:00:00,0,1,0,1,-0.0558999999999998,212,27,386,41,3,0,6,15,6.227252999999999,13.254401,6.2670580000000005,12.494311,6.2670580000000005,15,6,17.6473,1,0,4,7,3.3764700000000003,7.093659,3.717189,7.093659,3.717189,6,4,9.4415,Monaco,0.3289,0.3086,0.3625
