,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.54468,0.0571371,1.54468,0.0571371,5,0,0,0,2.6417,d,2014-08-09 20:00:00,0,1,0,1,1.4875429,83,23,379,18,0,0,1,1,1.4875429,1.54468,0.0571371,1.54468,0.0571371,0,0,2.6417,0,0,1,1,1.4875429,1.54468,0.0571371,1.54468,0.0571371,0,0,2.6417,Metz,0.8257,0.1646,0.0097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.945961,0.273799,0.185866,0.273799,1,0,1,0,2.1913,w,2014-08-15 19:30:00,1,0,0,3,-0.087933,190,21,394,37,1,0,1,4,1.3996099,2.490641,0.3309361,1.730546,0.3309361,1,0,4.833,1,0,1,4,1.3996099,2.490641,0.3309361,1.730546,0.3309361,1,0,4.833,Caen,0.6326,0.2935,0.0739,a,1.23869,0.813737,1.23869,0.813737,1,3,3,0,1.7145,w,2014-08-09 20:00:00,1,0,0,3,0.424953,297,14,168,24,1,0,0,3,0.424953,1.23869,0.813737,1.23869,0.813737,3,0,1.7145,1,0,0,3,0.424953,1.23869,0.813737,1.23869,0.813737,3,0,1.7145,Evian Thonon Gaillard,0.4625,0.327,0.2105
2,h,0.782421,0.335937,0.782421,0.335937,5,0,2,0,1.7855,w,2014-08-23 19:00:00,1,0,0,3,0.446484,206,34,415,14,2,0,1,7,1.8460939,3.2730620000000004,0.6668731,2.512967,0.6668731,3,0,6.6185,2,0,1,7,1.8460939,3.2730620000000004,0.6668731,2.512967,0.6668731,3,0,6.6185,Lorient,0.4621,0.3992,0.1387,h,1.03357,0.326763,1.03357,0.326763,4,1,0,0,2.0544,d,2014-08-16 19:00:00,0,1,0,1,0.7068070000000001,255,24,364,21,1,0,1,4,0.2389360000000001,2.65897,2.420093,1.898939,1.660003,2,1,3.0216000000000003,1,0,1,4,0.2389360000000001,2.65897,2.420093,1.898939,1.660003,2,1,3.0216000000000003,Nice,0.5782,0.3198,0.102
3,a,0.209403,1.74105,0.209403,1.74105,2,7,1,1,0.1353,d,2014-08-30 16:00:00,0,1,0,1,-1.531647,282,18,224,26,2,0,2,8,0.3144469000000001,3.4824650000000004,2.4079231,2.72237,2.4079231,4,1,6.7538,2,0,2,8,0.3144469000000001,3.4824650000000004,2.4079231,2.72237,2.4079231,4,1,6.7538,Monaco,0.0109,0.1026,0.8865,a,0.835173,2.58841,0.835173,1.81347,1,4,1,0,0.281,w,2014-08-24 20:00:00,1,0,0,3,-0.978297,247,28,401,31,1,2,0,3,-2.180208,3.503651,7.97893,2.743561,4.923769,3,6,2.0535,1,2,0,3,-2.180208,3.503651,7.97893,2.743561,4.923769,3,6,2.0535,Nantes,0.0475,0.1385,0.814
4,h,1.46293,0.987708,1.46293,0.987708,2,2,2,0,1.7712,w,2014-09-14 13:00:00,1,0,0,3,0.475222,175,26,292,21,3,0,2,11,0.7896689000000001,4.945395,3.3956311,4.1853,3.3956311,6,1,8.525,3,0,2,11,0.7896689000000001,4.945395,3.3956311,4.1853,3.3956311,6,1,8.525,Nantes,0.4848,0.3168,0.1984,h,1.27017,0.127161,1.27017,0.127161,2,1,1,0,2.4252,w,2014-08-30 19:00:00,1,0,0,3,1.143009,189,35,243,27,2,1,1,7,3.144693,5.506848,2.347242,4.731908,1.587215,3,2,7.907,2,1,1,7,3.144693,5.506848,2.347242,4.731908,1.587215,3,2,7.907,Montpellier,0.7275,0.2427,0.0298
5,h,0.816887,0.349895,0.816887,0.349895,7,3,0,0,1.7798,d,2014-09-21 13:00:00,0,1,0,1,0.466992,148,22,273,28,3,0,3,12,1.2566609000000002,5.762282000000001,3.7455261,5.002187,3.7455261,6,1,10.3048,3,0,2,11,-0.2308819999999998,4.217602,3.688389,3.457507,3.688389,6,1,7.6631,Montpellier,0.4591,0.4025,0.1384,h,1.48717,0.37765,1.48717,0.37765,4,4,1,0,2.346,w,2014-09-13 19:00:00,1,0,0,3,1.10952,282,32,202,28,3,2,0,9,1.6316900000000003,5.784631,5.018934,5.784631,4.152941,5,2,7.4126,3,2,0,9,1.6316900000000003,5.784631,5.018934,5.784631,4.152941,5,2,7.4126,Lorient,0.7068,0.2256,0.0676
6,a,0.220894,0.86697,0.220894,0.86697,5,3,0,1,0.6212,l,2014-09-24 18:00:00,0,0,1,0,-0.646076,237,34,198,24,3,1,3,12,0.6105849000000002,5.983176000000001,4.6124961,5.2230810000000005,4.6124961,6,2,10.926,2,1,2,8,-0.7890249999999999,3.492535,4.28156,3.492535,4.28156,5,2,6.093,Nice,0.0803,0.3803,0.5394,a,0.0802175,1.9684,0.0802175,1.9684,2,3,1,2,0.1426,l,2014-09-20 19:00:00,0,0,1,0,-1.8881825,146,18,341,30,2,3,1,7,-5.4529285000000005,4.9396925000000005,11.152714,4.9396925000000005,10.392620999999998,6,11,5.1254,1,3,1,4,-6.104128500000001,2.7248825,9.589104,2.7248825,8.829011000000001,3,9,3.2684999999999995,Nantes,0.0077,0.1195,0.8728
7,h,0.668915,0.464606,0.668915,0.464606,4,3,1,0,1.4812999999999998,w,2014-09-27 19:00:00,1,0,0,3,0.204309,192,30,300,24,4,1,3,15,0.8148939000000002,6.652091000000001,5.0771021,5.891996000000001,5.0771021,7,2,12.4073,2,1,2,8,-1.0312,3.379029,4.410229,3.379029,4.410229,4,2,5.7888,SC Bastia,0.3479,0.4376,0.2145,h,0.328904,1.6641,0.328904,0.904005,2,4,0,0,0.2889,d,2014-09-24 18:00:00,0,1,0,1,-0.575101,204,23,172,29,1,2,4,7,-3.407465,5.208118999999999,8.61559,3.687934,7.095399,7,10,7.0166,1,1,3,6,-2.143807,3.64669,5.7905,2.886598,5.030405,4,5,5.2993,Nantes,0.0398,0.1695,0.7907
8,a,0.368029,2.33678,0.368029,2.33678,3,4,0,3,0.1306,l,2014-10-05 16:00:00,0,0,1,0,-1.968751,242,39,276,24,4,2,3,15,-1.1538571,7.020120000000001,7.4138821,6.260025000000001,7.4138821,7,5,12.5379,2,2,1,7,-1.468304,3.537655,5.005959,3.537655,5.005959,3,4,5.7841000000000005,Lyon,0.0171,0.0793,0.9036,a,0.693743,1.90868,0.693743,1.14859,7,3,1,1,0.4487,d,2014-09-28 16:00:00,0,1,0,1,-0.454847,233,16,359,21,3,3,2,11,2.19867,11.588272,10.149619,10.828172,8.629502,12,8,11.8876,2,1,2,8,2.345445,7.327560999999999,6.502233,7.327560999999999,4.982116,9,5,7.382999999999999,Nantes,0.0863,0.1898,0.7239
9,h,1.90889,1.14653,1.90889,1.14653,8,4,1,2,1.9225,l,2014-10-18 19:00:00,0,0,1,0,0.7623599999999999,118,18,334,21,4,3,3,15,-0.3914971,8.929010000000002,8.5604121,8.168915,8.5604121,8,7,14.460399999999998,1,3,1,4,-1.1811660000000002,3.983615,5.1647810000000005,3.983615,5.1647810000000005,2,6,5.9354000000000005,Guingamp,0.5593,0.2446,0.1961,h,0.909291,0.720094,0.909291,0.720094,4,8,0,1,1.539,l,2014-10-05 16:00:00,0,0,1,0,0.1891969999999999,143,20,273,23,2,7,0,6,-2.3403663,6.560323699999999,8.900682999999999,5.8002257,8.140592,4,13,10.2429,1,4,0,3,-0.6347223000000001,3.8637737,3.738398,3.1036757,3.738398,3,6,6.857500000000002,Nantes,0.3922,0.3624,0.2454
