,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.05977,0.394458,0.29968,0.394458,3,6,0,0,2.1294000000000004,d,2015-08-08 23:00:00,0,1,0,1,-0.0947779999999999,254,10,258,19,0,0,1,1,-0.0947779999999999,1.05977,0.394458,0.29968,0.394458,0,0,2.1294000000000004,0,0,1,1,-0.0947779999999999,1.05977,0.394458,0.29968,0.394458,0,0,2.1294000000000004,Troyes,0.6117,0.2943,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.150143,1.58401,0.150143,1.58401,1,8,0,2,0.2694,l,2015-08-16 23:00:00,0,0,1,0,-1.433867,573,21,195,25,0,1,1,1,-1.528645,1.209913,1.978468,0.449823,1.978468,0,2,2.3988000000000005,0,1,1,1,-1.528645,1.209913,1.978468,0.449823,1.978468,0,2,2.3988000000000005,Paris Saint Germain,0.0251,0.1941,0.7808,a,1.33457,0.914879,1.33457,0.914879,3,2,1,0,1.7515,w,2015-08-07 22:30:00,1,0,0,3,0.419691,238,20,280,38,1,0,0,3,0.419691,1.33457,0.914879,1.33457,0.914879,1,0,1.7515,1,0,0,3,0.419691,1.33457,0.914879,1.33457,0.914879,1,0,1.7515,Lille,0.4772,0.3199,0.2029
2,h,0.384935,1.15678,0.384935,1.15678,3,1,0,2,0.5983,l,2015-08-22 22:00:00,0,0,1,0,-0.7718449999999999,111,22,324,15,0,2,1,1,-2.30049,1.594848,3.135248,0.834758,3.135248,0,4,2.9971000000000005,0,2,1,1,-2.30049,1.594848,3.135248,0.834758,3.135248,0,4,2.9971000000000005,Angers,0.0991,0.301,0.5999,h,0.391752,0.166221,0.391752,0.166221,2,3,0,0,1.4464,d,2015-08-15 22:00:00,0,1,0,1,0.2255309999999999,291,21,288,24,1,0,1,4,1.064474,1.936742,0.872268,1.936742,0.872268,2,0,3.4791000000000003,1,0,1,4,1.064474,1.936742,0.872268,1.936742,0.872268,2,0,3.4791000000000003,Nantes,0.2796,0.6076,0.1128
3,a,0.397943,0.756427,0.397943,0.756427,4,0,0,1,0.9145,l,2015-08-29 22:00:00,0,0,1,0,-0.3584839999999999,239,27,248,20,0,3,1,1,-2.658974,1.992791,3.891675,1.232701,3.891675,0,5,3.911600000000001,0,3,1,1,-2.658974,1.992791,3.891675,1.232701,3.891675,0,5,3.911600000000001,Lille,0.1676,0.4117,0.4207,h,1.76204,0.695256,1.76204,0.695256,7,5,0,0,2.2765,d,2015-08-23 16:00:00,0,1,0,1,1.0667840000000002,163,29,217,34,0,1,2,2,0.5140530000000001,3.806399,3.292346,3.806399,3.292346,0,1,4.42,0,1,2,2,0.5140530000000001,3.806399,3.292346,3.806399,3.292346,0,1,4.42,Bordeaux,0.6875,0.214,0.0985
4,h,0.970684,2.98213,0.970684,2.22203,6,7,0,1,0.2891,l,2015-09-13 16:00:00,0,0,1,0,-1.2513460000000003,145,22,174,22,0,4,1,1,-3.91032,2.963475,6.873805,2.203385,6.113705,0,6,4.200700000000001,0,4,1,1,-3.91032,2.963475,6.873805,2.203385,6.113705,0,6,4.200700000000001,Monaco,0.0598,0.1097,0.8305,h,0.13557,2.13619,0.13557,2.13619,4,13,0,3,0.1367,l,2015-08-30 23:00:00,0,0,1,0,-2.00062,572,28,162,16,1,1,2,5,-0.1023840000000002,5.639360000000001,5.741744000000001,5.639360000000001,5.741744000000001,3,5,5.3681,1,1,2,5,-0.1023840000000002,5.639360000000001,5.741744000000001,5.639360000000001,5.741744000000001,3,5,5.3681,Paris Saint Germain,0.0108,0.1043,0.8849
5,a,0.222122,1.31453,0.222122,1.31453,2,3,1,2,0.3843,l,2015-09-19 22:00:00,0,0,1,0,-1.092408,296,16,161,14,0,5,1,1,-5.002728,3.185597,8.188335,2.425507,7.428234999999999,1,8,4.585000000000001,0,5,0,0,-4.9079500000000005,2.125827,7.793877,2.125827,7.033776999999999,1,8,2.4556,Guingamp,0.0463,0.2454,0.7083,a,1.21767,0.792313,1.21767,0.792313,3,4,1,0,1.7719,w,2015-09-12 22:00:00,1,0,0,3,0.425357,407,43,183,25,2,3,0,6,1.060561,5.817855,3.997194,5.057755,3.997194,3,5,8.262,2,3,0,6,1.060561,5.817855,3.997194,5.057755,3.997194,3,5,8.262,Nice,0.4914,0.2977,0.2109
6,h,0.502333,1.6963,0.502333,1.6963,1,10,1,1,0.4513,d,2015-09-23 21:00:00,0,1,0,1,-1.1939669999999998,235,22,225,23,0,5,2,2,-6.196695,3.68793,9.884635,2.92784,9.124534999999998,2,9,5.036300000000001,0,4,1,1,-4.66805,2.478017,7.906166999999999,2.478017,7.146067,2,7,2.6375,Rennes,0.0801,0.211,0.7089,h,2.13208,1.03901,1.37198,1.03901,6,4,1,1,2.3481,d,2015-09-18 22:30:00,0,1,0,1,0.33297,169,29,177,37,4,1,1,13,2.193053,8.237684,4.383011,6.576064,4.383011,10,5,11.3486,4,0,1,13,1.855268,7.438944,3.922056,5.777323999999999,3.922056,9,3,9.6019,Lille,0.7167,0.198,0.0853
7,a,0.270893,2.22963,0.270893,2.22963,2,1,0,2,0.1709999999999999,l,2015-09-26 22:00:00,0,0,1,0,-1.958737,196,27,259,23,0,6,2,2,-8.155432,3.958823,12.114265,3.1987330000000003,11.354164999999998,2,11,5.207300000000001,0,4,1,1,-5.854941999999999,2.363975,8.979016999999999,2.363975,8.218917,2,7,2.2102,Caen,0.0212,0.1074,0.8714,a,0.719549,1.06626,0.719549,1.06626,3,1,0,2,0.9567,l,2015-09-23 21:00:00,0,0,1,0,-0.346711,309,25,207,22,4,3,0,12,1.0406530000000005,8.279355,7.998792,8.279355,7.238702,8,10,9.7584,2,3,0,6,1.8671940000000005,5.797856,4.690752,5.797856,3.930662,6,10,7.5097,Lorient,0.2073,0.3348,0.4579
8,h,0.807682,0.647119,0.807682,0.647119,3,5,2,2,1.5532,d,2015-10-03 22:00:00,0,1,0,1,0.160563,279,26,218,28,0,6,3,3,-7.994869,4.766505,12.761384,4.0064150000000005,12.001283999999998,4,13,6.7605,0,3,2,2,-5.335895000000001,2.773714,8.869709,2.773714,8.109609,4,8,2.8489,Toulouse,0.3948,0.3688,0.2364,a,1.182,1.8254,1.182,1.8254,6,1,0,3,0.8128,l,2015-09-26 22:00:00,0,0,1,0,-0.6434,171,26,272,30,1,3,4,7,0.6022140000000002,10.87852,11.177826,10.87852,10.276306,8,13,10.4745,0,2,3,3,0.8655240000000004,7.250710999999999,7.286707,7.250710999999999,6.385187,5,10,6.7289,SC Bastia,0.1898,0.2434,0.5668
9,a,0.0897244,0.616442,0.0897244,0.616442,1,6,0,2,0.6425000000000001,l,2015-10-17 22:00:00,0,0,1,0,-0.5267176,349,15,226,23,0,7,3,3,-8.5215866,4.8562294,13.377826,4.0961394,12.617725999999998,4,15,7.403,0,3,2,2,-4.611266599999999,1.8927544,6.504021,1.8927544,6.504021,4,9,3.2023,Saint-Etienne,0.0463,0.5036,0.4501,a,0.761122,1.48946,0.761122,1.48946,8,1,0,1,0.7601,l,2015-10-04 19:00:00,0,0,1,0,-0.728338,122,25,213,13,5,3,1,16,3.934546000000001,12.706013,8.011377,11.945923,8.011377,11,10,15.87,3,2,0,9,1.426589,7.085202,4.898523,6.325112,4.898523,6,6,8.5831,Caen,0.1643,0.2672,0.5685
