,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.406765,0.27314,0.406765,0.27314,0,3,0,1,1.3748,l,2015-08-08 23:00:00,0,0,1,0,0.133625,304,30,226,31,0,1,0,0,0.133625,0.406765,0.27314,0.406765,0.27314,0,1,1.3748,0,1,0,0,0.133625,0.406765,0.27314,0.406765,0.27314,0,1,1.3748,Nantes,0.2699,0.5651,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.0359,0.738048,1.0359,0.738048,4,2,0,1,1.5979,l,2015-08-15 22:00:00,0,0,1,0,0.297852,298,23,101,24,0,2,0,0,0.431477,1.442665,1.011188,1.442665,1.011188,0,2,2.9727,0,2,0,0,0.431477,1.442665,1.011188,1.442665,1.011188,0,2,2.9727,Lyon,0.4186,0.3421,0.2393,h,1.07521,0.766583,1.07521,0.766583,9,0,0,0,1.5825,d,2015-08-09 23:00:00,0,1,0,1,0.308627,215,23,443,12,0,0,1,1,0.308627,1.07521,0.766583,1.07521,0.766583,0,0,1.5825,0,0,1,1,0.308627,1.07521,0.766583,1.07521,0.766583,0,0,1.5825,Lorient,0.415,0.3375,0.2475
2,a,1.37129,1.283,1.37129,1.283,9,7,0,3,1.4168,l,2015-08-22 22:00:00,0,0,1,0,0.0882899999999999,196,28,263,19,0,3,0,0,0.519767,2.813955,2.294188,2.813955,2.294188,0,5,4.3895,0,3,0,0,0.519767,2.813955,2.294188,2.813955,2.294188,0,5,4.3895,SC Bastia,0.3784,0.2816,0.34,a,1.36492,1.71708,1.36492,0.956981,1,5,1,1,1.0331,d,2015-08-16 19:00:00,0,1,0,1,0.4079389999999999,389,29,159,26,1,0,1,4,0.0701539999999999,1.825875,2.51582,1.825875,1.755721,3,2,1.9104,1,0,1,4,0.0701539999999999,1.825875,2.51582,1.825875,1.755721,3,2,1.9104,Lorient,0.2508,0.2807,0.4685
3,h,1.78623,0.910693,1.02613,0.910693,2,4,2,0,2.1006,w,2015-08-28 22:30:00,1,0,0,3,0.115437,309,23,154,18,1,3,0,3,0.635204,4.600185,3.2048810000000003,3.840085,3.2048810000000003,2,5,6.4901,1,3,0,3,0.635204,4.600185,3.2048810000000003,3.840085,3.2048810000000003,2,5,6.4901,Marseille,0.6206,0.2388,0.1406,h,3.2103,0.267975,3.2103,0.267975,4,6,6,0,2.9273,w,2015-08-23 23:00:00,1,0,0,3,2.9423250000000003,269,19,348,24,1,2,0,3,3.633514,5.788433,2.154919,5.788433,2.154919,6,2,5.9971,1,2,0,3,3.633514,5.788433,2.154919,5.788433,2.154919,6,2,5.9971,Troyes,0.9658,0.0299,0.0043
4,a,1.21767,0.792313,1.21767,0.792313,3,4,1,0,1.7719,w,2015-09-12 22:00:00,1,0,0,3,0.425357,407,43,183,25,2,3,0,6,1.060561,5.817855,3.997194,5.057755,3.997194,3,5,8.262,2,3,0,6,1.060561,5.817855,3.997194,5.057755,3.997194,3,5,8.262,Nice,0.4914,0.2977,0.2109,a,0.905213,0.304379,0.905213,0.304379,2,0,1,1,2.0072,d,2015-08-29 22:00:00,0,1,0,1,0.6008340000000001,181,19,441,20,1,1,2,5,-1.4014959999999996,4.695187,5.336583,3.935087,5.336583,7,7,5.6913,1,1,2,5,-1.4014959999999996,4.695187,5.336583,3.935087,5.336583,7,7,5.6913,Angers,0.5553,0.3413,0.1034
5,h,1.31453,0.222122,1.31453,0.222122,3,2,2,1,2.3703000000000003,w,2015-09-19 22:00:00,1,0,0,3,1.092408,161,14,296,16,3,3,0,9,2.152969,7.132384999999999,4.219316,6.372285,4.219316,5,6,10.6323,3,2,0,9,2.019344,6.725619999999999,3.946176,5.96552,3.946176,5,5,9.2575,GFC Ajaccio,0.7083,0.2454,0.0463,h,0.970684,2.98213,0.970684,2.22203,6,7,0,1,0.2891,l,2015-09-13 16:00:00,0,0,1,0,-1.2513460000000003,145,22,174,22,0,4,1,1,-3.91032,2.963475,6.873805,2.203385,6.113705,0,6,4.200700000000001,0,4,1,1,-3.91032,2.963475,6.873805,2.203385,6.113705,0,6,4.200700000000001,Monaco,0.0598,0.1097,0.8305
6,a,0.415048,3.11111,0.415048,2.35101,3,6,0,3,0.0727,l,2015-09-22 23:00:00,0,0,1,0,-1.935962,504,12,159,28,3,4,0,9,0.2170069999999997,7.547432999999999,7.330426,6.787332999999999,6.570326,5,9,10.705,3,2,0,9,-0.2144699999999999,6.104767999999999,6.319238,5.344668,5.559138,5,7,7.732300000000001,Paris Saint Germain,0.01,0.0427,0.9473,a,1.48008,0.871294,1.48008,0.871294,9,2,1,1,1.8411,d,2015-09-19 19:30:00,0,1,0,1,0.608786,173,22,384,20,4,0,2,14,5.538687,8.841517,3.30283,8.841517,3.30283,10,3,12.515700000000002,3,0,2,11,5.118996,7.506947,2.387951,7.506947,2.387951,9,3,10.764200000000002,Reims,0.5199,0.2814,0.1987
7,h,1.34153,1.01214,1.34153,1.01214,7,4,3,3,1.6022,d,2015-09-27 19:00:00,0,1,0,1,0.3293899999999998,207,39,170,32,3,4,1,10,0.5463969999999996,8.888962999999999,8.342566,8.128862999999999,7.582466,8,12,12.3072,3,1,1,10,0.0266299999999999,6.075007999999999,6.048378,5.314908,5.288278,8,7,7.917700000000001,Monaco,0.4373,0.2903,0.2724,a,2.34549,1.82333,1.58539,1.82333,5,3,3,2,1.7551,w,2015-09-24 20:55:00,1,0,0,3,-0.2379399999999998,204,32,277,29,3,2,2,11,0.4272220000000002,12.59836,10.650938000000002,11.07816,10.650938000000002,9,10,10.746,2,2,1,7,-2.0600739999999997,8.52171,9.061584000000002,7.001510000000001,9.061584000000002,7,9,6.411800000000001,Montpellier,0.5069,0.2344,0.2587
8,a,2.19927,1.21348,2.19927,1.21348,7,8,1,0,2.1558,w,2015-10-03 22:00:00,1,0,0,3,0.98579,195,18,168,27,4,4,1,13,1.5321869999999995,11.088233,9.556046,10.328133,8.795946,9,12,14.463,3,1,1,10,0.8969829999999999,6.488047999999999,6.351164999999999,6.488047999999999,5.591065,7,7,7.972900000000001,Troyes,0.6391,0.2385,0.1224,a,0.964618,1.24575,0.964618,1.24575,4,4,1,1,1.1298,d,2015-09-26 22:00:00,0,1,0,1,-0.2811319999999999,244,20,149,29,0,4,4,4,-5.062095000000001,6.233123999999999,13.575509,6.233123999999999,11.295219,5,15,5.87,0,3,2,2,-2.008398000000001,4.304181,7.072679,4.304181,6.312579,2,6,4.5869,Rennes,0.2766,0.3,0.4234
9,h,0.386919,0.690247,0.386919,0.690247,3,5,1,1,0.9381,d,2015-10-17 22:00:00,0,1,0,1,-0.303328,298,15,114,31,4,4,2,14,1.2288589999999997,11.475152,10.246293,10.715052,9.486193,10,13,15.4011,2,1,2,8,0.1682979999999998,5.657296999999999,6.249099,5.657296999999999,5.488999000000001,7,8,7.139100000000001,Lille,0.1702,0.4275,0.4023,h,1.81242,1.10281,1.05232,0.342718,4,1,2,0,1.9253,w,2015-10-02 22:30:00,1,0,0,3,0.7096019999999998,206,39,202,20,2,3,4,10,0.1575209999999998,9.932913999999998,11.308145,9.172814,9.015293,4,4,10.835299999999998,1,2,2,5,-0.7150160000000003,5.370088,7.617856,4.609988,5.325004,3,3,4.741499999999999,Montpellier,0.5428,0.2969,0.1603
