,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.33457,0.914879,1.33457,0.914879,3,2,1,0,1.7515,w,2015-08-07 22:30:00,1,0,0,3,0.419691,238,20,280,38,1,0,0,3,0.419691,1.33457,0.914879,1.33457,0.914879,1,0,1.7515,1,0,0,3,0.419691,1.33457,0.914879,1.33457,0.914879,1,0,1.7515,Lille,0.4772,0.3199,0.2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.58401,0.150143,1.58401,0.150143,8,1,2,0,2.5365,w,2015-08-16 23:00:00,1,0,0,3,1.433867,195,25,573,21,2,0,0,6,1.853558,2.91858,1.065022,2.91858,1.065022,3,0,4.288,2,0,0,6,1.853558,2.91858,1.065022,2.91858,1.065022,3,0,4.288,GFC Ajaccio,0.7808,0.1941,0.0251,a,1.05977,0.394458,0.29968,0.394458,3,6,0,0,2.1294000000000004,d,2015-08-08 23:00:00,0,1,0,1,-0.0947779999999999,254,10,258,19,0,0,1,1,-0.0947779999999999,1.05977,0.394458,0.29968,0.394458,0,0,2.1294000000000004,0,0,1,1,-0.0947779999999999,1.05977,0.394458,0.29968,0.394458,0,0,2.1294000000000004,Troyes,0.6117,0.2943,0.094
2,a,0.755727,0.372892,0.755727,0.372892,3,3,1,0,1.708,w,2015-08-21 22:30:00,1,0,0,3,0.382835,201,21,492,27,3,0,0,9,2.236393,3.674307,1.437914,3.674307,1.437914,4,0,5.996,3,0,0,9,2.236393,3.674307,1.437914,3.674307,1.437914,4,0,5.996,Montpellier,0.4329,0.4093,0.1578,a,0.161006,0.718904,0.161006,0.718904,3,4,0,1,0.6557,l,2015-08-15 22:00:00,0,0,1,0,-0.557898,236,34,218,23,0,2,0,0,-1.3968410000000002,0.867053,2.263894,0.867053,2.263894,0,3,1.3741,0,2,0,0,-1.3968410000000002,0.867053,2.263894,0.867053,2.263894,0,3,1.3741,Rennes,0.068,0.4517,0.4803
3,a,2.13619,0.13557,2.13619,0.13557,13,4,3,0,2.759,w,2015-08-30 23:00:00,1,0,0,3,2.00062,162,16,572,28,4,0,0,12,4.237013,5.810497,1.573484,5.810497,1.573484,7,0,8.755,4,0,0,12,4.237013,5.810497,1.573484,5.810497,1.573484,7,0,8.755,Monaco,0.8849,0.1043,0.0108,a,1.42714,2.0162,1.42714,2.0162,3,7,1,1,0.8972,d,2015-08-22 22:00:00,0,1,0,1,-0.5890599999999999,203,27,266,31,1,0,2,5,1.898236,5.50379,3.605554,5.50379,3.605554,3,2,5.2314,1,0,2,5,1.898236,5.50379,3.605554,5.50379,3.605554,3,2,5.2314,Toulouse,0.2183,0.2423,0.5394
4,h,1.55094,0.858052,1.55094,0.858052,13,1,2,2,1.9196,d,2015-09-11 22:30:00,0,1,0,1,0.692888,117,44,454,28,4,0,1,13,4.929901,7.361437,2.431536,7.361437,2.431536,9,2,10.674600000000002,4,0,1,13,4.929901,7.361437,2.431536,7.361437,2.431536,9,2,10.674600000000002,Bordeaux,0.5511,0.2663,0.1826,h,2.98014,0.358858,2.22004,0.358858,9,2,2,0,2.8973,w,2015-08-30 19:00:00,1,0,0,3,1.861182,242,26,258,32,1,1,2,5,1.3105659999999997,6.254996,4.18433,5.494896000000001,4.18433,4,3,6.494199999999999,1,1,2,5,1.3105659999999997,6.254996,4.18433,5.494896000000001,4.18433,4,3,6.494199999999999,Nantes,0.953,0.0383,0.0087
5,a,1.48008,0.871294,1.48008,0.871294,9,2,1,1,1.8411,d,2015-09-19 19:30:00,0,1,0,1,0.608786,173,22,384,20,4,0,2,14,5.538687,8.841517,3.30283,8.841517,3.30283,10,3,12.515700000000002,3,0,2,11,5.118996,7.506947,2.387951,7.506947,2.387951,9,3,10.764200000000002,Reims,0.5199,0.2814,0.1987,a,0.742111,2.22332,0.742111,2.22332,2,9,2,2,0.3755,d,2015-09-12 22:00:00,0,1,0,1,-1.4812090000000002,292,32,260,11,3,1,1,10,0.034683,6.097610999999999,6.062927999999999,6.097610999999999,6.062927999999999,9,5,6.9592,3,1,1,10,0.034683,6.097610999999999,6.062927999999999,6.097610999999999,6.062927999999999,9,5,6.9592,Toulouse,0.0687,0.1694,0.7619
6,h,3.11111,0.415048,2.35101,0.415048,6,3,3,0,2.8846,w,2015-09-22 23:00:00,1,0,0,3,1.935962,159,28,504,12,5,0,2,17,7.474649,11.952627,3.717878,11.192527,3.717878,13,3,15.4003,3,0,2,11,5.621091,9.034047,2.6528560000000003,8.273947,2.6528560000000003,10,3,11.112299999999998,Guingamp,0.9473,0.0427,0.01,h,1.31453,0.222122,1.31453,0.222122,3,2,2,1,2.3703000000000003,w,2015-09-19 22:00:00,1,0,0,3,1.092408,161,14,296,16,3,3,0,9,2.152969,7.132384999999999,4.219316,6.372285,4.219316,5,6,10.6323,3,2,0,9,2.019344,6.725619999999999,3.946176,5.96552,3.946176,5,5,9.2575,GFC Ajaccio,0.7083,0.2454,0.0463
7,a,1.86069,0.54464,1.86069,0.54464,6,2,4,1,2.4141,w,2015-09-26 19:30:00,1,0,0,3,1.31605,130,26,479,27,6,0,2,20,8.790699,13.813317,4.262518,13.053217,4.262518,17,4,17.814400000000003,3,0,2,11,6.554306,10.13901,2.824604,9.37891,2.824604,13,4,11.8184,Nantes,0.741,0.1911,0.0679,h,0.54464,1.86069,0.54464,1.86069,2,6,1,4,0.3948,l,2015-09-26 19:30:00,0,0,1,0,-1.31605,479,27,130,26,2,4,1,7,-4.666795,4.218457,9.645352,4.218457,8.885252000000001,3,10,5.894100000000001,1,4,0,3,-4.307639,3.779096,8.846835,3.779096,8.086735000000001,2,10,3.888,Paris Saint Germain,0.0679,0.1911,0.741
8,h,3.63872,1.77639,2.11853,1.0163,12,7,2,1,2.5399000000000003,w,2015-10-04 23:00:00,1,0,0,3,1.1022299999999998,238,43,375,25,7,0,2,23,9.892929,17.452037,6.038908,15.171747,5.278818,19,5,20.3543,3,0,2,11,5.655916,11.64154,4.4654240000000005,9.36125,3.705334000000001,12,5,11.5993,Marseille,0.8043,0.127,0.0687,h,1.57087,1.09501,0.810771,0.334912,10,2,1,2,1.7352,l,2015-09-27 16:00:00,0,0,1,0,0.475859,145,26,387,21,2,4,2,8,4.560998,11.591342,8.550543,10.831243,6.270245,13,9,12.377699999999995,1,2,2,5,0.927484,5.8029090000000005,6.395624,5.04281,4.115326,7,7,6.3806,Angers,0.4651,0.3399,0.195
9,a,1.78051,0.631104,1.78051,0.631104,8,4,2,0,2.2989,w,2015-10-17 19:00:00,1,0,0,3,1.149406,139,38,478,31,8,0,2,26,11.042335,19.232547,6.670012,16.952257,5.909922,21,5,22.6532,4,0,1,13,6.112434,11.87111,4.238476,9.59082,3.478386,12,3,11.9786,SC Bastia,0.694,0.2169,0.0891,a,0.461843,2.30918,0.461843,1.54908,7,5,0,1,0.2121,l,2015-10-03 22:00:00,0,0,1,0,-1.087237,244,27,209,25,3,5,1,10,-6.289678,7.457473,15.26735,7.457473,13.747151,12,14,6.800400000000001,1,4,0,3,-5.011096,3.740874,9.51207,3.740874,8.75197,5,10,3.1451,Angers,0.0322,0.1155,0.8523
