,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.79874,0.460955,0.79874,0.460955,1,6,1,2,1.7466999999999997,l,2015-08-08 23:00:00,0,0,1,0,0.337785,147,25,227,26,0,1,0,0,0.337785,0.79874,0.460955,0.79874,0.460955,1,2,1.7466999999999997,0,1,0,0,0.337785,0.79874,0.460955,0.79874,0.460955,1,2,1.7466999999999997,SC Bastia,0.4569,0.376,0.1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.718904,0.161006,0.718904,0.161006,4,3,1,0,1.8926,w,2015-08-15 22:00:00,1,0,0,3,0.557898,218,23,236,34,1,1,0,3,0.895683,1.517644,0.621961,1.517644,0.621961,2,2,3.6393,1,1,0,3,0.895683,1.517644,0.621961,1.517644,0.621961,2,2,3.6393,Montpellier,0.4803,0.4517,0.068,h,0.706047,1.54499,0.706047,1.54499,2,8,0,2,0.7184,l,2015-08-08 23:00:00,0,0,1,0,-0.8389430000000001,147,20,303,20,0,1,0,0,-0.8389430000000001,0.706047,1.54499,0.706047,1.54499,0,2,0.7184,0,1,0,0,-0.8389430000000001,0.706047,1.54499,0.706047,1.54499,0,2,0.7184,Angers,0.1565,0.2489,0.5946
2,a,0.42381,0.730806,0.42381,0.730806,2,10,2,1,0.9993,w,2015-08-22 19:00:00,1,0,0,3,-0.3069959999999999,347,23,138,23,2,1,0,6,0.5886870000000001,1.941454,1.352767,1.941454,1.352767,4,3,4.638599999999999,2,1,0,6,0.5886870000000001,1.941454,1.352767,1.941454,1.352767,4,3,4.638599999999999,Lyon,0.1953,0.4134,0.3913,a,0.738048,1.0359,0.738048,1.0359,2,4,1,0,1.06,w,2015-08-15 22:00:00,1,0,0,3,-0.297852,101,24,298,23,1,0,1,4,0.0107749999999999,1.813258,1.802483,1.813258,1.802483,1,0,2.6425,1,0,1,4,0.0107749999999999,1.813258,1.802483,1.813258,1.802483,1,0,2.6425,Guingamp,0.2393,0.3421,0.4186
3,h,1.91483,1.40577,1.01331,1.40577,5,3,3,1,1.7843,w,2015-08-29 22:00:00,1,0,0,3,-0.39246,207,23,215,35,3,1,0,9,0.196227,3.856284,2.758537,2.954764,2.758537,7,4,6.422899999999999,3,1,0,9,0.196227,3.856284,2.758537,2.954764,2.758537,7,4,6.422899999999999,Toulouse,0.4977,0.2912,0.2111,h,2.0162,1.42714,2.0162,1.42714,7,3,1,1,1.8605,d,2015-08-22 22:00:00,0,1,0,1,0.5890599999999999,266,31,203,27,1,1,1,4,-0.2633100000000001,3.627809,3.891119,3.627809,3.891119,3,3,3.7456,1,1,1,4,-0.2633100000000001,3.627809,3.891119,3.627809,3.891119,3,3,3.7456,Monaco,0.5394,0.2423,0.2183
4,a,2.24932,0.585464,2.24932,0.585464,5,2,2,0,2.5776,w,2015-09-13 19:00:00,1,0,0,3,1.663856,189,31,275,24,4,1,0,12,1.860083,6.105604,3.344001,5.204084,3.344001,9,4,9.000499999999999,4,1,0,12,1.860083,6.105604,3.344001,5.204084,3.344001,9,4,9.000499999999999,Nantes,0.8116,0.1428,0.0456,a,0.358858,2.98014,0.358858,2.22004,2,9,0,2,0.0644,l,2015-08-30 19:00:00,0,0,1,0,-1.861182,258,32,242,26,2,1,1,7,-0.702113,2.712399,4.174612,2.712399,3.414512,2,2,4.683000000000001,2,1,1,7,-0.702113,2.712399,4.174612,2.712399,3.414512,2,2,4.683000000000001,Bordeaux,0.0087,0.0383,0.953
5,h,2.13208,1.03901,1.37198,1.03901,6,4,1,1,2.3481,d,2015-09-18 22:30:00,0,1,0,1,0.33297,169,29,177,37,4,1,1,13,2.193053,8.237684,4.383011,6.576064,4.383011,10,5,11.3486,4,0,1,13,1.855268,7.438944,3.922056,5.777323999999999,3.922056,9,3,9.6019,Lille,0.7167,0.198,0.0853,a,0.472192,0.850666,0.472192,0.850666,3,7,0,0,0.9179,d,2015-09-12 19:00:00,0,1,0,1,-0.378474,271,32,119,38,1,1,3,6,0.4940630000000001,5.035017999999999,4.540955,5.035017999999999,4.540955,1,1,7.011699999999999,1,1,3,6,0.4940630000000001,5.035017999999999,4.540955,5.035017999999999,4.540955,1,1,7.011699999999999,Lyon,0.1788,0.3815,0.4397
6,a,1.6963,0.502333,1.6963,0.502333,10,1,1,1,2.3377,d,2015-09-23 21:00:00,0,1,0,1,1.1939669999999998,225,23,235,22,4,1,2,14,3.38702,9.933984,4.885344,8.272364,4.885344,11,6,13.6863,3,0,2,11,2.491337,8.41634,4.263383,6.75472,4.263383,9,4,10.047,GFC Ajaccio,0.7089,0.211,0.0801,a,0.222122,1.31453,0.222122,1.31453,2,3,1,2,0.3843,l,2015-09-19 22:00:00,0,0,1,0,-1.092408,296,16,161,14,0,5,1,1,-5.002728,3.185597,8.188335,2.425507,7.428234999999999,1,8,4.585000000000001,0,5,0,0,-4.9079500000000005,2.125827,7.793877,2.125827,7.033776999999999,1,8,2.4556,Guingamp,0.0463,0.2454,0.7083
7,h,1.24575,0.964618,1.24575,0.964618,4,4,1,1,1.5702,d,2015-09-26 22:00:00,0,1,0,1,0.2811319999999999,149,29,244,20,4,1,3,15,3.668152,11.179733999999998,5.849962,9.518114,5.849962,12,7,15.2565,2,0,3,9,3.0794649999999995,9.23828,4.497195,7.576659999999999,4.497195,8,4,10.6179,Troyes,0.4234,0.3,0.2766,h,0.421449,1.5576,0.421449,1.5576,3,8,0,1,0.4251,l,2015-09-23 21:00:00,0,0,1,0,-1.136151,274,19,216,23,0,4,3,3,-4.780963000000001,5.268506,12.329759,5.268506,10.049469,4,14,4.7402,0,4,1,1,-4.6695910000000005,3.607538,9.037229,3.607538,8.277129,1,11,3.4999,Saint-Etienne,0.0687,0.219,0.7123
8,a,1.53435,1.46766,0.774251,1.46766,4,4,1,1,1.4206,d,2015-10-04 16:00:00,0,1,0,1,-0.6934089999999999,251,13,240,26,4,1,4,16,2.974743,12.714083999999998,7.317622,10.292364999999998,7.317622,13,8,16.6771,1,0,4,7,2.778516,8.857800000000001,4.559085,7.337600999999999,4.559085,6,4,10.2542,Monaco,0.372,0.3046,0.3234,a,1.01214,1.34153,1.01214,1.34153,4,7,3,3,1.1075,d,2015-09-27 19:00:00,0,1,0,1,-0.3293899999999998,170,32,207,39,3,2,3,12,0.0978320000000003,13.610500000000002,11.992468000000002,12.0903,11.992468000000002,12,13,11.8535,2,2,1,7,-1.8004039999999994,8.10671,8.386914,6.5865100000000005,8.386914,9,11,6.6221,Guingamp,0.2724,0.2903,0.4373
9,h,0.745276,2.09843,0.745276,2.09843,4,3,1,4,0.3714,l,2015-10-18 23:00:00,0,0,1,0,-1.353154,413,43,223,14,4,2,4,16,1.6215889999999995,13.459359999999998,9.416052,11.037641,9.416052,14,12,17.0485,0,1,4,4,-0.2384940000000002,7.353756000000001,6.072051,5.833557000000001,6.072051,5,8,8.048,Nice,0.0682,0.1668,0.765,a,2.09843,0.745276,2.09843,0.745276,3,4,4,1,2.4618,w,2015-10-18 23:00:00,1,0,0,3,1.353154,223,14,413,43,5,2,2,17,1.831005,12.99923,11.168215,12.23913,10.408125,24,12,14.4047,4,1,0,12,3.232501,8.304043,5.831632000000001,8.304043,5.071542000000001,17,5,8.7134,Rennes,0.765,0.1668,0.0682
10,a,0.926945,1.26587,0.926945,1.26587,4,9,1,1,1.0306,d,2015-10-24 19:00:00,0,1,0,1,-0.338925,259,33,363,26,4,2,5,17,1.2826639999999996,14.386304999999998,10.681922,11.964586,10.681922,15,13,18.0791,0,1,4,4,-0.9103890000000002,6.148621,6.298911,5.388522,6.298911,5,8,6.7305,Lorient,0.2388,0.3142,0.447,a,0.513929,1.64811,0.513929,0.888017,2,8,1,1,0.4386,d,2015-10-18 16:00:00,0,1,0,1,-0.374088,328,20,174,27,4,3,3,15,-4.163086,10.484065,13.887054,8.963874999999998,13.126961,15,14,11.721299999999998,3,1,1,10,-0.260513,5.671156000000001,5.931671,4.911065000000001,5.171577999999999,10,7,6.6272,Marseille,0.0744,0.2154,0.7102
11,h,0.185016,0.699325,0.185016,0.699325,1,12,0,1,0.7306,l,2015-10-30 23:30:00,0,0,1,0,-0.5143089999999999,438,43,242,36,4,3,5,17,0.7683549999999997,14.571320999999998,11.381247,12.149601999999998,11.381247,15,14,18.8097,0,2,3,3,-2.618665,4.6373370000000005,6.495903,3.877238,6.495903,4,8,5.1234,Paris Saint Germain,0.0902,0.46,0.4498,h,4.46576,0.565349,4.46576,0.565349,15,2,4,1,2.9502,w,2015-10-26 00:00:00,1,0,0,3,3.900411000000001,199,23,598,39,9,0,2,29,14.942746,23.698307,7.235361,21.418017,6.475271,25,6,25.6034,5,0,0,15,9.404059,14.85679,3.932531,12.5765,3.172441,15,3,13.0877,Saint-Etienne,0.9776,0.0174,0.005
