,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.460955,0.79874,0.460955,0.79874,6,1,2,1,0.8773,w,2015-08-08 23:00:00,1,0,0,3,-0.337785,227,26,147,25,1,0,0,3,-0.337785,0.460955,0.79874,0.460955,0.79874,2,1,0.8773,1,0,0,3,-0.337785,0.460955,0.79874,0.460955,0.79874,2,1,0.8773,Rennes,0.1671,0.376,0.4569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.36492,1.71708,1.36492,0.956981,1,5,1,1,1.0331,d,2015-08-16 19:00:00,0,1,0,1,0.4079389999999999,389,29,159,26,1,0,1,4,0.0701539999999999,1.825875,2.51582,1.825875,1.755721,3,2,1.9104,1,0,1,4,0.0701539999999999,1.825875,2.51582,1.825875,1.755721,3,2,1.9104,Lorient,0.2508,0.2807,0.4685,a,0.766583,1.07521,0.766583,1.07521,0,9,0,0,1.08,d,2015-08-09 23:00:00,0,1,0,1,-0.308627,443,12,215,23,0,0,1,1,-0.308627,0.766583,1.07521,0.766583,1.07521,0,0,1.08,0,0,1,1,-0.308627,0.766583,1.07521,0.766583,1.07521,0,0,1.08,Lyon,0.2475,0.3375,0.415
2,h,1.283,1.37129,1.283,1.37129,7,9,3,0,1.3016,w,2015-08-22 22:00:00,1,0,0,3,-0.0882899999999999,263,19,196,28,2,0,1,7,-0.018136,3.108875,3.88711,3.108875,3.1270109999999995,6,2,3.212,2,0,1,7,-0.018136,3.108875,3.88711,3.108875,3.1270109999999995,6,2,3.212,Guingamp,0.34,0.2816,0.3784,h,1.0359,0.738048,1.0359,0.738048,4,2,0,1,1.5979,l,2015-08-15 22:00:00,0,0,1,0,0.297852,298,23,101,24,0,2,0,0,0.431477,1.442665,1.011188,1.442665,1.011188,0,2,2.9727,0,2,0,0,0.431477,1.442665,1.011188,1.442665,1.011188,0,2,2.9727,Lyon,0.4186,0.3421,0.2393
3,a,0.607724,1.86817,0.607724,1.86817,3,9,1,2,0.4433,l,2015-08-30 16:00:00,0,0,1,0,-1.260446,292,15,146,31,2,1,1,7,-1.278582,3.716599,5.75528,3.716599,4.995181,7,4,3.6553,2,1,1,7,-1.278582,3.716599,5.75528,3.716599,4.995181,7,4,3.6553,Saint-Etienne,0.0818,0.1979,0.7203,a,2.35602,0.548561,2.35602,0.548561,11,2,1,0,2.6299,w,2015-08-23 19:00:00,1,0,0,3,1.807459,171,37,349,10,1,1,1,4,1.2475110000000005,3.752641,2.50513,3.752641,2.50513,3,3,4.928100000000001,1,1,1,4,1.2475110000000005,3.752641,2.50513,3.752641,2.50513,3,3,4.928100000000001,Lorient,0.8363,0.121,0.0427
4,a,0.490543,1.62468,0.490543,1.62468,3,7,1,4,0.4687,l,2015-09-13 23:00:00,0,0,1,0,-1.134137,371,18,253,19,2,2,1,7,-2.412719,4.207142,7.37996,4.207142,6.619860999999999,8,8,4.1240000000000006,2,2,1,7,-2.412719,4.207142,7.37996,4.207142,6.619860999999999,8,8,4.1240000000000006,Marseille,0.0821,0.2224,0.6955,a,0.910693,1.78623,0.910693,1.02613,4,2,0,2,0.6606000000000001,l,2015-08-28 22:30:00,0,0,1,0,-0.115437,154,18,309,23,1,3,0,3,3.518077,6.699126,3.941149,6.699126,3.181049,6,4,6.6577,1,3,0,3,3.518077,6.699126,3.941149,6.699126,3.181049,6,4,6.6577,Guingamp,0.1406,0.2388,0.6206
5,h,0.627561,1.89072,0.627561,1.89072,9,2,1,3,0.4318,l,2015-09-19 22:00:00,0,0,1,0,-1.263159,253,26,201,19,2,3,1,7,-3.675878,4.834703,9.27068,4.834703,8.510580999999998,9,11,4.5558000000000005,1,3,1,4,-3.338093,4.373748000000001,8.47194,4.373748000000001,7.711841,7,10,3.678500000000001,Nice,0.0786,0.196,0.7254,h,0.792313,1.21767,0.792313,1.21767,4,3,0,1,0.9304,l,2015-09-12 22:00:00,0,0,1,0,-0.425357,183,25,407,43,1,2,2,5,-1.826853,5.4875,6.554253,4.7274,6.554253,7,8,6.621700000000001,1,2,2,5,-1.826853,5.4875,6.554253,4.7274,6.554253,7,8,6.621700000000001,Guingamp,0.2109,0.2977,0.4914
6,a,0.335527,2.50549,0.335527,2.50549,1,5,0,2,0.0887,l,2015-09-23 21:00:00,0,0,1,0,-2.169963,398,20,215,24,2,4,1,7,-5.845841,5.17023,11.77617,5.17023,11.016070999999998,9,13,4.644500000000001,1,4,0,3,-5.915995,3.344355,9.26035,3.344355,9.26035,6,11,2.7341,Lyon,0.0069,0.068,0.9251,a,2.16016,1.04752,1.40006,1.04752,9,7,1,1,2.2219,d,2015-09-20 23:00:00,0,1,0,1,0.3525400000000001,278,34,305,29,2,1,3,9,1.2929119999999998,6.649509999999999,4.596498,5.88941,4.596498,7,3,9.7153,2,1,2,8,0.984285,5.574299999999999,3.829915,4.8142,3.829915,7,3,8.1328,Marseille,0.6701,0.2116,0.1183
7,h,1.8254,1.182,1.8254,1.182,1,6,3,0,1.9438,w,2015-09-26 22:00:00,1,0,0,3,0.6434,272,30,171,26,3,4,1,10,-5.202441,6.99563,12.95817,6.99563,12.198071,12,13,6.5883,1,4,0,3,-5.184305,3.886755,9.07106,3.886755,9.07106,6,11,3.3763,Toulouse,0.5668,0.2434,0.1898,h,0.863681,0.649146,0.863681,0.649146,1,3,1,1,1.5192,d,2015-09-23 23:00:00,0,1,0,1,0.214535,294,28,206,29,1,2,4,7,1.2456140000000002,9.69652,9.352426,9.69652,8.450906,8,10,9.6617,0,1,4,4,2.0979840000000003,8.084911,6.888446999999999,8.084911,5.986927,6,8,7.776599999999999,Marseille,0.3826,0.3714,0.246
8,a,0.461843,2.30918,0.461843,1.54908,7,5,0,1,0.2121,l,2015-10-03 22:00:00,0,0,1,0,-1.087237,244,27,209,25,3,5,1,10,-6.289678,7.457473,15.26735,7.457473,13.747151,12,14,6.800400000000001,1,4,0,3,-5.011096,3.740874,9.51207,3.740874,8.75197,5,10,3.1451,Angers,0.0322,0.1155,0.8523,a,1.09501,1.57087,0.334912,0.810771,2,10,2,1,0.9249,w,2015-09-27 16:00:00,1,0,0,3,-0.475859,387,21,145,26,4,1,3,15,0.018026,7.711346,6.933221,6.191148,6.173121999999999,9,5,11.2359,2,1,2,8,-1.818293,4.617824000000001,5.676018,3.097626,4.915919,5,5,5.6561,Marseille,0.195,0.3399,0.4651
9,h,0.631104,1.78051,0.631104,1.78051,4,8,0,2,0.4841999999999999,l,2015-10-17 19:00:00,0,0,1,0,-1.149406,478,31,139,38,3,6,1,10,-7.439084,8.088577,17.04786,8.088577,15.527660999999998,12,16,7.284600000000001,1,4,0,3,-5.026365,3.881435,9.6679,3.881435,8.9078,4,8,3.1606,Paris Saint Germain,0.0891,0.2169,0.694,h,3.63872,1.77639,2.11853,1.0163,12,7,2,1,2.5399000000000003,w,2015-10-04 23:00:00,1,0,0,3,1.1022299999999998,238,43,375,25,7,0,2,23,9.892929,17.452037,6.038908,15.171747,5.278818,19,5,20.3543,3,0,2,11,5.655916,11.64154,4.4654240000000005,9.36125,3.705334000000001,12,5,11.5993,Marseille,0.8043,0.127,0.0687
