,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.394458,1.05977,0.394458,0.29968,6,3,0,0,0.5763,d,2015-08-08 23:00:00,0,1,0,1,0.0947779999999999,258,19,254,10,0,0,1,1,0.0947779999999999,0.394458,1.05977,0.394458,0.29968,0,0,0.5763,0,0,1,1,0.0947779999999999,0.394458,1.05977,0.394458,0.29968,0,0,0.5763,GFC Ajaccio,0.094,0.2943,0.6117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.26651,2.23276,1.26651,1.47266,4,7,3,3,0.664,d,2015-08-15 22:00:00,0,1,0,1,-0.20615,392,25,249,22,0,0,2,2,-0.111372,1.660968,3.29253,1.660968,1.77234,3,3,1.2403,0,0,2,2,-0.111372,1.660968,3.29253,1.660968,1.77234,3,3,1.2403,Nice,0.1463,0.2251,0.6286,h,0.459874,2.81413,0.459874,2.81413,4,7,1,2,0.0857,l,2015-08-08 23:00:00,0,0,1,0,-2.354256,232,20,214,42,0,1,0,0,-2.354256,0.459874,2.81413,0.459874,2.81413,1,2,0.0857,0,1,0,0,-2.354256,0.459874,2.81413,0.459874,2.81413,1,2,0.0857,Monaco,0.0105,0.0542,0.9353
2,a,0.267975,3.2103,0.267975,3.2103,6,4,0,6,0.0428,l,2015-08-23 23:00:00,0,0,1,0,-2.9423250000000003,348,24,269,19,0,1,2,2,-3.0536970000000005,1.928943,6.50283,1.928943,4.98264,3,9,1.2831,0,1,2,2,-3.0536970000000005,1.928943,6.50283,1.928943,4.98264,3,9,1.2831,Marseille,0.0043,0.0299,0.9658,a,0.398183,0.941285,0.398183,0.941285,1,4,0,1,0.7830999999999999,l,2015-08-16 16:00:00,0,0,1,0,-0.543102,154,32,287,25,0,2,0,0,0.6911889999999998,2.578133,1.886944,2.578133,1.886944,0,2,3.0698,0,2,0,0,0.6911889999999998,2.578133,1.886944,2.578133,1.886944,0,2,3.0698,Reims,0.1402,0.3625,0.4973
3,h,0.853602,0.768639,0.853602,0.768639,6,6,0,0,1.4062,d,2015-08-29 22:00:00,0,1,0,1,0.084963,277,25,188,19,0,1,3,3,-2.9687340000000004,2.782545,7.271469000000001,2.782545,5.751279,3,9,2.6893,0,1,3,3,-2.9687340000000004,2.782545,7.271469000000001,2.782545,5.751279,3,9,2.6893,Montpellier,0.3479,0.3625,0.2896,h,0.372892,0.755727,0.372892,0.755727,3,3,0,1,0.8827,l,2015-08-21 22:30:00,0,0,1,0,-0.382835,492,27,201,21,0,3,0,0,-1.7796760000000005,1.239945,3.019621,1.239945,3.019621,0,4,2.2568,0,3,0,0,-1.7796760000000005,1.239945,3.019621,1.239945,3.019621,0,4,2.2568,Paris Saint Germain,0.1578,0.4093,0.4329
4,h,0.404312,1.61264,0.404312,1.61264,3,7,1,3,0.4245,l,2015-09-12 22:00:00,0,0,1,0,-1.208328,115,15,321,16,0,2,3,3,-4.177062,3.186857,8.884109,3.186857,7.363919,4,12,3.1138,0,2,3,3,-4.177062,3.186857,8.884109,3.186857,7.363919,4,12,3.1138,Caen,0.0702,0.2139,0.7159,h,0.850493,1.09462,0.850493,1.09462,5,2,0,4,1.1202,l,2015-08-29 19:00:00,0,0,1,0,-0.2441269999999998,326,20,143,34,2,2,0,6,-1.2164439999999996,4.283556,5.5,4.283556,5.5,3,6,4.5528,2,2,0,6,-1.2164439999999996,4.283556,5.5,4.283556,5.5,3,6,4.5528,Lyon,0.2678,0.3168,0.4154
5,a,1.6602,1.88805,1.6602,1.12795,4,3,0,1,1.2013,l,2015-09-19 22:00:00,0,0,1,0,0.5322499999999999,147,19,303,19,0,3,3,3,-3.644812,4.847057,10.772159,4.847057,8.491869,4,13,4.3151,0,3,2,2,-3.73959,4.452599,9.712389,4.452599,8.192189,4,13,3.7388,Angers,0.3108,0.2689,0.4203,a,0.735923,1.35999,0.735923,1.35999,1,10,1,3,0.8245,l,2015-09-12 22:00:00,0,0,1,0,-0.624067,318,29,322,31,2,1,2,8,0.6114179999999999,4.133824,3.522406,4.133824,3.522406,6,4,7.055800000000001,2,1,2,8,0.6114179999999999,4.133824,3.522406,4.133824,3.522406,6,4,7.055800000000001,Lorient,0.1774,0.2923,0.5303
6,h,0.421449,1.5576,0.421449,1.5576,3,8,0,1,0.4251,l,2015-09-23 21:00:00,0,0,1,0,-1.136151,274,19,216,23,0,4,3,3,-4.780963000000001,5.268506,12.329759,5.268506,10.049469,4,14,4.7402,0,4,1,1,-4.6695910000000005,3.607538,9.037229,3.607538,8.277129,1,11,3.4999,Saint-Etienne,0.0687,0.219,0.7123,h,1.36073,0.375954,1.36073,0.375954,8,4,2,0,2.1987,w,2015-09-20 19:00:00,1,0,0,3,0.984776,202,24,267,26,4,1,1,13,2.9508430000000003,7.989390999999999,5.0385480000000005,7.989390999999999,5.0385480000000005,9,5,10.4088,4,0,1,13,2.5062230000000003,7.061252,4.555029,7.061252,4.555029,8,3,8.648900000000001,Nantes,0.6447,0.2646,0.0907
7,a,0.964618,1.24575,0.964618,1.24575,4,4,1,1,1.1298,d,2015-09-26 22:00:00,0,1,0,1,-0.2811319999999999,244,20,149,29,0,4,4,4,-5.062095000000001,6.233123999999999,13.575509,6.233123999999999,11.295219,5,15,5.87,0,3,2,2,-2.008398000000001,4.304181,7.072679,4.304181,6.312579,2,6,4.5869,Rennes,0.2766,0.3,0.4234,a,1.6963,0.502333,1.6963,0.502333,10,1,1,1,2.3377,d,2015-09-23 21:00:00,0,1,0,1,1.1939669999999998,225,23,235,22,4,1,2,14,3.38702,9.933984,4.885344,8.272364,4.885344,11,6,13.6863,3,0,2,11,2.491337,8.41634,4.263383,6.75472,4.263383,9,4,10.047,GFC Ajaccio,0.7089,0.211,0.0801
8,h,1.21348,2.19927,1.21348,2.19927,8,7,0,1,0.6056999999999999,l,2015-10-03 22:00:00,0,0,1,0,-0.98579,168,27,195,18,0,5,4,4,-6.047885000000001,7.446603999999999,15.774779,7.446603999999999,13.494489,5,16,6.4757,0,4,1,1,-3.0791510000000004,4.664058999999999,8.50331,4.664058999999999,7.743209999999999,2,7,3.7864,Guingamp,0.1224,0.2385,0.6391,h,1.34153,1.01214,1.34153,1.01214,7,4,3,3,1.6022,d,2015-09-27 19:00:00,0,1,0,1,0.3293899999999998,207,39,170,32,3,4,1,10,0.5463969999999996,8.888962999999999,8.342566,8.128862999999999,7.582466,8,12,12.3072,3,1,1,10,0.0266299999999999,6.075007999999999,6.048378,5.314908,5.288278,8,7,7.917700000000001,Monaco,0.4373,0.2903,0.2724
9,a,0.88042,1.83778,0.88042,1.83778,12,4,0,3,0.6365000000000001,l,2015-10-17 22:00:00,0,0,1,0,-0.95736,245,16,271,23,0,6,4,4,-7.005245,8.327023999999998,17.612559,8.327023999999998,15.332269,5,19,7.1122,0,4,1,1,-2.828183,5.140167,8.72845,5.140167,7.968350000000001,1,7,3.9984,Nantes,0.1355,0.23,0.6345,h,1.83778,0.88042,1.83778,0.88042,4,12,3,0,2.1335,w,2015-10-17 22:00:00,1,0,0,3,0.95736,271,23,245,16,4,4,1,13,-3.2789749999999995,7.644697000000001,11.683771999999998,7.644697000000001,10.923672,7,10,9.8184,2,3,0,6,-2.576862,4.932297999999999,7.50916,4.932297999999999,7.50916,5,8,5.1354,Troyes,0.6345,0.23,0.1355
