,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.16592,1.50131,1.16592,1.50131,3,7,3,2,1.0943,w,2016-08-13 19:00:00,1,0,0,3,-0.3353899999999998,207,18,161,32,1,0,0,3,-0.3353899999999998,1.16592,1.50131,1.16592,1.50131,3,2,1.0943,1,0,0,3,-0.3353899999999998,1.16592,1.50131,1.16592,1.50131,3,2,1.0943,Saint-Etienne,0.2683,0.2894,0.4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.7395,1.58483,0.7395,1.58483,0,4,1,4,0.6476999999999999,l,2016-08-20 22:00:00,0,0,1,0,-0.8453299999999999,177,26,175,31,1,1,0,3,-1.1807199999999998,1.90542,3.08614,1.90542,3.08614,4,6,1.742,1,1,0,3,-1.1807199999999998,1.90542,3.08614,1.90542,3.08614,4,6,1.742,Toulouse,0.1334,0.2475,0.6191,a,0.254141,0.372135,0.254141,0.372135,1,3,0,0,1.0565,d,2016-08-14 22:45:00,0,1,0,1,-0.1179939999999999,277,40,171,33,0,0,1,1,-0.1179939999999999,0.254141,0.372135,0.254141,0.372135,0,0,1.0565,0,0,1,1,-0.1179939999999999,0.254141,0.372135,0.254141,0.372135,0,0,1.0565,Marseille,0.1581,0.5822,0.2597
2,h,1.70798,0.74034,1.70798,0.74034,3,6,1,0,2.261,w,2016-08-28 17:00:00,1,0,0,3,0.96764,259,30,237,37,2,1,0,6,-0.2130799999999997,3.6134,3.82648,3.6134,3.82648,5,6,4.003,2,1,0,6,-0.2130799999999997,3.6134,3.82648,3.6134,3.82648,5,6,4.003,Nantes,0.6822,0.2144,0.1034,h,0.322377,0.545027,0.322377,0.545027,4,1,0,1,0.9865,l,2016-08-20 19:00:00,0,0,1,0,-0.22265,238,22,238,32,1,1,0,3,0.8012079999999999,1.640437,0.839229,1.640437,0.839229,1,1,3.3065999999999995,1,1,0,3,0.8012079999999999,1.640437,0.839229,1.640437,0.839229,1,1,3.3065999999999995,Monaco,0.1681,0.4822,0.3497
3,a,1.5749,0.993332,1.5749,0.993332,3,5,3,1,1.8541,w,2016-09-10 19:00:00,1,0,0,3,0.581568,294,18,257,20,3,1,0,9,0.3684880000000002,5.1883,4.819812,5.1883,4.819812,8,7,5.8571,3,1,0,9,0.3684880000000002,5.1883,4.819812,5.1883,4.819812,8,7,5.8571,Lyon,0.5262,0.2755,0.1983,a,2.38079,1.99507,2.38079,1.23498,10,7,2,4,1.6074,l,2016-08-27 19:00:00,0,0,1,0,1.1458100000000002,168,20,425,25,2,1,0,6,3.957441,7.54966,2.832119,6.02947,2.072029,7,4,7.1309000000000005,2,1,0,6,3.957441,7.54966,2.832119,6.02947,2.072029,7,4,7.1309000000000005,Dijon,0.455,0.2424,0.3026
4,h,0.712968,1.13896,0.712968,1.13896,3,3,0,1,0.8751,l,2016-09-17 22:00:00,0,0,1,0,-0.4259919999999999,162,21,340,30,3,2,0,9,-0.0575039999999996,5.901268,5.958772,5.901268,5.958772,8,8,6.7322,3,2,0,9,-0.0575039999999996,5.901268,5.958772,5.901268,5.958772,8,8,6.7322,Angers,0.1868,0.3147,0.4985,h,0.606116,0.804238,0.606116,0.804238,4,3,3,1,1.0242,w,2016-09-10 22:00:00,1,0,0,3,-0.198122,362,23,226,23,1,3,0,3,-0.7748520000000003,3.417606,4.192458,3.417606,4.192458,3,5,4.589499999999999,1,3,0,3,-0.7748520000000003,3.417606,4.192458,3.417606,4.192458,3,5,4.589499999999999,Dijon,0.2188,0.3678,0.4134
5,a,2.08591,0.446493,1.32581,0.446493,6,3,3,0,2.5926,w,2016-09-21 21:00:00,1,0,0,3,0.8793169999999999,259,20,307,26,4,2,0,12,0.8218130000000002,7.987178,6.405265,7.227078,6.405265,11,8,9.3248,3,2,0,9,1.157203,6.821258,4.903955,6.061158,4.903955,8,6,8.2305,Metz,0.8174,0.1404,0.0422,a,0.973689,1.68116,0.213594,0.921201,5,3,0,0,0.6921999999999999,d,2016-09-17 22:00:00,0,1,0,1,-0.7076070000000001,231,24,127,26,3,1,1,10,-5.606840000000001,6.049048000000001,9.375467,3.008668,8.615508,8,5,5.131899999999999,3,1,1,10,-5.606840000000001,6.049048000000001,9.375467,3.008668,8.615508,8,5,5.131899999999999,Dijon,0.1266,0.3124,0.561
6,h,0.854776,0.383979,0.854776,0.383979,1,4,0,0,1.7717,d,2016-09-24 22:00:00,0,1,0,1,0.4707969999999999,131,22,281,20,4,2,1,13,1.2926100000000005,8.841954,6.789244,8.081854,6.789244,11,8,11.0965,3,1,1,10,2.4733300000000003,6.936534000000001,3.703104,6.176434,3.703104,7,2,9.3545,Caen,0.461,0.3887,0.1503,a,0.505767,1.31977,0.505767,1.31977,5,4,1,2,0.6339,l,2016-09-21 21:00:00,0,0,1,0,-0.8140030000000001,272,34,307,20,2,4,0,6,-1.3818360000000005,7.082763000000001,10.744879,6.322663,7.704499,6,14,6.464599999999999,1,4,0,3,-2.428366,4.809923,8.758479000000001,4.049823,6.478189,3,12,4.9036,Angers,0.1181,0.2796,0.6023
7,a,0.741264,2.34986,0.741264,2.34986,2,8,0,2,0.303,l,2016-10-01 19:00:00,0,0,1,0,-1.608596,624,20,238,32,4,3,1,13,-0.3159859999999996,9.583218,9.139104,8.823118,9.139104,11,10,11.3995,2,2,1,7,-0.1029060000000001,5.969818,5.312624,5.2097180000000005,5.312624,6,4,7.3965,Paris Saint Germain,0.0466,0.1632,0.7902,a,1.04576,1.44408,1.04576,0.68398,7,1,0,2,0.9767,l,2016-09-23 22:45:00,0,0,1,0,0.36178,158,20,495,40,4,2,1,13,7.403245,14.241727,6.078388,11.961437,4.558192,15,6,14.373999999999995,2,2,1,7,4.706561000000001,9.72022,4.253565,7.439929999999999,2.733369,11,6,10.4144,Toulouse,0.2229,0.308,0.4691
8,a,0.684781,1.85899,0.684781,1.85899,4,4,1,1,0.5184,d,2016-10-16 17:00:00,0,1,0,1,-1.1742089999999998,314,26,315,32,4,3,2,14,-1.4901949999999995,10.267998999999998,10.998094,9.507898999999998,10.998094,12,11,11.9179,1,2,2,5,-1.858683,5.079699000000001,6.178281999999999,4.319599,6.178281999999999,4,4,6.0608,Rennes,0.1024,0.2112,0.6864,h,1.63564,0.397185,0.875546,0.397185,5,3,1,0,2.4544,w,2016-09-30 22:45:00,1,0,0,3,0.478361,169,36,320,19,4,3,1,13,-0.7393490000000003,8.379056,9.118398,6.858861999999999,7.598211000000001,9,10,10.3328,3,2,0,9,-1.463832,5.742274999999999,6.446005,4.222081,5.685913,6,8,6.548699999999999,Guingamp,0.7551,0.1891,0.0558
9,h,1.27082,1.05802,1.27082,1.05802,4,4,1,1,1.5206,d,2016-10-22 22:00:00,0,1,0,1,0.2128000000000001,160,26,235,25,4,3,3,15,-1.2773949999999994,11.538818999999998,12.056114,10.778719,12.056114,13,12,13.4385,1,1,3,6,-1.2198909999999998,5.637551,6.097342,4.877451000000001,6.097342,5,4,6.7063,Nancy,0.3954,0.3344,0.2702,h,0.203584,0.603299,0.203584,0.603299,2,4,1,2,0.7683,l,2016-10-15 19:00:00,0,0,1,0,-0.399715,474,46,187,19,1,6,2,5,-5.6172816,5.708764400000001,10.565946,4.188574399999999,9.805856,4,12,8.3153,0,3,2,2,-2.1311846,2.2020304,5.093305,2.2020304,4.333215,2,5,3.9615,Paris Saint Germain,0.0978,0.4749,0.4273
