,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.27284,1.9864,2.27284,1.22631,8,7,3,2,1.561,w,2016-08-13 22:00:00,1,0,0,3,1.04653,215,24,266,21,1,0,0,3,1.04653,2.27284,1.9864,2.27284,1.22631,3,2,1.561,1,0,0,3,1.04653,2.27284,1.9864,2.27284,1.22631,3,2,1.561,Lorient,0.4333,0.2611,0.3056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.458346,2.84412,0.458346,1.32393,0,7,0,2,0.1162,l,2016-08-19 22:45:00,0,0,1,0,-0.8655840000000001,344,32,108,28,1,1,0,3,0.1809459999999998,2.731186,4.83052,2.731186,2.55024,3,4,1.6772,1,1,0,3,0.1809459999999998,2.731186,4.83052,2.731186,2.55024,3,4,1.6772,Lyon,0.0166,0.0664,0.917,a,2.32475,0.378703,2.32475,0.378703,7,6,3,0,2.7061,w,2016-08-14 17:00:00,1,0,0,3,1.946047,184,25,277,42,1,0,0,3,1.946047,2.32475,0.378703,2.32475,0.378703,3,0,2.7061,1,0,0,3,1.946047,2.32475,0.378703,2.32475,0.378703,3,0,2.7061,Nancy,0.8676,0.1033,0.0291
2,h,2.04065,0.376246,1.28055,0.376246,6,1,2,0,2.6302,w,2016-08-27 22:00:00,1,0,0,3,0.904304,208,36,221,20,2,1,0,6,1.0852499999999998,4.771836,5.206766,4.011736,2.926486,5,4,4.3074,2,1,0,6,1.0852499999999998,4.771836,5.206766,4.011736,2.926486,5,4,4.3074,SC Bastia,0.8308,0.1378,0.0314,a,2.25743,0.349438,1.49734,0.349438,7,2,3,0,2.7301999999999995,w,2016-08-20 22:00:00,1,0,0,3,1.1479019999999998,259,12,281,25,1,1,0,3,1.3114,3.085815,1.014325,2.325725,1.014325,3,1,4.197799999999999,1,1,0,3,1.3114,3.085815,1.014325,2.325725,1.014325,3,1,4.197799999999999,Lorient,0.8753,0.1043,0.0204
3,a,0.79827,0.715583,0.79827,0.715583,5,2,0,2,1.3836,l,2016-09-11 19:00:00,0,0,1,0,0.082687,281,23,290,25,2,2,0,6,1.1679369999999998,5.570106000000001,5.922349,4.810006,3.642069,5,6,5.690999999999999,2,2,0,6,1.1679369999999998,5.570106000000001,5.922349,4.810006,3.642069,5,6,5.690999999999999,Rennes,0.3358,0.3762,0.288,a,1.0107,0.999105,1.0107,0.999105,1,3,1,1,1.331,d,2016-08-27 22:00:00,0,1,0,1,0.0115949999999999,207,25,302,35,1,1,1,4,0.724483,2.636781,2.672393,2.636781,1.912298,3,2,3.7841,1,1,1,4,0.724483,2.636781,2.672393,2.636781,1.912298,3,2,3.7841,Montpellier,0.3334,0.3308,0.3358
4,h,1.00689,3.50276,1.00689,2.74266,1,9,0,6,0.1397,l,2016-09-16 22:45:00,0,0,1,0,-1.7357699999999998,525,25,175,23,2,3,0,6,-0.567833,6.576996000000001,9.425109,5.816896,6.384729,5,12,5.830699999999999,2,3,0,6,-0.567833,6.576996000000001,9.425109,5.816896,6.384729,5,12,5.830699999999999,Paris Saint Germain,0.0216,0.0749,0.9035,h,1.93914,0.293162,1.17904,0.293162,5,2,1,1,2.6724,d,2016-09-09 22:45:00,0,1,0,1,0.8858780000000002,303,19,498,32,2,1,1,7,4.250598,7.577857,3.3272550000000005,6.817757,2.567159,6,4,7.857699999999999,2,1,1,7,4.250598,7.577857,3.3272550000000005,6.817757,2.567159,6,4,7.857699999999999,Saint-Etienne,0.8489,0.1257,0.0254
5,a,0.505767,1.31977,0.505767,1.31977,5,4,1,2,0.6339,l,2016-09-21 21:00:00,0,0,1,0,-0.8140030000000001,272,34,307,20,2,4,0,6,-1.3818360000000005,7.082763000000001,10.744879,6.322663,7.704499,6,14,6.464599999999999,1,4,0,3,-2.428366,4.809923,8.758479000000001,4.049823,6.478189,3,12,4.9036,Angers,0.1181,0.2796,0.6023,a,1.13896,0.712968,1.13896,0.712968,3,3,1,0,1.8102,w,2016-09-17 22:00:00,1,0,0,3,0.4259919999999999,340,30,162,21,2,3,0,6,-0.3488600000000004,4.556566,4.905426,4.556566,4.905426,4,5,6.399699999999999,2,3,0,6,-0.3488600000000004,4.556566,4.905426,4.556566,4.905426,4,5,6.399699999999999,Bordeaux,0.4985,0.3147,0.1868
6,a,0.383979,0.854776,0.383979,0.854776,4,1,0,0,0.8395999999999999,d,2016-09-24 22:00:00,0,1,0,1,-0.4707969999999999,281,20,131,22,2,4,1,7,-1.852633,7.466742000000001,11.599654999999998,6.706642,8.559275,6,14,7.304199999999999,1,3,1,4,-2.033579,4.735556,6.769135,3.9754560000000008,6.009035,3,10,5.627,Bordeaux,0.1503,0.3887,0.461,a,2.08591,0.446493,1.32581,0.446493,6,3,3,0,2.5926,w,2016-09-21 21:00:00,1,0,0,3,0.8793169999999999,259,20,307,26,4,2,0,12,0.8218130000000002,7.987178,6.405265,7.227078,6.405265,11,8,9.3248,3,2,0,9,1.157203,6.821258,4.903955,6.061158,4.903955,8,6,8.2305,Metz,0.8174,0.1404,0.0422
7,h,1.35095,0.961493,0.590857,0.961493,1,4,1,0,1.7053999999999998,w,2016-10-01 22:00:00,1,0,0,3,-0.3706360000000001,336,29,173,30,3,4,1,10,-2.223269,8.817692000000001,12.561148,7.297498999999999,9.520768,7,14,9.0096,1,3,1,4,-3.308519,4.045856000000001,7.354382,3.285763,6.594282,2,10,4.7022,Toulouse,0.4614,0.3212,0.2174,h,1.44408,1.04576,0.68398,1.04576,1,7,2,0,1.7153,w,2016-09-23 22:45:00,1,0,0,3,-0.36178,495,40,158,20,4,1,2,14,1.348946,7.314054,5.205076,5.793927,4.444981,11,5,11.0437,3,1,1,10,0.62161,5.475083,4.093441,3.954956,3.333346,7,4,7.8824,Paris Saint Germain,0.4691,0.308,0.2229
8,a,1.30379,1.31867,1.30379,1.31867,6,2,2,3,1.3551000000000002,l,2016-10-15 22:00:00,0,0,1,0,-0.01488,245,18,203,19,3,5,1,10,-2.238149,10.121482,13.879818,8.601289,10.839438,9,17,10.3647,1,3,1,4,-3.406086,4.551376,7.957469000000001,3.791283,7.197369,4,11,4.6737,Montpellier,0.3459,0.3174,0.3367,a,1.40043,0.539549,1.40043,0.539549,4,3,3,3,2.0624,d,2016-10-01 22:00:00,0,1,0,1,0.8608810000000001,328,24,215,19,1,3,4,7,1.211744,9.298719,8.847061,8.538619,7.326875,9,15,11.3537,0,2,3,3,0.95816,5.952005,5.753931000000001,5.191905,4.233745,6,11,7.0105,Dijon,0.5989,0.2657,0.1354
9,h,0.209806,1.04776,0.209806,1.04776,2,2,0,2,0.5471999999999999,l,2016-10-23 17:00:00,0,0,1,0,-0.8379540000000001,347,18,211,21,3,6,1,10,-3.076103,10.331288,14.927578,8.811095,11.887198,9,19,10.9119,1,3,1,4,-2.5082700000000004,3.754292,5.5024690000000005,2.994199,5.5024690000000005,4,7,5.0812,Saint-Etienne,0.0706,0.3354,0.594,h,1.41682,0.581944,0.656791,0.581944,4,5,1,1,2.1516,d,2016-10-16 19:00:00,0,1,0,1,0.074847,160,25,382,14,3,2,4,13,-1.698039,10.4904,11.42842,8.210181,9.90822,11,9,12.2448,2,1,2,8,-1.7923369999999998,6.186885999999999,6.459104,3.906667,5.699004,5,4,7.215,Dijon,0.6337,0.2505,0.1158
