,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.9864,2.27284,1.22631,2.27284,7,8,2,3,1.1779,l,2016-08-13 22:00:00,0,0,1,0,-1.04653,266,21,215,24,0,1,0,0,-1.04653,1.9864,2.27284,1.22631,2.27284,2,3,1.1779,0,1,0,0,-1.04653,1.9864,2.27284,1.22631,2.27284,2,3,1.1779,Caen,0.3056,0.2611,0.4333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.349438,2.25743,0.349438,1.49734,2,7,0,3,0.1655,l,2016-08-20 22:00:00,0,0,1,0,-1.1479019999999998,281,25,259,12,0,2,0,0,-2.194432,2.335838,4.53027,1.575748,3.77018,2,6,1.3434,0,2,0,0,-2.194432,2.335838,4.53027,1.575748,3.77018,2,6,1.3434,SC Bastia,0.0204,0.1043,0.8753,h,0.828385,0.664887,0.828385,0.664887,0,3,0,1,1.4676,l,2016-08-12 22:00:00,0,0,1,0,0.163498,380,30,107,26,0,1,0,0,0.163498,0.828385,0.664887,0.828385,0.664887,0,1,1.4676,0,1,0,0,0.163498,0.828385,0.664887,0.828385,0.664887,0,1,1.4676,Paris Saint Germain,0.3629,0.3789,0.2582
2,a,0.486662,1.46546,0.486662,1.46546,5,6,0,2,0.5698000000000001,l,2016-08-26 22:45:00,0,0,1,0,-0.978798,245,26,251,34,0,3,0,0,-3.17323,2.8225,5.99573,2.06241,5.23564,2,8,1.9132,0,3,0,0,-3.17323,2.8225,5.99573,2.06241,5.23564,2,8,1.9132,Marseille,0.1071,0.2485,0.6444,a,0.719975,1.24688,0.719975,1.24688,4,7,1,2,0.8994,l,2016-08-21 17:00:00,0,0,1,0,-0.526905,134,35,325,27,0,1,1,1,-0.4089109999999999,1.09211,1.501021,1.09211,1.501021,1,2,2.2607,0,1,1,1,-0.4089109999999999,1.09211,1.501021,1.09211,1.501021,1,2,2.2607,Guingamp,0.1921,0.3231,0.4848
3,h,1.09603,0.737229,1.09603,0.737229,7,2,0,2,1.7019000000000002,l,2016-09-10 22:00:00,0,0,1,0,0.358801,92,16,416,25,0,4,0,0,-2.814429,3.91853,6.732959,3.15844,5.972869,2,10,3.6151,0,4,0,0,-2.814429,3.91853,6.732959,3.15844,5.972869,2,10,3.6151,Nancy,0.4575,0.3294,0.2131,h,1.42221,1.59434,0.662115,1.59434,7,8,0,2,1.2161,l,2016-08-27 22:00:00,0,0,1,0,-0.932225,183,28,327,16,0,3,0,0,-3.1272960000000003,2.769505,4.376611,1.249315,4.376611,0,7,3.3851,0,3,0,0,-3.1272960000000003,2.769505,4.376611,1.249315,4.376611,0,7,3.3851,Guingamp,0.3065,0.2966,0.3969
4,h,1.29048,0.5211,0.530383,0.5211,3,3,1,0,2.1471,w,2016-09-17 22:00:00,1,0,0,3,0.009283,436,22,210,25,1,4,0,3,-2.805146,5.209009999999999,7.254059,3.688823,6.493969,3,10,5.7622,1,4,0,3,-2.805146,5.209009999999999,7.254059,3.688823,6.493969,3,10,5.7622,Lille,0.6264,0.2679,0.1057,h,0.67898,1.48764,0.67898,1.48764,1,2,1,4,0.6444,l,2016-09-10 22:00:00,0,0,1,0,-0.80866,265,33,295,27,1,2,1,4,-0.6810809999999999,3.850433,6.051702,3.850433,4.531514,5,8,3.674900000000001,1,2,1,4,-0.6810809999999999,3.850433,6.051702,3.850433,4.531514,5,8,3.674900000000001,Monaco,0.1214,0.2802,0.5984
5,a,0.765705,1.63848,0.765705,0.878382,5,4,0,1,0.5846,l,2016-09-21 21:00:00,0,0,1,0,-0.112677,259,23,317,15,1,5,0,3,-2.9178230000000003,5.974714999999999,8.892539,4.454528,7.372351,3,11,6.3468,1,4,0,3,-1.871293,3.988315000000001,6.619698999999999,3.2282180000000005,5.099511,1,8,5.168900000000001,Guingamp,0.1147,0.2405,0.6448,a,0.921267,1.70053,0.161172,0.940503,1,9,1,2,0.6143000000000001,l,2016-09-17 22:00:00,0,0,1,0,-0.779331,280,14,185,21,2,1,2,8,0.183962,5.164771,6.500935999999999,4.404675999999999,4.220714,8,6,5.981,2,1,2,8,0.183962,5.164771,6.500935999999999,4.404675999999999,4.220714,8,6,5.981,Toulouse,0.105,0.2993,0.5957
6,h,1.51128,1.41603,1.51128,1.41603,4,9,1,0,1.4385,w,2016-09-24 19:00:00,1,0,0,3,0.09525,414,32,188,21,2,5,0,6,-2.822573,7.485994999999999,10.308569,5.965808,8.788381,4,11,7.785299999999999,2,3,0,6,-0.628141,5.150157,5.778299,4.39006,5.018201,2,5,6.4419,Lyon,0.3884,0.2733,0.3383,h,2.33108,0.510154,1.57099,0.510154,8,0,5,1,2.6691,w,2016-09-21 21:00:00,1,0,0,3,1.060836,207,32,420,17,3,2,1,10,4.623711,11.854641,5.71074,9.574361,4.95065,13,8,12.216,2,2,1,7,2.6776640000000005,9.529891,5.332037000000001,7.249611,4.571947,10,8,9.5099,Montpellier,0.85,0.1191,0.0309
7,a,1.01408,0.659556,1.01408,0.659556,4,4,1,2,1.6446,l,2016-10-02 19:00:00,0,0,1,0,0.354524,445,32,266,21,2,6,0,6,-2.468049,8.500074999999999,10.968125,6.979888,9.447937,5,13,9.4299,2,3,0,6,0.7051810000000002,5.677575,4.972395000000001,4.917478,4.212297,3,5,7.5167,Nice,0.4337,0.3435,0.2228,a,0.831812,1.33737,0.831812,1.33737,1,4,1,0,0.9427,w,2016-09-25 19:00:00,1,0,0,3,-0.505558,211,21,417,46,5,0,2,17,1.8732440000000004,11.518228,9.644984,9.998038,8.124794,12,4,10.9749,3,0,2,11,1.487248,8.752492,7.265244,7.232302,5.7450540000000005,10,4,8.0339,Nancy,0.2167,0.2926,0.4907
8,h,0.718424,0.455531,0.718424,0.455531,5,1,1,2,1.5348,l,2016-10-15 22:00:00,0,0,1,0,0.2628929999999999,227,21,288,21,2,7,0,6,-2.205156,9.218499,11.423656,7.698312,9.903468,6,15,10.9647,2,3,0,6,0.6092730000000001,5.299969,4.690697,4.539872,3.930599,4,5,7.3496,Nantes,0.371,0.4218,0.2072,h,1.55012,0.764407,1.55012,0.764407,2,3,1,0,2.0256,w,2016-10-01 22:00:00,1,0,0,3,0.785713,265,41,201,19,2,4,2,8,3.194658,9.595554,7.160983,8.835454,5.640796,4,8,12.6156,1,2,2,5,3.3610900000000004,7.214777,4.613774,6.454677,3.093587,3,6,8.7844,SC Bastia,0.5878,0.2622,0.15
9,a,2.36061,1.40274,2.36061,1.40274,7,5,0,1,2.1562,l,2016-10-22 22:00:00,0,0,1,0,0.9578699999999998,376,20,211,24,2,8,0,6,-1.2472860000000003,11.579109,12.826396,10.058922,11.306208,6,16,13.1209,1,4,0,3,1.5578599999999998,6.370099,5.572336999999999,6.370099,4.812239,3,6,7.3587,Dijon,0.6424,0.229,0.1286,a,0.581944,1.41682,0.581944,0.656791,5,4,1,1,0.5979,d,2016-10-16 19:00:00,0,1,0,1,-0.074847,382,14,160,25,2,4,3,9,-2.806161000000001,8.634988,12.201314,7.114939000000001,9.9211,12,14,9.546600000000002,1,1,3,6,-0.4818180000000001,5.016576,7.018649,4.256617,4.738435,7,7,5.370800000000001,Saint-Etienne,0.1158,0.2505,0.6337
