,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.372135,0.254141,0.372135,0.254141,3,1,0,0,1.3613,d,2016-08-14 22:45:00,0,1,0,1,0.1179939999999999,171,33,277,40,0,0,1,1,0.1179939999999999,0.372135,0.254141,0.372135,0.254141,0,0,1.3613,0,0,1,1,0.1179939999999999,0.372135,0.254141,0.372135,0.254141,0,0,1.3613,Toulouse,0.2597,0.5822,0.1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.719975,1.24688,0.719975,1.24688,4,7,1,2,0.8994,l,2016-08-21 17:00:00,0,0,1,0,-0.526905,134,35,325,27,0,1,1,1,-0.4089109999999999,1.09211,1.501021,1.09211,1.501021,1,2,2.2607,0,1,1,1,-0.4089109999999999,1.09211,1.501021,1.09211,1.501021,1,2,2.2607,Guingamp,0.1921,0.3231,0.4848,a,0.699022,2.49641,0.699022,1.73631,2,9,2,2,0.2532,d,2016-08-12 22:30:00,0,1,0,1,-1.037288,258,21,99,38,0,0,1,1,-1.037288,0.699022,2.49641,0.699022,1.73631,2,2,0.2532,0,0,1,1,-1.037288,0.699022,2.49641,0.699022,1.73631,2,2,0.2532,Monaco,0.0421,0.1269,0.831
2,h,1.46546,0.486662,1.46546,0.486662,6,5,2,0,2.1817,w,2016-08-26 22:45:00,1,0,0,3,0.978798,251,34,245,26,1,1,1,4,0.569887,2.55757,1.987683,2.55757,1.987683,3,2,4.442399999999999,1,1,1,4,0.569887,2.55757,1.987683,2.55757,1.987683,3,2,4.442399999999999,Lorient,0.6444,0.2485,0.1071,h,0.349438,2.25743,0.349438,1.49734,2,7,0,3,0.1655,l,2016-08-20 22:00:00,0,0,1,0,-1.1479019999999998,281,25,259,12,0,2,0,0,-2.194432,2.335838,4.53027,1.575748,3.77018,2,6,1.3434,0,2,0,0,-2.194432,2.335838,4.53027,1.575748,3.77018,2,6,1.3434,SC Bastia,0.0204,0.1043,0.8753
3,a,2.01166,2.90937,1.25157,2.14928,4,6,2,3,0.7712,l,2016-09-11 22:45:00,0,0,1,0,-0.89771,386,47,175,25,1,2,1,4,-0.327823,4.56923,4.897053,3.80914,4.136963,5,5,5.2136,1,2,1,4,-0.327823,4.56923,4.897053,3.80914,4.136963,5,5,5.2136,Nice,0.1873,0.2093,0.6034,h,1.7221,0.415974,1.7221,0.415974,5,4,1,1,2.4424,d,2016-08-27 22:00:00,0,1,0,1,1.306126,285,23,362,34,2,0,1,7,1.692122,4.487836000000001,2.795714,4.487836000000001,2.795714,3,1,5.3834,2,0,1,7,1.692122,4.487836000000001,2.795714,4.487836000000001,2.795714,3,1,5.3834,Lille,0.7528,0.184,0.0632
4,h,0.793567,0.980569,0.793567,0.980569,5,4,0,0,1.1121,d,2016-09-18 22:45:00,0,1,0,1,-0.187002,248,33,189,37,1,2,2,5,-0.514825,5.3627970000000005,5.877622,4.6027070000000005,5.117532,5,5,6.325699999999999,1,2,2,5,-0.514825,5.3627970000000005,5.877622,4.6027070000000005,5.117532,5,5,6.325699999999999,Lyon,0.2566,0.3423,0.4011,h,0.993332,1.5749,0.993332,1.5749,5,3,1,3,0.8704000000000001,l,2016-09-10 19:00:00,0,0,1,0,-0.581568,257,20,294,18,2,2,0,6,3.3758730000000003,8.542992,4.407019,7.022802,3.646929,8,7,8.0013,2,2,0,6,3.3758730000000003,8.542992,4.407019,7.022802,3.646929,8,7,8.0013,Bordeaux,0.1983,0.2755,0.5262
5,a,1.4815,2.07131,0.721408,1.31121,1,5,2,3,0.9064,l,2016-09-21 23:00:00,0,0,1,0,-0.5898019999999999,241,33,203,41,1,3,2,5,-1.1046269999999998,6.844297000000001,7.948931999999999,5.324115000000001,6.428742,7,8,7.232099999999999,1,3,1,4,-1.2226209999999995,6.472162000000001,7.694791,4.951980000000001,6.174601,7,8,5.870799999999999,Rennes,0.2124,0.2692,0.5184,a,0.207382,1.85529,0.207382,1.85529,2,4,0,3,0.2191,l,2016-09-17 19:00:00,0,0,1,0,-1.6479080000000002,288,24,362,45,2,2,1,7,-1.0061120000000003,3.559746,5.325953,3.559746,4.565858,5,5,5.2434,2,2,1,7,-1.0061120000000003,3.559746,5.325953,3.559746,4.565858,5,5,5.2434,Monaco,0.0266,0.1393,0.8341
6,h,2.0157,1.06771,1.25561,1.06771,2,5,2,1,2.1081000000000003,w,2016-09-25 22:45:00,1,0,0,3,0.1878999999999999,156,21,333,39,2,3,2,8,-0.9167269999999998,8.859997,9.016642,6.579725000000001,7.496452,9,9,9.3402,2,2,1,7,-0.5078159999999999,7.767887000000001,7.515620999999999,5.487615,5.995431,8,7,7.0795,Nantes,0.6225,0.2406,0.1369,h,2.22085,0.189906,1.46075,0.189906,9,2,0,0,2.8294,d,2016-09-21 21:00:00,0,1,0,1,1.270844,203,27,205,16,1,3,2,5,2.596845,6.977724,4.380876,6.217624,3.620779,2,6,9.9387,0,3,2,2,1.572987,5.659663999999999,4.086674,4.899564,3.3265770000000003,1,6,7.618599999999999,Saint-Etienne,0.9201,0.0691,0.0108
7,a,0.336879,2.19247,0.336879,2.19247,2,5,1,1,0.1833,d,2016-10-02 17:00:00,0,1,0,1,-1.855591,251,25,325,17,2,3,3,9,-2.7723180000000003,9.196876,11.209112,6.916604,9.688922,10,10,9.5235,1,2,2,5,-3.3422050000000003,6.639306,9.221429,4.359033999999999,7.701239,7,8,5.0811,Angers,0.0246,0.1095,0.8659,a,1.75544,1.21319,1.75544,1.21319,11,3,1,2,1.829,l,2016-09-24 22:00:00,0,0,1,0,0.5422499999999999,295,15,209,24,3,4,0,9,1.0073929999999995,7.631776,6.624383,7.631776,6.624383,7,8,10.315199999999995,3,2,0,9,2.243012,5.927176,3.684164,5.927176,3.684164,7,6,8.6415,Monaco,0.5213,0.2651,0.2136
8,h,1.96863,0.943002,1.96863,0.943002,9,4,1,0,2.1896,w,2016-10-16 22:45:00,1,0,0,3,1.0256280000000002,210,26,373,22,3,3,3,12,-1.74669,11.165506,12.152114,8.885234,10.631924,11,10,11.7131,2,1,2,8,-1.418867,6.596276,7.255060999999999,5.076094,6.494961,6,5,6.499499999999999,Metz,0.6533,0.2297,0.117,h,0.342435,3.13454,0.342435,2.37445,1,3,0,7,0.0623,l,2016-10-01 22:00:00,0,0,1,0,-2.032015,269,18,170,26,4,3,1,13,-9.737058,7.9303560000000015,16.147087000000003,4.12988,13.866938,9,15,6.448299999999999,2,2,1,7,-5.137079,4.168857,9.305797,1.888569,7.025648,4,10,3.8144,Monaco,0.0079,0.0386,0.9535
9,a,0.0,1.51451,0.0,1.51451,2,9,0,0,0.1454,d,2016-10-23 22:45:00,0,1,0,1,-1.51451,542,16,228,36,3,3,4,13,-3.2612,11.165506,13.666624,8.885234,12.146434,11,10,11.8585,2,1,2,8,-2.746375,5.802709,7.789002,4.282527,7.028902,6,5,5.532800000000001,Paris Saint Germain,0.0,0.1454,0.8546,a,0.603299,0.203584,0.603299,0.203584,4,2,2,1,1.7568,w,2016-10-15 19:00:00,1,0,0,3,0.399715,187,19,474,46,6,2,1,19,9.411556,17.194886,7.023236000000001,14.914596,5.50304,19,7,18.6646,4,1,0,12,5.160957999999999,9.617029,3.6959810000000006,8.096839,2.935881,13,3,10.8069,Nancy,0.4273,0.4749,0.0978
