,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.49641,0.699022,1.73631,0.699022,9,2,2,2,2.6199,d,2016-08-12 22:30:00,0,1,0,1,1.037288,99,38,258,21,0,0,1,1,1.037288,2.49641,0.699022,1.73631,0.699022,2,2,2.6199,0,0,1,1,1.037288,2.49641,0.699022,1.73631,0.699022,2,2,2.6199,Guingamp,0.831,0.1269,0.0421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.545027,0.322377,0.545027,0.322377,1,4,1,0,1.5313,w,2016-08-20 19:00:00,1,0,0,3,0.22265,238,32,238,22,1,0,1,4,1.259938,3.041437,1.0213990000000002,2.281337,1.0213990000000002,3,2,4.1512,1,0,1,4,1.259938,3.041437,1.0213990000000002,2.281337,1.0213990000000002,3,2,4.1512,Nantes,0.3497,0.4822,0.1681,a,1.31806,0.294202,1.31806,0.294202,2,2,1,0,2.3201,w,2016-08-13 22:00:00,1,0,0,3,1.023858,339,35,319,30,1,0,0,3,1.023858,1.31806,0.294202,1.31806,0.294202,1,0,2.3201,1,0,0,3,1.023858,1.31806,0.294202,1.31806,0.294202,1,0,2.3201,Dijon,0.6935,0.2396,0.0669
2,h,1.20927,1.11721,0.449174,1.11721,1,8,3,1,1.4332999999999998,w,2016-08-28 22:45:00,1,0,0,3,-0.6680360000000001,447,32,173,26,2,0,1,7,0.5919019999999999,4.250707,2.138609,2.7305110000000004,2.138609,6,3,5.5845,2,0,1,7,0.5919019999999999,4.250707,2.138609,2.7305110000000004,2.138609,6,3,5.5845,Paris Saint Germain,0.3641,0.341,0.2949,h,3.85662,0.996438,3.85662,0.996438,23,3,3,0,2.8061,w,2016-08-21 22:45:00,1,0,0,3,2.860182,179,35,341,11,2,0,0,6,2.696684,4.521507,1.824823,4.521507,1.824823,4,0,3.9596,2,0,0,6,2.696684,4.521507,1.824823,4.521507,1.824823,4,0,3.9596,Metz,0.9157,0.059,0.0253
3,a,1.48764,0.67898,1.48764,0.67898,2,1,4,1,2.0754,w,2016-09-10 22:00:00,1,0,0,3,0.80866,295,27,265,33,3,0,1,10,1.400562,5.738347,2.8175890000000003,4.218151000000001,2.8175890000000003,10,4,7.6599,3,0,1,10,1.400562,5.738347,2.8175890000000003,4.218151000000001,2.8175890000000003,10,4,7.6599,Lille,0.5984,0.2802,0.1214,a,0.415974,1.7221,0.415974,1.7221,4,5,1,1,0.3736,d,2016-08-27 22:00:00,0,1,0,1,-1.306126,362,34,285,23,1,1,1,4,0.1275790000000001,3.171453,4.564062,3.171453,3.043874,4,4,3.0305000000000004,1,1,1,4,0.1275790000000001,3.171453,4.564062,3.171453,3.043874,4,4,3.0305000000000004,Nice,0.0632,0.184,0.7528
4,h,1.85529,0.207382,1.85529,0.207382,4,2,3,0,2.6416,w,2016-09-17 19:00:00,1,0,0,3,1.6479080000000002,362,45,288,24,4,0,1,13,3.04847,7.593637,3.0249710000000003,6.073441000000001,3.0249710000000003,13,4,10.3015,4,0,1,13,3.04847,7.593637,3.0249710000000003,6.073441000000001,3.0249710000000003,13,4,10.3015,Rennes,0.8341,0.1393,0.0266,h,0.715583,0.79827,0.715583,0.79827,2,5,2,0,1.2401999999999995,w,2016-09-11 19:00:00,1,0,0,3,-0.082687,290,25,281,23,2,1,1,7,0.6417959999999999,3.352364,3.470663,3.352364,2.710568,5,2,5.0243,2,1,1,7,0.6417959999999999,3.352364,3.470663,3.352364,2.710568,5,2,5.0243,Caen,0.288,0.3762,0.3358
5,a,1.1718,2.20155,1.1718,1.44145,8,3,0,4,0.6325000000000001,l,2016-09-21 21:00:00,0,0,1,0,-0.2696499999999999,332,48,232,14,4,1,1,13,2.77882,8.765437,5.226521,7.245241000000001,4.466421,13,8,10.934,4,1,0,12,1.7415320000000003,6.269027,4.527499000000001,5.5089310000000005,3.767399,11,6,8.3141,Nice,0.1416,0.2077,0.6507,a,1.08766,2.32844,1.08766,1.56834,4,5,1,1,0.4695,d,2016-09-18 17:00:00,0,1,0,1,-0.48068,251,16,374,52,3,0,2,11,2.1091520000000004,8.484866,7.135814,7.724776,5.615624,7,4,7.8724,3,0,2,11,2.1091520000000004,8.484866,7.135814,7.724776,5.615624,7,4,7.8724,Montpellier,0.0967,0.1794,0.7239
6,h,1.21319,1.75544,1.21319,1.75544,3,11,2,1,0.9059,w,2016-09-24 22:00:00,1,0,0,3,-0.5422499999999999,209,24,295,15,5,1,1,16,2.2365700000000004,9.978627,6.981961,8.458431000000001,6.2218610000000005,15,9,11.839900000000002,4,1,0,12,0.9766320000000002,6.93719,5.960562,6.177094,5.200462,12,7,7.6887,Angers,0.2136,0.2651,0.5213,h,1.31977,0.505767,1.31977,0.505767,4,5,2,1,2.0865,w,2016-09-21 21:00:00,1,0,0,3,0.8140030000000001,307,20,272,34,3,3,0,9,0.4651429999999997,5.876336,5.411193,5.876336,5.411193,6,6,8.486199999999998,3,2,0,9,0.8509019999999997,5.382916,4.532014,5.382916,4.532014,6,5,7.558299999999999,Caen,0.6023,0.2796,0.1181
7,a,3.13454,0.342435,2.37445,0.342435,3,1,7,0,2.8991,w,2016-10-01 22:00:00,1,0,0,3,2.032015,170,26,269,18,6,1,1,19,4.268585,13.113167,7.324396,10.832881,6.564296000000001,22,9,14.739000000000004,4,1,0,12,3.6766830000000006,8.86246,5.185787,8.10237,4.425687,16,6,9.1545,Metz,0.9535,0.0386,0.0079,a,1.09238,1.55117,0.332284,1.55117,0,11,1,0,0.9871,w,2016-09-24 22:00:00,1,0,0,3,-1.218886,264,30,90,30,4,2,1,13,-7.705043,7.5879210000000015,13.012547,3.787445,11.492488000000002,9,8,6.385999999999999,3,1,1,10,-3.763953,4.274423,7.278147,1.994135,5.758088,6,3,4.5205,Montpellier,0.2236,0.3163,0.4601
8,a,0.294757,1.39766,0.294757,1.39766,1,4,1,3,0.4318,l,2016-10-14 21:00:00,0,0,1,0,-1.102903,245,28,167,27,6,2,1,19,3.165682,13.407924,8.722056,11.127638,7.961956000000001,23,12,15.170800000000003,3,2,0,9,1.76512,7.669576999999999,5.904467,6.909487,5.144367,13,8,7.5109,Toulouse,0.0627,0.2437,0.6936,a,0.961493,1.35095,0.961493,0.590857,4,1,0,1,0.9734,l,2016-10-01 22:00:00,0,0,1,0,0.3706360000000001,173,30,336,29,4,2,2,14,1.719582,8.275547000000001,6.556026,6.75542,5.035838,11,6,12.0171,3,2,0,9,1.516452,6.04075,4.5243590000000005,4.5206230000000005,3.0041710000000004,7,5,8.0348,Caen,0.2174,0.3212,0.4614
9,h,2.8994,1.21149,2.13931,0.451394,6,2,6,2,2.5324,w,2016-10-21 22:45:00,1,0,0,3,1.687916,188,20,317,18,7,2,1,22,4.853598,16.307324,9.933546,13.266948,8.413350000000001,29,14,17.703200000000002,3,2,0,9,1.805128,8.713687,6.908575000000001,7.193506999999999,5.388379,16,10,7.4017,Montpellier,0.7953,0.1465,0.0582,h,1.31867,1.30379,1.31867,1.30379,2,6,3,2,1.3275,w,2016-10-15 22:00:00,1,0,0,3,0.01488,203,19,245,18,2,3,4,10,1.226624,10.617389,10.150851,9.857289000000002,8.630665,12,17,12.6812,1,2,2,5,1.5144909999999998,7.108864,6.354459,6.348764,4.8342730000000005,8,12,7.6494,Caen,0.3367,0.3174,0.3459
