,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.378703,2.32475,0.378703,2.32475,6,7,0,3,0.1906,l,2016-08-14 17:00:00,0,0,1,0,-1.946047,277,42,184,25,0,1,0,0,-1.946047,0.378703,2.32475,0.378703,2.32475,0,3,0.1906,0,1,0,0,-1.946047,0.378703,2.32475,0.378703,2.32475,0,3,0.1906,Lyon,0.0291,0.1033,0.8676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.968592,0.457521,0.208497,0.457521,4,6,0,2,1.9784,l,2016-08-20 22:00:00,0,0,1,0,-0.249024,288,29,290,16,0,2,0,0,-2.195071,1.347295,2.782271,0.5871999999999999,2.782271,0,5,2.169,0,2,0,0,-2.195071,1.347295,2.782271,0.5871999999999999,2.782271,0,5,2.169,Rennes,0.548,0.3344,0.1176,a,1.16856,0.704696,1.16856,0.704696,1,0,0,1,1.7659,l,2016-08-14 19:00:00,0,0,1,0,0.463864,342,31,297,26,0,1,0,0,0.463864,1.16856,0.704696,1.16856,0.704696,0,1,1.7659,0,1,0,0,0.463864,1.16856,0.704696,1.16856,0.704696,0,1,1.7659,Nice,0.4839,0.3142,0.2019
2,h,1.42221,1.59434,0.662115,1.59434,7,8,0,2,1.2161,l,2016-08-27 22:00:00,0,0,1,0,-0.932225,183,28,327,16,0,3,0,0,-3.1272960000000003,2.769505,4.376611,1.249315,4.376611,0,7,3.3851,0,3,0,0,-3.1272960000000003,2.769505,4.376611,1.249315,4.376611,0,7,3.3851,Guingamp,0.3065,0.2966,0.3969,h,1.24688,0.719975,1.24688,0.719975,7,4,2,1,1.7775,w,2016-08-21 17:00:00,1,0,0,3,0.526905,325,27,134,35,1,0,1,4,-0.510383,1.945902,3.216385,1.945902,2.4562850000000003,4,3,2.0307,1,0,1,4,-0.510383,1.945902,3.216385,1.945902,2.4562850000000003,4,3,2.0307,Marseille,0.4848,0.3231,0.1921
3,a,0.737229,1.09603,0.737229,1.09603,2,7,2,0,0.9687,w,2016-09-10 22:00:00,1,0,0,3,-0.358801,416,25,92,16,1,3,0,3,-3.4860970000000004,3.506734,5.472640999999999,1.986544,5.472640999999999,2,7,4.3538,1,3,0,3,-3.4860970000000004,3.506734,5.472640999999999,1.986544,5.472640999999999,2,7,4.3538,Lorient,0.2131,0.3294,0.4575,a,0.486662,1.46546,0.486662,1.46546,5,6,0,2,0.5698000000000001,l,2016-08-26 22:45:00,0,0,1,0,-0.978798,245,26,251,34,0,3,0,0,-3.17323,2.8225,5.99573,2.06241,5.23564,2,8,1.9132,0,3,0,0,-3.17323,2.8225,5.99573,2.06241,5.23564,2,8,1.9132,Marseille,0.1071,0.2485,0.6444
4,h,0.329901,1.52308,0.329901,1.52308,2,7,1,1,0.3977,d,2016-09-17 22:00:00,0,1,0,1,-1.193179,271,29,178,17,1,3,1,4,-4.679276000000001,3.836635,6.995721,2.316445,6.995721,3,8,4.7515,1,3,1,4,-4.679276000000001,3.836635,6.995721,2.316445,6.995721,3,8,4.7515,Nantes,0.0614,0.2135,0.7251,h,0.853017,1.31386,0.853017,0.553763,4,6,0,3,0.8893,l,2016-09-11 17:00:00,0,0,1,0,0.299254,185,19,322,32,1,3,0,3,0.1328219999999998,3.233794,3.861069,3.233794,3.100972,1,5,4.7205,1,3,0,3,0.1328219999999998,3.233794,3.861069,3.233794,3.100972,1,5,4.7205,Metz,0.1948,0.3049,0.5003
5,a,0.0748124,0.319514,0.0748124,0.319514,1,4,0,0,0.8456,d,2016-09-21 21:00:00,0,1,0,1,-0.2447016,262,28,143,32,1,3,2,5,-4.923977600000001,3.9114474,7.315234999999999,2.3912574,7.315234999999999,3,8,5.5971,1,2,2,5,-2.9779306000000005,3.5327444,4.9904850000000005,2.0125544,4.9904850000000005,3,5,5.4065,SC Bastia,0.0545,0.6821,0.2634,a,0.991511,2.2449,0.991511,0.72471,3,11,0,1,0.4041,l,2016-09-18 19:00:00,0,0,1,0,0.266801,298,17,113,35,2,3,0,6,0.651418,4.89414,5.762922,4.13405,3.482632,5,5,6.070699999999999,2,3,0,6,0.651418,4.89414,5.762922,4.13405,3.482632,5,5,6.070699999999999,Saint-Etienne,0.0687,0.198,0.7333
6,h,1.33737,0.831812,1.33737,0.831812,4,1,0,1,1.7647000000000002,l,2016-09-25 19:00:00,0,0,1,0,0.505558,417,46,211,21,1,4,2,5,-4.418419600000001,5.2488174,8.147046999999999,3.7286274,8.147046999999999,3,9,7.361800000000001,1,2,2,5,-2.2233486000000005,3.9015224,5.364776,3.1414274,5.364776,3,4,5.1928,Nice,0.4907,0.2926,0.2167,h,2.20155,1.1718,1.44145,1.1718,3,8,4,0,2.1598,w,2016-09-21 21:00:00,1,0,0,3,0.2696499999999999,232,14,332,48,4,0,2,14,2.3788020000000003,10.686416,8.307614,9.166226,6.787424,11,4,10.0322,3,0,2,11,2.8426660000000004,9.98172,7.139054000000001,8.46153,5.618864,10,4,9.1123,Monaco,0.6507,0.2077,0.1416
7,a,0.256363,1.8156,0.256363,1.05551,2,3,0,1,0.1852,l,2016-10-01 22:00:00,0,0,1,0,-0.7991469999999999,284,21,130,28,1,5,2,5,-5.2175666000000005,5.5051804,9.962647,3.9849904,9.202557,3,10,7.547000000000001,1,2,2,5,-2.0902706,2.7356754,5.586036,2.7356754,4.825946,3,3,4.1619,Lille,0.0217,0.1201,0.8582,a,0.918539,1.25811,0.918539,1.25811,7,8,1,3,1.0182,l,2016-09-25 17:00:00,0,0,1,0,-0.339571,346,19,136,22,1,5,1,4,-1.735721,6.055886,10.071892,6.055886,7.791607000000001,7,14,6.029,0,4,1,1,-3.1694260000000005,3.300407,7.229930000000001,3.300407,6.469833,4,11,3.3721,Saint-Etienne,0.238,0.3042,0.4578
8,h,0.203584,0.603299,0.203584,0.603299,2,4,1,2,0.7683,l,2016-10-15 19:00:00,0,0,1,0,-0.399715,474,46,187,19,1,6,2,5,-5.6172816,5.708764400000001,10.565946,4.188574399999999,9.805856,4,12,8.3153,0,3,2,2,-2.1311846,2.2020304,5.093305,2.2020304,4.333215,2,5,3.9615,Paris Saint Germain,0.0978,0.4749,0.4273,h,2.34986,0.741264,2.34986,0.741264,8,2,2,0,2.5338000000000003,w,2016-10-01 19:00:00,1,0,0,3,1.608596,238,32,624,20,5,2,1,16,9.011841,16.591587,6.8196520000000005,14.311297,5.299456,17,6,16.907799999999998,3,1,1,10,5.647121,10.95287,3.785559,8.67258,3.025459,12,3,11.7225,Bordeaux,0.7902,0.1632,0.0466
9,a,1.05802,1.27082,1.05802,1.27082,4,4,1,1,1.145,d,2016-10-22 22:00:00,0,1,0,1,-0.2128000000000001,235,25,160,26,1,6,3,6,-5.8300816,6.766784400000001,11.836766,5.246594399999999,11.076676,5,13,9.4603,0,3,2,2,-1.1508056000000002,2.9301493999999995,4.841044999999999,2.9301493999999995,4.080954999999999,2,5,4.7088,Bordeaux,0.2702,0.3344,0.3954,a,0.684781,1.85899,0.684781,1.85899,4,4,1,1,0.5184,d,2016-10-16 17:00:00,0,1,0,1,-1.1742089999999998,314,26,315,32,4,3,2,14,-1.4901949999999995,10.267998999999998,10.998094,9.507898999999998,10.998094,12,11,11.9179,1,2,2,5,-1.858683,5.079699000000001,6.178281999999999,4.319599,6.178281999999999,4,4,6.0608,Rennes,0.1024,0.2112,0.6864
