,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.704696,1.16856,0.704696,1.16856,0,1,1,0,0.9199,w,2016-08-14 19:00:00,1,0,0,3,-0.463864,297,26,342,31,1,0,0,3,-0.463864,0.704696,1.16856,0.704696,1.16856,1,0,0.9199,1,0,0,3,-0.463864,0.704696,1.16856,0.704696,1.16856,1,0,0.9199,Rennes,0.2019,0.3142,0.4839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,2.06104,1.21118,2.06104,1.21118,10,3,1,0,2.0211,w,2016-08-20 22:00:00,1,0,0,3,0.8498600000000003,250,19,425,40,2,0,0,6,0.3859960000000002,2.7657360000000004,2.37974,2.7657360000000004,2.37974,2,0,2.941,2,0,0,6,0.3859960000000002,2.7657360000000004,2.37974,2.7657360000000004,2.37974,2,0,2.941,Angers,0.596,0.2331,0.1709,a,0.49342,0.879179,0.49342,0.879179,5,4,0,1,0.9279,l,2016-08-13 22:00:00,0,0,1,0,-0.385759,249,26,224,29,0,1,0,0,-0.385759,0.49342,0.879179,0.49342,0.879179,0,1,0.9279,0,1,0,0,-0.385759,0.49342,0.879179,0.49342,0.879179,0,1,0.9279,Montpellier,0.1868,0.3675,0.4457
2,h,1.7221,0.415974,1.7221,0.415974,5,4,1,1,2.4424,d,2016-08-27 22:00:00,0,1,0,1,1.306126,285,23,362,34,2,0,1,7,1.692122,4.487836000000001,2.795714,4.487836000000001,2.795714,3,1,5.3834,2,0,1,7,1.692122,4.487836000000001,2.795714,4.487836000000001,2.795714,3,1,5.3834,Lille,0.7528,0.184,0.0632,h,0.877699,0.524902,0.877699,0.524902,9,4,1,0,1.6559,w,2016-08-20 22:00:00,1,0,0,3,0.352797,274,27,333,33,1,1,0,3,1.433705,2.755479,2.841962,2.755479,1.321774,3,3,2.6569000000000003,1,1,0,3,1.433705,2.755479,2.841962,2.755479,1.321774,3,3,2.6569000000000003,Dijon,0.4297,0.3668,0.2035
3,h,2.90937,2.01166,2.14928,1.25157,6,4,3,2,2.0195,w,2016-09-11 22:45:00,1,0,0,3,0.89771,175,25,386,47,3,0,1,10,2.5898320000000004,7.397206000000001,4.807373999999999,6.637116000000001,4.047283999999999,6,3,7.4029,3,0,1,10,2.5898320000000004,7.397206000000001,4.807373999999999,6.637116000000001,4.047283999999999,6,3,7.4029,Marseille,0.6034,0.2093,0.1873,h,1.46546,0.486662,1.46546,0.486662,6,5,2,0,2.1817,w,2016-08-26 22:45:00,1,0,0,3,0.978798,251,34,245,26,1,1,1,4,0.569887,2.55757,1.987683,2.55757,1.987683,3,2,4.442399999999999,1,1,1,4,0.569887,2.55757,1.987683,2.55757,1.987683,3,2,4.442399999999999,Lorient,0.6444,0.2485,0.1071
4,a,1.08766,2.32844,1.08766,1.56834,4,5,1,1,0.4695,d,2016-09-18 17:00:00,0,1,0,1,-0.48068,251,16,374,52,3,0,2,11,2.1091520000000004,8.484866,7.135814,7.724776,5.615624,7,4,7.8724,3,0,2,11,2.1091520000000004,8.484866,7.135814,7.724776,5.615624,7,4,7.8724,Montpellier,0.0967,0.1794,0.7239,a,0.161811,0.703262,0.161811,0.703262,2,7,1,1,0.6886,d,2016-09-10 22:00:00,0,1,0,1,-0.541451,194,25,178,25,1,1,2,5,-0.287867,3.508525,3.796392,3.508525,3.796392,4,5,5.0318,1,1,2,5,-0.287867,3.508525,3.796392,3.508525,3.796392,4,5,5.0318,Guingamp,0.0753,0.4627,0.462
5,h,2.20155,1.1718,1.44145,1.1718,3,8,4,0,2.1598,w,2016-09-21 21:00:00,1,0,0,3,0.2696499999999999,232,14,332,48,4,0,2,14,2.3788020000000003,10.686416,8.307614,9.166226,6.787424,11,4,10.0322,3,0,2,11,2.8426660000000004,9.98172,7.139054000000001,8.46153,5.618864,10,4,9.1123,Monaco,0.6507,0.2077,0.1416,h,1.85529,0.207382,1.85529,0.207382,4,2,3,0,2.6416,w,2016-09-17 19:00:00,1,0,0,3,1.6479080000000002,362,45,288,24,4,0,1,13,3.04847,7.593637,3.0249710000000003,6.073441000000001,3.0249710000000003,13,4,10.3015,4,0,1,13,3.04847,7.593637,3.0249710000000003,6.073441000000001,3.0249710000000003,13,4,10.3015,Rennes,0.8341,0.1393,0.0266
6,a,0.831812,1.33737,0.831812,1.33737,1,4,1,0,0.9427,w,2016-09-25 19:00:00,1,0,0,3,-0.505558,211,21,417,46,5,0,2,17,1.8732440000000004,11.518228,9.644984,9.998038,8.124794,12,4,10.9749,3,0,2,11,1.487248,8.752492,7.265244,7.232302,5.7450540000000005,10,4,8.0339,Nancy,0.2167,0.2926,0.4907,a,0.0748124,0.319514,0.0748124,0.319514,1,4,0,0,0.8456,d,2016-09-21 21:00:00,0,1,0,1,-0.2447016,262,28,143,32,1,3,2,5,-4.923977600000001,3.9114474,7.315234999999999,2.3912574,7.315234999999999,3,8,5.5971,1,2,2,5,-2.9779306000000005,3.5327444,4.9904850000000005,2.0125544,4.9904850000000005,3,5,5.4065,SC Bastia,0.0545,0.6821,0.2634
7,h,0.659556,1.01408,0.659556,1.01408,4,4,2,1,1.0119,w,2016-10-02 19:00:00,1,0,0,3,-0.354524,266,21,445,32,6,0,2,20,1.5187200000000003,12.177784,10.659064,10.657594,9.138874,14,5,11.9868,4,0,1,13,-0.173402,7.689948,7.86335,6.169758000000001,6.34316,11,4,6.6034,Lorient,0.2228,0.3435,0.4337,h,1.51128,1.41603,1.51128,1.41603,4,9,1,0,1.4385,w,2016-09-24 19:00:00,1,0,0,3,0.09525,414,32,188,21,2,5,0,6,-2.822573,7.485994999999999,10.308569,5.965808,8.788381,4,11,7.785299999999999,2,3,0,6,-0.628141,5.150157,5.778299,4.39006,5.018201,2,5,6.4419,Lyon,0.3884,0.2733,0.3383
8,h,1.67971,0.232951,0.919617,0.232951,3,4,2,0,2.6117000000000004,w,2016-10-14 22:45:00,1,0,0,3,0.686666,282,22,474,32,7,0,2,23,2.2053860000000003,13.857494,10.892015,11.577211,9.371825,16,5,14.5985,4,0,1,13,-0.384446,6.460288,6.084641,4.940095,5.324541,10,2,7.195600000000001,Lyon,0.8202,0.1511,0.0287,h,1.74626,1.07715,1.74626,1.07715,8,3,2,0,1.8578,w,2016-10-02 22:45:00,1,0,0,3,0.6691099999999999,248,32,225,25,4,3,1,13,5.197571,15.016931,8.29917,12.736650999999998,7.53908,15,9,15.362000000000002,2,2,1,7,1.24013,7.467271,5.467051,6.707181,5.467051,8,5,8.231100000000001,Saint-Etienne,0.534,0.2558,0.2102
9,a,2.27838,1.35865,1.51829,1.35865,6,5,4,2,2.0664,w,2016-10-23 19:00:00,1,0,0,3,0.15964,178,11,583,37,8,0,2,26,2.3650260000000003,16.135874,12.250664999999998,13.095501,10.730474999999998,20,7,16.664900000000003,5,0,0,15,0.2558739999999999,7.651008000000001,5.114851,5.370725,5.114851,13,3,8.7925,Metz,0.6087,0.2403,0.151,a,0.943002,1.96863,0.943002,1.96863,4,9,0,1,0.5807,l,2016-10-16 22:45:00,0,0,1,0,-1.0256280000000002,373,22,210,26,4,4,1,13,-10.762686,8.873358000000001,18.115717000000004,5.072882,15.835568000000002,9,16,7.028999999999999,1,3,1,4,-5.863453000000001,3.797999,10.421410000000002,2.277808,8.141261,1,11,2.5893,Marseille,0.117,0.2297,0.6533
10,h,1.89491,1.52908,1.89491,1.52908,7,2,4,1,1.6531,w,2016-10-30 18:00:00,1,0,0,3,0.3658300000000001,234,14,489,46,9,0,2,29,2.730856,18.030784,13.779744999999998,14.990411,12.259555,24,8,18.318,5,0,0,15,0.3520540000000001,7.344368,5.472130999999999,5.824185,5.472130999999999,13,4,8.2858,Nantes,0.4659,0.2554,0.2787,h,0.903082,0.676405,0.903082,0.676405,3,2,1,2,1.5061,l,2016-10-22 22:00:00,0,0,1,0,0.226677,243,24,223,23,3,5,2,11,3.158442,10.954167,8.555812,10.194067,7.035625,7,11,15.1651,2,2,1,7,1.832441,6.197293,4.364842,5.437193,3.604752,5,5,8.0558,Rennes,0.377,0.3751,0.2479
11,a,0.276349,1.85885,0.276349,1.09875,2,4,0,1,0.1728,l,2016-11-06 18:00:00,0,0,1,0,-0.8224009999999999,150,25,435,22,9,1,2,29,1.908455,18.307133,15.638595,15.26676,13.358304999999998,24,9,18.4908,4,1,0,12,0.0352110000000001,6.788905000000001,5.993611,5.268722,5.233510999999999,12,5,7.515900000000001,Caen,0.0197,0.1137,0.8666,a,1.13534,1.86121,1.13534,1.86121,7,2,0,2,0.7418,l,2016-10-29 22:00:00,0,0,1,0,-0.72587,222,27,279,26,3,7,1,10,-3.801973,11.466628,16.788788,9.946435,13.748408,9,21,11.6537,1,3,1,4,-2.4201370000000004,4.383865,6.043909,3.623772,6.043909,3,7,5.1891,Nancy,0.1653,0.2459,0.5888
12,a,1.17968,1.61342,1.17968,1.61342,5,5,1,0,0.9737,w,2016-11-20 23:45:00,1,0,0,3,-0.43374,199,11,490,41,10,1,2,32,1.4747150000000002,19.486813,17.252015,16.44644,14.971724999999998,25,9,19.4645,4,1,0,12,-0.0440049999999998,7.309029,6.592950999999999,5.788846,5.832851,11,4,7.4777,Saint-Etienne,0.2349,0.269,0.4961,a,0.521897,0.687109,0.521897,0.687109,4,8,0,0,1.1352,d,2016-11-06 20:00:00,0,1,0,1,-0.1652119999999999,224,21,238,23,4,2,6,18,-1.970541,12.359223,13.569745,10.079004,12.049545,14,10,15.9912,1,1,3,6,-0.8667649999999997,4.362793,4.469529,3.602764,4.469529,4,4,6.784400000000001,Metz,0.2397,0.4161,0.3442
