,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.254141,0.372135,0.254141,0.372135,1,3,0,0,1.0565,d,2016-08-14 22:45:00,0,1,0,1,-0.1179939999999999,277,40,171,33,0,0,1,1,-0.1179939999999999,0.254141,0.372135,0.254141,0.372135,0,0,1.0565,0,0,1,1,-0.1179939999999999,0.254141,0.372135,0.254141,0.372135,0,0,1.0565,Marseille,0.1581,0.5822,0.2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.58483,0.7395,1.58483,0.7395,4,0,4,1,2.1048,w,2016-08-20 22:00:00,1,0,0,3,0.8453299999999999,175,31,177,26,1,0,1,4,0.727336,1.838971,1.1116350000000002,1.838971,1.1116350000000002,4,1,3.1613,1,0,1,4,0.727336,1.838971,1.1116350000000002,1.838971,1.1116350000000002,4,1,3.1613,Bordeaux,0.6191,0.2475,0.1334,h,1.16592,1.50131,1.16592,1.50131,3,7,3,2,1.0943,w,2016-08-13 19:00:00,1,0,0,3,-0.3353899999999998,207,18,161,32,1,0,0,3,-0.3353899999999998,1.16592,1.50131,1.16592,1.50131,3,2,1.0943,1,0,0,3,-0.3353899999999998,1.16592,1.50131,1.16592,1.50131,3,2,1.0943,Saint-Etienne,0.2683,0.2894,0.4423
2,a,0.395826,0.920032,0.395826,0.920032,0,6,0,0,0.821,d,2016-08-28 19:00:00,0,1,0,1,-0.524206,268,34,125,30,1,0,2,5,0.20313,2.234797,2.031667,2.234797,2.031667,4,1,3.9823,1,0,2,5,0.20313,2.234797,2.031667,2.234797,2.031667,4,1,3.9823,Saint-Etienne,0.1497,0.3719,0.4784,h,1.58901,1.46843,1.58901,1.46843,5,1,3,1,1.4045,w,2016-08-21 19:00:00,1,0,0,3,0.1205800000000001,178,32,290,28,1,1,0,3,0.45597,3.09032,2.63435,3.09032,2.63435,5,4,3.0208000000000004,1,1,0,3,0.45597,3.09032,2.63435,3.09032,2.63435,5,4,3.0208000000000004,Montpellier,0.3698,0.2951,0.3351
3,a,0.463047,0.440568,0.463047,0.440568,4,2,1,2,1.2728,l,2016-09-10 22:00:00,0,0,1,0,0.0224789999999999,117,21,149,35,1,1,2,5,0.225609,2.697844,2.472235,2.697844,2.472235,5,3,5.2551,1,1,2,5,0.225609,2.697844,2.472235,2.697844,2.472235,5,3,5.2551,SC Bastia,0.2608,0.4904,0.2488,a,0.376246,2.04065,0.376246,1.28055,1,6,0,2,0.2319999999999999,l,2016-08-27 22:00:00,0,0,1,0,-0.904304,221,20,208,36,1,2,0,3,0.4070959999999999,3.462061,3.054975,2.701971,2.294875,3,3,4.429799999999999,1,2,0,3,0.4070959999999999,3.462061,3.054975,2.701971,2.294875,3,3,4.429799999999999,Caen,0.0314,0.1378,0.8308
4,h,1.70053,0.921267,0.940503,0.161172,9,1,2,1,2.0864000000000003,w,2016-09-17 22:00:00,1,0,0,3,0.779331,185,21,280,14,2,1,2,8,1.00494,4.398374,3.393502,3.638347,2.633407,7,4,7.3415,2,1,2,8,1.00494,4.398374,3.393502,3.638347,2.633407,7,4,7.3415,Guingamp,0.5957,0.2993,0.105,h,0.703262,0.161811,0.703262,0.161811,7,2,1,1,1.8487,d,2016-09-10 22:00:00,0,1,0,1,0.541451,178,25,194,25,2,0,2,8,0.963293,4.243504,4.800406,4.243504,3.2802110000000004,7,4,5.3667,2,0,2,8,0.963293,4.243504,4.800406,4.243504,3.2802110000000004,7,4,5.3667,Montpellier,0.462,0.4627,0.0753
5,a,1.4716,0.765814,1.4716,0.765814,5,4,2,1,1.9869,w,2016-09-20 21:00:00,1,0,0,3,0.705786,310,32,120,20,3,1,2,11,1.710726,5.869974000000001,4.159316,5.109947,3.399221,9,5,9.3284,3,1,1,10,1.82872,5.615833,3.787181,4.855806,3.027086,9,5,8.2719,Lille,0.5749,0.2622,0.1629,a,0.5211,1.29048,0.5211,0.530383,3,3,0,1,0.585,l,2016-09-17 22:00:00,0,0,1,0,-0.009283,210,25,436,22,1,3,1,4,-0.690364,4.371533,7.342181999999999,4.371533,5.061897,5,9,4.2599,1,3,1,4,-0.690364,4.371533,7.342181999999999,4.371533,5.061897,5,9,4.2599,Lorient,0.1057,0.2679,0.6264
6,h,1.44408,1.04576,0.68398,1.04576,1,7,2,0,1.7153,w,2016-09-23 22:45:00,1,0,0,3,-0.36178,495,40,158,20,4,1,2,14,1.348946,7.314054,5.205076,5.793927,4.444981,11,5,11.0437,3,1,1,10,0.62161,5.475083,4.093441,3.954956,3.333346,7,4,7.8824,Paris Saint Germain,0.4691,0.308,0.2229,h,2.11535,0.300163,1.35526,0.300163,9,3,3,0,2.7542,w,2016-09-20 23:00:00,1,0,0,3,1.055097,363,31,518,19,4,1,1,13,7.041465,13.195967,4.634308000000001,10.915677,3.874212,15,4,13.397299999999998,3,1,1,10,7.204962999999999,12.53108,3.805923,10.25079,3.045827,14,4,12.2438,Dijon,0.8864,0.095,0.0186
7,a,0.961493,1.35095,0.961493,0.590857,4,1,0,1,0.9734,l,2016-10-01 22:00:00,0,0,1,0,0.3706360000000001,173,30,336,29,4,2,2,14,1.719582,8.275547000000001,6.556026,6.75542,5.035838,11,6,12.0171,3,2,0,9,1.516452,6.04075,4.5243590000000005,4.5206230000000005,3.0041710000000004,7,5,8.0348,Caen,0.2174,0.3212,0.4614,a,0.383979,0.854776,0.383979,0.854776,4,1,0,0,0.8395999999999999,d,2016-09-24 22:00:00,0,1,0,1,-0.4707969999999999,281,20,131,22,2,4,1,7,-1.852633,7.466742000000001,11.599654999999998,6.706642,8.559275,6,14,7.304199999999999,1,3,1,4,-2.033579,4.735556,6.769135,3.9754560000000008,6.009035,3,10,5.627,Bordeaux,0.1503,0.3887,0.461
8,h,1.39766,0.294757,1.39766,0.294757,4,1,3,1,2.3245,w,2016-10-14 21:00:00,1,0,0,3,1.102903,167,27,245,28,5,2,2,17,2.822485,9.673207,6.850783,8.15308,5.330595,14,7,14.3416,4,1,0,12,2.596876,6.975363000000001,4.378547999999999,5.455236,2.85836,9,4,9.0865,Monaco,0.6936,0.2437,0.0627,a,3.13454,0.342435,2.37445,0.342435,3,1,7,0,2.8991,w,2016-10-01 22:00:00,1,0,0,3,2.032015,170,26,269,18,6,1,1,19,4.268585,13.113167,7.324396,10.832881,6.564296000000001,22,9,14.739000000000004,4,1,0,12,3.6766830000000006,8.86246,5.185787,8.10237,4.425687,16,6,9.1545,Metz,0.9535,0.0386,0.0079
9,a,0.453596,0.624843,0.453596,0.624843,0,1,0,0,1.1024,d,2016-10-22 22:00:00,0,1,0,1,-0.171247,248,34,261,20,5,2,3,18,2.651238,10.126803,7.475626,8.606675999999998,5.955438,14,7,15.444,3,1,1,10,1.6462979999999998,5.728429,4.082124,4.968329,3.322031,7,3,8.1025,Angers,0.2168,0.452,0.3312,a,0.950062,1.23731,0.950062,1.23731,3,3,2,1,1.0594,w,2016-10-15 22:00:00,1,0,0,3,-0.2872479999999999,269,28,230,18,4,4,1,13,2.575736,10.774308,8.198571999999999,10.774308,8.198571999999999,10,10,14.081799999999998,3,1,1,10,3.350588,7.356702,4.006114,7.356702,4.006114,7,5,9.4923,SC Bastia,0.2421,0.3331,0.4248
