,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.0773,1.90958,1.0773,1.14948,4,9,0,3,0.7071999999999999,l,2017-08-06 14:00:00,0,0,1,0,-0.0721800000000001,303,36,151,34,0,1,0,0,-0.0721800000000001,1.0773,1.90958,1.0773,1.14948,0,3,0.7071999999999999,0,1,0,0,-0.0721800000000001,1.0773,1.90958,1.0773,1.14948,0,3,0.7071999999999999,Lille,0.153,0.2482,0.5988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.29602,1.91985,1.29602,1.91985,6,4,0,1,0.8301999999999999,l,2017-08-12 16:00:00,0,0,1,0,-0.6238300000000001,289,18,114,18,0,2,0,0,-0.6960100000000002,2.37332,3.82943,2.37332,3.06933,0,4,1.5374,0,2,0,0,-0.6960100000000002,2.37332,3.82943,2.37332,3.06933,0,4,1.5374,Marseille,0.1903,0.2593,0.5504,h,2.41348,0.594982,2.41348,0.594982,6,3,3,0,2.5792,w,2017-08-06 20:00:00,1,0,0,3,1.818498,235,14,299,28,1,0,0,3,1.818498,2.41348,0.594982,2.41348,0.594982,3,0,2.5792,1,0,0,3,1.818498,2.41348,0.594982,2.41348,0.594982,3,0,2.5792,Dijon,0.8148,0.1348,0.0504
2,a,0.565923,0.724295,0.565923,0.724295,3,10,1,0,1.117,w,2017-08-19 19:00:00,1,0,0,3,-0.158372,361,23,148,19,1,2,0,3,-0.8543820000000003,2.9392429999999994,4.553725,2.9392429999999994,3.793625,1,4,2.6544,1,2,0,3,-0.8543820000000003,2.9392429999999994,4.553725,2.9392429999999994,3.793625,1,4,2.6544,Troyes,0.2411,0.3937,0.3652,a,0.432943,1.92396,0.432943,1.16387,7,1,2,1,0.2993,w,2017-08-11 18:00:00,1,0,0,3,-0.7309269999999999,451,17,155,22,1,0,1,4,-1.265067,1.770563,3.79572,1.770563,3.0356300000000003,3,2,1.2748,1,0,1,4,-1.265067,1.770563,3.79572,1.770563,3.0356300000000003,3,2,1.2748,Nice,0.0502,0.1487,0.8011
3,h,0.318881,0.806351,0.318881,0.806351,2,7,0,0,0.7895,d,2017-08-26 16:15:00,0,1,0,1,-0.48747,385,24,204,26,1,2,1,4,-1.3418520000000005,3.258124,5.360076,3.258124,4.599976,1,4,3.4439,1,2,1,4,-1.3418520000000005,3.258124,5.360076,3.258124,4.599976,1,4,3.4439,Lyon,0.1275,0.407,0.4655,h,0.933014,0.924278,0.933014,0.924278,1,4,3,3,1.3693,d,2017-08-19 16:00:00,0,1,0,1,0.0087359999999999,275,29,225,27,2,0,1,7,1.5026769999999998,4.191794,1.929021,3.431698,1.929021,9,4,6.0079,2,0,1,7,1.5026769999999998,4.191794,1.929021,3.431698,1.929021,9,4,6.0079,Bordeaux,0.3388,0.3529,0.3083
4,a,0.591683,0.411604,0.591683,0.411604,2,5,1,0,1.4520000000000002,w,2017-09-09 19:00:00,1,0,0,3,0.1800789999999999,254,18,164,18,2,2,1,7,-1.1617730000000004,3.8498069999999993,5.77168,3.8498069999999993,5.01158,2,4,4.8959,2,2,1,7,-1.1617730000000004,3.8498069999999993,5.77168,3.8498069999999993,5.01158,2,4,4.8959,Montpellier,0.3309,0.4593,0.2098,a,1.55187,1.25732,1.55187,1.25732,1,3,1,2,1.6066,l,2017-08-26 19:00:00,0,0,1,0,0.2945500000000001,275,21,269,27,1,2,1,4,2.53472,5.715755000000001,3.941127,5.715755000000001,3.181035,3,4,7.025600000000001,1,2,1,4,2.53472,5.715755000000001,3.941127,5.715755000000001,3.181035,3,4,7.025600000000001,Dijon,0.4232,0.337,0.2398
5,h,0.464665,0.277685,0.464665,0.277685,6,2,1,0,1.4596,w,2017-09-16 19:00:00,1,0,0,3,0.1869799999999999,303,26,200,19,3,2,1,10,-0.9747930000000004,4.314471999999999,6.049365,4.314471999999999,5.289264999999999,3,4,6.3555,3,1,1,10,-0.9026130000000004,3.237172,4.139785000000001,3.237172,4.139785000000001,3,1,5.6483,Caen,0.3094,0.5314,0.1592,h,1.67506,0.51478,0.914961,0.51478,1,3,2,1,2.3886,w,2017-09-09 19:00:00,1,0,0,3,0.400181,235,33,228,23,3,2,0,9,1.064504,6.29542,4.470817,5.535321,4.470817,5,3,8.2367,3,2,0,9,1.064504,6.29542,4.470817,5.535321,4.470817,5,3,8.2367,Dijon,0.7269,0.2079,0.0652
6,a,0.572934,1.38859,0.572934,1.38859,2,7,2,1,0.6907000000000001,w,2017-09-24 16:00:00,1,0,0,3,-0.8156559999999999,318,17,115,23,4,2,1,13,-1.7904490000000004,4.887406,7.437955,4.887406,6.677854999999999,5,5,7.046200000000001,4,0,1,13,-1.094439,2.514086,3.608525,2.514086,3.608525,5,1,5.508800000000001,Strasbourg,0.1384,0.2755,0.5861,a,1.25366,2.74933,1.25366,2.74933,1,14,0,3,0.3585,l,2017-09-16 16:00:00,0,0,1,0,-1.49567,285,25,153,22,1,4,1,4,-3.1036330000000003,6.551868,9.655497,5.791767999999999,8.895401,4,11,5.665600000000001,1,3,1,4,-2.428344,6.259423,7.927667,5.499323,7.927667,4,7,5.412200000000001,Monaco,0.0654,0.1623,0.7723
7,h,2.21251,1.3633,2.21251,0.60321,2,1,1,0,2.0044,w,2017-09-30 19:00:00,1,0,0,3,1.6093,258,21,296,23,5,2,1,16,-0.1811490000000004,7.099916,8.801255,7.099916,7.281064999999999,6,5,9.0506,4,0,1,13,0.673233,4.160673,4.24753,4.160673,3.4874400000000003,5,1,6.3962,Metz,0.5883,0.2395,0.1722,h,1.06447,0.628796,1.06447,0.628796,2,4,0,1,1.75,l,2017-09-23 19:00:00,0,0,1,0,0.435674,194,26,373,13,1,6,0,3,-7.409524000000001,6.589434000000001,14.759056,6.589434000000001,13.998958,3,13,4.7599,1,4,0,3,-5.649264000000001,5.506971999999999,11.156236,5.506971999999999,11.156236,2,8,4.0287,Troyes,0.4705,0.3385,0.191
8,a,1.16816,0.996615,1.16816,0.996615,1,5,1,1,1.5139999999999998,d,2017-10-15 14:00:00,0,1,0,1,0.171545,264,18,158,26,5,2,2,17,-0.0096040000000003,8.268075999999999,9.79787,8.268075999999999,8.277679999999998,7,6,10.5646,4,0,1,13,1.332248,5.009952,4.437794,5.009952,3.677704,6,2,7.120699999999999,Bordeaux,0.4024,0.3068,0.2908,a,2.19609,2.40637,1.43599,1.64628,9,6,2,6,1.2267,l,2017-09-30 16:00:00,0,0,1,0,-0.2102899999999998,480,29,285,15,4,1,3,15,6.640879000000001,14.703195,7.979854,13.100545,6.459666,15,13,15.568799999999998,3,1,1,10,4.361556000000001,9.854307,5.410289,8.251657,3.890101,8,8,9.6873,Paris Saint Germain,0.3261,0.2484,0.4255
9,h,0.748019,0.862897,0.748019,0.862897,1,3,2,1,1.158,w,2017-10-21 19:00:00,1,0,0,3,-0.114878,291,22,223,24,6,2,2,20,-0.1244820000000004,9.016094999999998,10.660767,9.016094999999998,9.140577,9,7,11.7226,4,0,1,13,1.037291,5.166288000000001,4.889087,5.166288000000001,4.128997,7,3,6.8267,Guingamp,0.2649,0.3633,0.3718,h,3.83243,0.736792,3.83243,0.736792,7,3,2,0,2.8854,w,2017-10-14 19:00:00,1,0,0,3,3.095638,149,22,145,21,4,4,1,13,0.7290096999999998,12.123231700000002,10.716576,10.6030357,9.874026,11,12,13.7311,2,2,1,7,2.702442,8.287487,5.667497000000001,7.527388999999999,4.824947000000001,6,6,8.5275,Rennes,0.9486,0.0396,0.0118
