,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.286084,1.30809,0.286084,1.30809,0,4,0,2,0.4789,l,2018-08-12 16:00:00,0,0,1,0,-1.022006,359,23,147,24,0,1,0,0,-1.022006,0.286084,1.30809,0.286084,1.30809,0,2,0.4789,0,1,0,0,-1.022006,0.286084,1.30809,0.286084,1.30809,0,2,0.4789,Lyon,0.0705,0.2674,0.6621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.11001,0.308208,0.349916,0.308208,4,3,1,2,2.2502,l,2018-08-18 21:00:00,0,0,1,0,0.041708,185,24,298,18,0,2,0,0,-0.980298,1.396094,1.616298,0.636,1.616298,1,4,2.7291,0,2,0,0,-0.980298,1.396094,1.616298,0.636,1.616298,1,4,2.7291,Montpellier,0.6584,0.275,0.0666,h,1.34076,1.94817,1.34076,1.06657,11,2,1,2,0.8586,l,2018-08-11 21:00:00,0,0,1,0,0.2741899999999999,247,25,257,26,0,1,0,0,0.2741899999999999,1.34076,1.94817,1.34076,1.06657,1,2,0.8586,0,1,0,0,0.2741899999999999,1.34076,1.94817,1.34076,1.06657,1,2,0.8586,Dijon,0.204,0.2466,0.5494
2,h,2.18312,0.700141,2.18312,0.700141,9,1,4,1,2.5158,w,2018-08-25 21:00:00,1,0,0,3,1.4829790000000005,251,32,345,20,1,2,0,3,0.5026810000000004,3.5792140000000003,2.316439,2.8191200000000003,2.316439,5,5,5.2449,1,2,0,3,0.5026810000000004,3.5792140000000003,2.316439,2.8191200000000003,2.316439,5,5,5.2449,Reims,0.7858,0.1584,0.0558,h,0.677345,0.977973,0.677345,0.977973,0,7,1,0,1.0875,w,2018-08-17 21:45:00,1,0,0,3,-0.300628,318,20,214,20,2,0,0,6,-1.0658379999999998,0.944765,2.010603,0.944765,2.010603,2,0,1.7005,2,0,0,6,-1.0658379999999998,0.944765,2.010603,0.944765,2.010603,2,0,1.7005,Lyon,0.2462,0.3489,0.4049
3,a,0.325126,0.737428,0.325126,0.737428,3,6,0,0,0.8848,d,2018-09-02 13:00:00,0,1,0,1,-0.4123019999999999,268,13,155,26,1,2,1,4,0.0903790000000004,3.90434,3.053867,3.1442460000000003,3.053867,5,5,6.1297,1,2,1,4,0.0903790000000004,3.90434,3.053867,3.1442460000000003,3.053867,5,5,6.1297,Saint-Etienne,0.1485,0.4393,0.4122,a,0.245117,0.417545,0.245117,0.417545,0,2,0,0,1.0352,d,2018-08-25 21:00:00,0,1,0,1,-0.172428,246,26,375,32,1,0,2,5,-0.1461599999999999,1.50951,2.41576,1.50951,1.65567,3,2,2.9086,1,0,2,5,-0.1461599999999999,1.50951,2.41576,1.50951,1.65567,3,2,2.9086,Montpellier,0.1568,0.5648,0.2784
4,h,1.44867,2.81999,0.688578,1.2998,4,7,2,3,0.4612,l,2018-09-15 18:00:00,0,0,1,0,-0.611222,249,17,229,25,1,3,1,4,-0.5208429999999996,5.35301,5.873857,3.832824000000001,4.353667,7,8,6.5909,1,3,1,4,-0.5208429999999996,5.35301,5.873857,3.832824000000001,4.353667,7,8,6.5909,Lille,0.0946,0.1774,0.728,a,1.51191,0.762905,0.652603,0.762905,4,2,0,1,2.0459,l,2018-09-01 18:00:00,0,0,1,0,-0.110302,145,18,314,15,2,1,1,7,2.186109,5.679665,3.394348,4.820358,2.634249,6,2,7.3255,2,1,1,7,2.186109,5.679665,3.394348,4.820358,2.634249,6,2,7.3255,Angers,0.5734,0.3257,0.1009
5,a,0.672883,1.07472,0.672883,1.07472,2,5,1,3,0.9165,l,2018-09-22 18:00:00,0,0,1,0,-0.4018369999999999,225,21,218,27,1,4,1,4,-0.9226799999999996,6.025893,6.948577,4.505707,5.428387,8,11,7.5074,1,3,1,4,0.0993260000000004,5.739809,5.640487,4.219623,4.120297,8,9,7.0285,Strasbourg,0.1885,0.351,0.4605,a,0.756661,0.344069,0.756661,0.344069,5,5,1,1,1.794,d,2018-09-15 18:00:00,0,1,0,1,0.412592,168,21,284,20,1,2,2,5,1.2310375,4.529138,3.2981005000000003,4.529138,3.2981005000000003,6,7,8.109499999999999,1,2,2,5,1.2310375,4.529138,3.2981005000000003,4.529138,3.2981005000000003,6,7,8.109499999999999,Montpellier,0.4652,0.3984,0.1364
6,h,0.730869,1.83024,0.730869,1.83024,2,3,2,1,0.5589,w,2018-09-26 17:00:00,1,0,0,3,-1.099371,189,21,187,21,2,4,1,7,-2.022051,6.756762,8.778817,5.236576,7.258627,10,12,8.0663,2,2,1,7,-1.0417529999999997,5.360668,7.1625190000000005,4.600576,5.642329,9,8,5.337199999999999,Rennes,0.1154,0.2127,0.6719,h,1.29214,1.57303,1.29214,1.57303,4,8,1,3,1.0973000000000002,l,2018-09-23 13:00:00,0,0,1,0,-0.2808899999999998,291,21,205,21,2,3,1,7,-0.7431119999999996,7.49491,6.717832,5.97472,6.717832,8,10,8.5733,2,2,1,7,0.6910699999999999,7.047452000000001,4.8361920000000005,5.527262,4.8361920000000005,7,7,8.2201,Paris Saint Germain,0.269,0.2903,0.4407
7,a,0.247116,1.44696,0.247116,0.686865,1,3,0,1,0.2835,l,2018-09-29 18:00:00,0,0,1,0,-0.4397489999999999,229,13,201,26,2,5,1,7,-2.4617999999999998,7.003878,10.225777,5.4836920000000005,7.945492,10,13,8.3498,1,3,1,4,-2.964481,3.424664,7.909338,2.6645720000000006,5.629053,5,8,3.1049,Caen,0.0321,0.1872,0.7807,h,0.8109,2.0286,0.8109,2.0286,5,6,2,2,0.4052,d,2018-09-26 17:00:00,0,1,0,1,-1.2177,222,13,298,27,1,2,4,7,-6.66413,6.216488999999999,12.880687000000002,4.696367,11.360497,9,11,6.6491,1,1,3,6,-3.3780930000000007,4.826623,8.964815999999999,4.066533,7.444626,8,7,4.6075,Montpellier,0.0681,0.2009,0.731
8,h,0.301024,0.371877,0.301024,0.371877,2,8,1,0,1.1452,w,2018-10-06 18:00:00,1,0,0,3,-0.070853,294,37,211,27,3,5,1,10,-2.532653,7.304902,10.597654,5.784716,8.317369,11,13,9.495,2,3,0,6,-2.623032,3.400562,7.543787,2.64047,5.263502000000001,6,8,3.3653,Dijon,0.1922,0.5686,0.2392,a,1.0504,0.748818,1.0504,0.748818,6,2,0,3,1.5931,l,2018-09-29 18:00:00,0,0,1,0,0.301582,248,33,255,26,3,4,1,10,0.9549160000000004,12.187024999999998,10.350509,11.305425,10.350509,9,12,11.5762,0,4,1,1,-1.7375829999999997,5.336835000000001,7.074418,5.336835000000001,7.074418,1,11,5.1875,Strasbourg,0.4208,0.3307,0.2485
9,a,0.573532,2.50391,0.573532,2.50391,1,11,0,5,0.2161,l,2018-10-20 15:00:00,0,0,1,0,-1.930378,349,22,225,22,3,6,1,10,-4.463030999999999,7.878434,13.101564,6.358248000000001,10.821279,11,18,9.711100000000002,2,3,0,6,-3.942188,2.525424,7.227706999999999,2.525424,6.467612,4,10,3.1202,Paris Saint Germain,0.0362,0.1075,0.8563,h,4.4359,1.63396,3.67581,1.63396,11,6,5,0,2.7751,w,2018-10-07 19:00:00,1,0,0,3,2.04185,257,31,280,29,9,0,0,27,15.818262,26.05549,8.716981,23.01512,7.196858000000001,32,6,22.2,5,0,0,15,8.726015,15.50053,4.494235,13.22025,4.494235,19,2,12.7809,Lyon,0.9025,0.0676,0.0299
