,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.62438,1.21376,2.62438,1.21376,10,3,3,4,2.2859,l,2018-08-11 21:00:00,0,0,1,0,1.41062,165,29,256,23,0,1,0,0,1.41062,2.62438,1.21376,2.62438,1.21376,3,4,2.2859,0,1,0,0,1.41062,2.62438,1.21376,2.62438,1.21376,3,4,2.2859,Nimes,0.7049,0.1712,0.1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.349744,0.390542,0.349744,0.390542,4,2,0,1,1.1715,l,2018-08-18 21:00:00,0,0,1,0,-0.040798,311,10,205,19,0,2,0,0,1.369822,2.974124,1.604302,2.974124,1.604302,3,5,3.4574,0,2,0,0,1.369822,2.974124,1.604302,2.974124,1.604302,3,5,3.4574,Rennes,0.21,0.5415,0.2485,a,0.447458,1.88164,0.447458,1.88164,5,17,1,3,0.3531999999999999,l,2018-08-11 21:00:00,0,0,1,0,-1.4341819999999998,281,26,182,16,0,1,0,0,-1.4341819999999998,0.447458,1.88164,0.447458,1.88164,1,3,0.3531999999999999,0,1,0,0,-1.4341819999999998,0.447458,1.88164,0.447458,1.88164,1,3,0.3531999999999999,Lille,0.0568,0.1828,0.7604
2,a,1.5059,2.03223,0.745803,2.03223,6,11,1,3,0.9737,l,2018-08-25 18:00:00,0,0,1,0,-1.2864270000000002,310,12,281,34,0,3,0,0,0.0833949999999998,4.480024,3.636532,3.719927,3.636532,4,8,4.4311,0,3,0,0,0.0833949999999998,4.480024,3.636532,3.719927,3.636532,4,8,4.4311,Paris Saint Germain,0.2391,0.2564,0.5045,a,2.62399,1.3524,1.8639,1.3524,12,8,3,1,2.2604,w,2018-08-18 18:00:00,1,0,0,3,0.5114999999999998,149,40,369,24,2,0,0,6,3.669074,5.97091,1.541746,5.21082,1.541746,6,1,5.2385,2,0,0,6,3.669074,5.97091,1.541746,5.21082,1.541746,6,1,5.2385,Guingamp,0.6925,0.1829,0.1246
3,h,0.762905,1.51191,0.762905,0.652603,2,4,1,0,0.6284000000000001,w,2018-09-01 18:00:00,1,0,0,3,0.110302,314,15,145,18,1,3,0,3,0.1936969999999999,5.242929,5.148442,4.482832,4.289135,5,8,5.0595,1,3,0,3,0.1936969999999999,5.242929,5.148442,4.482832,4.289135,5,8,5.0595,Lille,0.1009,0.3257,0.5734,h,1.70571,0.563755,1.70571,0.563755,6,4,3,0,2.3192,w,2018-08-26 16:00:00,1,0,0,3,1.141955,278,16,246,20,2,0,1,7,2.296411,4.167755,2.631443,4.167755,1.871344,6,1,5.2796,2,0,1,7,2.296411,4.167755,2.631443,4.167755,1.871344,6,1,5.2796,Guingamp,0.7039,0.2075,0.0886
4,a,1.54749,1.2955,1.54749,1.2955,6,5,3,1,1.5688,w,2018-09-15 18:00:00,1,0,0,3,0.2519899999999999,292,23,176,26,2,3,0,6,0.4456869999999998,6.790419,6.443942,6.030322,5.5846350000000005,8,9,6.628299999999999,2,3,0,6,0.4456869999999998,6.790419,6.443942,6.030322,5.5846350000000005,8,9,6.628299999999999,Dijon,0.4246,0.295,0.2804,h,0.904946,1.24948,0.904946,1.24948,9,3,0,2,0.9784,l,2018-09-01 18:00:00,0,0,1,0,-0.3445339999999999,136,16,256,20,3,1,0,9,2.347965,7.755135999999999,4.525571,6.873536,4.525571,8,3,7.3671,3,1,0,9,2.347965,7.755135999999999,4.525571,6.873536,4.525571,8,3,7.3671,Caen,0.2214,0.3142,0.4644
5,h,0.613569,0.419431,0.613569,0.419431,2,5,0,0,1.4902000000000002,d,2018-09-22 18:00:00,0,1,0,1,0.194138,343,17,159,24,2,3,1,7,0.6398249999999999,7.403988,6.863373,6.643891,6.004066000000001,8,9,8.1185,2,2,1,7,-0.7707950000000005,4.7796080000000005,5.649613000000001,4.0195110000000005,4.790306,5,5,5.832599999999999,Toulouse,0.3486,0.4444,0.207,h,1.04734,0.411114,1.04734,0.411114,5,4,1,1,1.9385,d,2018-09-15 18:00:00,0,1,0,1,0.636226,176,25,268,31,3,1,1,10,-1.6561539999999997,6.302777,7.198900999999999,4.782657,6.438810999999999,6,7,7.301599999999999,3,1,1,10,-1.6561539999999997,6.302777,7.198900999999999,4.782657,6.438810999999999,6,7,7.301599999999999,Monaco,0.5354,0.3323,0.1323
6,a,0.353164,0.64811,0.353164,0.64811,0,3,1,0,0.9184,w,2018-09-25 17:00:00,1,0,0,3,-0.294946,337,17,148,25,3,3,1,10,0.3448789999999999,7.757152,7.511483,6.997055,6.652176000000001,9,9,9.0369,3,1,1,10,-1.0249430000000004,4.783028,5.907181000000001,4.022931,5.047874,6,4,5.5795,Monaco,0.1585,0.4429,0.3986,h,1.71296,0.776658,1.71296,0.776658,2,1,1,1,2.127,d,2018-09-21 18:45:00,0,1,0,1,0.936302,166,22,273,18,1,2,3,6,2.111854,9.001676,7.674603,8.241577000000001,6.129723,8,8,9.2936,0,2,3,3,0.4911040000000002,6.160376,6.454053,5.400277,4.909173,5,7,6.7833000000000006,Nimes,0.6268,0.2466,0.1266
7,h,0.366935,1.49767,0.366935,1.49767,10,5,0,1,0.4105999999999999,l,2018-09-29 18:00:00,0,0,1,0,-1.130735,182,30,291,12,3,4,1,10,-0.7858560000000001,8.124087,9.009153,7.363989999999999,8.149846,9,10,9.4475,3,1,1,10,-0.869251,3.644063,5.372621,3.644063,4.513314,5,2,5.0164,Guingamp,0.0657,0.2135,0.7208,a,0.355414,0.922377,0.355414,0.162481,2,5,0,0,0.6004,d,2018-09-26 17:00:00,0,1,0,1,0.192933,231,15,110,24,0,6,1,1,-2.22352,7.902788999999999,10.126105,6.382598999999999,8.606119,4,17,7.932499999999999,0,4,1,1,-1.389258,5.178219,6.567272999999999,4.418118999999999,5.807376999999999,2,12,5.612,Nimes,0.0912,0.3268,0.582
8,h,2.15923,1.30474,1.39914,1.30474,5,8,2,2,1.9903,d,2018-10-06 18:00:00,0,1,0,1,0.0944,167,16,309,13,3,4,2,11,-0.6914560000000001,10.283317,10.313893,8.76313,9.454586,11,12,11.4378,2,1,2,8,-0.8851530000000001,5.040388,5.165451,4.280298,5.165451,6,4,6.378299999999999,Strasbourg,0.586,0.2323,0.1817,h,0.748818,1.0504,0.748818,1.0504,2,6,3,0,1.0762,w,2018-09-29 18:00:00,1,0,0,3,-0.301582,255,26,248,33,3,3,2,11,1.6231944999999997,7.163536,6.3003735,7.163536,5.5403415,14,11,11.7992,2,2,1,7,0.9342589999999996,4.816749,4.642522,4.816749,3.88249,11,8,6.9621,Dijon,0.2485,0.3307,0.4208
9,a,1.62653,1.03372,1.62653,1.03372,9,8,1,1,1.8509,d,2018-10-20 18:00:00,0,1,0,1,0.5928100000000001,252,28,181,30,3,4,3,12,-0.098646,11.909847,11.347613,10.38966,10.488306,12,13,13.2887,1,1,3,6,-0.544333,5.119428,4.903670999999999,4.359338,4.903670999999999,4,4,6.6604,Reims,0.5261,0.2726,0.2013,a,1.4833,0.760306,1.4833,0.760306,3,1,0,0,2.0210000000000004,d,2018-10-06 18:00:00,0,1,0,1,0.722994,243,15,125,22,2,3,4,10,-2.8989900000000004,6.598818,10.257898,6.598818,9.497808,4,9,10.793500000000002,0,1,4,4,-0.8967550000000003,3.938232,5.595077,3.938232,4.834987,1,4,6.933400000000001,Nimes,0.5873,0.2591,0.1536
