,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.94817,1.34076,1.06657,1.34076,2,11,2,1,1.8948,w,2018-08-11 21:00:00,1,0,0,3,-0.2741899999999999,257,26,247,25,1,0,0,3,-0.2741899999999999,1.94817,1.34076,1.06657,1.34076,2,1,1.8948,1,0,0,3,-0.2741899999999999,1.94817,1.34076,1.06657,1.34076,2,1,1.8948,Montpellier,0.5494,0.2466,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.95975,0.228631,2.95975,0.228631,4,3,2,0,2.9270000000000005,w,2018-08-18 21:00:00,1,0,0,3,2.731119,341,32,135,29,2,0,0,6,2.456929,4.90792,1.569391,4.02632,1.569391,4,1,4.8218000000000005,2,0,0,6,2.456929,4.90792,1.569391,4.02632,1.569391,4,1,4.8218000000000005,Nantes,0.9654,0.0308,0.0038,h,1.22055,2.8413,1.22055,2.8413,11,5,1,3,0.3542,l,2018-08-11 18:00:00,0,0,1,0,-1.62075,115,22,255,25,0,1,0,0,-1.62075,1.22055,2.8413,1.22055,2.8413,1,3,0.3542,0,1,0,0,-1.62075,1.22055,2.8413,1.22055,2.8413,1,3,0.3542,Monaco,0.0729,0.1355,0.7916
2,a,1.94227,1.7067,1.94227,1.7067,11,3,4,0,1.5669,w,2018-08-25 21:00:00,1,0,0,3,0.2355699999999998,361,34,240,21,3,0,0,9,2.692499,6.85019,3.276091,5.96859,3.276091,8,1,6.3887,3,0,0,9,2.692499,6.85019,3.276091,5.96859,3.276091,8,1,6.3887,Nice,0.4354,0.2607,0.3039,a,0.568951,1.20052,0.568951,0.440488,5,0,1,1,0.6763,d,2018-08-18 21:00:00,0,1,0,1,0.128463,180,21,380,34,0,1,1,1,0.8936729999999999,1.601581,1.46794,1.601581,0.707908,1,2,2.7236,0,1,1,1,0.8936729999999999,1.601581,1.46794,1.601581,0.707908,1,2,2.7236,Caen,0.1274,0.2941,0.5785
3,h,0.904946,1.24948,0.904946,1.24948,9,3,0,2,0.9784,l,2018-09-01 18:00:00,0,0,1,0,-0.3445339999999999,136,16,256,20,3,1,0,9,2.347965,7.755135999999999,4.525571,6.873536,4.525571,8,3,7.3671,3,1,0,9,2.347965,7.755135999999999,4.525571,6.873536,4.525571,8,3,7.3671,Caen,0.2214,0.3142,0.4644,a,0.635046,1.89955,0.635046,1.13945,0,6,1,1,0.3759,d,2018-08-25 21:00:00,0,1,0,1,-0.5044040000000001,290,25,126,24,0,1,2,2,-3.790441,2.024912,5.815421000000001,1.26488,5.055321,2,5,2.4175,0,1,2,2,-3.790441,2.024912,5.815421000000001,1.26488,5.055321,2,5,2.4175,Nantes,0.0591,0.1986,0.7423
4,h,1.2955,1.54749,1.2955,1.54749,5,6,1,3,1.1362,l,2018-09-15 18:00:00,0,0,1,0,-0.2519899999999999,176,26,292,23,3,2,0,9,2.095975,9.050636,6.073061,8.169036,6.073061,9,6,8.5033,3,2,0,9,2.095975,9.050636,6.073061,8.169036,6.073061,9,6,8.5033,Angers,0.2804,0.295,0.4246,h,0.762905,1.51191,0.762905,0.652603,2,4,1,0,0.6284000000000001,w,2018-09-01 18:00:00,1,0,0,3,0.110302,314,15,145,18,1,3,0,3,0.1936969999999999,5.242929,5.148442,4.482832,4.289135,5,8,5.0595,1,3,0,3,0.1936969999999999,5.242929,5.148442,4.482832,4.289135,5,8,5.0595,Lille,0.1009,0.3257,0.5734
5,a,0.154099,1.06301,0.154099,1.06301,2,1,0,0,0.4441,d,2018-09-22 18:00:00,0,1,0,1,-0.908911,183,28,324,25,3,2,1,10,1.187064,9.204735,7.136071,8.323135,7.136071,9,6,8.9474,2,2,1,7,1.461254,7.256565,5.795311,7.256565,5.795311,7,5,7.052599999999999,Reims,0.0445,0.3106,0.6449,a,0.426507,0.822305,0.426507,0.822305,2,3,0,0,0.9105,d,2018-09-16 13:00:00,0,1,0,1,-0.3957979999999999,288,25,122,35,2,2,1,7,-2.3980330000000003,3.087093,5.485126,3.087093,5.485126,3,5,4.7706,2,2,1,7,-2.3980330000000003,3.087093,5.485126,3.087093,5.485126,3,5,4.7706,Nantes,0.1711,0.3972,0.4317
6,h,1.93189,2.46562,1.93189,2.46562,12,2,0,3,1.0356999999999998,l,2018-09-26 17:00:00,0,0,1,0,-0.5337299999999998,285,34,215,10,3,3,1,10,0.6533340000000003,11.136625,9.601691,10.255025,9.601691,9,9,9.9831,1,3,1,4,-1.803595,6.228705000000001,8.0323,6.228705000000001,8.0323,5,8,5.161299999999999,Lyon,0.2738,0.2143,0.5119,h,2.17661,0.799911,1.41651,0.799911,3,6,4,2,2.394,w,2018-09-23 19:00:00,1,0,0,3,0.6165989999999999,185,12,306,19,3,2,1,10,4.258659,8.652313,4.393644,7.892212999999999,3.633554,10,6,11.457399999999998,2,2,1,7,3.236653,7.344222999999999,4.10756,6.584122999999999,3.3474700000000004,8,6,9.2037,Marseille,0.7379,0.1803,0.0818
7,a,1.0504,0.748818,1.0504,0.748818,6,2,0,3,1.5931,l,2018-09-29 18:00:00,0,0,1,0,0.301582,248,33,255,26,3,4,1,10,0.9549160000000004,12.187024999999998,10.350509,11.305425,10.350509,9,12,11.5762,0,4,1,1,-1.7375829999999997,5.336835000000001,7.074418,5.336835000000001,7.074418,1,11,5.1875,Strasbourg,0.4208,0.3307,0.2485,a,0.81086,1.27899,0.81086,0.518958,4,4,2,3,0.8809999999999999,l,2018-09-26 17:00:00,0,0,1,0,0.291902,311,18,289,27,2,3,2,8,1.9247765,6.414718,5.2499735,6.414718,4.4899415000000005,11,11,10.723,1,3,1,4,0.3865229999999997,4.461523,4.835032,4.461523,4.075,8,10,6.5201,Marseille,0.177,0.35,0.473
8,a,0.371877,0.301024,0.371877,0.301024,8,2,0,1,1.2862,l,2018-10-06 18:00:00,0,0,1,0,0.070853,211,27,294,37,3,5,1,10,1.0257690000000004,12.558901999999998,10.651533,11.677302,10.651533,9,13,12.8624,0,4,1,1,-1.3221959999999997,4.803766,6.125962,4.803766,6.125962,1,10,5.495299999999999,Amiens,0.2392,0.5686,0.1922,a,0.247116,1.44696,0.247116,0.686865,1,3,0,1,0.2835,l,2018-09-29 18:00:00,0,0,1,0,-0.4397489999999999,229,13,201,26,2,5,1,7,-2.4617999999999998,7.003878,10.225777,5.4836920000000005,7.945492,10,13,8.3498,1,3,1,4,-2.964481,3.424664,7.909338,2.6645720000000006,5.629053,5,8,3.1049,Caen,0.0321,0.1872,0.7807
9,h,1.51825,1.94079,0.75815,1.18082,4,3,1,2,1.0055,l,2018-10-20 18:00:00,0,0,1,0,-0.42267,206,28,318,27,3,6,1,10,0.6030990000000004,14.077151999999998,12.592323,12.435452,11.832353,10,15,13.8679,0,4,1,1,-1.492876,5.026516000000001,6.519262,4.266416,5.759291999999999,1,9,5.364599999999999,Lille,0.2421,0.2792,0.4787,h,0.792513,1.33367,0.792513,0.573572,3,4,3,1,0.7743,w,2018-10-06 15:00:00,1,0,0,3,0.218941,303,13,201,22,6,2,1,19,4.6080190000000005,14.951759,8.724342,11.052072,6.444053,17,7,16.493199999999998,4,1,0,12,2.4219100000000005,9.272094,5.329993999999999,6.231714,3.809804,11,5,9.1677,Saint-Etienne,0.1513,0.3204,0.5283
