,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.934842,1.37217,0.934842,0.61208,2,5,2,1,0.9373,w,2018-08-11 21:00:00,1,0,0,3,0.322762,264,20,203,17,1,0,0,3,0.322762,0.934842,1.37217,0.934842,0.61208,2,1,0.9373,1,0,0,3,0.322762,0.934842,1.37217,0.934842,0.61208,2,1,0.9373,Guingamp,0.2128,0.2989,0.4883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.329551,0.626045,0.329551,0.626045,1,8,1,1,0.9361,d,2018-08-19 16:00:00,0,1,0,1,-0.296494,294,10,272,21,1,0,1,4,0.026268,1.264393,1.998215,1.264393,1.238125,3,2,1.8734,1,0,1,4,0.026268,1.264393,1.998215,1.264393,1.238125,3,2,1.8734,Strasbourg,0.157,0.4651,0.3779,a,1.32715,0.0853905,1.32715,0.0853905,7,1,2,0,2.6041,w,2018-08-12 18:00:00,1,0,0,3,1.2417595,176,20,336,23,1,0,0,3,1.2417595,1.32715,0.0853905,1.32715,0.0853905,2,0,2.6041,1,0,0,3,1.2417595,1.32715,0.0853905,1.32715,0.0853905,2,0,2.6041,Bordeaux,0.8092,0.1765,0.0143
2,a,0.245117,0.417545,0.245117,0.417545,0,2,0,0,1.0352,d,2018-08-25 21:00:00,0,1,0,1,-0.172428,246,26,375,32,1,0,2,5,-0.1461599999999999,1.50951,2.41576,1.50951,1.65567,3,2,2.9086,1,0,2,5,-0.1461599999999999,1.50951,2.41576,1.50951,1.65567,3,2,2.9086,Montpellier,0.1568,0.5648,0.2784,a,0.308208,1.11001,0.308208,0.349916,3,4,2,1,0.4748,w,2018-08-18 21:00:00,1,0,0,3,-0.041708,298,18,185,24,1,1,0,3,0.2324819999999999,1.648968,3.05818,1.648968,1.416486,3,3,1.3334,1,1,0,3,0.2324819999999999,1.648968,3.05818,1.648968,1.416486,3,3,1.3334,Amiens,0.0666,0.275,0.6584
3,h,0.737428,0.325126,0.737428,0.325126,6,3,0,0,1.6759000000000002,d,2018-09-02 13:00:00,0,1,0,1,0.4123019999999999,155,26,268,13,1,0,3,6,0.266142,2.246938,2.740886,2.246938,1.980796,3,2,4.5845,1,0,3,6,0.266142,2.246938,2.740886,2.246938,1.980796,3,2,4.5845,Amiens,0.4122,0.4393,0.1485,h,2.18312,0.700141,2.18312,0.700141,9,1,4,1,2.5158,w,2018-08-25 21:00:00,1,0,0,3,1.4829790000000005,251,32,345,20,1,2,0,3,0.5026810000000004,3.5792140000000003,2.316439,2.8191200000000003,2.316439,5,5,5.2449,1,2,0,3,0.5026810000000004,3.5792140000000003,2.316439,2.8191200000000003,2.316439,5,5,5.2449,Reims,0.7858,0.1584,0.0558
4,a,0.8923,2.6433,0.8923,1.8832,2,17,0,4,0.2995,l,2018-09-14 18:45:00,0,0,1,0,-0.9909,391,21,213,23,1,1,3,6,-0.724758,3.139238,5.384186,3.139238,3.863996,3,6,4.884,1,1,3,6,-0.724758,3.139238,5.384186,3.139238,3.863996,3,6,4.884,Paris Saint Germain,0.0542,0.1369,0.8089,a,2.55182,1.1751,2.55182,0.415074,6,4,4,2,2.4107,w,2018-09-01 15:00:00,1,0,0,3,2.136746,144,27,326,32,4,0,0,12,7.092247,10.55496,4.222746000000001,9.79487,2.7026230000000004,13,4,9.4191,4,0,0,12,7.092247,10.55496,4.222746000000001,9.79487,2.7026230000000004,13,4,9.4191,Nimes,0.7465,0.1712,0.0823
5,h,3.12231,0.307587,2.36222,0.307587,10,3,2,1,2.9404,w,2018-09-22 18:00:00,1,0,0,3,2.0546330000000004,179,21,205,31,2,1,3,9,1.3298750000000004,6.261548,5.691773,5.501458,4.171583,5,7,7.824400000000001,1,1,3,6,1.0071130000000004,5.326706,4.319603,4.566616,3.559503,3,6,6.8871,Caen,0.9717,0.0253,0.003,h,1.82361,1.00941,1.06352,1.00941,3,4,2,2,2.0847,d,2018-09-15 15:00:00,0,1,0,1,0.0541100000000001,319,24,95,17,1,1,3,6,-3.391797,5.098001999999999,7.729777,3.57788,6.969677,6,7,6.2096,1,1,3,6,-3.391797,5.098001999999999,7.729777,3.57788,6.969677,6,7,6.2096,Lyon,0.6145,0.2412,0.1443
6,a,2.23179,1.09674,2.23179,1.09674,6,4,3,2,2.2402,w,2018-09-25 19:00:00,1,0,0,3,1.13505,246,17,190,16,3,1,3,12,2.4649250000000005,8.493338000000001,6.788513,7.733248000000001,5.2683230000000005,8,9,10.0646,2,1,2,8,2.4386570000000005,7.228945,4.790298,6.4688550000000005,4.030198,5,7,8.1912,Toulouse,0.681,0.1972,0.1218,a,0.419431,0.613569,0.419431,0.613569,5,2,0,0,1.0654,d,2018-09-22 18:00:00,0,1,0,1,-0.194138,159,24,343,17,3,1,2,11,-1.850292,6.722208,7.812469999999999,5.202088000000001,7.052379999999999,6,7,8.366999999999999,3,0,2,11,0.618381,6.4880510000000005,4.34955,4.967931,4.34955,6,3,8.3339,Angers,0.207,0.4444,0.3486
7,h,2.03551,1.85855,2.03551,1.85855,8,5,2,0,1.4904000000000002,w,2018-09-28 18:45:00,1,0,0,3,0.17696,285,20,255,25,4,1,3,15,2.6418850000000003,10.528848000000002,8.647063,9.768758,7.126873000000001,10,9,11.555,3,1,1,10,2.7880450000000003,9.019338,6.231303,8.259248000000001,5.471203,7,7,8.6464,Monaco,0.4137,0.2493,0.337,h,0.64811,0.353164,0.64811,0.353164,3,0,0,1,1.6387,l,2018-09-25 17:00:00,0,0,1,0,0.294946,148,25,337,17,1,3,3,6,2.4068,9.649786,8.027767,8.889687000000002,6.482887,8,9,10.9323,0,3,2,2,0.5063240000000002,5.188256,6.226812,5.188256,4.681932,5,8,6.134600000000001,Angers,0.3986,0.4429,0.1585
8,a,1.33367,0.792513,0.573572,0.792513,4,3,1,3,1.9053,l,2018-10-06 15:00:00,0,0,1,0,-0.218941,201,22,303,13,4,2,3,15,2.422944,11.862518,9.439576,10.34233,7.919386000000001,11,12,13.4603,3,2,0,9,2.1568020000000008,9.61558,6.698690000000001,8.095392,5.93859,8,10,8.8758,Lille,0.5283,0.3204,0.1513,h,2.94559,0.424331,1.4254,0.424331,6,3,3,0,2.8985,w,2018-09-30 19:00:00,1,0,0,3,1.001069,264,17,211,24,5,2,1,16,4.3890780000000005,14.159246,7.390672,10.259559,5.870481,14,6,15.7189,3,2,0,9,2.0926670000000005,9.991491,4.759229,6.091804,3.999137,8,5,10.4393,Marseille,0.9534,0.0383,0.0083
9,h,1.76728,2.01595,1.00719,1.25586,4,1,1,1,1.15,d,2018-10-21 15:00:00,0,1,0,1,-0.2486699999999999,272,26,310,28,4,2,4,16,2.1742740000000005,13.629798,11.455526,11.34952,9.175246,12,13,14.6103,3,1,1,10,2.899032000000001,10.49056,6.07134,8.210282000000001,5.31125,9,7,9.7263,Rennes,0.2895,0.2815,0.429,a,1.01659,0.390296,1.01659,0.390296,3,6,2,1,1.9903,w,2018-10-07 15:00:00,1,0,0,3,0.6262940000000001,239,23,280,22,3,4,2,11,2.395969000000001,12.793920000000002,8.117661,10.51363,8.117661,12,14,15.6102,1,3,1,4,1.7070070000000002,7.632929999999999,4.405729,6.112736,4.405729,6,9,9.186,Monaco,0.5553,0.3244,0.1203
