,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.56158,1.17033,1.80149,1.17033,11,2,0,1,2.3471,l,2019-08-10 19:00:00,0,0,1,0,0.6311599999999999,256,29,225,22,0,1,0,0,0.6311599999999999,2.56158,1.17033,1.80149,1.17033,0,1,2.3471,0,1,0,0,0.6311599999999999,2.56158,1.17033,1.80149,1.17033,0,1,2.3471,Rennes,0.7229,0.1784,0.0987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.683431,0.785876,0.683431,0.785876,5,1,1,1,1.2503,d,2019-08-17 19:00:00,0,1,0,1,-0.102445,381,37,134,20,0,1,1,1,0.5287149999999999,3.2450110000000003,1.956206,2.484921,1.956206,1,2,3.5973999999999995,0,1,1,1,0.5287149999999999,3.2450110000000003,1.956206,2.484921,1.956206,1,2,3.5973999999999995,Bordeaux,0.2933,0.3704,0.3363,a,1.29511,1.52399,1.29511,1.52399,3,4,1,3,1.2036,l,2019-08-10 19:00:00,0,0,1,0,-0.2288799999999999,252,23,323,34,0,1,0,0,-0.2288799999999999,1.29511,1.52399,1.29511,1.52399,1,3,1.2036,0,1,0,0,-0.2288799999999999,1.29511,1.52399,1.29511,1.52399,1,3,1.2036,Angers,0.3077,0.2805,0.4118
2,h,1.89186,1.04285,1.13176,1.04285,7,2,1,0,2.0492,w,2019-08-27 18:00:00,1,0,0,3,0.08891,273,19,301,17,1,1,1,4,0.617625,5.136871,2.9990560000000004,3.616681,2.9990560000000004,2,2,5.646599999999999,1,1,1,4,0.617625,5.136871,2.9990560000000004,3.616681,2.9990560000000004,2,2,5.646599999999999,Lyon,0.6042,0.2366,0.1592,h,1.49515,0.347737,1.49515,0.347737,6,6,6,0,2.3795,w,2019-08-16 19:45:00,1,0,0,3,1.147413,206,27,597,25,2,0,0,6,1.417264,2.3281840000000003,0.91092,2.3281840000000003,0.91092,9,0,3.951,2,0,0,6,1.417264,2.3281840000000003,0.91092,2.3281840000000003,0.91092,9,0,3.951,Angers,0.7215,0.215,0.0635
3,a,0.767321,0.825226,0.767321,0.825226,6,3,0,1,1.2657,l,2019-08-31 18:00:00,0,0,1,0,-0.0579049999999999,267,21,315,26,1,2,1,4,0.55972,5.904192,3.824282,4.384002,3.824282,2,3,6.912299999999999,1,2,1,4,0.55972,5.904192,3.824282,4.384002,3.824282,2,3,6.912299999999999,Nantes,0.3004,0.3645,0.3351,a,2.0807,0.377125,2.0807,0.377125,5,2,2,1,2.6271,w,2019-08-24 19:00:00,1,0,0,3,1.7035750000000005,248,34,341,22,1,1,1,4,0.7684950000000002,2.932103,2.923705,2.932103,2.163608,3,3,3.767,1,1,1,4,0.7684950000000002,2.932103,2.923705,2.932103,2.163608,3,3,3.767,Amiens,0.8295,0.1386,0.0319
4,h,2.22081,1.05478,2.22081,1.05478,6,4,2,1,2.2766,w,2019-09-14 18:00:00,1,0,0,3,1.16603,399,24,197,17,2,2,1,7,1.72575,8.125002,4.879062,6.604812,4.879062,4,4,9.1889,2,2,1,7,1.72575,8.125002,4.879062,6.604812,4.879062,4,4,9.1889,Nice,0.6939,0.1949,0.1112,a,1.68646,0.592177,0.926364,0.592177,1,1,2,1,2.3475,w,2019-09-01 14:00:00,1,0,0,3,0.334187,202,23,321,23,3,1,0,9,2.42847,7.29412,4.105549999999999,5.013826,2.585356,7,5,8.2126,3,1,0,9,2.42847,7.29412,4.105549999999999,5.013826,2.585356,7,5,8.2126,Rennes,0.714,0.2055,0.0805
5,a,0.10429,1.08408,0.10429,1.08408,2,9,1,1,0.4365,d,2019-09-21 15:30:00,0,1,0,1,-0.97979,247,23,195,24,2,2,2,8,0.7459600000000002,8.229292000000001,5.963142,6.709102,5.963142,5,5,9.6254,2,1,2,8,0.1148000000000002,5.667712,4.7928120000000005,4.907611999999999,4.7928120000000005,5,4,7.278299999999999,Marseille,0.035,0.3315,0.6335,a,1.73874,2.47739,1.73874,1.71736,4,3,4,3,0.8142,w,2019-09-15 19:00:00,1,0,0,3,0.0213799999999999,231,25,331,19,3,1,1,10,0.073711,6.446184000000001,6.372409,4.925992,4.852281,7,6,7.107099999999999,3,1,1,10,0.073711,6.446184000000001,6.372409,4.925992,4.852281,7,6,7.107099999999999,Monaco,0.1925,0.2367,0.5708
6,h,0.579923,0.719947,0.579923,0.719947,5,6,1,0,1.149,w,2019-09-25 17:00:00,1,0,0,3,-0.140024,165,23,222,31,3,2,2,11,0.6059360000000001,8.809215000000002,6.683089000000001,7.289025,6.683089000000001,6,5,10.7744,3,1,1,10,0.0772210000000001,5.564204,4.726883000000001,4.804104000000001,4.726883000000001,5,3,7.177,Nimes,0.2493,0.4011,0.3496,h,1.62783,0.844257,1.62783,0.844257,7,7,1,0,1.9608000000000003,w,2019-09-21 18:00:00,1,0,0,3,0.7835730000000001,308,27,184,15,2,2,2,8,-1.6388950000000002,8.112174999999999,10.511161,7.352075999999999,8.990971,7,7,7.191000000000001,2,1,2,8,0.911618,7.806788,6.895171,7.046689,6.135071,7,4,7.1644000000000005,Toulouse,0.5671,0.2595,0.1734
7,a,1.28128,0.390945,0.521186,0.390945,5,2,0,1,2.2853,l,2019-09-29 13:00:00,0,0,1,0,0.130241,201,27,239,25,3,3,2,11,0.7361770000000002,10.090495000000002,7.074034000000001,7.810211,7.074034000000001,6,6,13.0597,2,2,1,7,0.1185520000000003,4.953624,4.074978,4.19353,4.074978,4,4,7.4131,Strasbourg,0.6795,0.2468,0.0737,a,0.234977,3.02158,0.234977,3.02158,3,4,0,2,0.0528999999999999,l,2019-09-25 17:00:00,0,0,1,0,-2.7866030000000004,432,12,212,24,1,3,3,6,-2.8553370000000005,7.802047999999999,8.377102,5.521764999999999,8.377102,5,9,10.3745,1,3,1,4,-4.434067000000001,5.633401,7.787185000000001,3.353118,7.787185000000001,4,8,6.3296,Lille,0.0062,0.0343,0.9595
8,h,2.74638,1.36346,2.74638,1.36346,5,6,3,1,2.3667,w,2019-10-05 19:00:00,1,0,0,3,1.38292,286,26,183,16,4,3,2,14,2.119097,12.836875000000004,8.437494000000001,10.556591,8.437494000000001,9,7,15.4264,3,1,1,10,1.559377,6.932682999999999,4.613212,6.172589,4.613212,7,4,8.5141,Monaco,0.7336,0.1659,0.1005,h,3.77849,0.395322,3.01839,0.395322,14,1,4,1,2.9351,w,2019-09-28 18:00:00,1,0,0,3,2.623068,291,27,315,21,2,3,3,9,4.349414,15.974371,11.625022,14.454241,10.104827,14,16,13.422299999999998,2,1,2,8,6.051126,12.250299,5.439138,10.730169,4.679043,12,8,10.7346,Brest,0.9697,0.026,0.0043
9,a,0.594823,0.925625,0.594823,0.925625,3,2,0,1,0.9819,l,2019-10-19 19:00:00,0,0,1,0,-0.330802,210,23,274,23,4,4,2,14,1.788295,13.431698000000004,9.363119,11.151414,9.363119,9,8,16.4083,2,2,1,7,0.062545,5.306696,4.484057,4.546602,4.484057,5,4,7.2194,Reims,0.2102,0.3513,0.4385,a,1.89057,1.01154,1.89057,1.01154,6,5,1,0,2.0382,w,2019-10-06 16:00:00,1,0,0,3,0.87903,274,20,155,36,4,3,2,14,2.890213,10.328088,7.549161,9.568188,6.677975,8,4,14.3318,2,2,1,7,1.96777,5.893925,3.926155,5.893925,3.926155,4,3,8.4419,Rennes,0.6075,0.2157,0.1768
