,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.305387,3.61599,0.305387,2.8559,3,12,0,3,0.0266,l,2019-08-11 20:00:00,0,0,1,0,-2.550513,475,9,138,34,0,1,0,0,-2.550513,0.305387,3.61599,0.305387,2.8559,0,3,0.0266,0,1,0,0,-2.550513,0.305387,3.61599,0.305387,2.8559,0,3,0.0266,Paris Saint Germain,0.0024,0.0194,0.9782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.26223,2.00012,0.502131,1.24002,9,4,1,2,0.7054,l,2019-08-17 19:00:00,0,0,1,0,-0.7378889999999999,246,30,220,14,0,2,0,0,-3.288402,1.567617,5.61611,0.807518,4.09592,1,5,0.732,0,2,0,0,-3.288402,1.567617,5.61611,0.807518,4.09592,1,5,0.732,Nice,0.1476,0.2626,0.5898,h,1.86828,0.604143,1.86828,0.604143,4,3,2,1,2.397,w,2019-08-10 19:00:00,1,0,0,3,1.2641369999999998,155,18,409,18,1,0,0,3,1.2641369999999998,1.86828,0.604143,1.86828,0.604143,2,1,2.397,1,0,0,3,1.2641369999999998,1.86828,0.604143,1.86828,0.604143,2,1,2.397,Amiens,0.7341,0.1947,0.0712
2,a,2.24062,2.40125,2.24062,2.40125,2,10,2,2,1.2823,d,2019-08-25 14:00:00,0,1,0,1,-0.1606300000000002,214,23,250,27,0,2,1,1,-3.4490320000000003,3.808237,8.01736,3.048138,6.49717,3,7,2.0143,0,2,1,1,-3.4490320000000003,3.808237,8.01736,3.048138,6.49717,3,7,2.0143,Monaco,0.3488,0.2359,0.4153,a,0.759639,3.11223,0.759639,2.35213,5,3,0,3,0.1636,l,2019-08-17 19:00:00,0,0,1,0,-1.592491,289,23,268,29,0,2,0,0,-1.862342,1.322822,3.945264,1.322822,3.185164,0,6,1.2059,0,2,0,0,-1.862342,1.322822,3.945264,1.322822,3.185164,0,6,1.2059,Metz,0.0288,0.0772,0.894
3,h,2.334,0.8598,2.334,0.8598,6,4,3,0,2.3896,w,2019-08-31 18:00:00,1,0,0,3,1.4742000000000002,345,22,152,17,1,2,1,4,-1.974832,6.142237,8.87716,5.382137999999999,7.35697,6,7,4.4039,1,2,1,4,-1.974832,6.142237,8.87716,5.382137999999999,7.35697,6,7,4.4039,Brest,0.7406,0.1678,0.0916,h,0.528162,0.792044,0.528162,0.792044,3,3,1,0,1.0386000000000002,w,2019-08-24 19:00:00,1,0,0,3,-0.2638819999999999,239,23,328,25,1,0,2,5,-1.836585,3.358959,4.435454,2.598869,4.435454,3,2,3.3971,1,0,2,5,-1.836585,3.358959,4.435454,2.598869,4.435454,3,2,3.3971,Reims,0.2169,0.3879,0.3952
4,a,0.342108,0.789744,0.342108,0.789744,4,3,0,0,0.8263,d,2019-09-14 18:00:00,0,1,0,1,-0.447636,323,27,172,22,1,2,2,5,-2.4224680000000003,6.484344999999999,9.666904,5.724245999999999,8.146714,6,7,5.2302,1,2,2,5,-2.4224680000000003,6.484344999999999,9.666904,5.724245999999999,8.146714,6,7,5.2302,Dijon,0.1367,0.4162,0.4471,a,0.736529,1.41921,0.736529,1.41921,2,4,0,2,0.5704,l,2019-08-31 18:00:00,0,0,1,0,-0.6826810000000001,219,26,349,23,0,4,0,0,-1.009308,4.332669999999999,4.581887999999999,3.57258,4.581887999999999,1,7,4.7732,0,4,0,0,-1.009308,4.332669999999999,4.581887999999999,3.57258,4.581887999999999,1,7,4.7732,Angers,0.0682,0.3658,0.566
5,h,1.62783,0.844257,1.62783,0.844257,7,7,1,0,1.9608000000000003,w,2019-09-21 18:00:00,1,0,0,3,0.7835730000000001,308,27,184,15,2,2,2,8,-1.6388950000000002,8.112174999999999,10.511161,7.352075999999999,8.990971,7,7,7.191000000000001,2,1,2,8,0.911618,7.806788,6.895171,7.046689,6.135071,7,4,7.1644000000000005,Toulouse,0.5671,0.2595,0.1734,a,1.93338,1.06769,1.17329,1.06769,4,3,2,2,2.105,d,2019-09-15 15:00:00,0,1,0,1,0.1055999999999999,290,15,161,25,2,1,2,8,-1.858458,6.9698720000000005,9.58843,6.209782,8.06824,6,7,6.808299999999999,2,1,2,8,-1.858458,6.9698720000000005,9.58843,6.209782,8.06824,6,7,6.808299999999999,Saint-Etienne,0.6218,0.2396,0.1386
6,a,0.719947,0.579923,0.719947,0.579923,6,5,0,1,1.4499,l,2019-09-25 17:00:00,0,0,1,0,0.140024,222,31,165,23,2,3,2,8,-1.4988710000000005,8.832121999999998,11.091084000000002,8.072023,9.570894,7,8,8.6409,2,1,2,8,1.7895310000000002,7.264505,5.474974,7.264505,5.474974,6,3,7.908899999999999,Montpellier,0.3496,0.4011,0.2493,a,0.10429,1.08408,0.10429,1.08408,2,9,1,1,0.4365,d,2019-09-21 15:30:00,0,1,0,1,-0.97979,247,23,195,24,2,2,2,8,0.7459600000000002,8.229292000000001,5.963142,6.709102,5.963142,5,5,9.6254,2,1,2,8,0.1148000000000002,5.667712,4.7928120000000005,4.907611999999999,4.7928120000000005,5,4,7.278299999999999,Marseille,0.035,0.3315,0.6335
7,h,1.71161,0.856429,1.71161,0.856429,4,3,0,1,2.0194,l,2019-09-29 15:00:00,0,0,1,0,0.8551810000000001,139,21,293,20,2,4,2,8,-0.6436900000000002,10.543732,11.947513000000002,9.783633,10.427323,7,9,10.6603,2,2,1,7,2.8053420000000004,6.735495000000001,3.930153,6.735495000000001,3.930153,4,2,8.646,Saint-Etienne,0.5845,0.2659,0.1496,h,0.810489,0.532843,0.810489,0.532843,4,2,0,1,1.5769,l,2019-09-25 17:00:00,0,0,1,0,0.277646,220,34,247,19,1,4,2,5,-1.145694,7.1288730000000005,10.554847,7.1288730000000005,8.274567000000001,6,13,7.1204,0,4,1,1,-2.385604,3.996716,7.902509999999999,3.996716,6.38232,3,11,4.0625,Metz,0.3994,0.3787,0.2219
8,a,1.76186,2.57207,1.00176,2.57207,4,7,2,2,0.7771,d,2019-10-06 14:00:00,0,1,0,1,-1.57031,294,17,117,21,2,4,3,9,-2.2140000000000004,12.305592,14.519583000000004,10.785393,12.999393,9,11,11.4374,1,2,2,5,-0.2391679999999998,6.163355000000001,5.642423,5.403255000000001,5.642423,3,4,7.0335,Lille,0.1824,0.2299,0.5877,a,1.35573,1.07057,1.35573,1.07057,7,1,1,1,1.5869,d,2019-09-28 18:00:00,0,1,0,1,0.2851600000000001,437,31,242,23,4,2,2,14,4.867176000000001,12.750518,7.011955999999999,11.119232,6.252056,11,7,14.5422,2,1,2,8,3.855228,8.587670000000001,4.621155999999999,7.716484,3.861256,6,5,9.4774,Nice,0.4287,0.3008,0.2705
9,h,0.317325,0.941379,0.317325,0.941379,4,9,1,1,0.7115,d,2019-10-19 19:00:00,0,1,0,1,-0.6240539999999999,258,25,126,28,2,4,4,10,-2.8380540000000005,12.622917,15.460962000000002,11.102718,13.940772,10,12,12.1489,1,2,2,5,-0.4155859999999998,6.138572,5.794058,5.378472,5.794058,4,5,6.9187,Amiens,0.113,0.3725,0.5145,h,2.90722,0.437853,2.14713,0.437853,1,4,3,1,2.8409,w,2019-10-04 19:45:00,1,0,0,3,1.7092770000000002,334,25,123,30,3,4,2,11,-1.9339730000000004,9.637455,10.811338,8.877365000000001,10.811338,12,14,11.4492,2,1,2,8,1.2701669999999998,7.310366999999999,5.28011,6.550277,5.28011,9,8,8.1687,Marseille,0.927,0.0599,0.0131
