,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.60857,0.252178,1.60857,0.252178,4,4,1,1,2.4896000000000003,d,2019-08-11 16:00:00,0,1,0,1,1.356392,259,17,406,28,0,0,1,1,1.356392,1.60857,0.252178,1.60857,0.252178,1,1,2.4896000000000003,0,0,1,1,1.356392,1.60857,0.252178,1.60857,0.252178,1,1,2.4896000000000003,Metz,0.766,0.1916,0.0424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.560077,0.337739,0.560077,0.337739,1,5,0,0,1.5553,d,2019-08-18 16:00:00,0,1,0,1,0.222338,353,18,236,28,0,0,2,2,1.5787300000000002,2.168647,0.589917,2.168647,0.589917,1,1,4.0449,0,0,2,2,1.5787300000000002,2.168647,0.589917,2.168647,0.589917,1,1,4.0449,Reims,0.3604,0.4741,0.1655,a,1.2983,0.874557,1.2983,0.874557,6,4,2,0,1.6975,w,2019-08-10 16:30:00,1,0,0,3,0.423743,364,23,200,41,1,0,0,3,0.423743,1.2983,0.874557,1.2983,0.874557,2,0,1.6975,1,0,0,3,0.423743,1.2983,0.874557,1.2983,0.874557,2,0,1.6975,Marseille,0.4679,0.2938,0.2383
2,h,1.62131,0.496085,0.861212,0.496085,6,2,0,2,2.3491,l,2019-08-25 16:00:00,0,0,1,0,0.365127,262,26,206,24,0,1,2,2,1.943857,3.789957,1.086002,3.029859,1.086002,1,3,6.394,0,1,2,2,1.943857,3.789957,1.086002,3.029859,1.086002,1,3,6.394,Rennes,0.7085,0.2236,0.0679,h,1.18588,0.844939,1.18588,0.844939,5,5,2,1,1.6477,w,2019-08-18 20:00:00,1,0,0,3,0.340941,360,19,230,28,2,0,0,6,-0.2902189999999999,2.35621,3.4065190000000003,2.35621,2.646429,3,1,2.1222,2,0,0,6,-0.2902189999999999,2.35621,3.4065190000000003,2.35621,2.646429,3,1,2.1222,Paris Saint Germain,0.4448,0.3133,0.2419
3,h,1.34345,2.87671,0.583355,2.87671,9,5,2,2,0.3946,d,2019-09-01 16:00:00,0,1,0,1,-2.293355,167,26,292,31,0,1,3,3,-0.3494979999999998,5.133407,3.962712,3.613214,3.962712,3,5,6.7886,0,1,3,3,-0.3494979999999998,5.133407,3.962712,3.613214,3.962712,3,5,6.7886,Monaco,0.0781,0.1603,0.7616,h,2.40125,2.24062,2.40125,2.24062,10,2,2,2,1.4818,d,2019-08-25 14:00:00,0,1,0,1,0.1606300000000002,250,27,214,23,0,2,1,1,-1.7017119999999997,3.724072,6.185884,3.724072,5.425784,2,8,2.6877,0,2,1,1,-1.7017119999999997,3.724072,6.185884,3.724072,5.425784,2,8,2.6877,Nimes,0.4153,0.2359,0.3488
4,a,0.561424,0.839304,0.561424,0.839304,2,13,0,1,1.0722,l,2019-09-14 15:30:00,0,0,1,0,-0.27788,304,16,232,35,0,2,3,3,-0.6273779999999999,5.694831,4.802016,4.174638,4.802016,3,6,7.860799999999999,0,2,3,3,-0.6273779999999999,5.694831,4.802016,4.174638,4.802016,3,6,7.860799999999999,Paris Saint Germain,0.233,0.3732,0.3938,a,2.01186,0.360572,1.25176,0.360572,5,1,2,0,2.6536,w,2019-08-30 19:45:00,1,0,0,3,0.891188,151,32,495,27,3,1,0,9,6.348608,11.180549,2.551651,8.900259,2.551651,10,2,9.616700000000002,3,1,0,9,6.348608,11.180549,2.551651,8.900259,2.551651,10,2,9.616700000000002,Metz,0.8425,0.1261,0.0314
5,h,1.87224,0.553506,1.11215,0.553506,5,3,2,1,2.4608,w,2019-09-20 18:45:00,1,0,0,3,0.5586439999999999,181,21,321,24,1,2,3,6,-0.0687339999999999,7.567070999999999,5.355522000000001,5.286788,5.355522000000001,5,7,10.3216,1,2,2,5,-1.4251260000000003,5.958500999999999,5.103344,3.678218,5.103344,4,6,7.832,Nantes,0.7618,0.1754,0.0628,h,0.250307,0.693027,0.250307,0.693027,2,4,1,0,0.7934,w,2019-09-15 13:00:00,1,0,0,3,-0.4427199999999999,241,28,286,19,3,1,1,10,0.3836800000000002,4.007636000000001,4.384053,4.007636000000001,3.623956,5,3,5.9302,3,1,1,10,0.3836800000000002,4.007636000000001,4.384053,4.007636000000001,3.623956,5,3,5.9302,Reims,0.1167,0.4433,0.44
6,a,0.234977,3.02158,0.234977,3.02158,3,4,0,2,0.0528999999999999,l,2019-09-25 17:00:00,0,0,1,0,-2.7866030000000004,432,12,212,24,1,3,3,6,-2.8553370000000005,7.802047999999999,8.377102,5.521764999999999,8.377102,5,9,10.3745,1,3,1,4,-4.434067000000001,5.633401,7.787185000000001,3.353118,7.787185000000001,4,8,6.3296,Lille,0.0062,0.0343,0.9595,a,1.10925,0.645681,1.10925,0.645681,6,4,1,1,1.7974,d,2019-09-22 13:00:00,0,1,0,1,0.4635690000000001,275,23,260,16,3,2,1,10,1.795413,8.373208,5.706408999999999,6.741922000000001,4.946509,8,6,10.0425,2,2,1,7,1.107463,7.166958,5.188109,5.535672000000001,4.428209,6,5,8.083,Rennes,0.4906,0.3256,0.1838
7,h,0.390945,1.28128,0.390945,0.521186,2,5,1,0,0.4679,w,2019-09-29 13:00:00,1,0,0,3,-0.130241,239,25,201,27,2,3,3,9,-2.9855780000000003,8.192993,9.658382,5.91271,8.898288,6,9,10.8424,2,2,1,7,-4.929435000000001,4.403036,8.57238,2.882851,7.812286,5,6,4.4484,Montpellier,0.0737,0.2468,0.6795,h,0.579923,0.719947,0.579923,0.719947,5,6,1,0,1.149,w,2019-09-25 17:00:00,1,0,0,3,-0.140024,165,23,222,31,3,2,2,11,0.6059360000000001,8.809215000000002,6.683089000000001,7.289025,6.683089000000001,6,5,10.7744,3,1,1,10,0.0772210000000001,5.564204,4.726883000000001,4.804104000000001,4.726883000000001,5,3,7.177,Nimes,0.2493,0.4011,0.3496
8,a,0.780588,1.18723,0.780588,1.18723,12,4,0,1,0.9347,l,2019-10-05 19:00:00,0,0,1,0,-0.406642,223,27,366,16,2,4,3,9,-3.3922200000000005,8.973581,10.845612,6.693298,10.085518,6,10,11.7771,2,3,0,6,-3.042722000000001,3.840174,6.882899999999999,3.080084,6.122806000000001,3,5,4.9885,Dijon,0.207,0.3137,0.4793,a,1.41539,0.784118,1.41539,0.784118,5,5,2,1,1.9148,w,2019-09-28 18:00:00,1,0,0,3,0.6312719999999999,287,38,216,21,1,5,2,5,0.5219899999999998,9.391324,8.109243999999999,8.631234000000001,8.109243999999999,4,10,11.4989,1,2,2,5,0.8486169999999997,5.795183,4.946566000000001,5.795183,4.946566000000001,3,5,7.296099999999999,Reims,0.5461,0.2765,0.1774
9,a,0.32374,1.5975,0.32374,0.837407,4,3,0,2,0.2964,l,2019-10-20 20:00:00,0,0,1,0,-0.513667,304,24,302,21,2,5,3,9,-3.905887,9.297321,12.443112,7.017037999999999,10.922925,6,12,12.0735,2,3,0,6,-3.278509,3.6024899999999995,7.641096000000001,2.8424,6.120909,3,6,4.2127,Marseille,0.0401,0.1761,0.7838,a,0.437853,2.90722,0.437853,2.14713,4,1,1,3,0.0992,l,2019-10-04 19:45:00,0,0,1,0,-1.7092770000000002,123,30,334,25,3,2,4,13,-1.091255,9.959224000000004,11.810505,8.439032000000001,9.530287,10,11,11.8122,1,1,3,6,-1.1435860000000002,5.251779999999999,7.915486,5.251779999999999,6.395366000000001,7,8,5.519299999999999,Amiens,0.0131,0.0599,0.927
