,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.468011,2.14597,0.468011,2.14597,4,7,0,4,0.2919,l,2020-08-23 13:00:00,0,0,1,0,-1.6779590000000002,182,30,238,29,0,1,0,0,-1.6779590000000002,0.468011,2.14597,0.468011,2.14597,0,4,0.2919,0,1,0,0,-1.6779590000000002,0.468011,2.14597,0.468011,2.14597,0,4,0.2919,Nimes,0.0494,0.1437,0.8069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.12594,1.32391,2.12594,1.32391,11,3,2,3,1.9946,l,2020-08-30 19:00:00,0,0,1,0,0.80203,203,32,258,18,0,2,0,0,-0.8759290000000002,2.593951,3.46988,2.593951,3.46988,2,7,2.2865,0,2,0,0,-0.8759290000000002,2.593951,3.46988,2.593951,3.46988,2,7,2.2865,Marseille,0.5863,0.2357,0.178,a,1.32391,2.12594,1.32391,2.12594,3,11,3,2,0.7697,w,2020-08-30 19:00:00,1,0,0,3,-0.80203,258,18,203,32,1,0,0,3,-0.80203,1.32391,2.12594,1.32391,2.12594,3,2,0.7697,1,0,0,3,-0.80203,1.32391,2.12594,1.32391,2.12594,3,2,0.7697,Brest,0.178,0.2357,0.5863
2,a,2.19687,0.296281,2.19687,0.296281,4,5,2,0,2.7053,w,2020-09-13 13:00:00,1,0,0,3,1.900589,289,29,240,21,1,2,0,3,1.02466,4.790821,3.766161,4.790821,3.766161,4,7,4.9918,1,2,0,3,1.02466,4.790821,3.766161,4.790821,3.766161,4,7,4.9918,Dijon,0.8641,0.113,0.0229,a,0.215658,3.97148,0.215658,2.45129,0,15,1,4,0.0128999999999999,l,2020-08-28 19:00:00,0,0,1,0,-2.2356320000000003,286,10,192,32,0,2,0,0,-3.518063,0.955367,5.99362,0.955367,4.4734300000000005,1,5,0.4346,0,2,0,0,-3.518063,0.955367,5.99362,0.955367,4.4734300000000005,1,5,0.4346,Lyon,0.0012,0.0093,0.9895
3,h,1.21203,1.49951,1.21203,1.49951,10,1,3,2,1.1121,w,2020-09-20 13:00:00,1,0,0,3,-0.2874799999999999,225,37,286,19,2,2,0,6,0.73718,6.002851,5.265670999999999,6.002851,5.265670999999999,7,9,6.103899999999999,2,2,0,6,0.73718,6.002851,5.265670999999999,6.002851,5.265670999999999,7,9,6.103899999999999,Lorient,0.276,0.2841,0.4399,h,0.919743,1.98746,0.159648,1.22737,3,8,2,3,0.4905,l,2020-09-13 13:00:00,0,0,1,0,-1.067722,228,33,193,27,1,2,0,3,-0.2611479999999999,4.206783,3.707896,2.6866580000000004,2.947806,5,6,3.7637,1,2,0,3,-0.2611479999999999,4.206783,3.707896,2.6866580000000004,2.947806,5,6,3.7637,Lens,0.0819,0.2448,0.6733
4,a,2.36408,1.11753,1.60398,1.11753,7,3,2,3,2.2728,l,2020-09-27 13:00:00,0,0,1,0,0.48645,310,40,255,30,2,3,0,6,1.22363,8.366931,6.383201,7.606831,6.383201,9,12,8.3767,2,3,0,6,1.22363,8.366931,6.383201,7.606831,6.383201,9,12,8.3767,Angers,0.6939,0.1911,0.115,a,0.772287,1.94396,0.772287,1.94396,5,4,1,4,0.5516,l,2020-09-20 13:00:00,0,0,1,0,-1.171673,309,18,359,20,2,2,0,6,-0.5991799999999998,5.454646,5.293726,4.694546,5.293726,3,6,5.8636,2,2,0,6,-0.5991799999999998,5.454646,5.293726,4.694546,5.293726,3,6,5.8636,Montpellier,0.1174,0.1994,0.6832
5,h,0.732353,1.53192,0.732353,1.53192,1,9,1,0,0.7162999999999999,w,2020-10-04 13:00:00,1,0,0,3,-0.7995669999999999,372,18,124,36,3,3,0,9,0.4240630000000001,9.099284,7.915120999999999,8.339184,7.915120999999999,10,12,9.093,3,2,0,9,2.1020220000000007,8.631273,5.769150999999999,7.871173000000001,5.769150999999999,10,8,8.8011,Monaco,0.1489,0.2696,0.5815,h,1.56306,1.40652,1.56306,0.64642,6,3,3,2,1.4562,w,2020-09-27 13:00:00,1,0,0,3,0.91664,209,23,322,20,3,1,1,10,2.444389,7.515912999999999,5.831624,7.515912999999999,5.071524,9,7,7.597399999999999,3,1,1,10,2.444389,7.515912999999999,5.831624,7.515912999999999,5.071524,9,7,7.597399999999999,Strasbourg,0.3866,0.2964,0.317
6,a,0.839348,1.90561,0.839348,1.90561,1,5,1,3,0.5156000000000001,l,2020-10-18 13:00:00,0,0,1,0,-1.066262,135,32,294,23,3,4,0,9,-0.642199,9.938631999999998,9.820731,9.178532,9.820731,11,15,9.6086,3,2,0,9,0.2337300000000002,7.344681,6.350851,6.584581,6.350851,9,8,7.3221,Nantes,0.0971,0.2243,0.6786,a,1.13528,1.9654,0.37518,1.9654,3,11,1,2,0.7424999999999999,l,2020-10-03 19:00:00,0,0,1,0,-1.59022,458,14,151,42,1,3,2,5,-3.0184,6.583649,8.842009000000001,5.063519,8.081919000000001,6,9,6.3466,1,3,1,4,-2.606146,6.395828,8.241934,4.875698000000001,7.481844,6,9,5.6472,Nice,0.1609,0.2598,0.5793
7,h,0.732823,1.29304,0.732823,0.532947,10,3,0,3,0.7832000000000001,l,2020-10-25 14:00:00,0,0,1,0,0.199876,191,18,363,14,3,5,0,9,-0.4423229999999999,10.671454999999998,11.113770999999998,9.911355,10.353678,11,18,10.3918,2,3,0,6,-1.466983,5.880634,7.347609999999999,5.120534,6.587517,7,11,5.4,Strasbourg,0.1642,0.2906,0.5452,h,1.92587,4.16498,1.92587,4.16498,6,8,2,3,0.251,l,2020-10-18 11:00:00,0,0,1,0,-2.23911,204,28,196,16,1,6,0,3,-4.279843,8.414918,14.214874,7.654818,11.934661000000002,6,16,5.959700000000001,1,4,0,3,-2.073611,7.860192999999999,9.933794,7.100092999999999,9.173704,5,11,5.5798000000000005,Lyon,0.0518,0.0956,0.8526
8,a,1.03943,1.40289,1.03943,1.40289,3,10,1,2,1.1101,l,2020-10-31 16:00:00,0,0,1,0,-0.3634599999999999,530,19,240,17,3,6,0,9,-0.8057829999999998,11.710884999999998,12.516660999999996,10.950784999999998,11.756567999999998,12,20,11.5019,1,4,0,3,-1.542963,5.7080340000000005,7.250990000000001,4.947934,6.490897,5,11,5.398,Rennes,0.2709,0.2974,0.4317,h,1.21675,1.20512,1.21675,1.20512,8,4,1,2,1.3818,l,2020-10-23 19:00:00,0,0,1,0,0.01163,270,32,395,14,4,1,3,15,5.205083,11.485271999999998,6.280189,11.485271999999998,6.280189,16,10,15.022500000000004,2,1,2,8,1.929851,6.308842,4.378991,6.308842,4.378991,9,6,8.2813,Angers,0.3568,0.3114,0.3318
9,h,1.47256,2.97059,1.47256,2.2105,6,15,3,2,0.5052,w,2020-11-08 12:00:00,1,0,0,3,-0.73794,303,10,175,34,4,6,0,12,-1.543723,13.183444999999995,15.487250999999995,12.423344999999998,13.967067999999998,15,22,12.0071,2,3,0,6,-2.767353,4.816514,9.10405,4.816514,7.583867,6,10,3.6304,Lille,0.1138,0.1638,0.7224,h,0.444747,0.421049,0.444747,0.421049,9,6,1,1,1.2546,d,2020-11-01 20:00:00,0,1,0,1,0.0236979999999999,246,31,276,20,5,0,4,19,4.994453,11.905629,6.151086,11.145539,6.151086,15,4,16.059199999999997,3,0,2,11,4.481083,8.288633,3.04746,7.528543000000001,3.04746,11,2,10.2494,Lyon,0.2535,0.4941,0.2524
