,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,3.97148,0.215658,2.45129,0.215658,15,0,4,1,2.9778,w,2020-08-28 19:00:00,1,0,0,3,2.2356320000000003,192,32,286,10,1,0,0,3,2.2356320000000003,3.97148,0.215658,2.45129,0.215658,4,1,2.9778,1,0,0,3,2.2356320000000003,3.97148,0.215658,2.45129,0.215658,4,1,2.9778,Dijon,0.9895,0.0093,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.79726,0.231132,1.79726,0.231132,13,2,0,0,2.5669,d,2020-09-11 19:00:00,0,1,0,1,1.566128,201,39,254,16,1,0,1,4,3.80176,5.76874,0.44679,4.24855,0.44679,4,1,5.544700000000001,1,0,1,4,3.80176,5.76874,0.44679,4.24855,0.44679,4,1,5.544700000000001,Bordeaux,0.7984,0.1717,0.0299,h,0.600075,0.187821,0.600075,0.187821,0,2,0,0,1.8613,d,2020-08-21 17:00:00,0,1,0,1,0.412254,318,13,299,23,0,0,1,1,0.412254,0.600075,0.187821,0.600075,0.187821,0,0,1.8613,0,0,1,1,0.412254,0.600075,0.187821,0.600075,0.187821,0,0,1.8613,Nantes,0.474,0.4393,0.0867
2,a,2.17049,1.75168,1.4104,0.991589,10,3,1,2,1.6727,l,2020-09-15 19:00:00,0,0,1,0,0.418811,236,27,244,22,1,1,1,4,4.2205710000000005,7.93923,2.19847,5.65895,1.438379,5,3,7.2174,1,1,1,4,4.2205710000000005,7.93923,2.19847,5.65895,1.438379,5,3,7.2174,Montpellier,0.462,0.2867,0.2513,h,1.69934,0.376694,1.69934,0.376694,8,0,3,1,2.4123,w,2020-09-12 15:00:00,1,0,0,3,1.3226460000000002,292,25,138,19,1,1,0,3,0.0272800000000001,2.1911240000000003,2.163844,2.1911240000000003,2.163844,4,3,2.8624,1,1,0,3,0.0272800000000001,2.1911240000000003,2.163844,2.1911240000000003,2.163844,4,3,2.8624,Nice,0.7369,0.2016,0.0615
3,h,1.62529,0.714832,1.62529,0.714832,10,2,0,0,2.1487,d,2020-09-18 19:00:00,0,1,0,1,0.910458,99,34,338,25,1,1,2,5,5.131029000000001,9.56452,2.913302,7.28424,2.153211,5,3,9.3661,1,1,2,5,5.131029000000001,9.56452,2.913302,7.28424,2.153211,5,3,9.3661,Nimes,0.6345,0.2452,0.1203,h,1.00844,2.0941,1.00844,2.0941,2,5,2,4,0.5914999999999999,l,2020-09-13 13:00:00,0,0,1,0,-1.08566,267,28,230,19,1,2,0,3,0.0717230000000002,4.029274,4.717581000000001,4.029274,3.957551,7,6,3.6188,1,2,0,3,0.0717230000000002,4.029274,4.717581000000001,4.029274,3.957551,7,6,3.6188,Rennes,0.1298,0.2021,0.6681
4,a,0.818784,0.299841,0.818784,0.299841,11,4,1,1,1.8214,d,2020-09-27 15:00:00,0,1,0,1,0.5189429999999999,185,15,359,20,1,1,3,6,5.649972000000001,10.383304,3.213143,8.103024,2.4530520000000005,6,4,11.1875,1,1,3,6,5.649972000000001,10.383304,3.213143,8.103024,2.4530520000000005,6,4,11.1875,Lorient,0.4747,0.3973,0.128,a,1.49951,1.21203,1.49951,1.21203,1,10,2,3,1.6038,l,2020-09-20 13:00:00,0,0,1,0,0.2874799999999999,286,19,225,37,1,3,0,3,0.026332,5.706293,4.919926,4.186168,4.159836,7,9,5.3675,1,3,0,3,0.026332,5.706293,4.919926,4.186168,4.159836,7,9,5.3675,Brest,0.4399,0.2841,0.276
5,h,3.14327,0.376941,2.38317,0.376941,13,2,1,1,2.8918000000000004,d,2020-10-04 19:00:00,0,1,0,1,2.006229,140,20,213,10,1,1,4,7,7.656201000000001,13.526573999999998,3.590084,10.486194,2.8299930000000004,7,5,14.0793,0,1,4,4,5.420569,9.555094,3.374426,8.034904000000001,2.614335,3,4,11.1015,Marseille,0.9494,0.0436,0.007,h,0.864412,1.10713,0.864412,1.10713,7,0,1,1,1.1311,d,2020-09-26 19:00:00,0,1,0,1,-0.242718,202,38,360,19,2,1,2,8,-1.768993,6.209997,7.97899,6.209997,7.97899,6,6,5.3582,2,1,2,8,-1.768993,6.209997,7.97899,6.209997,7.97899,6,6,5.3582,Metz,0.2725,0.3136,0.4139
6,a,4.16498,1.92587,4.16498,1.92587,8,6,3,2,2.6534000000000004,w,2020-10-18 11:00:00,1,0,0,3,2.23911,196,16,204,28,2,1,4,10,9.895311,17.691553999999996,5.515954,14.651174,4.755863000000001,10,7,16.7327,1,1,3,6,6.093551,11.922814,5.069164,10.402624,4.309073000000001,6,6,11.188,Strasbourg,0.8526,0.0956,0.0518,h,0.844783,1.95685,0.844783,1.95685,10,8,0,3,0.5178,l,2020-10-04 13:00:00,0,0,1,0,-1.112067,344,29,235,23,1,5,0,3,-2.040733,6.489048,10.049894,5.728948,7.769681000000001,4,13,5.7087,1,4,0,3,-0.0554489999999998,6.162222,6.977754,5.402121999999999,5.457571,3,10,5.66,Lille,0.1061,0.1995,0.6944
7,h,3.43243,1.89348,2.67233,1.13338,6,7,4,1,2.3367,w,2020-10-25 20:00:00,1,0,0,3,1.53895,340,18,181,26,3,1,4,13,11.434261,21.123984,7.409434,17.323504,5.889243,14,8,19.0694,2,0,3,9,7.21369,13.184754,5.210964000000001,11.664554,4.450864,9,5,11.852,Monaco,0.7265,0.1572,0.1163,h,1.80187,0.109095,1.04178,0.109095,19,0,1,1,2.7596,d,2020-10-18 13:00:00,0,1,0,1,0.932685,64,27,287,8,3,2,2,11,4.176641,10.849702999999998,6.673072,10.089612999999998,5.912972,10,9,12.371099999999998,2,2,1,7,3.769818,7.984191999999999,4.214384,7.224101999999999,3.4542840000000004,7,7,9.6654,Montpellier,0.8841,0.1073,0.0086
8,a,0.421049,0.444747,0.421049,0.444747,6,9,1,1,1.2513,d,2020-11-01 20:00:00,0,1,0,1,-0.0236979999999999,276,20,246,31,3,1,5,14,11.410563000000002,21.545033,7.854181,17.744553,6.33399,15,9,20.3207,2,0,3,9,6.279534,11.980513,4.940879000000001,10.460313,4.180778999999999,10,6,10.9546,Lille,0.2524,0.4941,0.2535,a,0.890546,0.866315,0.890546,0.866315,5,3,1,1,1.3438,d,2020-10-25 16:00:00,0,1,0,1,0.024231,393,29,303,23,5,0,3,18,4.9707550000000005,11.460882,5.730037,10.700792,5.730037,14,3,14.8046,3,0,2,11,5.086997,9.338596,3.491509,8.578506,3.491509,11,2,10.8966,Nice,0.3327,0.3457,0.3216
9,h,3.30537,1.46951,3.30537,0.709414,9,5,2,1,2.539,w,2020-11-08 20:00:00,1,0,0,3,2.595956,137,35,271,31,4,1,5,17,14.006519,24.850403,9.323691,21.049923,7.043404,17,10,22.859700000000004,3,0,2,11,8.356546999999999,14.467099,6.110548,12.946899,4.590352,11,6,11.672200000000002,Saint-Etienne,0.8023,0.1321,0.0656,h,0.484542,0.937369,0.484542,0.937369,5,7,0,1,0.8764000000000001,l,2020-11-01 12:00:00,0,0,1,0,-0.452827,231,27,328,26,3,5,1,10,-5.4594887,7.345256300000001,12.804685,6.585166300000001,12.044655,9,13,8.874,0,5,0,0,-4.4143287,2.1238263,7.298185,2.1238263,6.538155000000001,1,11,3.1502,Montpellier,0.1734,0.3562,0.4704
