,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.626118,0.189291,0.626118,0.189291,4,2,0,1,1.7566,l,2020-08-30 13:00:00,0,0,1,0,0.4368269999999999,236,27,280,27,0,1,0,0,0.4368269999999999,0.626118,0.189291,0.626118,0.189291,0,1,1.7566,0,1,0,0,0.4368269999999999,0.626118,0.189291,0.626118,0.189291,0,1,1.7566,Monaco,0.427,0.4756,0.0974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.736721,0.814528,0.736721,0.814528,2,9,0,1,1.2886,l,2020-09-13 11:00:00,0,0,1,0,-0.077807,301,23,205,34,0,2,0,0,0.3590199999999999,1.362839,1.003819,1.362839,1.003819,0,2,3.0452,0,2,0,0,0.3590199999999999,1.362839,1.003819,1.362839,1.003819,0,2,3.0452,Lille,0.3036,0.3778,0.3186,h,0.400974,1.29518,0.400974,1.29518,1,6,1,1,0.5357,d,2020-08-22 19:00:00,0,1,0,1,-0.8942060000000001,330,20,323,14,0,0,1,1,-0.8942060000000001,0.400974,1.29518,0.400974,1.29518,1,1,0.5357,0,0,1,1,-0.8942060000000001,0.400974,1.29518,0.400974,1.29518,1,1,0.5357,Rennes,0.0851,0.2804,0.6345
2,a,0.980849,2.42357,0.980849,2.42357,4,11,0,1,0.4759,l,2020-09-16 19:00:00,0,0,1,0,-1.4427209999999997,363,10,118,17,0,3,0,0,-1.0837009999999998,2.343688,3.427389,2.343688,3.427389,0,3,3.5211,0,3,0,0,-1.0837009999999998,2.343688,3.427389,2.343688,3.427389,0,3,3.5211,Paris Saint Germain,0.0988,0.1795,0.7217,h,2.22184,0.502817,2.22184,0.502817,6,1,0,1,2.6763,l,2020-09-13 19:00:00,0,0,1,0,1.719023,140,32,297,24,0,2,0,0,0.3457509999999999,2.566038,2.220287,2.566038,2.220287,0,2,2.9525,0,2,0,0,0.3457509999999999,2.566038,2.220287,2.566038,2.220287,0,2,2.9525,Marseille,0.8529,0.1176,0.0295
3,h,1.71276,1.18244,1.71276,0.422348,3,6,2,1,1.8356,w,2020-09-20 13:00:00,1,0,0,3,1.290412,162,34,228,16,1,3,0,3,0.2067110000000003,4.056448,4.609829,4.056448,3.849737,2,4,5.3567,1,3,0,3,0.2067110000000003,4.056448,4.609829,4.056448,3.849737,2,4,5.3567,Reims,0.5118,0.3002,0.188,a,0.324767,2.14867,0.324767,1.38857,3,2,0,1,0.1972999999999999,l,2020-09-13 13:00:00,0,0,1,0,-1.063803,343,19,272,18,0,2,1,1,-2.60761,2.363964,5.731674,2.363964,4.971574,2,4,1.6506,0,2,1,1,-2.60761,2.363964,5.731674,2.363964,4.971574,2,4,1.6506,Angers,0.0277,0.1142,0.8581
4,a,1.10713,0.864412,1.10713,0.864412,0,7,1,1,1.5553,d,2020-09-26 19:00:00,0,1,0,1,0.242718,360,19,202,38,1,3,1,4,0.4494290000000003,5.163577999999999,5.474240999999999,5.163577999999999,4.714149,3,5,6.912,1,3,1,4,0.4494290000000003,5.163577999999999,5.474240999999999,5.163577999999999,4.714149,3,5,6.912,Marseille,0.4139,0.3136,0.2725,h,0.865098,1.49471,0.865098,1.49471,5,7,1,1,0.8146,d,2020-09-20 19:00:00,0,1,0,1,-0.629612,211,26,298,26,2,1,1,7,-1.526275,5.345585,6.87186,5.345585,6.87186,5,5,4.2271,2,1,1,7,-1.526275,5.345585,6.87186,5.345585,6.87186,5,5,4.2271,Lille,0.177,0.2836,0.5394
5,h,1.60054,0.853711,0.840447,0.853711,6,1,3,1,2.0090000000000003,w,2020-10-04 13:00:00,1,0,0,3,-0.0132639999999999,231,25,303,24,2,3,1,7,0.4361650000000003,6.764118,6.327951999999999,6.004025,5.56786,6,6,8.921,2,2,1,7,-0.0006619999999994,6.138,6.138660999999999,5.377907,5.378569,6,5,7.1644000000000005,Lorient,0.5734,0.2888,0.1378,h,0.299841,0.818784,0.299841,0.818784,4,11,1,1,0.7813,d,2020-09-27 15:00:00,0,1,0,1,-0.5189429999999999,359,20,185,15,1,3,1,4,-0.4926109999999999,6.006133999999999,5.73871,4.486009,4.97862,8,10,6.1488,1,3,1,4,-0.4926109999999999,6.006133999999999,5.73871,4.486009,4.97862,8,10,6.1488,Lyon,0.128,0.3973,0.4747
6,a,1.16356,1.09118,1.16356,0.331149,5,4,1,1,1.3549,d,2020-10-18 13:00:00,0,1,0,1,0.8324109999999999,234,23,336,32,2,3,2,8,1.2685760000000004,7.927678,7.419131999999999,7.167584999999999,5.899009,7,7,10.2759,2,1,2,8,0.9095560000000004,6.564839000000001,6.415312999999999,5.804746,4.89519,7,5,7.2307,Angers,0.293,0.4759,0.2311,a,0.943753,2.9145,0.943753,2.9145,2,15,1,6,0.2883,l,2020-10-02 19:00:00,0,0,1,0,-1.970747,299,9,322,31,3,3,0,9,-3.0563769999999995,7.515929000000001,10.572306,6.755828999999999,9.812206,7,14,6.688000000000001,2,3,0,6,-4.338808,5.4937890000000005,9.832597,4.733689,9.072497,6,14,4.306100000000001,Paris Saint Germain,0.0553,0.1224,0.8223
7,h,0.330896,0.631401,0.330896,0.631401,1,4,2,0,0.9085,w,2020-10-25 14:00:00,1,0,0,3,-0.3005049999999999,273,38,153,31,3,3,2,11,0.9680710000000003,8.258574,8.050533,7.498480999999999,6.53041,9,7,11.1844,3,0,2,11,2.051772,5.914886,4.623144,5.154793000000001,3.103021,9,4,7.6633,Saint-Etienne,0.1519,0.4528,0.3953,h,0.714171,2.52438,0.714171,2.52438,2,5,1,3,0.1971,l,2020-10-18 15:00:00,0,0,1,0,-1.810209,350,40,275,21,3,3,1,10,-5.3071667,6.2293133,11.53642,5.4692233,10.77639,9,10,6.3589,1,3,1,4,-6.184806700000001,3.0746333,10.01947,3.0746333,9.25944,5,10,2.0963,Nice,0.0294,0.1089,0.8617
8,a,0.859238,0.78372,0.859238,0.78372,1,6,1,0,1.4284,w,2020-11-01 14:00:00,1,0,0,3,0.0755179999999999,318,20,151,23,4,3,2,14,1.0435890000000003,9.117812,8.834253,8.357719,7.31413,10,7,12.6128,3,0,2,11,0.836878,5.061363999999999,4.224424,4.301271,3.4643929999999994,8,3,7.2561,Nimes,0.3599,0.3487,0.2914,a,0.712337,1.92729,0.712337,1.1672,5,5,0,2,0.4659,l,2020-10-25 14:00:00,0,0,1,0,-0.454863,408,37,233,19,2,4,2,8,-6.377445,6.554114,14.451679,6.554114,12.931559,9,13,6.4412,1,2,2,5,-6.449168,2.52484,9.734098,2.52484,8.974008,2,7,2.8224000000000005,Bordeaux,0.0888,0.1995,0.7117
9,h,2.52379,2.43299,1.76369,1.6729,4,4,1,1,1.4398,d,2020-11-08 14:00:00,0,1,0,1,0.0907899999999999,287,24,207,10,4,3,3,15,1.1343790000000002,11.641602,11.267243,10.121409,8.987029999999999,11,8,14.0526,3,0,2,11,0.68495,6.478024,5.793002,4.9578310000000005,4.272881,8,3,7.1406,Dijon,0.3962,0.2512,0.3526,h,0.377123,1.14876,0.377123,0.388669,3,3,0,0,0.5237,d,2020-11-01 14:00:00,0,1,0,1,-0.011546,246,24,293,28,0,6,3,3,-10.789902,6.561133,20.391416,6.561133,17.351035,4,18,4.4172,0,2,3,3,-3.4781140000000006,4.821651,9.819956,4.821651,8.299765,3,10,3.5929,Lorient,0.0811,0.2804,0.6385
10,a,1.30332,1.48835,0.543229,1.48835,3,11,1,1,1.2239,d,2020-11-22 12:00:00,0,1,0,1,-0.945121,320,23,139,29,4,3,4,16,0.1892580000000001,12.944921999999998,12.755593,10.664638,10.47538,12,9,15.2765,2,0,3,9,-0.2469070000000002,6.180804,6.427641,4.660613,4.90752,6,3,6.355499999999999,Nantes,0.3096,0.2951,0.3953,h,1.48835,1.30332,1.48835,0.543229,11,3,1,1,1.481,d,2020-11-22 12:00:00,0,1,0,1,0.945121,139,29,320,23,3,4,3,12,-2.4116089999999994,13.074659000000002,15.486327,10.794437000000002,13.206046,12,14,11.8155,2,2,1,7,-0.9834289999999996,7.626290000000001,8.609717999999999,6.106098000000001,7.089527,7,7,6.2114,Metz,0.3953,0.2951,0.3096
11,h,0.704986,1.32303,0.704986,1.32303,4,5,0,2,0.77,l,2020-11-29 14:00:00,0,0,1,0,-0.6180439999999999,361,17,258,17,4,4,4,16,-0.4287859999999998,13.649907999999998,14.078623,11.369624,11.79841,12,11,16.0465,2,1,2,8,-1.697362,5.72223,6.659491,4.202039,5.899401,5,4,5.7706,Brest,0.1607,0.2879,0.5514,h,1.06599,1.08804,1.06599,1.08804,4,8,4,1,1.2923,w,2020-11-21 16:00:00,1,0,0,3,-0.0220499999999999,354,22,249,21,5,6,0,15,-1.565773,14.249434999999997,16.575290999999996,13.489334999999995,15.055107999999995,19,23,13.2994,2,3,0,6,-1.989836,5.150151,8.660169999999999,5.150151,7.139987,9,11,4.2064,Saint-Etienne,0.3268,0.3119,0.3613
12,h,1.2421,1.81122,0.482,1.81122,6,11,1,3,0.9473,l,2020-12-06 20:00:00,0,0,1,0,-1.32922,369,22,265,24,4,5,4,16,-1.758006,14.892008,15.889843,11.851624,13.60963,13,14,16.9938,1,2,2,5,-2.726077,6.633433999999999,7.839309999999999,4.353143,7.079219999999999,4,7,5.8094,Lyon,0.2246,0.2735,0.5019,h,1.96635,0.334614,1.96635,0.334614,11,1,3,0,2.5716,w,2020-11-29 12:00:00,1,0,0,3,1.631736,205,30,370,20,6,1,5,23,15.809574,27.936882999999995,10.607116,24.136403,8.326829,21,10,26.949600000000004,4,0,1,13,5.914263000000001,10.245329,5.091162,9.485229,3.5709660000000003,11,3,10.2169,Reims,0.8074,0.1494,0.0432
13,a,1.71894,0.788845,0.198811,0.788845,0,7,2,2,2.2322,d,2020-12-13 14:00:00,0,1,0,1,-0.5900340000000001,283,22,221,27,4,5,5,17,-2.34804,16.610948,16.678688,12.050434999999998,14.398475,15,16,19.226,0,2,3,3,-3.391629,7.493136,7.844435000000001,3.692716,7.084345000000001,5,9,6.613200000000001,Strasbourg,0.67,0.2222,0.1078,a,3.19753,0.633507,1.67734,0.633507,6,3,4,0,2.8743,w,2020-12-06 14:00:00,1,0,0,3,1.043833,351,21,201,22,3,9,1,10,-5.378025399999999,18.847192,21.184767400000005,13.526529,18.9045544,18,24,16.4662,1,3,1,4,-0.8983064000000003,9.139234,6.2370704,5.338764,6.2370704,9,8,8.580300000000001,Nantes,0.9424,0.0471,0.0105
14,a,1.63826,0.892487,0.878163,0.892487,3,6,2,0,2.0355,w,2020-12-16 18:00:00,1,0,0,3,-0.014324,313,8,244,21,5,5,5,20,-2.3623640000000004,18.249208,17.571175,12.928598,15.290962,17,16,21.2615,1,2,2,5,-3.4967430000000004,6.607606,6.3039320000000005,2.807189,6.3039320000000005,6,8,7.208900000000001,Montpellier,0.595,0.2505,0.1545,a,1.61719,1.38862,1.61719,0.628522,1,9,3,2,1.5585,w,2020-12-12 20:00:00,1,0,0,3,0.988668,305,16,209,23,8,4,2,26,0.7807770000000003,19.390286000000003,21.649943,17.110062,16.329285000000002,25,21,19.8051,4,1,0,12,3.1138639999999995,9.31939,7.725781,8.559356999999999,5.445493000000001,11,8,8.488199999999999,Lens,0.4193,0.3006,0.2801
