,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.83257,2.67622,1.83257,2.67622,3,14,2,2,0.8591,d,2020-08-23 11:00:00,0,1,0,1,-0.8436499999999998,445,21,125,33,0,0,1,1,-0.8436499999999998,1.83257,2.67622,1.83257,2.67622,2,2,0.8591,0,0,1,1,-0.8436499999999998,1.83257,2.67622,1.83257,2.67622,2,2,0.8591,Monaco,0.2187,0.203,0.5783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.206627,0.906784,0.206627,0.906784,0,0,0,1,0.5942000000000001,l,2020-08-30 11:00:00,0,0,1,0,-0.700157,346,32,377,23,0,1,1,1,-1.5438069999999997,2.039197,3.583004,2.039197,3.583004,2,3,1.4533,0,1,1,1,-1.5438069999999997,2.039197,3.583004,2.039197,3.583004,2,3,1.4533,Lille,0.0757,0.3671,0.5572,h,0.400974,1.29518,0.400974,1.29518,1,6,1,1,0.5357,d,2020-08-22 19:00:00,0,1,0,1,-0.8942060000000001,330,20,323,14,0,0,1,1,-0.8942060000000001,0.400974,1.29518,0.400974,1.29518,1,1,0.5357,0,0,1,1,-0.8942060000000001,0.400974,1.29518,0.400974,1.29518,1,1,0.5357,Rennes,0.0851,0.2804,0.6345
2,a,0.324767,2.14867,0.324767,1.38857,3,2,0,1,0.1972999999999999,l,2020-09-13 13:00:00,0,0,1,0,-1.063803,343,19,272,18,0,2,1,1,-2.60761,2.363964,5.731674,2.363964,4.971574,2,4,1.6506,0,2,1,1,-2.60761,2.363964,5.731674,2.363964,4.971574,2,4,1.6506,Angers,0.0277,0.1142,0.8581,h,0.511549,2.28529,0.511549,2.28529,6,2,0,2,0.2415999999999999,l,2020-08-30 13:00:00,0,0,1,0,-1.7737409999999998,258,31,311,39,1,1,0,3,-0.4913099999999999,2.533689,3.024999,2.533689,3.024999,1,2,2.6235000000000004,1,1,0,3,-0.4913099999999999,2.533689,3.024999,2.533689,3.024999,1,2,2.6235000000000004,Bordeaux,0.0387,0.1255,0.8358
3,a,1.18244,1.71276,0.422348,1.71276,6,3,1,2,0.8642000000000001,l,2020-09-20 13:00:00,0,0,1,0,-1.290412,228,16,162,34,0,3,1,1,-3.898022,3.546404,7.444434,2.786312,6.684334000000001,3,6,2.5148,0,3,1,1,-3.898022,3.546404,7.444434,2.786312,6.684334000000001,3,6,2.5148,Metz,0.188,0.3002,0.5118,a,0.980849,2.42357,0.980849,2.42357,4,11,0,1,0.4759,l,2020-09-16 19:00:00,0,0,1,0,-1.4427209999999997,363,10,118,17,0,3,0,0,-1.0837009999999998,2.343688,3.427389,2.343688,3.427389,0,3,3.5211,0,3,0,0,-1.0837009999999998,2.343688,3.427389,2.343688,3.427389,0,3,3.5211,Paris Saint Germain,0.0988,0.1795,0.7217
4,h,0.208814,3.93633,0.208814,3.93633,6,26,0,2,0.0269,l,2020-09-27 19:00:00,0,0,1,0,-3.727516,348,13,224,20,0,4,1,1,-7.625538000000001,3.755218,11.380764,2.995126,10.620664,3,8,2.5417,0,4,1,1,-7.625538000000001,3.755218,11.380764,2.995126,10.620664,3,8,2.5417,Paris Saint Germain,0.0033,0.017,0.9797,a,3.32755,0.930504,2.56746,0.930504,11,6,3,0,2.7984,w,2020-09-20 11:00:00,1,0,0,3,1.636956,363,24,327,13,2,2,0,6,3.425428,8.317158,4.13164,7.557067999999999,4.13164,4,2,8.0955,2,2,0,6,3.425428,8.317158,4.13164,7.557067999999999,4.13164,4,2,8.0955,Nice,0.9096,0.0696,0.0208
5,a,1.0506,2.09357,1.0506,2.09357,2,7,2,2,0.6528,d,2020-10-04 15:00:00,0,1,0,1,-1.0429700000000002,428,21,123,20,0,4,2,2,-8.668508000000001,4.805818,13.474334,4.045726,12.714234,5,10,3.1945,0,4,1,1,-7.824858000000001,2.973248,10.798114,2.213156,10.038014,3,8,2.3354,Rennes,0.1434,0.2226,0.634,a,1.37167,0.200419,1.37167,0.200419,4,4,3,0,2.4029,w,2020-09-26 15:00:00,1,0,0,3,1.1712509999999998,310,27,331,18,4,0,1,13,4.487037,7.405576,2.918539,7.405576,2.918539,12,5,10.4981,4,0,1,13,4.487037,7.405576,2.918539,7.405576,2.918539,12,5,10.4981,Saint-Etienne,0.7222,0.2363,0.0415
6,h,0.273331,2.81036,0.273331,2.05026,3,4,1,3,0.0384,l,2020-10-17 15:00:00,0,0,1,0,-1.7769290000000002,239,25,180,31,0,5,2,2,-10.445437000000002,5.079148999999999,16.284694,4.319057,14.764494,6,13,3.2329000000000003,0,4,1,1,-8.90163,3.0399519999999995,12.70169,2.27986,11.18149,4,10,1.7796,Lorient,0.0042,0.0258,0.97,a,0.853711,1.60054,0.853711,0.840447,1,6,1,3,0.7021999999999999,l,2020-10-04 13:00:00,0,0,1,0,0.0132639999999999,303,24,231,25,1,4,1,4,-0.4793469999999999,6.859844999999999,7.33925,5.33972,5.819067,9,13,6.850999999999999,0,4,1,1,-2.464631,3.787705,7.012423999999999,3.02761,5.492241000000001,6,12,3.9325,Metz,0.1378,0.2888,0.5734
7,a,4.33321,0.13909,2.81302,0.13909,15,0,4,0,2.9956,w,2020-10-25 14:00:00,1,0,0,3,2.67393,208,16,411,8,1,5,2,5,-7.7715070000000015,9.412359,16.423783999999998,7.132077,14.903584,10,13,6.2285,1,3,1,4,-5.163897,7.048395,10.69211,4.768113,9.93201,8,9,4.5779000000000005,Montpellier,0.9979,0.0019,0.0002,a,0.109095,1.80187,0.109095,1.04178,0,19,1,1,0.1331,d,2020-10-18 13:00:00,0,1,0,1,-0.932685,287,8,64,27,3,2,2,11,-0.1119839999999997,8.994437000000001,9.10641,7.474246000000001,7.586230000000001,13,9,9.547,2,1,2,8,-0.1392639999999999,6.803313,6.942566,5.2831220000000005,5.422386,9,6,6.6846,Monaco,0.0086,0.1073,0.8841
8,h,0.911301,1.42258,0.911301,0.66249,6,4,2,1,0.8375000000000001,w,2020-11-01 14:00:00,1,0,0,3,0.248811,261,29,273,16,2,5,2,8,-7.522696000000002,10.32366,17.846363999999998,8.043378,15.566074,12,14,7.066000000000001,2,2,1,7,-3.624674,6.777256,10.40193,5.257066,8.881739999999999,9,8,4.551200000000001,Strasbourg,0.1776,0.3047,0.5177,a,1.29304,0.732823,0.532947,0.732823,3,10,3,0,1.9262,w,2020-10-25 14:00:00,1,0,0,3,-0.199876,363,14,191,18,2,6,0,6,-4.479718999999999,9.707958,14.947697,8.187764999999999,12.667484000000002,9,16,7.885900000000001,2,3,0,6,-2.574557,7.851182999999999,8.905546999999999,6.33099,8.905546999999999,8,9,6.619100000000001,Brest,0.5452,0.2906,0.1642
9,a,1.02999,2.04125,1.02999,2.04125,0,5,4,4,0.5968,d,2020-11-08 14:00:00,0,1,0,1,-1.0112599999999998,354,17,193,29,2,5,3,9,-8.533956000000002,11.353649999999998,19.887614,9.073368,17.607324,16,18,7.662800000000001,2,1,2,8,-0.9084180000000004,7.598432,8.50685,6.078242,6.9866600000000005,13,10,5.1211,Lens,0.1169,0.2461,0.637,a,1.28012,0.672083,1.28012,0.672083,4,3,1,0,1.9935,w,2020-11-22 14:00:00,1,0,0,3,0.6080369999999999,326,13,287,30,5,2,2,17,7.694112699999998,16.846535,6.872197299999999,13.806215,6.1121023,15,14,19.969500000000004,2,1,2,8,1.2535146999999995,7.082155,5.0686103,6.322125,5.0686103,8,9,9.3059,Dijon,0.5682,0.2889,0.1429
