,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.325138,2.1776,0.325138,2.1776,4,8,0,4,0.2029,l,2014-08-04 17:00:00,0,0,1,0,-1.852462,269,33,92,19,0,1,0,0,-1.852462,0.325138,2.1776,0.325138,2.1776,0,4,0.2029,0,1,0,0,-1.852462,0.325138,2.1776,0.325138,2.1776,0,4,0.2029,FK Akhmat,0.0287,0.1168,0.8545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.360411,0.190173,0.360411,0.190173,6,3,0,1,1.3821,l,2014-08-08 15:00:00,0,0,1,0,0.1702379999999999,128,24,161,19,0,2,0,0,-1.6822240000000002,0.685549,2.367773,0.685549,2.367773,0,5,1.585,0,2,0,0,-1.6822240000000002,0.685549,2.367773,0.685549,2.367773,0,5,1.585,FC Ufa,0.2573,0.6102,0.1325,a,0.0390915,2.04538,0.0390915,2.04538,0,7,0,2,0.1035,l,2014-08-03 16:30:00,0,0,1,0,-2.0062885,206,18,181,23,0,1,0,0,-2.0062885,0.0390915,2.04538,0.0390915,2.04538,0,2,0.1035,0,1,0,0,-2.0062885,0.0390915,2.04538,0.0390915,2.04538,0,2,0.1035,Kuban Krasnodar,0.0039,0.0918,0.9043
2,a,0.617434,0.954046,0.617434,0.954046,4,5,1,1,1.0081,d,2014-08-12 17:00:00,0,1,0,1,-0.3366119999999999,133,34,236,20,0,2,1,1,-2.0188360000000003,1.302983,3.321819,1.302983,3.321819,1,6,2.5931,0,2,1,1,-2.0188360000000003,1.302983,3.321819,1.302983,3.321819,1,6,2.5931,Torpedo Moscow,0.2161,0.3598,0.4241,a,0.971363,5.27931,0.217088,3.77076,1,21,1,8,0.0109,l,2014-08-09 14:00:00,0,0,1,0,-3.553672,303,31,209,31,0,2,0,0,-5.359504,1.549521,8.41758,0.7952459999999999,6.15475,2,12,0.1192999999999999,0,2,0,0,-5.359504,1.549521,8.41758,0.7952459999999999,6.15475,2,12,0.1192999999999999,Zenit St. Petersburg,0.0009,0.0082,0.9909
3,a,0.316348,1.15919,0.316348,1.15919,1,9,0,1,0.493,l,2014-08-18 18:00:00,0,0,1,0,-0.8428419999999999,243,21,145,39,0,3,1,1,-2.8616780000000004,1.619331,4.481009,1.619331,4.481009,1,7,3.0861,0,3,1,1,-2.8616780000000004,1.619331,4.481009,1.619331,4.481009,1,7,3.0861,Kuban Krasnodar,0.0706,0.2812,0.6482,a,0.230331,0.319693,0.230331,0.319693,4,0,0,0,1.0705,d,2014-08-15 17:00:00,0,1,0,1,-0.089362,244,14,207,28,1,0,2,5,2.8355415,4.330660999999999,0.7408494999999999,3.5763910000000005,0.7408494999999999,4,2,6.538100000000001,1,0,2,5,2.8355415,4.330660999999999,0.7408494999999999,3.5763910000000005,0.7408494999999999,4,2,6.538100000000001,Mordovya,0.1521,0.6142,0.2337
4,a,0.197221,1.55724,0.197221,1.55724,3,7,0,2,0.3092,l,2014-08-23 14:00:00,0,0,1,0,-1.360019,471,14,252,21,0,4,1,1,-4.221697000000001,1.816552,6.038249,1.816552,6.038249,1,9,3.3953,0,4,1,1,-4.221697000000001,1.816552,6.038249,1.816552,6.038249,1,9,3.3953,Zenit St. Petersburg,0.0377,0.1961,0.7662,h,1.89274,0.0754628,1.13847,0.0754628,14,1,1,0,2.798,w,2014-08-16 17:00:00,1,0,0,3,1.0630072000000002,157,30,384,17,4,0,0,12,7.196779200000001,11.021109999999998,2.3157858,8.75829,1.5615108,15,2,10.4504,4,0,0,12,7.196779200000001,11.021109999999998,2.3157858,8.75829,1.5615108,15,2,10.4504,FC Ufa,0.9019,0.0923,0.0058
5,h,1.4545,0.848683,1.4545,0.848683,1,4,2,0,1.9572,w,2014-08-30 14:00:00,1,0,0,3,0.6058169999999999,262,24,191,21,1,4,1,4,-3.6158800000000006,3.271052,6.886932000000001,3.271052,6.886932000000001,3,9,5.3525,1,3,1,4,-1.7634179999999997,2.945914,4.709332,2.945914,4.709332,3,5,5.1496,Spartak Moscow,0.5552,0.2916,0.1532,a,2.35689,0.395761,2.35689,0.395761,12,2,2,1,2.7287,w,2014-08-23 11:00:00,1,0,0,3,1.961129,270,30,237,18,4,1,0,12,1.005834,7.196734,6.190907999999999,6.442462000000001,5.436628,9,6,8.8035,4,1,0,12,1.005834,7.196734,6.190907999999999,6.442462000000001,5.436628,9,6,8.8035,FC Ufa,0.8752,0.1031,0.0217
6,h,2.41613,0.264105,2.41613,0.264105,6,4,2,1,2.8596,w,2014-09-15 14:00:00,1,0,0,3,2.152025,329,26,139,19,2,4,1,7,-1.4638550000000006,5.687182,7.1510370000000005,5.687182,7.1510370000000005,5,10,8.2121,2,2,1,7,0.2183690000000004,5.001633,4.783264,5.001633,4.783264,5,5,6.6271,Ural,0.9344,0.0564,0.0092,h,0.847584,1.15159,0.847584,1.15159,2,4,0,1,1.1253000000000002,l,2014-08-29 15:00:00,0,0,1,0,-0.3040059999999999,232,27,217,24,0,5,1,1,-6.72017,4.679331,10.64523,3.170781,9.890951,4,11,4.5535,0,4,1,1,-4.966881,3.522771,8.48966,2.7685,7.735380999999999,2,8,4.0013000000000005,FK Akhmat,0.2665,0.3258,0.4077
7,h,1.03792,1.72432,1.03792,0.970044,0,11,1,2,0.7805000000000001,l,2014-09-22 14:00:00,0,0,1,0,0.0678759999999999,252,14,183,26,2,5,1,7,-1.3959790000000003,6.725102,8.875357000000001,6.725102,8.121081,6,12,8.9926,2,3,0,6,0.6228570000000005,5.422119,5.553538,5.422119,4.799262,5,6,6.3995,FC Krasnodar,0.1685,0.275,0.5565,h,2.0646,0.284849,2.0646,0.284849,17,1,0,2,2.7031,l,2014-09-14 16:00:00,0,0,1,0,1.779751,118,23,314,15,3,2,2,11,4.101335000000001,9.966482,5.865140000000001,8.457923,4.356588,10,5,11.9867,3,2,0,9,4.393203,8.173071,4.534140000000001,7.418791000000001,3.0255880000000004,9,4,8.7768,FC Ufa,0.8631,0.1138,0.0231
8,a,0.242173,2.01062,0.242173,2.01062,3,7,1,3,0.1573999999999999,l,2014-09-28 13:00:00,0,0,1,0,-1.768447,273,16,197,33,2,6,1,7,-3.1644260000000006,6.967275,10.885977,6.967275,10.131701,7,15,9.15,2,3,0,6,-0.3027479999999996,5.347944,6.404968,5.347944,5.650691999999999,6,8,6.063899999999999,Lokomotiv Moscow,0.0189,0.1007,0.8804,a,0.614898,1.606,0.614898,1.606,3,11,0,1,0.5747,l,2014-09-21 10:30:00,0,0,1,0,-0.991102,214,15,243,26,2,3,3,9,2.385912,9.591122,7.959489999999999,8.836851999999999,6.450939999999999,7,7,11.8655,0,3,2,2,0.1676159999999997,5.466548,5.298934,4.712278,4.544662,3,6,6.8348,CSKA Moscow,0.1099,0.245,0.6451
9,h,1.56669,0.7988,1.56669,0.7988,4,6,2,0,2.0933,w,2014-10-25 11:00:00,1,0,0,3,0.76789,285,25,166,24,3,6,1,10,-2.3965360000000007,8.533965,11.684777,8.533965,10.930501,9,15,11.243299999999998,3,2,0,9,1.8251610000000005,6.7174130000000005,5.646528,6.7174130000000005,4.892251999999999,8,6,7.848,FC Rostov,0.6001,0.293,0.1069,a,1.42324,2.06991,1.42324,2.06991,3,5,1,2,0.8408,l,2014-09-28 18:00:00,0,0,1,0,-0.6466700000000001,246,18,150,28,1,7,1,4,-11.619625,7.779821,20.153706,5.516991,17.136616,10,29,6.7006,1,4,0,3,-6.646086,3.69009,11.090446,3.69009,10.336176,4,16,2.9582999999999995,FK Akhmat,0.1916,0.266,0.5424
10,a,0.333673,0.970351,0.333673,0.970351,3,11,1,1,0.7342,d,2014-11-03 13:30:00,0,1,0,1,-0.636678,232,24,152,20,3,6,2,11,-3.0332140000000005,8.867638,12.655128,8.867638,11.900852,10,16,11.977499999999996,2,2,1,7,0.5826660000000002,5.596585999999999,5.768196,5.596585999999999,5.01392,7,7,6.625,Rubin Kazan,0.123,0.3652,0.5118,h,3.01519,0.151665,2.26091,0.151665,8,0,5,0,2.9283,w,2014-10-20 16:30:00,1,0,0,3,2.109245,207,33,221,28,4,2,4,16,5.457549,14.663973,9.206417,13.155421,7.697872,15,12,17.3029,3,1,1,10,5.653164,8.852262,3.199088,8.097982,2.444818,11,5,10.5237,Mordovya,0.9664,0.0291,0.0045
11,h,0.525769,1.38045,0.525769,1.38045,3,3,0,1,0.5820000000000001,l,2014-11-08 10:00:00,0,0,1,0,-0.8546809999999999,183,25,243,18,3,7,2,11,-3.887895,9.393407,14.035578,9.393407,13.281302,10,17,12.559499999999998,1,3,1,4,-2.42404,3.706225,6.884541,3.706225,6.130265,5,7,4.3474,Mordovya,0.1092,0.2544,0.6364,a,0.651493,3.18505,0.651493,3.18505,0,11,0,5,0.1,l,2014-10-26 16:00:00,0,0,1,0,-2.533557,388,19,157,29,3,6,2,11,-6.657354999999999,6.968688000000001,16.643154000000003,6.968688000000001,13.626043,7,19,8.6124,1,3,1,4,-6.242136,1.967663,9.718352,1.967663,8.209799,2,13,2.1041000000000003,Zenit St. Petersburg,0.0133,0.0601,0.9266
12,a,0.349176,1.80643,0.349176,1.80643,6,10,0,4,0.2865,l,2014-11-23 13:00:00,0,0,1,0,-1.457254,161,20,185,24,3,8,2,11,-5.345149,9.742583,15.842008000000002,9.742583,15.087732,10,21,12.845999999999998,1,3,1,4,-3.94917,3.017481,6.966651,3.017481,6.966651,4,9,3.8534000000000006,Arsenal Tula,0.0415,0.162,0.7965,a,1.34804,0.486503,0.593765,0.486503,4,3,1,0,2.2039,w,2014-11-03 11:00:00,1,0,0,3,0.1072619999999999,229,27,126,21,1,9,2,5,-11.787588,8.658522,19.69184,7.149971999999999,18.93756,4,20,9.240100000000002,1,3,1,4,-4.4437750000000005,2.97737,6.66687,2.223095,6.66687,2,6,4.7209,Torpedo Moscow,0.6491,0.2566,0.0943
13,a,1.41546,1.67511,1.41546,0.920836,5,2,1,1,1.1239,d,2014-11-28 16:00:00,0,1,0,1,0.4946239999999999,219,31,221,25,3,8,3,12,-4.850525,11.158043,17.517118000000004,11.158043,16.008568,11,22,13.9699,1,2,2,5,-1.686099,4.190768,6.631141,4.190768,5.876866999999999,4,7,4.8199000000000005,FC Rostov,0.2801,0.2836,0.4363,a,0.202466,0.334536,0.202466,0.334536,5,2,0,0,1.0386,d,2014-11-09 12:00:00,0,1,0,1,-0.13207,90,18,195,21,2,8,3,9,-11.52683,11.207624,23.488714,8.944793999999998,20.471624,12,32,11.8025,1,2,2,5,-0.553875,4.851043,5.404918,4.851043,5.404918,3,5,5.942699999999999,FC Ufa,0.1399,0.6189,0.2412
14,a,0.433426,1.2634,0.433426,1.2634,2,12,1,2,0.6121,l,2014-12-02 16:00:00,0,0,1,0,-0.8299740000000001,362,8,175,18,3,9,3,12,-5.680499,11.591469,18.780518000000004,11.591469,17.271968,12,24,14.582,0,3,2,2,-3.283963,3.057504,7.095740999999999,3.057504,6.341466999999999,3,9,3.3387,CSKA Moscow,0.1067,0.292,0.6013,a,0.779559,1.52531,0.779559,1.52531,7,12,1,2,0.7574000000000001,l,2014-11-22 13:30:00,0,0,1,0,-0.7457509999999999,166,26,306,32,8,5,1,25,7.352823000000001,28.137175,17.01297,22.857241,15.504418,30,15,25.0432,1,3,1,4,0.32778,9.981274,8.899224,8.472724,8.144943999999999,10,7,6.528699999999999,FC Krasnodar,0.1638,0.266,0.5702
15,a,0.298553,1.57249,0.298553,1.57249,2,6,0,5,0.3558,l,2014-12-07 13:00:00,0,0,1,0,-1.273937,286,18,160,29,3,10,3,12,-6.954436,11.890022,20.353008000000003,11.890022,18.844458,12,29,14.9378,0,4,1,1,-3.921222,3.022384,7.69788,3.022384,6.943606,2,13,2.9603,Dinamo Moscow,0.0495,0.2073,0.7432,a,0.676822,0.826865,0.676822,0.826865,6,3,1,0,1.1138,w,2014-12-04 14:45:00,1,0,0,3,-0.1500429999999999,134,25,263,19,9,4,2,29,5.064826,25.65051,18.322855,22.633401000000003,17.568575,31,19,23.257,3,1,1,10,-1.444943,6.344237,7.034901,4.835678,6.280621,8,5,6.6823,Mordovya,0.2479,0.3701,0.382
