,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.793814,0.733761,0.793814,0.733761,8,5,0,0,1.3554,d,2014-08-03 18:30:00,0,1,0,1,0.060053,126,29,206,32,0,0,1,1,0.060053,0.793814,0.733761,0.793814,0.733761,0,0,1.3554,0,0,1,1,0.060053,0.793814,0.733761,0.793814,0.733761,0,0,1.3554,FC Krasnodar,0.3275,0.3729,0.2996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,2.19601,0.793735,2.19601,0.793735,8,3,2,0,2.36,w,2014-08-10 16:30:00,1,0,0,3,1.402275,145,23,181,31,1,0,1,4,1.462328,2.989824,1.527496,2.989824,1.527496,2,0,3.7154,1,0,1,4,1.462328,2.989824,1.527496,2.989824,1.527496,2,0,3.7154,Arsenal Tula,0.7283,0.1751,0.0966,h,0.767575,2.48554,0.767575,2.48554,1,11,0,4,0.3199,l,2014-08-02 16:00:00,0,0,1,0,-1.717965,272,23,175,22,0,1,0,0,-1.717965,0.767575,2.48554,0.767575,2.48554,0,4,0.3199,0,1,0,0,-1.717965,0.767575,2.48554,0.767575,2.48554,0,4,0.3199,Zenit St. Petersburg,0.0623,0.133,0.8047
2,h,1.13475,1.13306,1.13475,0.378782,2,1,2,1,1.3153,w,2014-08-14 15:30:00,1,0,0,3,0.755968,216,29,300,23,2,0,1,7,2.218296,4.124573999999999,2.660556,4.124573999999999,1.906278,4,1,5.0307,2,0,1,7,2.218296,4.124573999999999,2.660556,4.124573999999999,1.906278,4,1,5.0307,FC Rostov,0.3257,0.3382,0.3361,a,0.382065,2.05495,0.382065,1.30068,5,2,2,2,0.2137,d,2014-08-08 17:30:00,0,1,0,1,-0.918615,149,21,228,35,0,1,1,1,-3.623579,0.982561,6.86896,0.982561,4.60614,5,9,0.2257,0,1,1,1,-3.623579,0.982561,6.86896,0.982561,4.60614,5,9,0.2257,Kuban Krasnodar,0.0301,0.1234,0.8465
3,a,0.530823,1.32708,0.530823,0.572808,3,5,1,1,0.6055,d,2014-08-17 15:30:00,0,1,0,1,-0.0419849999999999,137,27,248,26,2,0,2,8,2.176311,4.655396999999999,3.987636,4.655396999999999,2.479086,5,2,5.6362,2,0,2,8,2.176311,4.655396999999999,3.987636,4.655396999999999,2.479086,5,2,5.6362,Rubin Kazan,0.112,0.2695,0.6185,a,0.75607,1.25115,0.75607,1.25115,6,2,0,0,0.9142,d,2014-08-13 17:00:00,0,1,0,1,-0.4950799999999999,247,25,129,23,0,1,2,2,-1.221885,2.648131,3.870016,2.648131,3.870016,1,5,3.0915000000000004,0,1,2,2,-1.221885,2.648131,3.870016,2.648131,3.870016,1,5,3.0915000000000004,Arsenal Tula,0.2048,0.2998,0.4954
4,a,1.801,0.797377,1.04673,0.797377,5,4,1,2,2.1759,l,2014-08-24 16:30:00,0,0,1,0,0.2493529999999999,125,21,181,32,2,1,2,8,2.425664,6.456396999999999,4.785012999999999,5.702126999999999,3.276463,6,4,7.812099999999999,2,1,2,8,2.425664,6.456396999999999,4.785012999999999,5.702126999999999,3.276463,6,4,7.812099999999999,Kuban Krasnodar,0.6471,0.2346,0.1183,h,1.15919,0.316348,1.15919,0.316348,9,1,1,0,2.2258,w,2014-08-18 18:00:00,1,0,0,3,0.8428419999999999,145,39,243,21,2,0,2,8,3.6783835,5.489850999999999,1.0571975,4.735581000000001,1.0571975,5,2,8.763900000000001,2,0,2,8,3.6783835,5.489850999999999,1.0571975,4.735581000000001,1.0571975,5,2,8.763900000000001,Amkar,0.6482,0.2812,0.0706
5,h,0.712147,1.15499,0.712147,1.15499,3,5,0,1,0.9887,l,2014-08-31 15:00:00,0,0,1,0,-0.442843,272,27,134,33,2,2,2,8,1.9828209999999995,7.168543999999999,5.940002999999999,6.414273999999999,4.431452999999999,6,5,8.800799999999999,2,2,1,7,1.922768,6.37473,5.206242,5.62046,3.697692,6,5,7.445399999999999,Zenit St. Petersburg,0.2187,0.3326,0.4487,h,1.55724,0.197221,1.55724,0.197221,7,3,2,0,2.4947,w,2014-08-23 14:00:00,1,0,0,3,1.360019,252,21,471,14,5,0,0,15,8.556798200000001,12.57835,2.5130068,10.31553,1.7587318,17,2,12.9451,5,0,0,15,8.556798200000001,12.57835,2.5130068,10.31553,1.7587318,17,2,12.9451,Amkar,0.7662,0.1961,0.0377
6,h,1.80768,0.413487,1.80768,0.413487,11,2,1,1,2.49,d,2014-09-13 13:00:00,0,1,0,1,1.394193,138,31,309,21,2,2,3,9,3.3770139999999995,8.976223999999998,6.353489999999999,8.221953999999998,4.844939999999999,7,6,11.2908,1,2,2,5,1.914686,5.9864,4.825994,5.23213,3.317444,5,6,7.5754,Mordovya,0.7729,0.1713,0.0558,h,1.12186,2.44006,1.12186,2.44006,5,10,1,0,0.5621,w,2014-08-30 11:00:00,1,0,0,3,-1.3181999999999998,288,17,184,32,2,3,1,7,-0.4152189999999998,5.001025,6.924802000000001,5.001025,5.416244,5,6,6.508299999999999,1,3,1,4,-2.168508,2.8454550000000003,5.768242000000001,2.8454550000000003,5.013963,2,4,4.3016000000000005,Torpedo Moscow,0.1252,0.1865,0.6883
7,a,0.614898,1.606,0.614898,1.606,3,11,0,1,0.5747,l,2014-09-21 10:30:00,0,0,1,0,-0.991102,214,15,243,26,2,3,3,9,2.385912,9.591122,7.959489999999999,8.836851999999999,6.450939999999999,7,7,11.8655,0,3,2,2,0.1676159999999997,5.466548,5.298934,4.712278,4.544662,3,6,6.8348,CSKA Moscow,0.1099,0.245,0.6451,h,1.81451,0.305538,1.06023,0.305538,12,0,2,1,2.6107,w,2014-09-13 10:30:00,1,0,0,3,0.754692,229,29,275,16,5,2,0,15,5.079871,13.754221,5.657238,9.982837,4.902966,15,5,14.3057,3,2,0,9,2.919385,9.071501,4.643563,6.808675999999999,3.889291,10,4,9.1061,Arsenal Tula,0.8216,0.1459,0.0325
8,h,2.01062,0.242173,2.01062,0.242173,7,3,3,1,2.7419,w,2014-09-28 13:00:00,1,0,0,3,1.768447,197,33,273,16,3,3,3,12,4.154359,11.601741999999998,8.201662999999998,10.847471999999998,6.693112999999999,10,8,14.607399999999998,1,3,1,4,1.978048,6.946344999999999,4.214027000000001,6.192074999999999,4.214027000000001,5,6,8.9712,Amkar,0.8804,0.1007,0.0189,h,1.03792,1.72432,1.03792,0.970044,0,11,1,2,0.7805000000000001,l,2014-09-22 14:00:00,0,0,1,0,0.0678759999999999,252,14,183,26,2,5,1,7,-1.3959790000000003,6.725102,8.875357000000001,6.725102,8.121081,6,12,8.9926,2,3,0,6,0.6228570000000005,5.422119,5.553538,5.422119,4.799262,5,6,6.3995,FC Krasnodar,0.1685,0.275,0.5565
9,h,1.19945,0.833496,0.445171,0.833496,4,7,2,1,1.7716999999999998,w,2014-10-18 16:30:00,1,0,0,3,-0.388325,314,24,160,27,4,3,3,15,3.766034,12.801192,9.035158999999998,11.292642999999998,7.526609,12,9,16.379099999999998,2,2,1,7,1.3403699999999996,6.344794999999999,4.250146,5.590515999999999,4.250146,6,5,8.566999999999998,FK Akhmat,0.4876,0.3089,0.2035,h,2.06991,1.42324,2.06991,1.42324,5,3,2,1,1.8932,w,2014-09-28 18:00:00,1,0,0,3,0.6466700000000001,150,28,246,18,5,1,3,18,4.081695,10.332119,6.250424,10.332119,6.250424,13,4,15.164600000000002,3,0,2,11,1.995518,5.8873940000000005,3.891876,5.8873940000000005,3.891876,7,2,8.2953,FC Rostov,0.5424,0.266,0.1916
10,a,0.585647,0.73552,0.585647,0.73552,4,4,1,1,1.1449,d,2014-10-26 10:30:00,0,1,0,1,-0.1498729999999999,241,23,248,18,4,3,4,16,3.616161,13.386838999999998,9.770678999999998,11.878289999999998,8.262129,13,10,17.523999999999997,2,1,2,8,1.63334,6.218294999999999,3.830676,5.464015999999999,3.830676,7,5,8.7232,Spartak Moscow,0.2501,0.3946,0.3553,a,0.424541,1.39345,0.424541,1.39345,11,2,0,2,0.4876,l,2014-10-19 10:30:00,0,0,1,0,-0.968909,184,41,221,20,5,3,2,17,1.7331640000000004,12.696412,10.963256,11.94214,10.208976,13,12,15.6389,1,2,2,5,0.7273300000000003,5.499678,4.772348,5.499678,4.772348,4,6,6.8354,Ural,0.0808,0.2452,0.674
11,h,2.95174,1.00497,2.19746,1.00497,8,4,4,2,2.6472,w,2014-11-02 10:30:00,1,0,0,3,1.19249,165,20,163,28,5,3,4,19,4.808650999999999,16.338579,10.775648999999998,14.075749999999998,9.267099,17,12,20.1712,3,1,1,10,1.4316369999999998,7.362354999999999,4.422159000000001,5.853795999999999,4.422159000000001,10,6,8.880399999999998,Dinamo Moscow,0.8448,0.1128,0.0424,a,1.00497,2.95174,1.00497,2.19746,4,8,2,4,0.24,l,2014-11-02 10:30:00,0,0,1,0,-1.19249,163,28,165,20,6,4,1,19,5.317279,20.311243,14.239694,18.802693,13.485414,25,18,16.8147,1,3,1,4,-1.858173,6.3550070000000005,8.967459999999999,6.3550070000000005,8.21318,9,12,5.105700000000001,Lokomotiv Moscow,0.0424,0.1128,0.8448
12,a,1.27999,0.314293,1.27999,0.314293,4,1,1,0,2.2402,w,2014-11-08 13:00:00,1,0,0,3,0.965697,119,22,191,37,6,3,4,22,5.774348,17.618569,11.089941999999995,15.355739999999996,9.581392,18,12,22.4114,4,0,1,13,3.388436,8.027447,3.130452,6.518887999999999,3.130452,11,5,10.545899999999998,Torpedo Moscow,0.6574,0.268,0.0746,h,0.486503,1.34804,0.486503,0.593765,3,4,0,1,0.5395,l,2014-11-03 11:00:00,0,0,1,0,-0.1072619999999999,126,21,229,27,1,8,3,6,-8.063409000000002,12.025434,22.351674,10.516889,18.580298000000003,9,27,11.040200000000002,0,3,2,2,-3.001345,4.285551,7.286901000000001,3.5312809999999994,6.532626000000001,3,7,4.286700000000001,Arsenal Tula,0.0943,0.2566,0.6491
13,h,0.855049,0.418921,0.855049,0.418921,7,5,0,0,1.7205,d,2014-11-24 16:00:00,0,1,0,1,0.4361279999999999,124,16,235,34,6,3,5,23,6.210476,18.473618,11.508862999999996,16.210789,10.000312999999998,18,12,24.1319,3,0,2,11,2.056117,6.871875999999999,3.3072,5.363317,3.3072,8,4,9.5245,FC Ufa,0.4445,0.387,0.1685,h,0.334536,0.202466,0.334536,0.202466,2,5,0,0,1.3425,d,2014-11-09 12:00:00,0,1,0,1,0.13207,195,21,90,18,3,6,4,13,-9.768456699999998,8.5957853,19.872789,7.8415123,17.609969000000003,11,14,10.0193,1,1,3,6,0.2280949999999999,5.2326760000000005,5.758858,4.478403,4.250308,6,5,6.2953,FC Rostov,0.2412,0.6189,0.1399
14,h,0.730688,0.66282,0.730688,0.66282,6,2,1,0,1.349,w,2014-11-30 10:30:00,1,0,0,3,0.067868,169,21,202,27,7,3,5,26,6.278344,19.204306000000003,12.171682999999996,16.941477,10.663132999999998,19,12,25.4809,3,0,2,11,2.5123100000000003,6.403114,3.136524,5.648834,3.136524,7,3,9.1018,Spartak Moscow,0.3212,0.3854,0.2934,h,2.16596,1.54142,2.16596,0.787145,9,2,4,2,1.887,w,2014-11-23 15:30:00,1,0,0,3,1.378815,194,20,246,17,7,3,4,25,4.538252000000001,19.961152,16.931452999999998,19.20688,14.668628,23,18,22.111300000000004,2,1,2,8,1.836179,7.689281,7.361647,7.689281,5.853102,10,8,6.960000000000001,Mordovya,0.523,0.318,0.159
15,h,1.19765,0.437603,1.19765,0.437603,13,2,1,0,2.0601,w,2014-12-03 16:00:00,1,0,0,3,0.7600470000000001,162,25,295,23,8,3,5,29,7.038391,20.401956,12.609285999999996,18.139127,11.100735999999998,20,12,27.541,4,0,1,13,3.42223,7.015117,2.838607,6.260837,2.838607,7,2,10.017,Ural,0.5867,0.3,0.1133,a,2.00278,1.78238,1.24851,1.78238,3,12,2,1,1.559,w,2014-11-29 10:30:00,1,0,0,3,-0.5338700000000001,164,18,138,26,4,10,1,13,-7.828996699999999,16.0681313,24.79537700000001,13.8053113,21.634308000000008,15,23,15.8778,2,3,0,6,-0.9792837,5.3959853,8.027789,4.6417153,5.620998999999999,4,6,5.4977,Arsenal Tula,0.4231,0.2897,0.2872
16,a,0.630929,0.467206,0.630929,0.467206,4,1,0,0,1.4906,d,2014-12-07 10:30:00,0,1,0,1,0.1637229999999999,303,23,165,30,8,3,6,30,7.202114,21.032885,13.076491999999996,18.770056,11.567942,20,12,29.0316,3,0,2,11,2.393463000000001,4.694306,2.300843,4.694306,2.300843,3,0,8.8604,FK Akhmat,0.353,0.4316,0.2154,h,0.3184,0.848475,0.3184,0.848475,5,1,0,1,0.7476,l,2014-12-03 17:00:00,0,0,1,0,-0.530075,173,48,305,21,7,6,3,24,4.569585999999999,16.149846,14.597378,16.149846,11.58026,18,14,22.582,2,3,0,6,0.7970219999999998,4.546716999999999,5.258253999999999,4.546716999999999,3.749695,4,6,6.224,Torpedo Moscow,0.1204,0.3864,0.4932
17,a,0.169735,0.35234,0.169735,0.35234,4,4,1,0,0.9631,w,2015-03-08 15:30:00,1,0,0,3,-0.182605,176,29,295,29,9,3,6,33,7.019509,21.20262,13.428831999999996,18.939791,11.920281999999998,21,12,29.9947,3,0,2,11,1.2451610000000002,3.5840510000000005,2.33889,3.5840510000000005,2.33889,3,0,7.583299999999999,FC Rostov,0.1147,0.619,0.2663,h,0.803914,0.824458,0.803914,0.824458,0,2,0,1,1.3178,l,2014-12-08 16:00:00,0,0,1,0,-0.020544,223,26,192,22,2,10,5,11,-13.755406999999998,15.362559,29.117952,12.345455,26.100862,15,37,16.0638,0,2,3,3,-2.360647,4.357401,5.963773999999999,3.603127,5.963773999999999,3,5,5.2999,Arsenal Tula,0.3201,0.3575,0.3224
18,h,1.57195,1.30875,1.57195,1.30875,9,7,0,1,1.5397,l,2015-03-14 16:00:00,0,0,1,0,0.2631999999999999,145,23,238,29,9,4,6,33,7.282709,22.77457,14.737581999999994,20.511741,13.229031999999998,21,13,31.5344,3,1,1,10,1.072233,4.3009520000000006,3.228719,4.3009520000000006,3.228719,3,1,7.402499999999999,Arsenal Tula,0.4145,0.2962,0.2893,a,0.505787,0.959013,0.505787,0.959013,4,3,0,1,0.9013,l,2015-03-09 12:30:00,0,0,1,0,-0.453226,139,16,182,27,3,13,2,11,-11.870136000000002,15.442367,27.312503,13.933817,25.803952999999996,10,26,16.8143,2,3,0,6,1.525382,5.956875,5.185763,5.956875,4.431493,6,4,7.1877,Rubin Kazan,0.1858,0.3439,0.4703
19,a,1.0462,0.477091,1.0462,0.477091,3,9,0,0,1.8716,d,2015-03-22 13:00:00,0,1,0,1,0.5691090000000001,121,30,295,22,9,4,7,34,7.851818000000001,23.82077,15.214672999999994,21.557941,13.706122999999998,21,13,33.406,2,1,2,8,1.573474,4.616464,3.04299,4.616464,3.04299,2,1,7.9251,Mordovya,0.511,0.3386,0.1504,a,0.204032,1.68616,0.204032,1.68616,0,18,0,4,0.2629,l,2015-03-14 13:00:00,0,0,1,0,-1.482128,292,15,179,29,6,10,3,21,-11.289267,13.045494,25.843325000000004,11.536947000000003,22.826214000000004,13,30,17.346999999999994,1,3,1,4,-4.040004000000001,1.883366,5.92337,1.883366,5.92337,1,6,3.7276,CSKA Moscow,0.0312,0.1693,0.7995
20,a,2.20665,1.84654,0.698102,1.09227,3,12,2,2,1.691,d,2015-04-04 12:15:00,0,1,0,1,-0.3941680000000001,182,21,144,42,9,4,8,35,7.457650000000001,26.02742,17.061212999999995,22.256042999999995,14.798392999999995,23,15,35.097,1,1,3,6,0.4192589999999998,5.625464,4.451927,4.116916,3.697657,3,3,7.556,Dinamo Moscow,0.4741,0.2687,0.2572,h,1.84654,2.20665,1.09227,0.698102,12,3,2,2,1.0403,d,2015-04-04 12:15:00,0,1,0,1,0.3941680000000001,144,42,182,21,11,6,3,36,6.7429190000000006,32.165896,23.914426,28.394517,21.651598,41,24,30.6248,2,2,1,7,1.678093,6.515386,5.591571,5.761116,4.083023,10,5,7.367799999999999,Lokomotiv Moscow,0.2572,0.2687,0.4741
21,h,2.4246,1.09486,1.67032,1.09486,7,2,2,0,2.4266,w,2015-04-08 18:00:00,1,0,0,3,0.5754600000000001,218,20,237,26,10,4,8,38,8.03311,28.45202,18.156073,23.926362999999995,15.893252999999998,25,15,37.5236,2,1,2,8,0.830996,7.419135,5.079581,5.156307,4.325311,5,3,8.491999999999999,Torpedo Moscow,0.7482,0.182,0.0698,a,1.24395,0.383771,1.24395,0.383771,5,7,3,1,2.1219,w,2015-04-05 18:15:00,1,0,0,3,0.8601789999999999,159,19,117,19,4,10,7,19,-7.422735000000004,19.521691000000004,29.207257,18.013146,25.435881,19,35,23.271400000000003,1,1,3,6,0.8717729999999999,3.549446,2.677673,3.549446,2.677673,6,5,7.0695,Arsenal Tula,0.6117,0.2868,0.1015
22,a,0.665073,1.49313,0.665073,1.49313,11,2,0,2,0.6965999999999999,l,2015-04-13 13:00:00,0,0,1,0,-0.828057,253,27,292,39,10,5,8,38,7.205053,29.117093,19.649203,24.591435999999995,17.386383,25,17,38.2202,1,2,2,5,0.1855439999999999,7.914472999999999,6.220371,5.651645,5.466101,4,5,8.2255,Ural,0.144,0.2646,0.5914,a,1.31322,1.15093,1.31322,1.15093,2,2,2,0,1.4502000000000002,w,2015-04-08 17:00:00,1,0,0,3,0.16229,214,19,235,33,6,14,2,20,-13.0041717,19.8168573,33.71927800000001,17.5540373,30.55820900000001,19,31,21.3657,2,2,1,7,-3.209792,2.8106090000000004,6.020401,2.8106090000000004,6.020401,4,5,4.417,Kuban Krasnodar,0.3579,0.3765,0.2656
23,a,0.763692,1.65378,0.763692,1.65378,2,4,0,1,0.5886,l,2015-04-18 11:00:00,0,0,1,0,-0.890088,85,20,232,38,10,6,8,38,6.314965000000001,29.880785,21.302983,25.355127999999997,19.040163,25,18,38.8088,1,2,2,5,-0.967744,7.106215,6.5654010000000005,4.843387,5.8111310000000005,4,5,7.2744,FC Ufa,0.1182,0.234,0.6478,h,0.817325,0.507546,0.817325,0.507546,7,5,0,1,1.6391,l,2015-04-12 14:00:00,0,0,1,0,0.3097789999999999,160,32,163,37,4,12,7,19,-16.112406699999998,15.709392299999998,33.330346,14.955119299999998,31.067526000000008,16,31,19.0174,0,4,1,1,-1.632518,3.31809,4.950607999999999,3.31809,4.950607999999999,1,7,4.9617,Arsenal Tula,0.4192,0.3815,0.1993
24,a,0.39614,0.902975,0.39614,0.1487,2,4,0,1,0.6678999999999999,l,2015-04-25 17:00:00,0,0,1,0,0.24744,373,21,173,31,10,7,8,38,6.562405000000001,30.276924999999995,22.205958,25.751267999999992,19.188863,25,19,39.4767,1,3,1,4,-1.289413,6.456154999999999,6.991285,4.193327,5.48274,4,6,6.0707,FC Krasnodar,0.1085,0.3424,0.5491,a,0.672758,1.00304,0.672758,1.00304,8,2,1,1,1.0213,d,2015-04-19 11:30:00,0,1,0,1,-0.3302819999999999,160,19,397,27,14,4,6,48,11.460896000000002,35.26026300000001,22.290806,31.488878,20.027981999999994,42,22,40.7409,4,0,1,13,2.430205,8.050753,4.866277999999999,7.296483,4.866277999999999,12,4,8.0815,CSKA Moscow,0.2292,0.3337,0.4371
25,a,0.858432,1.09576,0.858432,0.341485,2,2,1,1,1.0538,d,2015-05-03 14:00:00,0,1,0,1,0.516947,148,22,167,23,10,7,9,39,7.079352000000001,31.135357,23.301718,26.609699999999997,19.530348,26,20,40.5305,1,3,1,4,-0.3782979999999999,5.107937,6.240505,4.353656999999999,4.731954999999999,3,5,5.4335,Amkar,0.2237,0.3827,0.3936,h,1.49279,0.57567,0.738514,0.57567,4,4,2,0,2.2111,w,2015-04-30 15:00:00,1,0,0,3,0.162844,219,20,87,22,6,14,5,23,-6.357066000000001,19.901384,27.767000000000003,19.147108,25.504174000000003,18,37,27.3257,3,2,0,9,1.78543,5.50707,3.72164,4.752794,2.9673640000000003,5,3,8.291,Dinamo Moscow,0.6517,0.256,0.0923
26,h,0.12453,1.66472,0.12453,0.910449,1,12,1,3,0.1701,l,2015-05-10 11:30:00,0,0,1,0,-0.7859189999999999,337,14,171,29,10,8,9,39,6.293433000000001,31.259887,24.966438,26.734229999999997,20.440797,27,23,40.7006,0,4,1,1,-1.739677,2.807867,6.810365,2.807867,4.547544,2,8,3.177,CSKA Moscow,0.0148,0.1257,0.8595,h,2.31018,0.820909,1.5559,0.820909,12,2,3,1,2.4858,w,2015-05-04 16:00:00,1,0,0,3,0.7349910000000001,258,36,285,16,16,8,2,50,14.614374,45.293837,26.153800999999994,39.259623,24.645249,56,25,46.96630000000001,2,2,1,7,0.99497,6.111876,4.362626,5.357596,4.362626,7,5,7.953500000000001,Ural,0.7681,0.1815,0.0504
27,h,1.23943,0.663985,0.485158,0.663985,0,9,3,0,1.9542,w,2015-05-16 17:00:00,1,0,0,3,-0.178827,224,27,193,27,11,8,9,42,6.114606000000001,32.499317,25.630423,27.21938799999999,21.104782,30,23,42.6548,1,3,1,4,-1.090447,3.382224,5.98122,2.627952,3.718399,5,6,4.4346,Rubin Kazan,0.5487,0.3081,0.1432,h,1.58806,0.377035,1.58806,0.377035,6,6,1,0,2.3749,w,2015-05-08 17:00:00,1,0,0,3,1.211025,178,22,203,16,13,6,8,47,16.354302,40.15312499999999,22.146303,36.237783,19.883481,38,26,49.9121,2,1,2,8,3.639051,7.054403000000001,4.1696290000000005,7.054403000000001,3.4153520000000004,6,5,8.7895,Kuban Krasnodar,0.7212,0.2113,0.0675
