,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.578158,3.13827,0.578158,2.38399,1,17,1,4,0.1084,l,2014-08-02 18:30:00,0,0,1,0,-1.805832,215,11,143,19,0,1,0,0,-1.805832,0.578158,3.13827,0.578158,2.38399,1,4,0.1084,0,1,0,0,-1.805832,0.578158,3.13827,0.578158,2.38399,1,4,0.1084,CSKA Moscow,0.0143,0.0655,0.9202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.971363,5.27931,0.217088,3.77076,1,21,1,8,0.0109,l,2014-08-09 14:00:00,0,0,1,0,-3.553672,303,31,209,31,0,2,0,0,-5.359504,1.549521,8.41758,0.7952459999999999,6.15475,2,12,0.1192999999999999,0,2,0,0,-5.359504,1.549521,8.41758,0.7952459999999999,6.15475,2,12,0.1192999999999999,Zenit St. Petersburg,0.0009,0.0082,0.9909,a,2.48554,0.767575,2.48554,0.767575,11,1,4,0,2.5471,w,2014-08-02 16:00:00,1,0,0,3,1.717965,175,22,272,23,1,0,0,3,1.717965,2.48554,0.767575,2.48554,0.767575,4,0,2.5471,1,0,0,3,1.717965,2.48554,0.767575,2.48554,0.767575,4,0,2.5471,Arsenal Tula,0.8047,0.133,0.0623
2,h,0.954046,0.617434,0.954046,0.617434,5,4,1,1,1.6321,d,2014-08-12 17:00:00,0,1,0,1,0.3366119999999999,236,20,133,34,0,2,1,1,-5.022892000000001,2.503567,9.035014,1.7492919999999998,6.772184,3,13,1.7513999999999998,0,2,1,1,-5.022892000000001,2.503567,9.035014,1.7492919999999998,6.772184,3,13,1.7513999999999998,Amkar,0.4241,0.3598,0.2161,h,0.360411,0.190173,0.360411,0.190173,6,3,0,1,1.3821,l,2014-08-08 15:00:00,0,0,1,0,0.1702379999999999,128,24,161,19,0,2,0,0,-1.6822240000000002,0.685549,2.367773,0.685549,2.367773,0,5,1.585,0,2,0,0,-1.6822240000000002,0.685549,2.367773,0.685549,2.367773,0,5,1.585,FC Ufa,0.2573,0.6102,0.1325
3,a,1.24904,1.41621,1.24904,0.661939,9,1,2,0,1.1703,w,2014-08-16 14:00:00,1,0,0,3,0.5871009999999999,244,27,120,31,1,2,1,4,-4.435791000000001,3.752607,10.451223999999998,2.998332,7.434123,5,13,2.9217,1,2,1,4,-4.435791000000001,3.752607,10.451223999999998,2.998332,7.434123,5,13,2.9217,Ural,0.2821,0.324,0.3939,h,0.501385,1.36352,0.501385,1.36352,2,5,1,2,0.6052,l,2014-08-13 14:30:00,0,0,1,0,-0.8621350000000001,278,24,218,28,0,2,1,1,-2.383609,2.195131,4.57874,1.440852,3.824461,4,6,1.901,0,2,1,1,-2.383609,2.195131,4.57874,1.440852,3.824461,4,6,1.901,Zenit St. Petersburg,0.1116,0.2704,0.618
4,h,0.850627,0.909639,0.850627,0.909639,2,8,0,3,1.278,l,2014-08-24 13:30:00,0,0,1,0,-0.0590119999999999,306,30,176,34,1,3,1,4,-4.494803000000001,4.603234,11.360862999999998,3.848959,8.343762,5,16,4.1997,1,3,1,4,-4.494803000000001,4.603234,11.360862999999998,3.848959,8.343762,5,16,4.1997,FC Krasnodar,0.3125,0.3405,0.347,a,1.05955,1.97411,1.05955,0.465558,5,1,2,0,0.608,w,2014-08-17 18:00:00,1,0,0,3,0.593992,237,42,198,32,2,0,2,8,2.54171,6.100781,3.559064,4.592222,2.050512,7,1,6.7653,2,0,2,8,2.54171,6.100781,3.559064,4.592222,2.050512,7,1,6.7653,FC Rostov,0.1287,0.2219,0.6494
5,a,2.44006,1.12186,2.44006,1.12186,10,5,0,1,2.2514000000000003,l,2014-08-30 11:00:00,0,0,1,0,1.3181999999999998,184,32,288,17,1,4,1,4,-3.176603000000001,7.043294,12.482722999999998,6.289019,9.465622,5,17,6.4511,1,3,1,4,-1.3707710000000006,6.465136,9.344453,5.710861,7.081632000000001,4,13,6.342700000000001,Mordovya,0.6883,0.1865,0.1252,a,0.795556,0.842692,0.795556,0.842692,1,6,1,2,1.3154,l,2014-08-24 18:30:00,0,0,1,0,-0.0471359999999999,244,18,177,27,1,3,1,4,0.902981,3.879165,4.484742000000001,3.879165,2.976184,4,6,5.946199999999999,1,3,1,4,0.902981,3.879165,4.484742000000001,3.879165,2.976184,4,6,5.946199999999999,FC Rostov,0.3176,0.3626,0.3198
6,a,0.696589,2.58205,0.696589,2.58205,1,16,1,3,0.3024,l,2014-09-14 10:30:00,0,0,1,0,-1.8854610000000005,252,25,185,28,1,5,1,4,-5.062064000000001,7.739883,15.064773,6.985608,12.047672,6,20,6.753500000000001,1,3,1,4,0.2974399999999995,6.190362,6.647193,6.190362,5.892922,4,8,6.6342,Spartak Moscow,0.0589,0.1257,0.8154,a,0.848683,1.4545,0.848683,1.4545,4,1,0,2,0.7512000000000001,l,2014-08-30 14:00:00,0,0,1,0,-0.6058169999999999,191,21,262,24,4,2,0,12,0.4000169999999999,8.045417,7.645408,7.291145000000001,6.891128,9,8,9.5547,3,2,0,9,-0.594683,5.854127,6.448817999999999,5.099855000000001,5.694538,5,8,7.3759,Amkar,0.1532,0.2916,0.5552
7,h,1.24553,2.31253,1.24553,2.31253,4,5,1,3,0.6973,l,2014-09-22 17:00:00,0,0,1,0,-1.0670000000000002,236,34,142,24,1,6,1,4,-6.129064000000001,8.985413,17.377302999999998,8.231138,14.360202,7,23,7.450800000000001,1,4,0,3,-1.1061720000000008,6.481846000000001,8.342289000000001,6.481846000000001,7.588018000000002,4,10,5.699400000000001,Dinamo Moscow,0.1655,0.2008,0.6337,a,0.577028,1.21353,0.577028,1.21353,3,7,2,3,0.7753,l,2014-09-13 15:30:00,0,0,1,0,-0.636502,187,30,221,24,5,2,0,15,6.53895,14.533264,6.485764,13.024714,6.485764,18,9,12.4843,4,1,0,12,4.5952,9.249068,4.653868000000001,9.249068,4.653868000000001,10,4,8.982899999999999,Zenit St. Petersburg,0.1578,0.3019,0.5403
8,a,1.2886,2.01272,0.53433,2.01272,3,12,1,2,0.8059000000000001,l,2014-09-29 17:00:00,0,0,1,0,-1.47839,219,25,157,18,1,7,1,4,-7.6074540000000015,10.274013,19.390023,8.765468,16.372922000000003,8,25,8.2567,0,5,0,0,-3.171663000000001,6.521406,8.938799000000001,5.767136,8.938799000000001,3,12,5.335000000000001,Rubin Kazan,0.1811,0.2626,0.5563,a,0.522582,0.510216,0.522582,0.510216,8,6,1,2,1.3054,l,2014-09-20 14:00:00,0,0,1,0,0.0123659999999999,176,26,164,22,2,2,4,10,1.869914,9.636063,7.766152,8.881791,7.011877,8,11,12.4431,2,1,2,8,3.0917990000000004,6.987932,3.896136,6.23366,3.1418610000000005,7,6,9.3516,Kuban Krasnodar,0.2832,0.4558,0.261
9,a,0.832131,0.775502,0.832131,0.775502,5,6,1,1,1.3701,d,2014-10-20 14:00:00,0,1,0,1,0.0566289999999999,68,13,194,19,1,7,2,5,-7.5508250000000015,11.106144,20.165525,9.597599,17.148424000000002,9,26,9.6268,0,4,1,1,-3.0560220000000005,6.50291,8.804662,5.74864,8.804662,4,10,5.4271,FC Ufa,0.333,0.3711,0.2959,a,1.22752,0.462631,0.473247,0.462631,6,1,2,0,2.1319000000000004,w,2014-09-27 13:00:00,1,0,0,3,0.0106159999999999,210,18,213,15,3,5,1,10,-9.9859357,4.5906293,14.576562,3.8363563,13.822292,7,9,5.855900000000001,2,2,1,7,-6.893102,2.986042,9.124871,2.231769,9.124871,6,4,3.1587000000000005,Mordovya,0.6178,0.2785,0.1037
