,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,2.48554,0.767575,2.48554,0.767575,11,1,4,0,2.5471,w,2014-08-02 16:00:00,1,0,0,3,1.717965,175,22,272,23,1,0,0,3,1.717965,2.48554,0.767575,2.48554,0.767575,4,0,2.5471,1,0,0,3,1.717965,2.48554,0.767575,2.48554,0.767575,4,0,2.5471,Arsenal Tula,0.8047,0.133,0.0623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,5.27931,0.971363,3.77076,0.217088,21,1,8,1,2.9809,w,2014-08-09 14:00:00,1,0,0,3,3.553672,209,31,303,31,2,0,0,6,5.271637,7.764849999999999,1.738938,6.2563,0.984663,12,1,5.5280000000000005,2,0,0,6,5.271637,7.764849999999999,1.738938,6.2563,0.984663,12,1,5.5280000000000005,Torpedo Moscow,0.9909,0.0082,0.0009,a,0.578158,3.13827,0.578158,2.38399,1,17,1,4,0.1084,l,2014-08-02 18:30:00,0,0,1,0,-1.805832,215,11,143,19,0,1,0,0,-1.805832,0.578158,3.13827,0.578158,2.38399,1,4,0.1084,0,1,0,0,-1.805832,0.578158,3.13827,0.578158,2.38399,1,4,0.1084,CSKA Moscow,0.0143,0.0655,0.9202
2,a,1.36352,0.501385,1.36352,0.501385,5,2,2,1,2.1244,w,2014-08-13 14:30:00,1,0,0,3,0.8621350000000001,218,28,278,24,3,0,0,9,6.133772,9.12837,2.240323,7.61982,1.486048,14,2,7.6524,3,0,0,9,6.133772,9.12837,2.240323,7.61982,1.486048,14,2,7.6524,Ural,0.618,0.2704,0.1116,h,0.537186,1.05965,0.537186,0.305371,3,9,1,1,0.7436,d,2014-08-10 13:30:00,0,1,0,1,0.231815,144,19,263,43,0,1,1,1,-1.521474,1.693746,3.21522,0.939467,2.460941,3,4,1.2958,0,1,1,1,-1.521474,1.693746,3.21522,0.939467,2.460941,3,4,1.2958,FC Krasnodar,0.1418,0.3182,0.54
3,h,1.89274,0.0754628,1.13847,0.0754628,14,1,1,0,2.798,w,2014-08-16 17:00:00,1,0,0,3,1.0630072000000002,157,30,384,17,4,0,0,12,7.196779200000001,11.021109999999998,2.3157858,8.75829,1.5615108,15,2,10.4504,4,0,0,12,7.196779200000001,11.021109999999998,2.3157858,8.75829,1.5615108,15,2,10.4504,FC Ufa,0.9019,0.0923,0.0058,h,1.29986,1.15316,1.29986,1.15316,1,2,0,2,1.4763000000000002,l,2014-08-13 12:00:00,0,0,1,0,0.1467,182,22,131,32,1,2,0,3,-2.0298265,1.5291245,3.5589510000000004,1.5291245,3.5589510000000004,1,4,2.5875000000000004,1,2,0,3,-2.0298265,1.5291245,3.5589510000000004,1.5291245,3.5589510000000004,1,4,2.5875000000000004,Dinamo Moscow,0.3854,0.3201,0.2945
4,h,1.55724,0.197221,1.55724,0.197221,7,3,2,0,2.4947,w,2014-08-23 14:00:00,1,0,0,3,1.360019,252,21,471,14,5,0,0,15,8.556798200000001,12.57835,2.5130068,10.31553,1.7587318,17,2,12.9451,5,0,0,15,8.556798200000001,12.57835,2.5130068,10.31553,1.7587318,17,2,12.9451,Amkar,0.7662,0.1961,0.0377,a,0.316348,1.15919,0.316348,1.15919,1,9,0,1,0.493,l,2014-08-18 18:00:00,0,0,1,0,-0.8428419999999999,243,21,145,39,0,3,1,1,-2.8616780000000004,1.619331,4.481009,1.619331,4.481009,1,7,3.0861,0,3,1,1,-2.8616780000000004,1.619331,4.481009,1.619331,4.481009,1,7,3.0861,Kuban Krasnodar,0.0706,0.2812,0.6482
5,a,1.15499,0.712147,1.15499,0.712147,5,3,1,0,1.6787,w,2014-08-31 15:00:00,1,0,0,3,0.442843,134,33,272,27,6,0,0,18,8.999641200000001,13.733339999999998,3.2251538,11.47052,2.4708788,18,2,14.6238,5,0,0,15,7.2816762,11.2478,2.4575788,8.98498,1.7033037999999998,14,2,12.0767,Lokomotiv Moscow,0.4487,0.3326,0.2187,a,1.801,0.797377,1.04673,0.797377,5,4,1,2,2.1759,l,2014-08-24 16:30:00,0,0,1,0,0.2493529999999999,125,21,181,32,2,1,2,8,2.425664,6.456396999999999,4.785012999999999,5.702126999999999,3.276463,6,4,7.812099999999999,2,1,2,8,2.425664,6.456396999999999,4.785012999999999,5.702126999999999,3.276463,6,4,7.812099999999999,Kuban Krasnodar,0.6471,0.2346,0.1183
6,h,1.21353,0.577028,1.21353,0.577028,7,3,3,2,1.9228,w,2014-09-13 15:30:00,1,0,0,3,0.636502,221,24,187,30,7,0,0,21,9.6361432,14.94687,3.8021818,12.68405,3.0479068,21,4,16.546599999999998,5,0,0,15,4.3645062,7.18202,2.0632438,6.42775,2.0632438,9,3,11.0186,Dinamo Moscow,0.5403,0.3019,0.1578,a,1.1706,0.891462,1.1706,0.891462,13,7,2,0,1.5598,w,2014-08-31 17:15:00,1,0,0,3,0.2791380000000001,190,17,169,36,5,1,0,15,7.175452,13.956236,5.272233999999999,12.447686,5.272233999999999,16,6,11.709,4,1,0,12,4.470488,9.142226,4.671738,9.142226,4.671738,9,3,8.729099999999999,FC Krasnodar,0.4188,0.3034,0.2778
7,a,3.06547,0.557971,3.06547,0.557971,12,1,5,0,2.8081,w,2014-09-20 11:30:00,1,0,0,3,2.507499,168,26,271,18,8,0,0,24,12.143642200000002,18.01234,4.3601528,15.74952,3.6058778,26,4,19.3547,5,0,0,15,6.0098702,8.88397,2.1198298,8.1297,2.1198298,12,2,11.7023,FC Rostov,0.9136,0.0673,0.0191,h,0.656702,1.55467,0.656702,1.55467,3,10,1,2,0.6524,l,2014-09-13 18:00:00,0,0,1,0,-0.897968,206,21,171,36,1,5,1,4,-8.465456,5.79861,15.018325999999998,3.53578,12.001236,9,22,5.7352,1,4,0,3,-4.841876999999999,4.8160490000000005,8.149366,2.553219,7.395096,4,13,5.5095,Rubin Kazan,0.1306,0.2606,0.6088
8,h,0.536108,0.740547,0.536108,0.740547,1,5,0,0,1.0779,d,2014-09-27 15:30:00,0,1,0,1,-0.2044389999999999,131,24,261,24,8,0,1,25,11.9392032,18.548448,5.1006998,16.285628,4.3464248,26,4,20.4326,4,0,1,13,4.742424000000001,7.527338,2.784914,7.527338,2.784914,11,2,9.9822,Spartak Moscow,0.2302,0.3873,0.3825,h,0.903857,0.691701,0.903857,0.691701,6,1,1,1,1.4899,d,2014-09-20 17:00:00,0,1,0,1,0.212156,178,41,274,20,5,2,1,16,2.497634000000001,11.531324,9.033698,10.777052,8.279418,13,10,13.6165,3,1,1,10,2.981306,7.85468,4.119102,7.100408,4.119102,7,5,9.188,FK Akhmat,0.3787,0.3538,0.2675
9,a,1.05008,1.12732,1.05008,1.12732,2,4,2,2,1.2814,d,2014-10-18 14:00:00,0,1,0,1,-0.0772400000000002,185,21,186,27,8,0,2,26,11.861963200000002,19.598528,6.2280198,17.335708,5.4737448,28,6,21.714,3,0,2,11,3.305165,7.020178,3.715013,7.020178,3.715013,11,4,8.768899999999999,FC Krasnodar,0.3151,0.3361,0.3488,h,2.92143,0.154675,2.92143,0.154675,7,1,3,0,2.9626,w,2014-09-28 15:30:00,1,0,0,3,2.766755,199,29,249,18,5,2,2,17,6.800214,14.612232,7.057735000000001,12.349397,5.549183,15,6,16.8938,3,2,0,9,4.258504,8.511451000000001,3.498671,7.757175,3.498671,8,5,10.1285,Arsenal Tula,0.9819,0.0169,0.0012
