,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.839486,0.132366,0.839486,0.132366,12,2,1,0,2.0217,w,2015-07-20 18:00:00,1,0,0,3,0.70712,131,35,333,15,1,0,0,3,0.70712,0.839486,0.132366,0.839486,0.132366,1,0,2.0217,1,0,0,3,0.70712,0.839486,0.132366,0.839486,0.132366,1,0,2.0217,Amkar,0.5375,0.4092,0.0533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.544814,1.11679,0.544814,1.11679,6,10,0,1,0.8087,l,2015-07-26 21:00:00,0,0,1,0,-0.5719759999999999,142,15,240,31,1,1,0,3,0.135144,1.3843,1.249156,1.3843,1.249156,1,1,2.8304,1,1,0,3,0.135144,1.3843,1.249156,1.3843,1.249156,1,1,2.8304,Spartak Moscow,0.165,0.3137,0.5213,h,3.11719,0.867226,3.11719,0.867226,9,0,2,2,2.7666000000000004,d,2015-07-17 20:00:00,0,1,0,1,2.249964,70,23,241,16,0,0,1,1,2.249964,3.11719,0.867226,3.11719,0.867226,2,2,2.7666000000000004,0,0,1,1,2.249964,3.11719,0.867226,3.11719,0.867226,2,2,2.7666000000000004,FC Ufa,0.8939,0.0849,0.0212
2,a,1.07707,1.05419,1.07707,1.05419,10,2,0,0,1.36,d,2015-08-02 21:00:00,0,1,0,1,0.02288,170,22,375,20,1,1,1,4,0.158024,2.46137,2.303346,2.46137,2.303346,1,1,4.1904,1,1,1,4,0.158024,2.46137,2.303346,2.46137,2.303346,1,1,4.1904,FC Rostov,0.3489,0.3133,0.3378,a,1.0611,0.995154,1.0611,0.995154,9,2,2,1,1.4056,w,2015-07-25 17:00:00,1,0,0,3,0.0659459999999999,169,22,186,21,1,0,1,4,0.0786719999999998,1.887953,1.809281,1.887953,1.809281,3,2,2.6898,1,0,1,4,0.0786719999999998,1.887953,1.809281,1.887953,1.809281,3,2,2.6898,FC Ufa,0.3639,0.3139,0.3222
3,h,0.838512,0.524728,0.838512,0.524728,5,9,1,1,1.6841,d,2015-08-10 21:15:00,0,1,0,1,0.313784,164,24,272,30,1,1,2,5,0.4718080000000001,3.299882,2.828074,3.299882,2.828074,2,2,5.8745,1,1,2,5,0.4718080000000001,3.299882,2.828074,3.299882,2.828074,2,2,5.8745,Kuban Krasnodar,0.4391,0.3668,0.1941,h,0.660127,0.749518,0.660127,0.749518,3,3,1,1,1.1827,d,2015-07-31 21:00:00,0,1,0,1,-0.089391,126,21,255,23,0,1,2,2,-2.100465,1.225753,4.080498,1.225753,3.326218,2,4,1.8472,0,1,2,2,-2.100465,1.225753,4.080498,1.225753,3.326218,2,4,1.8472,FC Ufa,0.2633,0.3928,0.3439
4,a,0.719358,0.56666,0.719358,0.56666,1,8,2,0,1.4878,w,2015-08-15 17:30:00,1,0,0,3,0.152698,298,22,160,39,2,1,2,8,0.6245060000000001,4.01924,3.394734,4.01924,3.394734,4,2,7.3623,2,1,2,8,0.6245060000000001,4.01924,3.394734,4.01924,3.394734,4,2,7.3623,Zenit St. Petersburg,0.3635,0.3973,0.2392,a,2.85495,0.353812,2.85495,0.353812,7,1,1,0,2.8244,w,2015-08-09 17:00:00,1,0,0,3,2.501138,111,19,257,19,4,0,0,12,6.445031,10.87426,2.920679,9.36571,2.920679,10,2,10.4013,4,0,0,12,6.445031,10.87426,2.920679,9.36571,2.920679,10,2,10.4013,FC Ufa,0.9198,0.065,0.0152
5,h,1.55153,0.337717,1.55153,0.337717,11,6,0,0,2.3212,d,2015-08-23 21:00:00,0,1,0,1,1.213813,123,11,247,27,2,1,3,9,1.8383190000000005,5.57077,3.732451,5.57077,3.732451,4,2,9.6835,1,1,3,6,1.131199,4.7312840000000005,3.6000850000000004,4.7312840000000005,3.6000850000000004,3,2,7.6618,Mordovya,0.6948,0.2368,0.0684,h,1.38137,0.677223,1.38137,0.677223,10,2,0,1,2.018,l,2015-08-17 20:00:00,0,0,1,0,0.704147,94,21,189,27,0,2,3,3,-0.6194799999999997,5.081410999999999,6.455162999999999,4.327140999999999,4.946621,3,5,5.693999999999999,0,2,3,3,-0.6194799999999997,5.081410999999999,6.455162999999999,4.327140999999999,4.946621,3,5,5.693999999999999,FC Ufa,0.5758,0.2906,0.1336
6,a,0.445379,1.2514,0.445379,1.2514,8,6,1,2,0.576,l,2015-08-30 14:30:00,0,0,1,0,-0.8060210000000001,207,24,214,31,2,2,3,9,1.0322980000000002,6.016149,4.9838510000000005,6.016149,4.9838510000000005,5,4,10.2595,1,1,3,6,0.897154,4.631849,3.734695,4.631849,3.734695,4,3,7.4291,Lokomotiv Moscow,0.1012,0.2724,0.6264,a,1.63277,0.181509,1.63277,0.181509,12,2,3,0,2.6123000000000003,w,2015-08-23 14:30:00,1,0,0,3,1.451261,136,18,252,24,4,0,2,14,3.17044,8.211586,4.286874,7.457313999999999,4.286874,11,3,11.0577,3,0,2,11,3.864372,7.028766,3.164394,7.028766,3.164394,10,3,9.6222,FC Ufa,0.8187,0.1562,0.0251
7,h,1.47954,1.2373,1.47954,1.2373,7,3,4,0,1.5918,w,2015-09-13 17:30:00,1,0,0,3,0.24224,247,23,274,30,3,2,3,12,1.2745380000000002,7.495689,6.221151000000001,7.495689,6.221151000000001,9,4,11.851300000000002,2,1,2,8,1.116514,5.034319,3.917805,5.034319,3.917805,8,3,7.6609,Dinamo Moscow,0.4273,0.3099,0.2628,h,1.9579,0.477545,1.20362,0.477545,13,5,2,0,2.5298,w,2015-08-29 15:00:00,1,0,0,3,0.7260749999999999,138,26,254,28,3,1,3,12,-0.358653,8.651722,9.010376,6.388898999999999,6.747552000000001,11,8,9.5723,3,0,2,11,0.287146,5.877991,4.836566,4.369438,4.082292,8,4,7.7623,FC Ufa,0.7897,0.1607,0.0496
8,a,0.860796,1.52104,0.860796,1.52104,10,4,1,3,0.7106,l,2015-09-21 17:30:00,0,0,1,0,-0.6602439999999999,225,27,271,26,3,3,3,12,0.6142940000000002,8.356485,7.742191000000001,8.356485,7.742191000000001,10,7,12.5619,2,2,1,7,0.142486,5.056603,4.914117,5.056603,4.914117,8,5,6.6874,Ural,0.1388,0.2942,0.567,a,0.490608,0.428044,0.490608,0.428044,6,3,1,0,1.32,w,2015-09-14 17:00:00,1,0,0,3,0.062564,147,28,190,38,2,3,3,9,0.4424579999999997,10.036338,10.34815,9.282058,8.8396,10,13,10.98,1,2,2,5,-1.492894,4.941917999999999,7.189092,4.941917999999999,6.434812,6,8,5.366,FC Ufa,0.2775,0.4875,0.235
9,h,0.636757,0.956022,0.636757,0.956022,5,4,1,1,1.0095,d,2015-09-27 17:30:00,0,1,0,1,-0.319265,192,17,230,21,3,3,4,13,0.2950290000000002,8.993241999999999,8.698213,8.993241999999999,8.698213,11,8,13.5714,1,2,2,5,-0.329477,4.9740020000000005,5.303479,4.9740020000000005,5.303479,7,6,6.209100000000001,FK Akhmat,0.2207,0.3474,0.4319,h,2.39831,1.4181,1.64403,0.66383,12,5,4,1,2.0731,w,2015-09-19 17:00:00,1,0,0,3,0.9802,179,16,296,24,2,1,6,12,0.0982199999999996,10.629881,10.531651,9.875601,9.777381,12,10,13.0466,2,0,3,9,1.315759,7.190937999999999,5.875169,6.436658,5.120899,10,5,7.4658,FC Ufa,0.6179,0.2194,0.1627
