,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.826853,0.814127,0.826853,0.814127,5,8,1,1,1.2842,d,2015-07-18 22:00:00,0,1,0,1,0.0127259999999999,241,22,172,17,0,0,1,1,0.0127259999999999,0.826853,0.814127,0.826853,0.814127,1,1,1.2842,0,0,1,1,0.0127259999999999,0.826853,0.814127,0.826853,0.814127,1,1,1.2842,FK Akhmat,0.3095,0.3557,0.3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.0611,0.995154,1.0611,0.995154,9,2,2,1,1.4056,w,2015-07-25 17:00:00,1,0,0,3,0.0659459999999999,169,22,186,21,1,0,1,4,0.0786719999999998,1.887953,1.809281,1.887953,1.809281,3,2,2.6898,1,0,1,4,0.0786719999999998,1.887953,1.809281,1.887953,1.809281,3,2,2.6898,FC Ufa,0.3639,0.3139,0.3222,a,0.867226,3.11719,0.867226,3.11719,0,9,2,2,0.1485,d,2015-07-17 20:00:00,0,1,0,1,-2.249964,241,16,70,23,0,0,1,1,-2.249964,0.867226,3.11719,0.867226,3.11719,2,2,0.1485,0,0,1,1,-2.249964,0.867226,3.11719,0.867226,3.11719,2,2,0.1485,Spartak Moscow,0.0212,0.0849,0.8939
2,h,1.05419,1.07707,1.05419,1.07707,2,10,0,0,1.3266999999999998,d,2015-08-02 21:00:00,0,1,0,1,-0.02288,375,20,170,22,1,0,2,5,0.0557919999999998,2.942143,2.886351,2.942143,2.886351,3,2,4.0165,1,0,2,5,0.0557919999999998,2.942143,2.886351,2.942143,2.886351,3,2,4.0165,FC Krasnodar,0.3378,0.3133,0.3489,h,0.544814,1.11679,0.544814,1.11679,6,10,0,1,0.8087,l,2015-07-26 21:00:00,0,0,1,0,-0.5719759999999999,142,15,240,31,1,1,0,3,0.135144,1.3843,1.249156,1.3843,1.249156,1,1,2.8304,1,1,0,3,0.135144,1.3843,1.249156,1.3843,1.249156,1,1,2.8304,Spartak Moscow,0.165,0.3137,0.5213
3,a,3.97379,0.374575,3.97379,0.374575,5,2,3,0,2.9732,w,2015-08-10 19:00:00,1,0,0,3,3.599215,238,38,197,29,2,0,2,8,3.655007,6.915933,3.260926,6.915933,3.260926,6,2,6.989699999999999,2,0,2,8,3.655007,6.915933,3.260926,6.915933,3.260926,6,2,6.989699999999999,Rubin Kazan,0.9877,0.0101,0.0022,a,0.955019,2.82556,0.955019,2.82556,7,10,0,1,0.3257,l,2015-08-03 20:00:00,0,0,1,0,-1.870541,211,17,153,25,0,3,0,0,-3.856046,2.019984,6.6303,2.019984,5.87603,0,4,1.0448,0,3,0,0,-3.856046,2.019984,6.6303,2.019984,5.87603,0,4,1.0448,Spartak Moscow,0.0667,0.1256,0.8077
4,h,1.29575,1.48296,0.541476,1.48296,9,8,1,1,1.1772,d,2015-08-16 21:00:00,0,1,0,1,-0.941484,218,22,249,22,2,0,3,9,2.713523,8.211683,4.743886,7.457409,4.743886,7,3,8.166899999999998,2,0,3,9,2.713523,8.211683,4.743886,7.457409,4.743886,7,3,8.166899999999998,Krylya Sovetov Samara,0.2891,0.3099,0.401,h,0.685259,0.964013,0.685259,0.964013,4,8,0,2,1.0533,l,2015-08-09 20:00:00,0,0,1,0,-0.278754,271,26,133,19,1,3,0,3,-2.995295,2.255719,6.005284,2.255719,5.251014,1,5,2.5352,1,3,0,3,-2.995295,2.255719,6.005284,2.255719,5.251014,1,5,2.5352,Spartak Moscow,0.234,0.3513,0.4147
5,a,0.662159,1.49005,0.662159,1.49005,2,13,1,2,0.6672,l,2015-08-22 19:00:00,0,0,1,0,-0.827891,311,20,242,24,2,1,3,9,1.885632,8.873842000000002,6.233936,8.119568000000001,6.233936,8,5,8.834099999999998,2,1,2,8,1.872906,8.046989,5.419809,7.292715,5.419809,7,4,7.549899999999999,CSKA Moscow,0.1341,0.2649,0.601,a,1.92167,2.36242,1.92167,1.60814,12,6,2,1,1.0755,w,2015-08-14 22:30:00,1,0,0,3,0.3135300000000001,259,21,144,25,5,0,0,15,4.4824470000000005,9.35521,4.118502,7.846668999999999,3.364222,8,1,11.0194,5,0,0,15,4.4824470000000005,9.35521,4.118502,7.846668999999999,3.364222,8,1,11.0194,Spartak Moscow,0.2768,0.2451,0.4781
6,h,1.92461,0.110455,1.92461,0.110455,6,0,1,0,2.7329,w,2015-08-28 21:00:00,1,0,0,3,1.814155,137,32,292,30,3,1,3,12,3.699787,10.798452,6.344391,10.044178,6.344391,9,5,11.566999999999997,2,1,2,8,3.621115,8.910499,4.53511,8.156225000000001,4.53511,6,3,8.877199999999998,Amkar,0.872,0.1169,0.0111,h,0.564029,1.81343,0.564029,1.81343,5,12,1,3,0.4105,l,2015-08-22 16:00:00,0,0,1,0,-1.2494010000000002,283,22,172,29,2,3,1,7,-2.9447810000000003,4.218598,7.16338,3.464328,6.409109000000001,5,7,5.803799999999999,2,2,1,7,-2.237661,4.086232,6.323894,3.331962,5.569623,5,6,5.234699999999999,Spartak Moscow,0.0716,0.1957,0.7327
7,a,0.582656,0.584594,0.582656,0.584594,4,6,0,1,1.2918,l,2015-09-13 14:30:00,0,0,1,0,-0.0019379999999999,223,23,243,26,3,2,3,12,3.697849,11.381108,6.928985,10.626834,6.928985,9,6,12.858799999999995,2,2,1,7,3.642057,8.438965,4.042634,7.684691000000001,4.042634,6,4,8.8423,Spartak Moscow,0.289,0.4248,0.2862,h,2.51455,0.939741,1.76027,0.939741,5,5,1,2,2.4686,l,2015-08-29 20:30:00,0,0,1,0,0.820529,104,24,301,19,4,2,1,13,6.727634999999999,14.713953,6.477758,13.205393,6.477758,11,7,15.330100000000002,3,2,0,9,3.905695,10.479973,5.065718,8.971413,5.065718,8,5,10.6859,Anzhi Makhachkala,0.7724,0.1514,0.0762
8,h,0.806301,1.06202,0.806301,1.06202,2,6,1,0,1.1202,w,2015-09-18 20:00:00,1,0,0,3,-0.2557189999999999,277,17,214,26,4,2,3,15,3.44213,12.187409,7.991004999999999,11.433135,7.991004999999999,10,6,13.978999999999996,2,2,1,7,-0.2128770000000001,5.271476,4.730079,4.517202,4.730079,4,4,6.9893,Anzhi Makhachkala,0.2581,0.3459,0.396,h,0.805453,2.09936,0.805453,2.09936,6,8,0,2,0.4508999999999999,l,2015-09-13 20:00:00,0,0,1,0,-1.293907,195,33,139,18,1,5,2,5,-0.053423,10.84942,10.902842,9.340866,9.394289,7,13,11.290900000000002,1,2,2,5,-0.194172,6.918504,7.112675,5.40995,5.604122,6,8,7.1233,FK Akhmat,0.0926,0.1731,0.7343
9,h,1.60065,1.0957,0.846377,1.0957,5,6,2,1,1.8138,w,2015-09-28 20:00:00,1,0,0,3,-0.2493229999999998,165,22,122,22,5,2,3,18,3.192807,13.788059,9.086704999999998,12.279512,9.086704999999998,12,7,15.792799999999996,3,2,0,9,0.4792840000000001,5.576376,4.342819,4.822103,4.342819,5,4,7.625900000000001,Kuban Krasnodar,0.5156,0.267,0.2174,h,2.63784,1.13929,2.63784,1.13929,9,5,3,0,2.3995,w,2015-09-19 20:00:00,1,0,0,3,1.4985500000000005,203,34,134,22,1,4,4,7,-4.018599999999999,8.288147,13.061031,7.533874000000001,11.552474,7,11,8.5602,1,3,1,4,-1.6043509999999994,6.537666,8.142021,5.783393,7.387744,4,6,5.7639,Spartak Moscow,0.7471,0.1582,0.0947
