,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.867226,3.11719,0.867226,3.11719,0,9,2,2,0.1485,d,2015-07-17 20:00:00,0,1,0,1,-2.249964,241,16,70,23,0,0,1,1,-2.249964,0.867226,3.11719,0.867226,3.11719,2,2,0.1485,0,0,1,1,-2.249964,0.867226,3.11719,0.867226,3.11719,2,2,0.1485,Spartak Moscow,0.0212,0.0849,0.8939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.995154,1.0611,0.995154,1.0611,2,9,1,2,1.2805,l,2015-07-25 17:00:00,0,0,1,0,-0.0659459999999999,186,21,169,22,0,1,1,1,-2.31591,1.86238,4.17829,1.86238,4.17829,3,4,1.429,0,1,1,1,-2.31591,1.86238,4.17829,1.86238,4.17829,3,4,1.429,FC Rostov,0.3222,0.3139,0.3639,h,0.826853,0.814127,0.826853,0.814127,5,8,1,1,1.2842,d,2015-07-18 22:00:00,0,1,0,1,0.0127259999999999,241,22,172,17,0,0,1,1,0.0127259999999999,0.826853,0.814127,0.826853,0.814127,1,1,1.2842,0,0,1,1,0.0127259999999999,0.826853,0.814127,0.826853,0.814127,1,1,1.2842,FK Akhmat,0.3095,0.3557,0.3348
2,a,0.749518,0.660127,0.749518,0.660127,3,3,1,1,1.4245,d,2015-07-31 21:00:00,0,1,0,1,0.089391,255,23,126,21,0,1,2,2,-2.226519,2.611898,4.838417,2.611898,4.838417,4,5,2.8535,0,1,2,2,-2.226519,2.611898,4.838417,2.611898,4.838417,4,5,2.8535,Kuban Krasnodar,0.3439,0.3928,0.2633,a,0.130666,1.05145,0.130666,1.05145,0,10,1,1,0.4502,d,2015-07-25 22:00:00,0,1,0,1,-0.920784,290,30,124,23,0,1,1,1,-2.011074,0.565626,3.33098,0.565626,2.5767,1,3,0.6645,0,1,1,1,-2.011074,0.565626,3.33098,0.565626,2.5767,1,3,0.6645,FK Akhmat,0.0407,0.3281,0.6312
3,h,0.353812,2.85495,0.353812,2.85495,1,7,0,1,0.1106,l,2015-08-09 17:00:00,0,0,1,0,-2.501138,257,19,111,19,0,2,2,2,-4.727657,2.96571,7.693367,2.96571,7.693367,4,6,2.9641,0,2,2,2,-4.727657,2.96571,7.693367,2.96571,7.693367,4,6,2.9641,Zenit St. Petersburg,0.0152,0.065,0.9198,h,3.28239,0.477496,3.28239,0.477496,9,4,3,0,2.8926000000000003,w,2015-08-01 18:00:00,1,0,0,3,2.804894,265,38,261,29,3,0,0,9,3.943893,8.019309999999999,2.566867,6.510759999999999,2.566867,9,2,7.5769,3,0,0,9,3.943893,8.019309999999999,2.566867,6.510759999999999,2.566867,9,2,7.5769,FK Akhmat,0.9507,0.0405,0.0088
4,a,0.677223,1.38137,0.677223,1.38137,2,10,1,0,0.6914,w,2015-08-17 20:00:00,1,0,0,3,-0.704147,189,27,94,21,1,2,2,5,-5.431804,3.642933,9.074737,3.642933,9.074737,5,6,3.6555,1,2,2,5,-5.431804,3.642933,9.074737,3.642933,9.074737,5,6,3.6555,Mordovya,0.1336,0.2906,0.5758,a,0.416573,1.09587,0.416573,1.09587,5,12,0,0,0.7402,d,2015-08-07 20:00:00,0,1,0,1,-0.6792969999999998,257,24,112,24,0,1,3,3,-1.3236269999999997,3.700041,5.777939999999999,2.945771,4.269398,3,4,3.6759999999999993,0,1,3,3,-1.3236269999999997,3.700041,5.777939999999999,2.945771,4.269398,3,4,3.6759999999999993,FK Akhmat,0.1375,0.3277,0.5348
5,h,0.181509,1.63277,0.181509,1.63277,2,12,0,3,0.2315,l,2015-08-23 14:30:00,0,0,1,0,-1.451261,252,24,136,18,1,3,2,5,-6.883065,3.824442,10.707507,3.824442,10.707507,5,9,3.887,1,3,1,4,-4.633101,2.9572160000000003,7.590317,2.9572160000000003,7.590317,3,7,3.7385,Lokomotiv Moscow,0.0251,0.1562,0.8187,h,0.579886,0.607677,0.579886,0.607677,6,3,0,0,1.2384,d,2015-08-16 14:30:00,0,1,0,1,-0.027791,200,29,290,22,3,0,2,11,1.7191789999999996,6.578816,4.105365,5.824544,4.105365,8,3,8.4454,3,0,2,11,1.7191789999999996,6.578816,4.105365,5.824544,4.105365,8,3,8.4454,FK Akhmat,0.2736,0.4176,0.3088
6,a,0.477545,1.9579,0.477545,1.20362,5,13,0,2,0.3095,l,2015-08-29 15:00:00,0,0,1,0,-0.7260749999999999,254,28,138,26,1,4,2,5,-7.60914,4.301987,12.665407000000002,4.301987,11.911127,5,11,4.1965,1,3,1,4,-5.293229999999999,2.439607,8.487117,2.439607,7.732837,2,7,2.7675,Dinamo Moscow,0.0496,0.1607,0.7897,a,1.14736,0.485241,1.14736,0.485241,4,11,1,1,2.1941,d,2015-08-21 21:00:00,0,1,0,1,0.6621189999999999,305,16,154,24,2,1,3,9,-1.084728,6.693822,8.532831,5.185279,6.2700070000000006,9,8,7.0425,2,0,3,9,-0.2730289999999999,5.857521,6.1305510000000005,4.348978,4.622007000000001,8,6,6.700700000000001,FK Akhmat,0.6388,0.2777,0.0835
7,h,0.428044,0.490608,0.428044,0.490608,3,6,0,1,1.1925,l,2015-09-14 17:00:00,0,0,1,0,-0.062564,190,38,147,28,1,5,2,5,-7.671704,4.730031,13.156015000000002,4.730031,12.401735,5,12,5.389,1,4,0,3,-5.445185,2.118133,8.317598,2.118133,7.563318,1,7,2.5355,Ural,0.235,0.4875,0.2775,h,1.92437,1.60035,1.92437,1.60035,7,11,3,3,1.6092,d,2015-08-28 18:00:00,0,1,0,1,0.32402,230,30,259,23,1,3,3,6,0.3798939999999997,9.54573,9.920106,8.79145,8.411556000000001,9,13,9.66,0,2,3,3,-0.3830960000000001,6.01313,7.150505999999999,6.01313,6.396226,6,9,6.389899999999999,FK Akhmat,0.4543,0.2463,0.2994
8,a,1.4181,2.39831,0.66383,1.64403,5,12,1,4,0.7075,l,2015-09-19 17:00:00,0,0,1,0,-0.9802,296,24,179,16,1,6,2,5,-8.651904,6.148131,15.554325000000002,5.393861,14.045765,6,16,6.096500000000001,1,4,0,3,-3.924247,3.182421,7.860958,2.428151,6.352398,2,10,3.1324,FK Akhmat,0.1627,0.2194,0.6179,a,2.09936,0.805453,2.09936,0.805453,8,6,2,0,2.3759999999999994,w,2015-09-13 20:00:00,1,0,0,3,1.293907,139,18,195,33,1,1,6,9,-0.8819800000000004,8.231570999999999,9.113551,8.231570999999999,9.113551,8,9,10.9735,1,0,4,7,1.014856,5.888497999999999,4.873641999999999,5.888497999999999,4.873641999999999,6,4,7.3248,Anzhi Makhachkala,0.7343,0.1731,0.0926
9,a,0.18675,1.98135,0.18675,1.98135,1,14,1,1,0.1997,d,2015-09-26 17:30:00,0,1,0,1,-1.7946,175,24,110,23,1,6,3,6,-10.446504,6.334881,17.535675,5.580611,16.027115000000002,7,17,6.296200000000001,0,4,1,1,-5.0147,2.691948,8.460937999999999,1.937678,6.952378,2,11,2.6407,Anzhi Makhachkala,0.0209,0.137,0.8421,a,1.06202,0.806301,1.06202,0.806301,6,2,0,1,1.5339,l,2015-09-18 20:00:00,0,0,1,0,0.2557189999999999,214,26,277,17,1,6,2,5,0.2022959999999999,11.91144,11.709143,10.402886,10.20059,7,14,12.824800000000003,1,2,2,5,-0.3308919999999999,6.279413999999999,6.6103060000000005,5.525134000000001,5.856026000000001,4,6,6.980300000000001,FC Rostov,0.396,0.3459,0.2581
10,h,0.326268,1.45252,0.326268,1.45252,3,6,1,1,0.4111,d,2015-10-04 17:00:00,0,1,0,1,-1.126252,386,20,114,33,1,6,4,7,-11.572756000000002,6.661149,18.988195,5.906879,17.479635000000002,8,18,6.707300000000001,0,3,2,2,-4.689691,2.836707,8.280688,2.082437,6.772128,3,9,2.8203,FC Krasnodar,0.061,0.2281,0.7109,h,0.636757,0.956022,0.636757,0.956022,5,4,1,1,1.0095,d,2015-09-27 17:30:00,0,1,0,1,-0.319265,192,17,230,21,3,3,4,13,0.2950290000000002,8.993241999999999,8.698213,8.993241999999999,8.698213,11,8,13.5714,1,2,2,5,-0.329477,4.9740020000000005,5.303479,4.9740020000000005,5.303479,7,6,6.209100000000001,FK Akhmat,0.2207,0.3474,0.4319
11,a,0.931145,1.18133,0.931145,1.18133,3,8,1,3,1.1606,l,2015-10-17 20:00:00,0,0,1,0,-0.250185,200,23,142,31,1,7,4,7,-11.822941000000002,7.592294,20.169525,6.838024,18.660965,9,21,7.867900000000001,0,3,2,2,-4.213801,3.2903069999999994,7.504117999999999,2.536037,6.749838,4,10,3.6714,Rubin Kazan,0.2836,0.3098,0.4066,a,1.86713,1.94492,1.86713,1.94492,10,7,1,2,1.3114,l,2015-10-04 17:00:00,0,0,1,0,-0.07779,179,29,202,14,2,8,1,7,-8.169901,11.649470999999998,21.327922,11.649470999999998,19.819372,8,17,9.929299999999998,1,3,1,4,-1.3169680000000004,5.947754,8.019002,5.947754,7.264722,6,7,5.787100000000001,FK Akhmat,0.3564,0.2422,0.4014
12,h,1.84301,2.0217,1.84301,2.0217,8,7,1,0,1.2218,w,2015-10-23 18:00:00,1,0,0,3,-0.17869,215,31,218,26,2,7,4,10,-12.001631,9.435304,22.191225,8.681034,20.682665,10,21,9.0897,1,2,2,5,-4.329927,4.705273,9.03521,3.951003,8.28093,5,9,3.7007,Krylya Sovetov Samara,0.3225,0.2543,0.4232,h,0.676669,0.403338,0.676669,0.403338,6,6,0,2,1.567,l,2015-10-18 17:00:00,0,0,1,0,0.273331,308,24,185,19,4,5,3,15,-0.708188,10.880917,13.851919,10.880917,11.589105,10,12,14.3983,1,2,2,5,-0.3566610000000001,3.831238,4.187899,3.831238,4.187899,2,5,6.8759,FK Akhmat,0.3767,0.4369,0.1864
13,a,0.209956,2.99903,0.209956,2.24475,1,17,0,2,0.0398,l,2015-10-31 15:30:00,0,0,1,0,-2.034794,363,20,112,34,2,8,4,10,-14.036425,9.64526,25.190255,8.89099,22.927415,10,23,9.1295,1,2,2,5,-5.384521,3.497129,9.63593,3.497129,8.88165,4,7,3.033,CSKA Moscow,0.003,0.0308,0.9662,a,1.11688,0.462358,1.11688,0.462358,8,2,0,0,2.0964,d,2015-10-25 20:00:00,0,1,0,1,0.654522,257,36,264,23,10,0,3,33,8.855416,22.65962,13.049945,18.888256,10.03284,25,11,25.6623,3,0,2,11,2.738724,8.53133,5.792614,7.777061000000001,5.038337,12,7,9.1183,FK Akhmat,0.5858,0.339,0.0752
14,h,1.03753,0.775718,1.03753,0.775718,2,6,2,1,1.5966,w,2015-11-07 17:15:00,1,0,0,3,0.261812,146,21,150,22,3,8,4,13,-13.774613,10.68279,25.965973,9.92852,23.703133,12,24,10.7261,2,2,1,7,-3.328109,4.3479090000000005,8.430297999999999,4.3479090000000005,7.676018,5,7,4.4299,Amkar,0.4158,0.3492,0.235,h,0.949338,0.479875,0.949338,0.479875,5,10,1,0,1.8662,w,2015-11-02 18:00:00,1,0,0,3,0.469463,335,24,130,31,4,6,4,16,-7.785889999999999,11.069164,20.363605,9.560623,17.346513,12,18,12.714299999999998,2,2,1,7,-2.0662159999999994,5.2254190000000005,8.045905,4.471148,6.537364,5,8,5.4183,FK Akhmat,0.5063,0.3473,0.1464
15,a,0.896607,1.08474,0.896607,0.330468,4,3,1,1,1.088,d,2015-11-23 20:00:00,0,1,0,1,0.5661390000000001,212,20,147,17,3,8,5,14,-13.208474,11.579397,27.050713,10.825127,24.033601,13,25,11.8141,2,2,1,7,-1.6357179999999998,4.918248,8.062518,4.918248,6.553966,5,7,5.106800000000001,FC Rostov,0.2449,0.3533,0.4018,a,0.534924,0.720972,0.534924,0.720972,6,6,2,1,1.1279,w,2015-11-07 15:00:00,1,0,0,3,-0.186048,327,20,259,18,9,3,3,30,2.8693429999999998,18.070433,13.692542999999995,16.561886,13.692542999999995,20,13,22.3602,4,1,0,12,-0.323464,4.282374000000001,4.605838,4.282374000000001,4.605838,8,6,6.5674,Ural,0.2363,0.419,0.3447
16,h,2.20311,1.61979,2.20311,0.865512,7,4,2,2,1.8583,d,2015-11-28 13:30:00,0,1,0,1,1.3375980000000005,145,19,178,25,3,8,6,15,-11.870876,13.782507,28.670503000000004,13.028237,24.899113,15,27,13.6724,2,1,2,8,-0.0479349999999993,6.190213,8.500978,6.190213,6.238148,6,6,5.8045,Kuban Krasnodar,0.5283,0.2734,0.1983,h,0.679094,1.43046,0.679094,1.43046,6,6,2,2,0.569,d,2015-11-22 18:00:00,0,1,0,1,-0.7513660000000001,284,30,169,18,2,6,8,14,-5.549028,16.727508999999998,24.539364,15.973236000000002,21.522264000000003,21,23,15.581000000000005,1,1,3,6,-3.672948,5.085742000000001,9.51296,5.085742000000001,8.75869,12,9,3.3607,FK Akhmat,0.0986,0.2732,0.6282
17,a,0.428548,3.40755,0.428548,1.899,1,17,1,1,0.0414999999999999,d,2015-12-03 20:00:00,0,1,0,1,-1.470452,328,14,86,27,3,8,7,16,-13.341328,14.211055,32.078053000000004,13.456785,26.798113,16,28,13.7139,1,1,3,6,-1.3396969999999997,4.7757510000000005,9.886828,4.7757510000000005,6.115448,6,7,4.6242,Zenit St. Petersburg,0.0048,0.0271,0.9681,a,1.08147,2.73194,1.08147,2.73194,3,3,1,4,0.3349999999999999,l,2015-11-28 18:30:00,0,0,1,0,-1.65047,268,28,240,25,8,4,5,29,12.97157,31.565449999999995,15.576782,27.794075,14.822505,33,22,34.579699999999995,2,2,1,7,3.3671710000000004,8.29836,4.931189,8.29836,4.931189,9,7,9.712500000000002,FK Akhmat,0.0635,0.1445,0.792
