,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.43496,2.27953,0.43496,1.52525,1,5,0,2,0.2143,l,2015-07-20 21:00:00,0,0,1,0,-1.09029,194,32,182,23,0,1,0,0,-1.09029,0.43496,2.27953,0.43496,1.52525,0,2,0.2143,0,1,0,0,-1.09029,0.43496,2.27953,0.43496,1.52525,0,2,0.2143,Ural,0.0322,0.1177,0.8501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.130666,1.05145,0.130666,1.05145,0,10,1,1,0.4502,d,2015-07-25 22:00:00,0,1,0,1,-0.920784,290,30,124,23,0,1,1,1,-2.011074,0.565626,3.33098,0.565626,2.5767,1,3,0.6645,0,1,1,1,-2.011074,0.565626,3.33098,0.565626,2.5767,1,3,0.6645,FK Akhmat,0.0407,0.3281,0.6312,a,0.814127,0.826853,0.814127,0.826853,8,5,1,1,1.3601,d,2015-07-18 22:00:00,0,1,0,1,-0.0127259999999999,172,17,241,22,0,0,1,1,-0.0127259999999999,0.814127,0.826853,0.814127,0.826853,1,1,1.3601,0,0,1,1,-0.0127259999999999,0.814127,0.826853,0.814127,0.826853,1,1,1.3601,FC Rostov,0.3348,0.3557,0.3095
2,h,0.660127,0.749518,0.660127,0.749518,3,3,1,1,1.1827,d,2015-07-31 21:00:00,0,1,0,1,-0.089391,126,21,255,23,0,1,2,2,-2.100465,1.225753,4.080498,1.225753,3.326218,2,4,1.8472,0,1,2,2,-2.100465,1.225753,4.080498,1.225753,3.326218,2,4,1.8472,FC Ufa,0.2633,0.3928,0.3439,h,0.995154,1.0611,0.995154,1.0611,2,9,1,2,1.2805,l,2015-07-25 17:00:00,0,0,1,0,-0.0659459999999999,186,21,169,22,0,1,1,1,-2.31591,1.86238,4.17829,1.86238,4.17829,3,4,1.429,0,1,1,1,-2.31591,1.86238,4.17829,1.86238,4.17829,3,4,1.429,FC Rostov,0.3222,0.3139,0.3639
3,a,0.524728,0.838512,0.524728,0.838512,9,5,1,1,0.9491,d,2015-08-10 21:15:00,0,1,0,1,-0.313784,272,30,164,24,0,1,3,3,-2.414249,1.7504810000000002,4.919009999999999,1.7504810000000002,4.16473,3,5,2.7963,0,1,3,3,-2.414249,1.7504810000000002,4.919009999999999,1.7504810000000002,4.16473,3,5,2.7963,FC Krasnodar,0.1941,0.3668,0.4391,a,1.07707,1.05419,1.07707,1.05419,10,2,0,0,1.36,d,2015-08-02 21:00:00,0,1,0,1,0.02288,170,22,375,20,1,1,1,4,0.158024,2.46137,2.303346,2.46137,2.303346,1,1,4.1904,1,1,1,4,0.158024,2.46137,2.303346,2.46137,2.303346,1,1,4.1904,FC Rostov,0.3489,0.3133,0.3378
4,h,1.09512,2.53373,1.09512,2.53373,9,10,0,1,0.4812,l,2015-08-15 22:30:00,0,0,1,0,-1.4386099999999995,184,21,282,22,0,2,3,3,-3.852859,2.8456010000000003,7.452739999999999,2.8456010000000003,6.698459999999999,3,6,3.2775,0,2,3,3,-3.852859,2.8456010000000003,7.452739999999999,2.8456010000000003,6.698459999999999,3,6,3.2775,Rubin Kazan,0.1041,0.1689,0.727,h,0.374575,3.97379,0.374575,3.97379,2,5,0,3,0.0167,l,2015-08-10 19:00:00,0,0,1,0,-3.599215,197,29,238,38,0,4,0,0,-7.455261,2.394559,10.60409,2.394559,9.84982,0,7,1.0615,0,4,0,0,-7.455261,2.394559,10.60409,2.394559,9.84982,0,7,1.0615,FC Rostov,0.0022,0.0101,0.9877
5,a,0.528926,2.15899,0.528926,2.15899,11,6,0,3,0.2065,l,2015-08-24 20:00:00,0,0,1,0,-1.6300640000000002,145,26,279,18,0,3,3,3,-5.482923,3.3745270000000005,9.611729999999998,3.3745270000000005,8.85745,3,9,3.484,0,2,3,3,-4.392633,2.9395670000000003,7.3322,2.9395670000000003,7.3322,3,7,3.2697,Krylya Sovetov Samara,0.0274,0.1243,0.8483,a,1.48296,1.29575,1.48296,0.541476,8,9,1,1,1.5129,d,2015-08-16 21:00:00,0,1,0,1,0.941484,249,22,218,22,1,3,1,4,-2.053811,3.738679,7.301034,3.738679,5.79249,2,6,4.0481,1,3,1,4,-2.053811,3.738679,7.301034,3.738679,5.79249,2,6,4.0481,FC Rostov,0.401,0.3099,0.2891
6,h,1.2331,1.61607,0.478827,0.861793,4,6,0,1,0.9528,l,2015-08-30 21:00:00,0,0,1,0,-0.382966,325,15,139,18,0,4,3,3,-5.865888999999999,4.607627000000001,11.227799999999998,3.853354,9.719243,3,10,4.4368,0,3,2,2,-3.854815,4.042001000000001,7.89682,3.2877280000000004,7.142543,2,7,3.7723,CSKA Moscow,0.2111,0.3195,0.4694,h,1.49005,0.662159,1.49005,0.662159,13,2,2,1,2.0679,w,2015-08-22 19:00:00,1,0,0,3,0.827891,242,24,311,20,6,0,0,18,5.310338000000001,10.84526,4.780661,9.336719,4.026381,10,2,13.0873,5,0,0,15,3.60845,9.02072,4.658009,7.512179,3.903729,9,2,10.4119,FC Rostov,0.601,0.2649,0.1341
7,a,1.04268,0.693941,1.04268,0.693941,4,1,1,1,1.7239,d,2015-09-12 17:30:00,0,1,0,1,0.348739,178,28,176,29,0,4,4,4,-5.517149999999999,5.650307000000001,11.921741,4.896034,10.413184,4,11,6.1607,0,3,2,2,-3.416685,4.4245540000000005,7.841242999999999,3.670281,7.086965999999999,2,7,4.3135,Amkar,0.4641,0.3316,0.2043,a,0.110455,1.92461,0.110455,1.92461,0,6,0,1,0.1502,l,2015-08-28 21:00:00,0,0,1,0,-1.814155,292,30,137,32,2,4,1,7,-4.758936,4.329053,9.08799,3.574783,8.333719,5,8,5.953999999999999,1,3,1,4,-4.335433,2.216487,7.306191,2.216487,6.551920000000001,3,7,3.1268,FC Rostov,0.0111,0.1169,0.872
8,h,2.63784,1.13929,2.63784,1.13929,9,5,3,0,2.3995,w,2015-09-19 20:00:00,1,0,0,3,1.4985500000000005,203,34,134,22,1,4,4,7,-4.018599999999999,8.288147,13.061031,7.533874000000001,11.552474,7,11,8.5602,1,3,1,4,-1.6043509999999994,6.537666,8.142021,5.783393,7.387744,4,6,5.7639,Spartak Moscow,0.7471,0.1582,0.0947,h,0.584594,0.582656,0.584594,0.582656,6,4,1,0,1.2834,w,2015-09-13 14:30:00,1,0,0,3,0.0019379999999999,243,26,223,23,5,2,1,16,6.729572999999999,15.298547,7.060414,13.789987,7.060414,12,7,16.613500000000002,3,2,0,9,2.0370920000000003,8.239006999999999,4.693355,6.730447000000001,4.693355,8,5,9.4206,FC Rostov,0.2862,0.4248,0.289
9,a,1.0957,1.60065,1.0957,0.846377,6,5,1,2,0.9192,l,2015-09-28 20:00:00,0,0,1,0,0.2493229999999998,122,22,165,22,1,5,4,7,-3.7692769999999993,9.383847,14.661681,8.629574000000002,12.398851,8,13,9.4794,1,3,1,4,0.0835820000000001,6.538246,7.208940999999999,5.7839730000000005,5.700391000000001,5,7,6.2019,FC Rostov,0.2174,0.267,0.5156,h,0.806301,1.06202,0.806301,1.06202,2,6,1,0,1.1202,w,2015-09-18 20:00:00,1,0,0,3,-0.2557189999999999,277,17,214,26,4,2,3,15,3.44213,12.187409,7.991004999999999,11.433135,7.991004999999999,10,6,13.978999999999996,2,2,1,7,-0.2128770000000001,5.271476,4.730079,4.517202,4.730079,4,4,6.9893,Anzhi Makhachkala,0.2581,0.3459,0.396
