,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.12248,1.18282,1.12248,0.428548,3,5,0,1,1.251,l,2015-07-19 19:00:00,0,0,1,0,0.693932,183,15,160,29,0,1,0,0,0.693932,1.12248,1.18282,1.12248,0.428548,0,1,1.251,0,1,0,0,0.693932,1.12248,1.18282,1.12248,0.428548,0,1,1.251,Lokomotiv Moscow,0.3125,0.3135,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.77153,1.93743,1.01726,1.18316,7,10,2,2,1.2438,d,2015-07-25 19:30:00,0,1,0,1,-0.1658999999999999,273,22,124,31,0,1,1,1,0.5280320000000001,2.89401,3.12025,2.13974,1.611708,2,3,2.4948,0,1,1,1,0.5280320000000001,2.89401,3.12025,2.13974,1.611708,2,3,2.4948,Dinamo Moscow,0.3186,0.288,0.3934,a,0.836301,2.40228,0.836301,1.648,3,12,1,2,0.3418,l,2015-07-19 14:30:00,0,0,1,0,-0.811699,248,16,175,36,0,1,0,0,-0.811699,0.836301,2.40228,0.836301,1.648,1,2,0.3418,0,1,0,0,-0.811699,0.836301,2.40228,0.836301,1.648,1,2,0.3418,Zenit St. Petersburg,0.0607,0.1597,0.7796
2,h,0.389458,1.56182,0.389458,1.56182,7,4,1,1,0.441,d,2015-08-02 18:00:00,0,1,0,1,-1.172362,181,29,146,25,0,1,2,2,-0.6443299999999998,3.283468,4.68207,2.529198,3.173528,3,4,2.9357999999999995,0,1,2,2,-0.6443299999999998,3.283468,4.68207,2.529198,3.173528,3,4,2.9357999999999995,Ural,0.0753,0.2151,0.7096,h,1.25307,2.33464,1.25307,1.58037,6,8,1,4,0.6021000000000001,l,2015-07-26 14:30:00,0,0,1,0,-0.3273000000000001,246,42,163,24,1,1,0,3,0.7629899999999998,3.5325999999999995,2.7696,2.77832,2.01533,3,4,3.2701,1,1,0,3,0.7629899999999998,3.5325999999999995,2.7696,2.77832,2.01533,3,4,3.2701,Zenit St. Petersburg,0.13,0.2121,0.6579
3,a,0.416573,1.09587,0.416573,1.09587,5,12,0,0,0.7402,d,2015-08-07 20:00:00,0,1,0,1,-0.6792969999999998,257,24,112,24,0,1,3,3,-1.3236269999999997,3.700041,5.777939999999999,2.945771,4.269398,3,4,3.6759999999999993,0,1,3,3,-1.3236269999999997,3.700041,5.777939999999999,2.945771,4.269398,3,4,3.6759999999999993,FK Akhmat,0.1375,0.3277,0.5348,a,0.477496,3.28239,0.477496,3.28239,4,9,0,3,0.0669,l,2015-08-01 18:00:00,0,0,1,0,-2.804894,261,29,265,38,0,1,2,2,-1.896836,2.343073,4.239909,2.343073,4.239909,2,5,3.6487,0,1,2,2,-1.896836,2.343073,4.239909,2.343073,4.239909,2,5,3.6487,Zenit St. Petersburg,0.0088,0.0405,0.9507
4,h,1.38137,0.677223,1.38137,0.677223,10,2,0,1,2.018,l,2015-08-17 20:00:00,0,0,1,0,0.704147,94,21,189,27,0,2,3,3,-0.6194799999999997,5.081410999999999,6.455162999999999,4.327140999999999,4.946621,3,5,5.693999999999999,0,2,3,3,-0.6194799999999997,5.081410999999999,6.455162999999999,4.327140999999999,4.946621,3,5,5.693999999999999,FC Ufa,0.5758,0.2906,0.1336,h,0.353812,2.85495,0.353812,2.85495,1,7,0,1,0.1106,l,2015-08-09 17:00:00,0,0,1,0,-2.501138,257,19,111,19,0,2,2,2,-4.727657,2.96571,7.693367,2.96571,7.693367,4,6,2.9641,0,2,2,2,-4.727657,2.96571,7.693367,2.96571,7.693367,4,6,2.9641,Zenit St. Petersburg,0.0152,0.065,0.9198
5,a,0.337717,1.55153,0.337717,1.55153,6,11,0,0,0.442,d,2015-08-23 21:00:00,0,1,0,1,-1.213813,247,27,123,11,0,2,4,4,-1.833293,5.419127999999999,8.006692999999999,4.664857999999999,6.498151,3,5,6.135999999999999,0,1,4,4,-2.527225,4.296648,6.823872999999999,3.542378,6.069602999999999,3,4,4.885,FC Krasnodar,0.0684,0.2368,0.6948,a,0.719358,0.56666,0.719358,0.56666,1,8,2,0,1.4878,w,2015-08-15 17:30:00,1,0,0,3,0.152698,298,22,160,39,2,1,2,8,0.6245060000000001,4.01924,3.394734,4.01924,3.394734,4,2,7.3623,2,1,2,8,0.6245060000000001,4.01924,3.394734,4.01924,3.394734,4,2,7.3623,Zenit St. Petersburg,0.3635,0.3973,0.2392
6,h,3.16189,0.529749,2.40761,0.529749,10,4,2,1,2.8295,w,2015-08-30 18:00:00,1,0,0,3,1.877861,179,32,165,22,1,2,4,7,0.0445680000000001,8.581017999999998,8.536442,7.072467999999999,7.0279,5,6,8.965499999999999,1,1,3,6,-0.4834639999999999,5.6870080000000005,5.416192,4.932728,5.416192,3,3,6.4707,Rubin Kazan,0.9229,0.0608,0.0163,h,0.773428,1.60971,0.773428,1.60971,2,12,1,3,0.7308000000000001,l,2015-08-24 20:00:00,0,0,1,0,-0.836282,307,18,247,18,1,5,0,3,-6.852933,5.701717,13.30892,5.701717,12.55465,2,10,4.1422,1,4,0,3,-5.151045,5.579065,11.48438,5.579065,10.730109999999998,2,9,3.9556,Zenit St. Petersburg,0.1584,0.2556,0.586
7,a,0.44895,1.05967,0.44895,1.05967,5,4,0,1,0.7492,l,2015-09-14 19:30:00,0,0,1,0,-0.6107199999999999,236,25,231,25,1,3,4,7,-0.5661519999999998,9.029967999999998,9.596112,7.521417999999999,8.08757,5,7,9.7147,1,2,2,5,0.0781780000000003,5.7465,4.914041999999999,4.99222,4.914041999999999,2,3,6.7789,Krylya Sovetov Samara,0.1408,0.3268,0.5324,a,1.15201,1.83406,1.15201,1.07979,2,11,3,1,0.8050999999999999,w,2015-08-29 18:00:00,1,0,0,3,0.0722199999999999,292,16,148,29,3,3,1,10,-0.3515269999999999,7.049679,9.66402,7.049679,7.401206,8,7,7.522399999999999,2,2,1,7,1.863124,5.86636,5.51178,5.86636,4.003236,7,5,6.8085,Zenit St. Petersburg,0.1791,0.2678,0.5531
8,h,2.13964,1.91846,2.13964,1.91846,13,9,4,6,1.5760999999999998,l,2015-09-20 14:30:00,0,0,1,0,0.2211799999999999,324,16,202,21,1,4,4,7,-0.3449719999999998,11.169607999999998,11.514572,9.661058,10.00603,9,13,11.2908,1,3,1,4,0.978655,7.469567,5.736632,6.715287,5.736632,6,9,7.614800000000001,CSKA Moscow,0.4407,0.254,0.3053,h,1.66696,1.24357,0.912683,0.489295,3,2,2,2,1.729,d,2015-09-12 15:00:00,0,1,0,1,0.423388,307,23,220,24,7,0,1,22,6.1166920000000005,14.12829,7.257331000000001,11.111195,4.994503,13,4,16.544,4,0,1,13,2.5957860000000004,8.33796,5.742177,6.075135,3.479349,9,4,9.186,Zenit St. Petersburg,0.469,0.322,0.209
9,a,1.27513,1.09586,1.27513,0.341589,3,0,1,2,1.4812,l,2015-09-28 17:30:00,0,0,1,0,0.9335410000000002,245,13,155,15,1,5,4,7,0.5885690000000003,12.444738,12.610432,10.936188,10.347619,10,15,12.771999999999998,1,3,1,4,1.2080490000000002,7.363327,6.1552690000000005,6.609047,5.400998,7,10,7.077999999999999,Amkar,0.3827,0.3331,0.2842,a,0.820751,2.18703,0.820751,1.43275,3,4,1,1,0.3974999999999999,d,2015-09-20 18:00:00,0,1,0,1,-0.611999,316,23,175,20,2,4,3,9,-5.719674,5.843745,12.3177,5.089475,10.809149,7,10,7.2959999999999985,0,2,3,3,-5.15005,2.60122,8.50555,2.60122,7.75127,4,7,2.3437,Zenit St. Petersburg,0.0704,0.1863,0.7433
