,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.158377,1.98579,0.158377,1.98579,2,12,0,3,0.1501,l,2016-08-01 20:30:00,0,0,1,0,-1.827413,344,17,134,27,0,1,0,0,-1.827413,0.158377,1.98579,0.158377,1.98579,0,3,0.1501,0,1,0,0,-1.827413,0.158377,1.98579,0.158377,1.98579,0,3,0.1501,FC Krasnodar,0.0142,0.1075,0.8783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.499815,2.63734,0.499815,1.12879,5,1,2,2,0.1316999999999999,d,2016-08-07 20:00:00,0,1,0,1,-0.628975,311,27,185,30,0,1,1,1,-2.456388,0.658192,4.62313,0.658192,3.11458,2,5,0.2818,0,1,1,1,-2.456388,0.658192,4.62313,0.658192,3.11458,2,5,0.2818,Lokomotiv Moscow,0.0184,0.0765,0.9051,a,0.15657,1.11666,0.15657,1.11666,0,7,0,0,0.4594,d,2016-07-30 18:30:00,0,1,0,1,-0.96009,338,19,157,23,0,0,1,1,-0.96009,0.15657,1.11666,0.15657,1.11666,0,0,0.4594,0,0,1,1,-0.96009,0.15657,1.11666,0.15657,1.11666,0,0,0.4594,Zenit St. Petersburg,0.0461,0.3211,0.6328
2,h,0.523871,0.444804,0.523871,0.444804,5,6,1,0,1.3588,w,2016-08-14 16:30:00,1,0,0,3,0.079067,172,18,137,20,1,1,1,4,-2.377321,1.182063,5.067933999999999,1.182063,3.559384,3,5,1.6406,1,1,1,4,-2.377321,1.182063,5.067933999999999,1.182063,3.559384,3,5,1.6406,FC Ufa,0.2951,0.4735,0.2314,h,0.377741,1.00697,0.377741,1.00697,2,10,0,0,0.6900999999999999,d,2016-08-06 18:00:00,0,1,0,1,-0.6292289999999999,248,19,60,17,0,1,1,1,-0.901613,1.179947,2.08156,1.179947,2.08156,0,2,1.7453999999999998,0,1,1,1,-0.901613,1.179947,2.08156,1.179947,2.08156,0,2,1.7453999999999998,Zenit St. Petersburg,0.1201,0.3298,0.5501
3,a,0.824801,1.50381,0.824801,1.50381,1,7,0,3,0.7849999999999999,l,2016-08-20 22:30:00,0,0,1,0,-0.6790090000000001,181,28,216,18,1,2,1,4,-3.0563300000000004,2.006864,6.571743999999999,2.006864,5.063194,3,8,2.4256,1,2,1,4,-3.0563300000000004,2.006864,6.571743999999999,2.006864,5.063194,3,8,2.4256,FC Rostov,0.1728,0.2666,0.5606,a,1.63295,1.52554,1.63295,0.771269,3,14,2,3,1.4803,l,2016-08-12 20:30:00,0,0,1,0,0.8616809999999999,253,11,65,21,1,1,1,4,1.653269,3.083592,2.184594,3.083592,1.430323,3,3,4.8736,1,1,1,4,1.653269,3.083592,2.184594,3.083592,1.430323,3,3,4.8736,Zenit St. Petersburg,0.3776,0.3475,0.2749
4,h,0.410996,0.641557,0.410996,0.641557,4,3,0,1,1.0717,l,2016-08-27 16:30:00,0,0,1,0,-0.230561,225,16,153,21,1,3,1,4,-3.2868910000000007,2.41786,7.213300999999999,2.41786,5.704751,3,9,3.4973,1,3,1,4,-3.2868910000000007,2.41786,7.213300999999999,2.41786,5.704751,3,9,3.4973,CSKA Moscow,0.2116,0.4369,0.3515,a,0.960765,0.775779,0.960765,0.775779,5,5,1,1,1.5271,d,2016-08-20 18:00:00,0,1,0,1,0.1849859999999999,240,25,166,21,2,0,2,8,2.0035920000000003,3.817254,1.813662,3.817254,1.813662,3,1,7.190799999999999,2,0,2,8,2.0035920000000003,3.817254,1.813662,3.817254,1.813662,3,1,7.190799999999999,Zenit St. Petersburg,0.3971,0.3358,0.2671
5,a,0.487281,0.319588,0.487281,0.319588,7,5,0,1,1.4093,l,2016-09-10 16:30:00,0,0,1,0,0.167693,181,25,185,27,1,4,1,4,-3.119198000000001,2.9051409999999995,7.532888999999999,2.9051409999999995,6.024339,3,10,4.9066,1,3,1,4,-1.291785,2.746764,5.547098999999999,2.746764,4.038549,3,7,4.7565,Amkar,0.2976,0.5165,0.1859,a,0.066087,1.4381,0.066087,1.4381,1,10,0,3,0.2484,l,2016-08-27 19:00:00,0,0,1,0,-1.372013,320,20,180,24,2,1,2,8,-0.3198107000000001,3.5288563,3.075927,2.7561163,3.075927,3,3,6.6995000000000005,2,1,2,8,-0.3198107000000001,3.5288563,3.075927,2.7561163,3.075927,3,3,6.6995000000000005,Zenit St. Petersburg,0.013,0.2094,0.7776
6,h,0.413294,0.358811,0.413294,0.358811,3,5,1,0,1.2996,w,2016-09-17 15:00:00,1,0,0,3,0.054483,285,18,139,20,2,4,1,7,-3.064715000000001,3.318435,7.891699999999999,3.318435,6.38315,4,10,6.2062,2,3,0,6,-0.6083270000000001,2.660243,3.2685700000000004,2.660243,3.2685700000000004,2,5,5.9244,Arsenal Tula,0.2582,0.525,0.2168,h,0.474489,2.28845,0.474489,1.53418,3,6,0,5,0.2222,l,2016-09-11 20:00:00,0,0,1,0,-1.0596910000000002,301,10,230,14,1,3,2,5,-2.960713,4.646914,7.607631,3.892648,6.8533610000000005,2,11,6.1904,1,2,2,5,-1.795675,3.845402,5.641081,3.091136,4.886811,2,7,5.645900000000001,Zenit St. Petersburg,0.0347,0.1181,0.8472
7,a,0.732446,1.36894,0.732446,1.36894,7,6,1,2,0.8131,l,2016-09-26 20:30:00,0,0,1,0,-0.636494,157,23,177,26,2,5,1,7,-3.701209000000001,4.050881,9.26064,4.050881,7.75209,5,12,7.0193,1,4,0,3,-1.3238880000000002,2.868818,4.192706,2.868818,4.192706,2,7,5.3787,Rubin Kazan,0.1777,0.28,0.5423,a,0.42655,2.77633,0.42655,2.02205,3,16,1,4,0.1041,l,2016-09-19 20:30:00,0,0,1,0,-1.5955,191,15,184,31,1,3,3,6,1.507042,8.134058,6.61487,7.367631999999999,5.86059,7,10,11.0502,1,2,2,5,2.210686,6.969639,4.746807,6.203213,3.992527,7,9,9.0172,Zenit St. Petersburg,0.0145,0.0606,0.9249
8,h,1.0706,0.725315,1.0706,0.725315,5,4,1,1,1.7017,d,2016-10-01 13:00:00,0,1,0,1,0.3452849999999999,242,22,187,39,2,5,2,8,-3.355924000000001,5.121480999999999,9.985955,5.121480999999999,8.477405,6,13,8.721,1,3,1,4,-0.299594,3.114617,3.414211,3.114617,3.414211,3,5,6.2954,Ural,0.4582,0.3271,0.2147,a,0.458161,0.590893,0.458161,0.590893,2,11,1,0,1.107,w,2016-09-25 13:00:00,1,0,0,3,-0.132732,207,27,196,29,2,4,2,8,-2.0434130000000006,4.91071,6.954123000000001,4.91071,6.954123000000001,5,7,9.1904,1,3,1,4,-1.5477870000000005,3.23333,4.781117000000001,3.23333,4.781117000000001,3,6,5.8112,FC Orenburg,0.2219,0.4413,0.3368
9,a,1.35381,2.57427,0.599531,2.57427,4,9,1,3,0.5616,l,2016-10-16 17:30:00,0,0,1,0,-1.974739,91,10,196,24,2,6,2,8,-5.330663,6.475291,12.560225,5.721011999999999,11.051675,7,16,9.2826,1,3,1,4,-2.043772,4.057431,5.346924,3.303152,5.346924,4,7,5.7853,FC Orenburg,0.1221,0.1953,0.6826,a,1.36727,1.76292,0.612996,1.00864,8,4,1,2,1.0258,l,2016-10-01 20:30:00,0,0,1,0,-0.395644,200,33,140,22,0,5,4,4,-2.2562733,5.58311,7.0851173,4.0745640000000005,6.3308373,3,9,10.6023,0,3,2,2,-2.010865,3.72249,4.979089,2.213944,4.224809,3,7,5.6181,FK Akhmat,0.2429,0.2971,0.46
