,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.90184,0.977467,1.14756,0.977467,11,5,3,1,2.1193,w,2017-07-15 18:00:00,1,0,0,3,0.1700929999999999,233,32,201,18,1,0,0,3,0.1700929999999999,1.90184,0.977467,1.14756,0.977467,3,1,2.1193,1,0,0,3,0.1700929999999999,1.90184,0.977467,1.14756,0.977467,3,1,2.1193,Anzhi Makhachkala,0.6298,0.2299,0.1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.13727,1.81275,1.13727,1.81275,15,5,1,3,0.7754,l,2017-07-21 17:30:00,0,0,1,0,-0.6754800000000001,214,21,260,19,1,1,0,3,-0.5053870000000001,3.03911,2.790217,2.28483,2.790217,4,4,2.8947,1,1,0,3,-0.5053870000000001,3.03911,2.790217,2.28483,2.790217,4,4,2.8947,Lokomotiv Moscow,0.1765,0.2459,0.5776,h,0.795425,1.43059,0.795425,1.43059,7,4,1,0,0.8353,w,2017-07-18 17:30:00,1,0,0,3,-0.635165,260,20,233,23,1,0,0,3,-0.635165,0.795425,1.43059,0.795425,1.43059,1,0,0.8353,1,0,0,3,-0.635165,0.795425,1.43059,0.795425,1.43059,1,0,0.8353,Arsenal Tula,0.1864,0.2761,0.5375
2,h,3.01512,0.119905,2.26085,0.119905,17,0,2,0,2.9364,w,2017-07-29 13:00:00,1,0,0,3,2.140945,188,28,390,5,2,1,0,6,1.6355579999999996,6.05423,2.9101220000000003,4.54568,2.9101220000000003,6,4,5.831099999999999,2,1,0,6,1.6355579999999996,6.05423,2.9101220000000003,4.54568,2.9101220000000003,6,4,5.831099999999999,SKA-Khabarovsk,0.9692,0.0288,0.002,a,0.240787,1.33248,0.240787,1.33248,4,5,0,1,0.3854999999999999,l,2017-07-24 17:30:00,0,0,1,0,-1.091693,222,14,264,26,0,2,0,0,-1.793405,0.928225,2.72163,0.928225,2.72163,0,3,1.096,0,2,0,0,-1.793405,0.928225,2.72163,0.928225,2.72163,0,3,1.096,Arsenal Tula,0.0501,0.2352,0.7147
3,h,1.01213,1.30047,1.01213,1.30047,21,4,1,2,1.0777,l,2017-08-06 15:30:00,0,0,1,0,-0.28834,114,24,249,13,2,2,0,6,1.3472179999999996,7.06636,4.210592,5.55781,4.210592,7,6,6.908799999999999,2,2,0,6,1.3472179999999996,7.06636,4.210592,5.55781,4.210592,7,6,6.908799999999999,Rubin Kazan,0.2602,0.2971,0.4427,h,1.70019,0.816105,0.945918,0.816105,4,4,2,1,2.1343,w,2017-07-29 15:30:00,1,0,0,3,0.129813,159,24,189,11,1,2,0,3,-1.213534,2.900403,3.359665,2.146131,3.359665,4,5,3.569,1,2,0,3,-1.213534,2.900403,3.359665,2.146131,3.359665,4,5,3.569,Arsenal Tula,0.6249,0.2596,0.1155
4,a,2.92209,0.426888,2.92209,0.426888,14,2,2,1,2.8507,w,2017-08-09 18:00:00,1,0,0,3,2.495202,178,30,160,13,3,2,0,9,3.84242,9.98845,4.63748,8.4799,4.63748,9,7,9.7595,3,2,0,9,3.84242,9.98845,4.63748,8.4799,4.63748,9,7,9.7595,Tosno,0.9325,0.0532,0.0143,a,1.42324,1.2689,1.42324,0.514624,11,4,2,1,1.4628,w,2017-08-06 13:00:00,1,0,0,3,0.908616,175,13,106,16,1,3,0,3,-0.730653,3.148219,4.633148,3.148219,3.878872,2,5,4.096400000000001,1,3,0,3,-0.730653,3.148219,4.633148,3.148219,3.878872,2,5,4.096400000000001,Arsenal Tula,0.3803,0.3219,0.2978
5,h,1.33478,0.53619,1.33478,0.53619,4,3,2,1,2.1956,w,2017-08-12 15:30:00,1,0,0,3,0.79859,232,27,153,24,4,2,0,12,4.64101,11.32323,5.17367,9.81468,5.17367,11,8,11.955099999999998,3,2,0,9,4.470917,9.42139,4.196203000000001,8.667119999999999,4.196203000000001,8,7,9.8358,Spartak Moscow,0.6475,0.2531,0.0994,h,2.19247,0.230477,2.19247,0.230477,5,2,2,0,2.7112,w,2017-08-09 17:30:00,1,0,0,3,1.961993,229,17,314,28,2,1,2,8,1.778431,8.97934,5.692359,7.47079,5.692359,7,7,9.1061,2,1,2,8,1.778431,8.97934,5.692359,7.47079,5.692359,7,7,9.1061,Arsenal Tula,0.8665,0.1117,0.0218
6,a,0.324718,0.278574,0.324718,0.278574,9,4,0,0,1.2605,d,2017-08-19 13:00:00,0,1,0,1,0.046144,184,28,206,16,4,2,1,13,4.687154,11.647948,5.452244,10.139398000000002,5.452244,11,8,13.215599999999998,3,1,1,10,5.192540999999999,8.608838,2.662027,7.854567999999999,2.662027,7,4,10.3209,Ural,0.2231,0.5912,0.1857,a,1.11956,1.71234,1.11956,1.71234,7,5,2,2,0.8852,d,2017-08-14 17:30:00,0,1,0,1,-0.5927799999999999,133,22,178,36,1,0,5,8,-2.059913,5.633547,7.693462,4.879271,6.939184,7,6,6.7051,1,0,4,7,-1.812168,4.636743,7.203189,4.636743,6.448911,6,5,4.7635000000000005,Arsenal Tula,0.2064,0.266,0.5276
7,h,1.43005,1.61441,1.43005,1.61441,19,3,0,1,1.2164,l,2017-08-27 15:30:00,0,0,1,0,-0.1843599999999998,101,24,285,13,4,3,1,13,4.502794,13.077998,7.066654,11.569448,7.066654,11,9,14.432,2,2,1,7,2.867236,7.0237680000000005,4.156532,7.0237680000000005,4.156532,5,5,8.6009,FK Akhmat,0.3193,0.2585,0.4222,h,1.4088,0.270013,0.654527,0.270013,5,2,1,2,2.4783,l,2017-08-21 18:00:00,0,0,1,0,0.3845139999999999,158,23,313,40,3,4,0,9,-1.1074429999999995,6.718468,6.317358,5.209914999999999,6.317358,9,12,11.0522,1,4,0,3,-2.106434,4.934367,5.532247999999999,3.425814,5.532247999999999,7,12,7.3191,Arsenal Tula,0.7585,0.2028,0.0387
8,a,0.966823,0.451705,0.966823,0.451705,8,2,1,0,1.8452,w,2017-09-08 15:30:00,1,0,0,3,0.515118,195,25,264,13,5,3,1,16,5.017912,14.044821,7.518359,12.536271,7.518359,12,9,16.277199999999997,3,1,1,10,3.670694,6.978460999999999,3.307767,6.978460999999999,3.307767,5,3,9.3684,Amkar,0.4973,0.3533,0.1494,a,0.291087,0.981957,0.291087,0.981957,2,8,1,0,0.6453,w,2017-08-26 13:00:00,1,0,0,3,-0.69087,240,7,128,14,1,5,2,5,-2.982224,5.4175450000000005,7.645488999999999,4.663265,7.645488999999999,2,8,8.5406,1,2,2,5,0.114464,4.608913,3.740169,3.8546330000000006,3.740169,2,5,7.3431,Arsenal Tula,0.0998,0.3459,0.5543
9,h,1.53298,0.489346,1.53298,0.489346,10,6,2,0,2.2913,w,2017-09-16 14:30:00,1,0,0,3,1.043634,261,14,273,14,6,3,1,19,6.061546,15.577801,8.007705,14.069251,8.007705,14,9,18.5685,3,1,1,10,2.219126,5.589351000000001,3.370225,5.589351000000001,3.370225,5,2,8.809,FC Rostov,0.6898,0.2219,0.0883,h,1.17606,1.13101,0.421786,1.13101,8,4,2,2,1.3734,d,2017-09-09 14:30:00,0,1,0,1,-0.7092240000000001,154,23,258,14,4,1,4,16,1.92534,9.11284,5.678954,6.850018,4.924678,10,5,14.8212,2,0,3,9,0.107785,5.831357000000001,3.46075,3.5685350000000007,3.46075,7,3,8.6182,Arsenal Tula,0.3369,0.3627,0.3004
