,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.687438,1.38915,0.687438,1.38915,4,5,0,2,0.7105,l,2017-07-16 09:00:00,0,0,1,0,-0.7017120000000001,255,12,169,35,0,1,0,0,-0.7017120000000001,0.687438,1.38915,0.687438,1.38915,0,2,0.7105,0,1,0,0,-0.7017120000000001,0.687438,1.38915,0.687438,1.38915,0,2,0.7105,Zenit St. Petersburg,0.1446,0.2767,0.5787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.240787,1.33248,0.240787,1.33248,4,5,0,1,0.3854999999999999,l,2017-07-24 17:30:00,0,0,1,0,-1.091693,222,14,264,26,0,2,0,0,-1.793405,0.928225,2.72163,0.928225,2.72163,0,3,1.096,0,2,0,0,-1.793405,0.928225,2.72163,0.928225,2.72163,0,3,1.096,Arsenal Tula,0.0501,0.2352,0.7147,a,1.43059,0.795425,1.43059,0.795425,4,7,0,1,1.8886,l,2017-07-18 17:30:00,0,0,1,0,0.635165,233,23,260,20,0,1,0,0,0.635165,1.43059,0.795425,1.43059,0.795425,0,1,1.8886,0,1,0,0,0.635165,1.43059,0.795425,1.43059,0.795425,0,1,1.8886,Lokomotiv Moscow,0.5375,0.2761,0.1864
2,a,0.119905,3.01512,0.119905,2.26085,0,17,0,2,0.0348,l,2017-07-29 13:00:00,0,0,1,0,-2.140945,390,5,188,28,0,3,0,0,-3.93435,1.04813,5.736750000000001,1.04813,4.982480000000001,0,5,1.1308,0,3,0,0,-3.93435,1.04813,5.736750000000001,1.04813,4.982480000000001,0,5,1.1308,CSKA Moscow,0.002,0.0288,0.9692,h,1.13727,1.81275,1.13727,1.81275,15,5,1,3,0.7754,l,2017-07-21 17:30:00,0,0,1,0,-0.6754800000000001,214,21,260,19,1,1,0,3,-0.5053870000000001,3.03911,2.790217,2.28483,2.790217,4,4,2.8947,1,1,0,3,-0.5053870000000001,3.03911,2.790217,2.28483,2.790217,4,4,2.8947,Lokomotiv Moscow,0.1765,0.2459,0.5776
3,a,0.195413,2.22768,0.195413,2.22768,1,11,0,1,0.1542,l,2017-08-05 18:00:00,0,0,1,0,-2.032267,267,24,143,22,0,4,0,0,-5.966617,1.243543,7.96443,1.243543,7.21016,0,6,1.285,0,4,0,0,-5.966617,1.243543,7.96443,1.243543,7.21016,0,6,1.285,Lokomotiv Moscow,0.0172,0.1026,0.8802,h,2.14578,0.474898,2.14578,0.474898,13,5,1,0,2.5839000000000003,w,2017-07-30 15:30:00,1,0,0,3,1.6708819999999998,207,32,262,16,3,0,0,9,1.711197,4.753955,3.042758,4.753955,3.042758,5,1,5.3979,3,0,0,9,1.711197,4.753955,3.042758,4.753955,3.042758,5,1,5.3979,Anzhi Makhachkala,0.8154,0.1377,0.0469
4,h,1.02721,1.33058,1.02721,1.33058,1,10,2,0,1.1037,w,2017-08-08 09:00:00,1,0,0,3,-0.3033700000000001,225,26,136,15,1,4,0,3,-6.269987,2.270753,9.29501,2.270753,8.54074,2,6,2.3887,1,4,0,3,-6.269987,2.270753,9.29501,2.270753,8.54074,2,6,2.3887,Anzhi Makhachkala,0.2591,0.3264,0.4145,h,0.651772,1.1303,0.651772,1.1303,8,2,0,1,0.8779000000000001,l,2017-08-04 18:00:00,0,0,1,0,-0.478528,164,18,229,30,1,3,0,3,-1.313088,3.531997,5.599365,3.531997,4.845085,2,5,4.041,1,3,0,3,-1.313088,3.531997,5.599365,3.531997,4.845085,2,5,4.041,FC Rostov,0.188,0.3139,0.4981
5,h,0.265854,0.817477,0.265854,0.817477,2,6,1,1,0.7252000000000001,d,2017-08-13 09:00:00,0,1,0,1,-0.551623,232,15,178,28,1,4,1,4,-6.821610000000001,2.536607,10.112487,2.536607,9.358217,3,7,3.1139,1,3,1,4,-6.119898,1.849169,8.723336999999999,1.849169,7.969067,3,5,2.4034,Rubin Kazan,0.1107,0.3931,0.4962,h,1.16512,0.669892,0.410845,0.669892,8,8,1,1,1.8781,d,2017-08-09 18:00:00,0,1,0,1,-0.259047,256,14,233,19,2,2,1,7,-1.184241,5.365993,5.0416870000000005,3.857446,5.0416870000000005,7,7,7.0723,2,2,1,7,-1.184241,5.365993,5.0416870000000005,3.857446,5.0416870000000005,7,7,7.0723,Lokomotiv Moscow,0.5125,0.3406,0.1469
6,a,0.135992,0.783145,0.135992,0.783145,3,4,0,0,0.5924,d,2017-08-18 17:30:00,0,1,0,1,-0.647153,237,20,147,20,1,4,2,5,-7.468763000000001,2.672599,10.895632,2.672599,10.141362,3,7,3.7063,1,2,2,5,-5.675358,1.744374,8.174002,1.744374,7.419732000000001,3,4,2.6103,Tosno,0.0546,0.4286,0.5168,a,0.763116,0.627448,0.763116,0.627448,3,10,2,0,1.4886,w,2017-08-13 15:30:00,1,0,0,3,0.135668,282,20,138,26,2,4,0,6,-3.090187,4.338223,8.182686,4.338223,7.42841,5,7,5.681100000000001,2,3,0,6,-3.261316,3.4446760000000003,7.460268,3.4446760000000003,6.705992,5,6,4.2255,Lokomotiv Moscow,0.3674,0.3864,0.2462
7,h,0.110547,1.97545,0.110547,1.97545,2,13,0,0,0.1668,d,2017-08-27 09:00:00,0,1,0,1,-1.864903,274,15,134,25,1,4,3,6,-9.333666,2.783146,12.871082,2.783146,12.116812,3,7,3.8731,1,1,3,6,-5.399316000000001,1.735016,7.134332000000001,1.735016,7.134332000000001,3,2,2.7423,Spartak Moscow,0.0128,0.1284,0.8588,h,1.26535,1.77424,1.26535,1.77424,6,17,3,4,0.954,l,2017-08-19 15:30:00,0,0,1,0,-0.5088900000000001,207,27,173,21,2,3,2,8,0.4709509999999998,10.78088,8.801379,9.27233,8.801379,11,13,10.6114,2,3,0,6,0.0104069999999999,7.74102,6.222063,6.23247,6.222063,9,11,7.5199,Lokomotiv Moscow,0.2317,0.2589,0.5094
8,a,0.837002,2.0703,0.837002,1.31602,7,8,1,1,0.4829,d,2017-09-11 15:30:00,0,1,0,1,-0.4790179999999999,303,27,150,16,1,4,4,7,-9.812684,3.620148,14.941382,3.620148,13.432832,4,8,4.356,1,0,4,7,-3.846067,2.376605,6.976951999999999,2.376605,6.222671999999999,4,2,3.071,Ural,0.093,0.2039,0.7031,a,0.660035,1.12984,0.660035,1.12984,7,13,1,2,0.8987,l,2017-08-26 18:00:00,0,0,1,0,-0.4698049999999999,199,20,264,30,1,1,6,9,-2.575862,6.572156,9.14802,5.81788,8.393742,8,8,8.7521,0,1,4,4,-2.106046,3.587944,6.448268,3.587944,5.693989999999999,5,6,4.2718,Lokomotiv Moscow,0.196,0.3107,0.4933
9,h,1.58421,1.30638,1.58421,1.30638,6,2,2,2,1.6003,d,2017-09-17 09:00:00,0,1,0,1,0.2778299999999998,179,20,218,17,1,4,5,8,-9.534854,5.204358,16.247761999999998,5.204358,14.739212,6,10,5.9563,0,0,5,5,-3.264867,2.933605,6.952751999999999,2.933605,6.198472,4,4,3.5676000000000005,FK Akhmat,0.4429,0.2716,0.2855,h,0.6249,0.377664,0.6249,0.377664,7,6,1,1,1.5275,d,2017-09-10 17:00:00,0,1,0,1,0.247236,338,23,194,28,4,4,1,13,-0.6758469999999999,8.957778,8.125072,7.449224999999998,8.125072,11,13,14.1048,1,3,1,4,-1.954951,4.877329,6.078007,4.123056,6.078007,5,10,6.6612,Lokomotiv Moscow,0.3566,0.4577,0.1857
